# timestamp tx ty tz qx qy qz qw
1305031102.175304 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031102.211214 -0.005942 0.018198 0.030323 0.001697 -0.003366 -0.001525 0.999992
1305031102.243211 -0.010687 0.015291 0.026798 -0.005044 -0.003611 -0.001747 0.999979
1305031102.275326 -0.012625 0.016587 0.043199 -0.009477 -0.006235 -0.001420 0.999935
1305031102.311267 -0.014322 0.014611 0.059254 -0.014124 -0.008135 -0.001110 0.999867
1305031102.343233 -0.016254 0.018231 0.072789 -0.014888 -0.009644 0.000350 0.999843
1305031102.375329 -0.016109 0.019263 0.082620 -0.016909 -0.011412 0.000889 0.999792
1305031102.411258 -0.019992 0.024308 0.095421 -0.017544 -0.013212 0.000069 0.999759
1305031102.443271 -0.021411 0.036957 0.108142 -0.018108 -0.015842 0.000550 0.999710
1305031102.475318 -0.009427 0.025949 0.118086 -0.030932 -0.021896 0.001717 0.999280
1305031102.511219 -0.013545 0.037807 0.146037 -0.031675 -0.020193 0.000082 0.999294
1305031102.543220 -0.005760 0.024080 0.145751 -0.041784 -0.020843 0.000271 0.998909
1305031102.575286 -0.007481 0.024417 0.163366 -0.042669 -0.018794 -0.001633 0.998911
1305031102.611233 -0.011403 0.027571 0.186483 -0.038255 -0.015407 -0.000430 0.999149
1305031102.643265 -0.015481 0.029767 0.184198 -0.036721 -0.012820 -0.000028 0.999243
1305031102.675285 -0.017696 0.033700 0.212118 -0.036895 -0.015906 -0.000769 0.999192
1305031102.711263 -0.018082 0.032893 0.225744 -0.038208 -0.016262 0.000456 0.999137
1305031102.743234 -0.022626 0.045284 0.240497 -0.034782 -0.014741 0.000308 0.999286
1305031102.775472 -0.014174 0.040971 0.251771 -0.040061 -0.016107 0.000871 0.999067
1305031102.811232 -0.015810 0.044606 0.263482 -0.040734 -0.012499 -0.000128 0.999092
1305031102.843290 -0.014873 0.044825 0.277654 -0.042837 -0.009547 -0.000975 0.999036
1305031102.875363 -0.018258 0.048124 0.289315 -0.041573 -0.005637 -0.003474 0.999114
1305031102.911185 -0.024319 0.058766 0.315240 -0.036989 -0.002907 -0.006529 0.999290
1305031102.943229 -0.023752 0.053906 0.314553 -0.040148 -0.003062 -0.007532 0.999161
1305031102.975203 -0.033148 0.059337 0.329446 -0.038733 -0.005383 -0.008532 0.999199
1305031103.011215 -0.014764 0.062780 0.352544 -0.039918 -0.019827 -0.004296 0.998997
1305031103.043227 -0.035256 0.066835 0.355870 -0.039267 -0.014802 -0.003345 0.999114
1305031103.075319 -0.021305 0.068272 0.372169 -0.038530 -0.023588 -0.002212 0.998977
1305031103.111240 -0.022432 0.074316 0.381500 -0.036463 -0.023189 -0.000857 0.999066
1305031103.143318 -0.014033 0.070689 0.382822 -0.041083 -0.026601 -0.000574 0.998801
1305031103.175452 -0.010394 0.076173 0.391145 -0.040722 -0.027436 -0.001939 0.998792
1305031103.211220 -0.023237 0.091100 0.405964 -0.039847 -0.021540 0.001522 0.998972
1305031103.243216 -0.022794 0.094147 0.413439 -0.046614 -0.021683 0.005374 0.998663
1305031103.275370 -0.028149 0.096822 0.418528 -0.055148 -0.022515 0.009659 0.998178
1305031103.311210 -0.027551 0.089842 0.425678 -0.064241 -0.032479 0.009168 0.997364
1305031103.343223 -0.021922 0.091432 0.427422 -0.064484 -0.038404 0.008726 0.997141
1305031103.375327 -0.020392 0.090788 0.428122 -0.067956 -0.037412 0.010476 0.996932
1305031103.411260 -0.021420 0.084972 0.427046 -0.071583 -0.036561 0.012319 0.996688
1305031103.443280 -0.022868 0.083617 0.423026 -0.071348 -0.038377 0.011888 0.996642
1305031103.475274 -0.022479 0.079609 0.418344 -0.071542 -0.041146 0.010108 0.996537
1305031103.511333 -0.022431 0.075369 0.412276 -0.069569 -0.042631 0.008012 0.996634
1305031103.543444 -0.022584 0.066834 0.403816 -0.067343 -0.043528 0.004875 0.996768
1305031103.575474 -0.024284 0.066387 0.393945 -0.061873 -0.044216 0.005040 0.997091
1305031103.611223 -0.026418 0.061378 0.383854 -0.060103 -0.046382 0.005882 0.997097
1305031103.643445 -0.023425 0.055903 0.372799 -0.059171 -0.050858 0.008935 0.996911
1305031103.675523 -0.018134 0.049354 0.361523 -0.058508 -0.055128 0.010486 0.996708
1305031103.711610 -0.014561 0.044238 0.349847 -0.057780 -0.057273 0.012270 0.996610
1305031103.743326 -0.015336 0.033572 0.336916 -0.059255 -0.055777 0.013770 0.996588
1305031103.775342 -0.012075 0.031103 0.324253 -0.056607 -0.057612 0.011079 0.996671
1305031103.811242 -0.008077 0.029422 0.309739 -0.056751 -0.057960 0.008800 0.996666
1305031103.843251 -0.007585 0.020147 0.291817 -0.064031 -0.058685 0.006006 0.996203
1305031103.875361 -0.011844 0.018192 0.283555 -0.067386 -0.059292 0.003172 0.995959
1305031103.911221 -0.010241 0.009815 0.270460 -0.067690 -0.063531 0.001716 0.995680
1305031103.943211 -0.008324 0.007279 0.255816 -0.065401 -0.066424 0.000867 0.995645
1305031103.975373 -0.005632 0.001135 0.243406 -0.064263 -0.068776 -0.000173 0.995560
1305031104.011232 -0.000559 -0.004092 0.233297 -0.060445 -0.070309 -0.001040 0.995692
1305031104.043249 -0.005546 -0.000808 0.215582 -0.051336 -0.064490 -0.002348 0.996594
1305031104.075425 0.005461 -0.005001 0.203087 -0.047984 -0.063234 -0.005848 0.996827
1305031104.111235 0.003695 -0.010208 0.177962 -0.045894 -0.054163 -0.005027 0.997464
1305031104.143230 0.008556 -0.017615 0.177360 -0.042260 -0.051997 -0.008015 0.997720
1305031104.175424 0.007935 -0.020810 0.162295 -0.038368 -0.048301 -0.008978 0.998055
1305031104.211283 0.001076 -0.037371 0.120681 -0.038247 -0.039785 -0.010655 0.998419
1305031104.243196 0.002064 -0.030440 0.124011 -0.031425 -0.039607 -0.009958 0.998671
1305031104.275546 -0.000479 -0.032482 0.107597 -0.027052 -0.035392 -0.010580 0.998951
1305031104.311219 -0.002597 -0.034345 0.092563 -0.023695 -0.030990 -0.010514 0.999183
1305031104.343342 0.002148 -0.034030 0.084213 -0.019859 -0.028346 -0.011034 0.999340
1305031104.375837 -0.004467 -0.048350 0.059935 -0.023410 -0.021203 -0.012104 0.999428
1305031104.411509 -0.004209 -0.048663 0.048300 -0.022009 -0.017484 -0.011133 0.999543
1305031104.443288 -0.008348 -0.051238 0.034054 -0.022211 -0.014771 -0.010821 0.999586
1305031104.475456 -0.008991 -0.051769 0.022921 -0.022418 -0.015888 -0.008919 0.999583
1305031104.511329 -0.006556 -0.054310 0.012234 -0.022098 -0.018973 -0.006750 0.999553
1305031104.543368 -0.002800 -0.060149 0.001188 -0.020710 -0.021904 -0.005478 0.999531
1305031104.575343 0.005377 -0.065086 -0.010279 -0.018220 -0.023829 -0.005104 0.999537
1305031104.611336 0.004438 -0.066782 -0.006123 -0.006264 -0.019263 -0.003918 0.999787
1305031104.643243 0.006085 -0.063746 -0.018243 0.006700 -0.011780 -0.004190 0.999899
1305031104.675525 0.007927 -0.067990 -0.027039 0.017381 -0.003896 -0.002773 0.999838
1305031104.711277 0.009206 -0.070684 -0.037265 0.030406 0.003311 -0.000506 0.999532
1305031104.743280 0.007320 -0.066664 -0.050393 0.043564 0.010403 -0.000234 0.998996
1305031104.775327 0.005315 -0.060449 -0.063123 0.056704 0.016568 0.003150 0.998249
1305031104.811465 0.014797 -0.065112 -0.066663 0.066757 0.023194 0.004987 0.997487
1305031104.843258 0.013996 -0.061635 -0.073167 0.075370 0.030055 0.007410 0.996675
1305031104.875350 0.024369 -0.067314 -0.089836 0.077789 0.030179 0.008909 0.996473
1305031104.911534 0.032391 -0.068266 -0.098227 0.078962 0.029166 0.011277 0.996387
1305031104.943262 0.011297 -0.055234 -0.082049 0.083497 0.035282 0.011350 0.995819
1305031104.975202 0.008962 -0.044830 -0.077903 0.084691 0.035083 0.012271 0.995714
1305031105.011290 0.008434 -0.044848 -0.076557 0.079278 0.034934 0.011844 0.996170
1305031105.043373 0.009441 -0.041002 -0.069500 0.074275 0.034228 0.011296 0.996586
1305031105.075320 0.036621 -0.036467 -0.057300 0.067970 0.025749 0.014842 0.997245
1305031105.111299 0.036834 -0.032418 -0.046996 0.062275 0.024416 0.014664 0.997653
1305031105.143106 0.027156 -0.026838 -0.039874 0.056526 0.024095 0.008916 0.998071
1305031105.175159 -0.002389 -0.025222 -0.037108 0.043047 0.027785 0.001539 0.998685
1305031105.211268 -0.014551 0.010301 -0.016019 0.040245 0.025436 0.005335 0.998852
1305031105.243270 0.009665 -0.008554 0.001227 0.028449 0.013852 0.005480 0.999484
1305031105.275288 -0.011629 -0.019994 0.001578 0.015486 0.013498 -0.003103 0.999784
1305031105.311290 -0.026112 -0.014709 0.020560 0.007678 0.009884 -0.006092 0.999903
1305031105.343302 0.000317 -0.011441 0.043884 -0.001311 -0.005626 0.003111 0.999978
1305031105.375338 -0.030866 -0.002922 0.070838 -0.001041 -0.003259 0.000078 0.999994
1305031105.411286 -0.004264 -0.004946 0.069652 -0.008951 -0.014644 0.001916 0.999851
1305031105.443316 -0.004986 -0.008522 0.085195 -0.016692 -0.018893 0.001511 0.999681
1305031105.475280 -0.004847 -0.006702 0.105758 -0.019657 -0.023227 0.001309 0.999536
1305031105.511332 -0.003465 -0.000567 0.123970 -0.022503 -0.026619 0.002052 0.999390
1305031105.543282 -0.002495 0.000146 0.141283 -0.025875 -0.025786 0.007278 0.999306
1305031105.575449 -0.005504 0.004170 0.156799 -0.027349 -0.026307 0.006823 0.999256
1305031105.611378 -0.000649 0.001614 0.174589 -0.031094 -0.029298 0.007641 0.999058
1305031105.643273 -0.005510 0.002640 0.184276 -0.032023 -0.028050 0.010862 0.999034
1305031105.675166 -0.004383 -0.000914 0.180541 -0.035349 -0.027099 0.011615 0.998940
1305031105.711309 0.002139 0.001311 0.214629 -0.034666 -0.029195 0.012277 0.998897
1305031105.743312 0.001779 0.007368 0.226524 -0.032004 -0.025042 0.012374 0.999097
1305031105.775339 0.004827 0.006952 0.243065 -0.033273 -0.021329 0.012528 0.999140
1305031105.811283 0.011887 0.010943 0.262545 -0.031689 -0.021090 0.014309 0.999173
1305031105.843271 0.012571 0.012135 0.278303 -0.030982 -0.018683 0.015382 0.999227
1305031105.875337 0.020579 0.011779 0.286080 -0.033103 -0.017703 0.019970 0.999096
1305031105.911262 0.014790 0.024311 0.302898 -0.031225 -0.008949 0.022167 0.999226
1305031105.943272 0.014638 0.029906 0.314991 -0.033198 -0.005632 0.024688 0.999128
1305031105.975329 0.014329 0.035221 0.328056 -0.036915 -0.003623 0.026090 0.998971
1305031106.011285 0.015260 0.039260 0.340737 -0.041064 -0.001834 0.027870 0.998766
1305031106.043355 0.010995 0.043111 0.352997 -0.044331 0.001266 0.026482 0.998665
1305031106.075330 0.011871 0.047093 0.364202 -0.049323 0.001756 0.030748 0.998308
1305031106.111327 0.010668 0.053803 0.374693 -0.053554 0.001574 0.031925 0.998053
1305031106.143355 0.009067 0.055149 0.386676 -0.061023 -0.000091 0.034210 0.997550
1305031106.175534 0.007797 0.057447 0.396800 -0.064906 -0.001665 0.035023 0.997275
1305031106.211275 0.006895 0.057153 0.406893 -0.068947 -0.003339 0.035783 0.996973
1305031106.243267 0.005573 0.060217 0.414042 -0.068719 -0.004623 0.039154 0.996857
1305031106.276385 0.003893 0.066417 0.419557 -0.068629 -0.005935 0.039808 0.996830
1305031106.311238 0.003444 0.069971 0.425042 -0.071900 -0.007251 0.042868 0.996464
1305031106.343258 0.001030 0.077012 0.427774 -0.075463 -0.007803 0.043032 0.996189
1305031106.375388 0.004071 0.077155 0.431202 -0.084976 -0.009143 0.036116 0.995686
1305031106.411320 0.005469 0.071494 0.433212 -0.092624 -0.004703 0.030822 0.995213
1305031106.443278 0.003114 0.068239 0.430105 -0.094059 -0.000344 0.027196 0.995195
