# timestamp tx ty tz qx qy qz qw
1305031102.175304 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031102.211214 -0.005145 0.017866 0.029659 0.001514 -0.003592 -0.001374 0.999991
1305031102.243211 -0.009844 0.014738 0.026685 -0.005314 -0.003865 -0.001653 0.999977
1305031102.275326 -0.011483 0.016161 0.042894 -0.009730 -0.006579 -0.001315 0.999930
1305031102.311267 -0.013794 0.016341 0.059037 -0.013537 -0.008239 -0.001047 0.999874
1305031102.343233 -0.014747 0.017636 0.072276 -0.015259 -0.010090 0.000538 0.999833
1305031102.375329 -0.014275 0.018376 0.082120 -0.017409 -0.011969 0.001047 0.999776
1305031102.411258 -0.018149 0.023262 0.094572 -0.018128 -0.013774 0.000140 0.999741
1305031102.443271 -0.019539 0.035135 0.107255 -0.019191 -0.016541 0.000564 0.999679
1305031102.475318 -0.009403 0.026293 0.117535 -0.030881 -0.021975 0.001426 0.999280
1305031102.511219 -0.012680 0.037483 0.144332 -0.031821 -0.020589 -0.000429 0.999281
1305031102.543220 -0.006545 0.024751 0.145044 -0.041506 -0.020715 -0.000469 0.998923
1305031102.575286 -0.007258 0.023608 0.162396 -0.043025 -0.019096 -0.002155 0.998889
1305031102.611233 -0.009311 0.025361 0.184342 -0.039276 -0.016447 -0.000911 0.999093
1305031102.643265 -0.015265 0.028980 0.183218 -0.037074 -0.013124 -0.000551 0.999226
1305031102.675285 -0.015425 0.033406 0.209701 -0.037370 -0.016644 -0.000678 0.999163
1305031102.711263 -0.015831 0.032612 0.223327 -0.038684 -0.017000 0.000546 0.999107
1305031102.743234 -0.018647 0.043864 0.237489 -0.035990 -0.016236 0.000896 0.999220
1305031102.775472 -0.011962 0.040716 0.249352 -0.040537 -0.016844 0.000959 0.999036
1305031102.811232 -0.013616 0.044362 0.261058 -0.041210 -0.013237 -0.000042 0.999063
1305031102.843290 -0.012700 0.044594 0.275230 -0.043313 -0.010285 -0.000892 0.999008
1305031102.875363 -0.016103 0.047904 0.286883 -0.042047 -0.006376 -0.003392 0.999090
1305031102.911185 -0.018654 0.056895 0.310394 -0.038508 -0.005160 -0.005779 0.999228
1305031102.943229 -0.022098 0.053546 0.311703 -0.040866 -0.003647 -0.007061 0.999133
1305031102.975203 -0.030022 0.058560 0.325362 -0.039956 -0.007232 -0.007964 0.999144
1305031103.011215 -0.015533 0.062933 0.347238 -0.040909 -0.020508 -0.003533 0.998946
1305031103.043227 -0.031733 0.066038 0.350760 -0.041020 -0.017628 -0.002608 0.998999
1305031103.075319 -0.019599 0.066329 0.366449 -0.041150 -0.025992 -0.000757 0.998815
1305031103.111240 -0.020620 0.073559 0.375427 -0.038544 -0.025592 0.000412 0.998929
1305031103.143318 -0.015656 0.070574 0.378160 -0.042738 -0.027443 0.001079 0.998709
1305031103.175452 -0.012857 0.076360 0.386090 -0.042295 -0.027847 0.000377 0.998717
1305031103.211220 -0.021757 0.089330 0.400112 -0.042478 -0.023935 0.002968 0.998806
1305031103.243216 -0.021359 0.092418 0.407573 -0.049254 -0.024077 0.006804 0.998473
1305031103.275370 -0.026745 0.095104 0.412623 -0.057795 -0.024910 0.011071 0.997956
1305031103.311210 -0.026160 0.088164 0.419812 -0.066870 -0.034886 0.010583 0.997095
1305031103.343223 -0.020544 0.089780 0.421574 -0.067102 -0.040812 0.010157 0.996859
1305031103.375327 -0.019016 0.089144 0.422284 -0.070579 -0.039820 0.011896 0.996640
