# timestamp tx ty tz qx qy qz qw
1305031790.645155 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031790.681208 0.004770 0.007111 0.001389 -0.010345 0.000108 0.003418 0.999941
1305031790.713097 0.009048 0.010449 0.002888 -0.022225 0.000195 0.006284 0.999733
1305031790.745223 0.017681 0.015400 0.005041 -0.031390 -0.000836 0.011571 0.999440
1305031790.781258 0.027661 0.023186 0.006791 -0.040030 -0.001791 0.019425 0.999008
1305031790.813207 0.033358 0.030581 0.007295 -0.052154 -0.000799 0.027358 0.998264
1305031790.845151 0.041733 0.035745 0.010004 -0.064916 -0.001045 0.034746 0.997285
1305031790.882094 0.051673 0.039325 0.012086 -0.076160 0.000432 0.042258 0.996200
1305031790.913129 0.059809 0.040049 0.011864 -0.084647 0.004273 0.049369 0.995178
1305031790.945171 0.064335 0.041924 0.012176 -0.091029 0.009879 0.056780 0.994179
1305031790.981159 0.063793 0.041119 0.013350 -0.094497 0.016402 0.065926 0.993204
1305031791.013075 0.063534 0.038061 0.008140 -0.093281 0.023304 0.080316 0.992121
1305031791.045137 0.078106 0.027814 0.004174 -0.086865 0.026482 0.087739 0.991995
1305031791.081293 0.082317 0.026477 0.002002 -0.075250 0.037045 0.098017 0.991644
1305031791.113136 0.079451 0.021742 -0.003572 -0.054133 0.054497 0.103542 0.991655
1305031791.145096 0.076699 0.017962 -0.025849 -0.027788 0.076497 0.102909 0.991356
1305031791.181287 0.070630 0.018659 -0.027825 -0.003302 0.098846 0.108982 0.989112
1305031791.213098 0.080427 -0.006031 -0.040962 0.017225 0.115423 0.106253 0.987467
1305031791.245087 0.074062 0.008824 -0.055075 0.053283 0.138579 0.110766 0.982694
1305031791.281340 0.077512 -0.010486 -0.054445 0.071577 0.158049 0.111903 0.978455
1305031791.313088 0.070202 -0.015003 -0.056786 0.102308 0.180414 0.115020 0.971470
1305031791.345123 0.072025 -0.019466 -0.074725 0.127803 0.198375 0.116816 0.964711
1305031791.382161 0.064517 -0.027591 -0.074509 0.149007 0.215975 0.126166 0.956678
1305031791.413087 0.058414 -0.030916 -0.073539 0.178053 0.229652 0.133159 0.947537
1305031791.445165 0.053393 -0.028359 -0.079259 0.204848 0.240054 0.139599 0.938575
1305031791.481375 0.040756 -0.028988 -0.077721 0.226306 0.250585 0.146534 0.929796
1305031791.513084 0.036566 -0.041531 -0.085369 0.245483 0.256704 0.148970 0.922848
1305031791.545065 0.029110 -0.045065 -0.091306 0.265655 0.263585 0.149561 0.915195
1305031791.581127 0.013264 -0.040664 -0.091950 0.282696 0.272708 0.148839 0.907502
1305031791.613194 0.009400 -0.054347 -0.099292 0.295990 0.279059 0.147901 0.901466
1305031791.645074 0.002870 -0.060513 -0.107827 0.314199 0.285358 0.142533 0.894167
