# timestamp tx ty tz qx qy qz qw
1305031910.765238 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031910.797230 -0.013527 0.001327 0.000563 0.005129 -0.001350 -0.008402 0.999951
1305031910.835208 -0.020302 -0.003314 0.005447 0.005320 -0.007401 -0.014538 0.999853
1305031910.865025 -0.032014 -0.007261 0.006494 0.006370 -0.012515 -0.022838 0.999641
1305031910.897222 -0.036039 -0.011431 0.013772 0.005861 -0.022564 -0.031596 0.999229
1305031910.935211 -0.033547 -0.021031 0.023628 0.006847 -0.031289 -0.037462 0.998785
1305031910.965249 -0.051015 -0.022145 0.024212 0.013040 -0.032590 -0.042079 0.998497
1305031910.997325 -0.064985 -0.017322 0.022228 0.015426 -0.039833 -0.050776 0.997796
1305031911.035050 -0.076939 -0.024182 0.029138 0.011762 -0.050026 -0.060211 0.996862
1305031911.065269 -0.094027 -0.023810 0.029954 0.012223 -0.064024 -0.070572 0.995375
1305031911.097196 -0.096942 -0.027936 0.039620 0.010170 -0.085078 -0.082480 0.992902
1305031911.135664 -0.096862 -0.033661 0.045556 0.012211 -0.101507 -0.093506 0.990355
1305031911.165177 -0.106934 -0.035151 0.043375 0.015991 -0.112930 -0.100752 0.988352
1305031911.197213 -0.112306 -0.034731 0.044591 0.018501 -0.125174 -0.107663 0.986102
1305031911.235651 -0.120923 -0.039221 0.048041 0.019697 -0.136023 -0.114731 0.983843
1305031911.265104 -0.123007 -0.037024 0.050204 0.022752 -0.148898 -0.123997 0.980784
1305031911.297334 -0.133741 -0.040767 0.055770 0.022501 -0.156801 -0.131248 0.978612
1305031911.333191 -0.138693 -0.044763 0.057514 0.024063 -0.167122 -0.137232 0.976042
1305031911.365235 -0.138976 -0.048728 0.062938 0.026491 -0.175916 -0.142917 0.973615
1305031911.397333 -0.145639 -0.050268 0.064845 0.030831 -0.180637 -0.147807 0.971892
1305031911.433256 -0.154930 -0.047084 0.065382 0.035980 -0.186217 -0.149965 0.970329
1305031911.465250 -0.165650 -0.046906 0.066999 0.037805 -0.193031 -0.150312 0.968874
1305031911.497291 -0.175582 -0.049524 0.067383 0.039076 -0.203485 -0.150720 0.966618
1305031911.533251 -0.179354 -0.050245 0.072264 0.041235 -0.215505 -0.151252 0.963836
