# timestamp tx ty tz qx qy qz qw
1305031102.175304 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031102.211214 -0.002046 0.007717 0.010433 -0.002120 -0.002971 -0.001681 0.999992
1305031102.243211 -0.002892 0.006817 0.023553 -0.008730 -0.005884 -0.001449 0.999944
1305031102.275326 -0.003360 0.007874 0.035987 -0.013472 -0.008680 -0.001148 0.999871
1305031102.311267 -0.003484 0.005433 0.049776 -0.018516 -0.010767 -0.000536 0.999770
1305031102.343233 -0.004190 0.007187 0.061279 -0.020132 -0.012541 0.001246 0.999718
1305031102.375329 -0.004225 0.008308 0.073342 -0.022083 -0.014548 0.001368 0.999649
1305031102.411258 -0.008599 0.011743 0.082149 -0.023217 -0.015874 -0.000066 0.999604
1305031102.443271 -0.010363 0.020018 0.092431 -0.026175 -0.018744 -0.000532 0.999481
1305031102.475318 -0.008913 0.019250 0.106937 -0.033647 -0.021371 -0.001460 0.999204
1305031102.511219 -0.008566 0.018686 0.119709 -0.038850 -0.020569 -0.003206 0.999028
1305031102.543220 -0.009587 0.018221 0.132541 -0.043609 -0.018958 -0.005255 0.998855
1305031102.575286 -0.008523 0.013258 0.146714 -0.046656 -0.017948 -0.006462 0.998729
1305031102.611233 -0.010294 0.010911 0.158649 -0.044572 -0.014715 -0.005438 0.998883
1305031102.643265 -0.016050 0.018792 0.165918 -0.040755 -0.012051 -0.004667 0.999086
1305031102.675285 -0.015974 0.022018 0.179133 -0.041967 -0.013698 -0.003712 0.999018
1305031102.711263 -0.016330 0.021764 0.192780 -0.043100 -0.014060 -0.002473 0.998969
1305031102.743234 -0.015357 0.029927 0.204244 -0.042249 -0.014696 -0.000692 0.998999
1305031102.775472 -0.012488 0.029779 0.218814 -0.045002 -0.013723 -0.002116 0.998890
1305031102.811232 -0.013881 0.034127 0.230683 -0.045381 -0.010264 -0.003129 0.998912
1305031102.843290 -0.012757 0.033796 0.244865 -0.047834 -0.007302 -0.003969 0.998821
1305031102.875363 -0.016290 0.036655 0.255746 -0.046811 -0.003324 -0.006549 0.998877
1305031102.911185 -0.017161 0.039792 0.267521 -0.046179 -0.001824 -0.007864 0.998901
1305031102.943229 -0.024213 0.041384 0.276476 -0.046428 0.000659 -0.009468 0.998877
1305031102.975203 -0.030758 0.045474 0.286069 -0.046295 -0.003790 -0.010003 0.998871
1305031103.011215 -0.029900 0.048261 0.297406 -0.047570 -0.010483 -0.006907 0.998789
1305031103.043227 -0.031065 0.052096 0.308497 -0.048845 -0.016078 -0.004176 0.998668
1305031103.075319 -0.026312 0.050623 0.319271 -0.049992 -0.020658 -0.001566 0.998535
1305031103.111240 -0.027888 0.059851 0.327638 -0.046322 -0.019643 -0.000949 0.998733
1305031103.143318 -0.026000 0.060366 0.337452 -0.049030 -0.020592 0.001014 0.998584
1305031103.175452 -0.026501 0.067005 0.344768 -0.048208 -0.019022 0.001280 0.998655
1305031103.211220 -0.027757 0.073330 0.352467 -0.051942 -0.018702 0.002433 0.998472
1305031103.243216 -0.027275 0.076554 0.359869 -0.058696 -0.018803 0.006306 0.998079
1305031103.275370 -0.033755 0.078286 0.365106 -0.067670 -0.019168 0.010024 0.997473
1305031103.311210 -0.033139 0.072309 0.372178 -0.076328 -0.028937 0.010388 0.996609
1305031103.343223 -0.026431 0.074491 0.375609 -0.076347 -0.035557 0.010476 0.996392
1305031103.375327 -0.025324 0.074160 0.377462 -0.079586 -0.034485 0.012066 0.996158
1305031103.411260 -0.026953 0.068793 0.375746 -0.082720 -0.033242 0.013320 0.995929
1305031103.443280 -0.028441 0.067398 0.371248 -0.082306 -0.035069 0.012576 0.995911
1305031103.475274 -0.027449 0.062576 0.367618 -0.083097 -0.038205 0.011034 0.995748
1305031103.511333 -0.027371 0.057703 0.361738 -0.081270 -0.039683 0.008555 0.995865
1305031103.543444 -0.027338 0.051608 0.354441 -0.078267 -0.040878 0.006521 0.996073
1305031103.575474 -0.029029 0.048767 0.343149 -0.074023 -0.041445 0.006877 0.996371
1305031103.611223 -0.030036 0.043781 0.333288 -0.072336 -0.044201 0.008359 0.996365
1305031103.643445 -0.028721 0.038795 0.323099 -0.070133 -0.048733 0.008949 0.996306
1305031103.675523 -0.026235 0.034978 0.312493 -0.067589 -0.051881 0.009138 0.996322
1305031103.711610 -0.024421 0.031466 0.301100 -0.065187 -0.053170 0.008954 0.996415
1305031103.743326 -0.023252 0.024776 0.289630 -0.063626 -0.052935 0.007871 0.996538
1305031103.775342 -0.022806 0.023608 0.274376 -0.059642 -0.052235 0.004579 0.996842
1305031103.811242 -0.021707 0.022637 0.261211 -0.059282 -0.051381 0.001469 0.996917
1305031103.843251 -0.025220 0.022957 0.245397 -0.061439 -0.049745 -0.001177 0.996870
1305031103.875361 -0.025971 0.011359 0.235124 -0.069959 -0.052646 -0.004086 0.996151
1305031103.911221 -0.024660 0.002902 0.222047 -0.070305 -0.056887 -0.005529 0.995887
1305031103.943211 -0.022963 0.000275 0.207393 -0.068044 -0.059800 -0.006385 0.995868
1305031103.975373 -0.020521 -0.005962 0.194978 -0.066931 -0.062164 -0.007427 0.995791
1305031104.011232 -0.015655 -0.011310 0.184836 -0.063131 -0.063727 -0.008315 0.995934
1305031104.043249 -0.012603 -0.012863 0.168989 -0.055303 -0.060969 -0.010696 0.996549
1305031104.075425 -0.010023 -0.012440 0.154558 -0.050647 -0.056754 -0.013222 0.997015
1305031104.111235 -0.006690 -0.018970 0.143935 -0.048659 -0.051686 -0.014205 0.997376
1305031104.143230 -0.007441 -0.025208 0.128852 -0.044850 -0.045562 -0.015455 0.997835
1305031104.175424 -0.008298 -0.028457 0.113809 -0.040937 -0.041896 -0.016454 0.998147
1305031104.211283 -0.006844 -0.033715 0.101719 -0.037598 -0.039733 -0.016101 0.998373
1305031104.243196 -0.006079 -0.035846 0.088476 -0.032843 -0.037508 -0.016177 0.998625
1305031104.275546 -0.004697 -0.037604 0.076146 -0.028391 -0.035210 -0.016979 0.998832
1305031104.311219 -0.003599 -0.039057 0.064710 -0.024584 -0.032118 -0.017063 0.999036
1305031104.343342 -0.002255 -0.038961 0.053232 -0.021042 -0.028183 -0.017514 0.999228
1305031104.375837 -0.003018 -0.039901 0.042289 -0.019110 -0.023029 -0.017303 0.999402
1305031104.411509 -0.006261 -0.040983 0.030867 -0.017709 -0.018214 -0.016925 0.999534
1305031104.443288 -0.011673 -0.040852 0.018701 -0.016980 -0.015262 -0.016641 0.999601
1305031104.475456 -0.015616 -0.042035 0.009323 -0.017287 -0.015737 -0.015956 0.999599
1305031104.511329 -0.015949 -0.046279 0.001491 -0.017232 -0.018492 -0.014524 0.999575
1305031104.543368 -0.012704 -0.049413 -0.007913 -0.014517 -0.021339 -0.013412 0.999577
1305031104.575343 -0.007118 -0.053023 -0.014629 -0.010567 -0.022503 -0.012771 0.999609
1305031104.611336 0.000504 -0.061843 -0.020834 -0.002547 -0.019803 -0.011261 0.999737
1305031104.643243 0.002211 -0.058741 -0.032929 0.010471 -0.012414 -0.011497 0.999802
1305031104.675525 0.004001 -0.062941 -0.041755 0.021208 -0.004613 -0.010042 0.999714
1305031104.711277 0.005254 -0.065575 -0.052000 0.034283 0.002491 -0.007738 0.999379
1305031104.743280 0.007557 -0.063964 -0.062664 0.047587 0.009112 -0.006013 0.998807
1305031104.775327 0.008490 -0.062990 -0.071610 0.059914 0.016139 -0.004068 0.998065
