# timestamp tx ty tz qx qy qz qw
1305031102.175304 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031102.211214 -0.002046 0.007717 0.010433 -0.002120 -0.002971 -0.001681 0.999992
1305031102.243211 -0.002892 0.006817 0.023553 -0.008730 -0.005884 -0.001449 0.999944
1305031102.275326 -0.003360 0.007874 0.035987 -0.013472 -0.008680 -0.001148 0.999871
1305031102.311267 -0.003484 0.005433 0.049776 -0.018516 -0.010767 -0.000536 0.999770
1305031102.343233 -0.004190 0.007187 0.061279 -0.020132 -0.012541 0.001246 0.999718
1305031102.375329 -0.004225 0.008308 0.073342 -0.022083 -0.014548 0.001368 0.999649
1305031102.411258 -0.008599 0.011743 0.082149 -0.023217 -0.015874 -0.000066 0.999604
1305031102.443271 -0.010363 0.020018 0.092431 -0.026175 -0.018744 -0.000532 0.999481
1305031102.475318 -0.008913 0.019250 0.106937 -0.033647 -0.021371 -0.001460 0.999204
1305031102.511219 -0.008566 0.018686 0.119709 -0.038850 -0.020569 -0.003206 0.999028
1305031102.543220 -0.009587 0.018221 0.132541 -0.043609 -0.018958 -0.005255 0.998855
1305031102.575286 -0.004867 0.017596 0.152311 -0.045742 -0.020261 -0.004209 0.998739
1305031102.611233 -0.006676 0.015209 0.164266 -0.043668 -0.017028 -0.003197 0.998896
1305031102.643265 -0.012501 0.023051 0.171522 -0.039859 -0.014356 -0.002415 0.999099
1305031102.675285 -0.012499 0.026254 0.184743 -0.041069 -0.016006 -0.001464 0.999027
1305031102.711263 -0.012914 0.025975 0.198387 -0.042204 -0.016373 -0.000228 0.998975
1305031102.743234 -0.012031 0.034123 0.209870 -0.041356 -0.017008 0.001554 0.998999
1305031102.775472 -0.009226 0.033963 0.224453 -0.044107 -0.016040 0.000126 0.998898
1305031102.811232 -0.010691 0.038284 0.236323 -0.044493 -0.012581 -0.000886 0.998930
1305031102.843290 -0.009629 0.037934 0.250509 -0.046951 -0.009624 -0.001729 0.998849
1305031102.875363 -0.013223 0.040758 0.261379 -0.045932 -0.005641 -0.004303 0.998919
1305031102.911185 -0.014161 0.043870 0.273155 -0.045300 -0.004139 -0.005616 0.998949
1305031102.943229 -0.021259 0.045413 0.282082 -0.045552 -0.001655 -0.007218 0.998935
1305031102.975203 -0.027866 0.049456 0.291652 -0.045407 -0.006103 -0.007756 0.998920
1305031103.011215 -0.027072 0.052228 0.302998 -0.046673 -0.012802 -0.004669 0.998817
1305031103.043227 -0.028304 0.056037 0.314090 -0.047941 -0.018401 -0.001946 0.998679
1305031103.075319 -0.023592 0.054569 0.324882 -0.049083 -0.022987 0.000658 0.998530
1305031103.111240 -0.025249 0.063774 0.333258 -0.045417 -0.021964 0.001284 0.998726
1305031103.143318 -0.023406 0.064281 0.343081 -0.048127 -0.022920 0.003240 0.998573
1305031103.175452 -0.023971 0.070905 0.350406 -0.047309 -0.021348 0.003509 0.998646
1305031103.211220 -0.025291 0.077211 0.358111 -0.051047 -0.021038 0.004653 0.998464
1305031103.243216 -0.024857 0.080425 0.365520 -0.057809 -0.021157 0.008511 0.998067
1305031103.275370 -0.031368 0.082117 0.370731 -0.066791 -0.021545 0.012206 0.997460
1305031103.311210 -0.030755 0.076130 0.377796 -0.075428 -0.031334 0.012541 0.996580
1305031103.343223 -0.024073 0.078338 0.381260 -0.075432 -0.037953 0.012623 0.996348
1305031103.375327 -0.022972 0.078009 0.383118 -0.078676 -0.036890 0.014206 0.996116
1305031103.411260 -0.024569 0.072638 0.381385 -0.081816 -0.035654 0.015454 0.995890
1305031103.443280 -0.026030 0.071244 0.376878 -0.081396 -0.037479 0.014709 0.995868
1305031103.475274 -0.024999 0.066433 0.373244 -0.082176 -0.040616 0.013163 0.995703
1305031103.511333 -0.024873 0.061569 0.367356 -0.080340 -0.042088 0.010686 0.995821
1305031103.543444 -0.024778 0.055488 0.360049 -0.077331 -0.043274 0.008659 0.996028
1305031103.575474 -0.026406 0.052658 0.348745 -0.073085 -0.043832 0.009024 0.996321
1305031103.611223 -0.027345 0.047684 0.338871 -0.071396 -0.046585 0.010507 0.996304
1305031103.643445 -0.025962 0.042723 0.328679 -0.069183 -0.051112 0.011098 0.996232
1305031103.675523 -0.023411 0.038936 0.318078 -0.066632 -0.054255 0.011290 0.996237
1305031103.711610 -0.021531 0.035452 0.306687 -0.064226 -0.055539 0.011111 0.996327
1305031103.743326 -0.020278 0.028788 0.295211 -0.062663 -0.055299 0.010031 0.996451
1305031103.775342 -0.019760 0.027648 0.279958 -0.058674 -0.054587 0.006750 0.996761
1305031103.811242 -0.018598 0.026705 0.266796 -0.058309 -0.053730 0.003641 0.996845
1305031103.843251 -0.022043 0.027035 0.250967 -0.060463 -0.052097 0.000992 0.996809
1305031103.875361 -0.022694 0.015451 0.240671 -0.068971 -0.055014 -0.001940 0.996099
1305031103.911221 -0.021285 0.007024 0.227586 -0.069304 -0.059254 -0.003388 0.995829
1305031103.943211 -0.019510 0.004430 0.212934 -0.067035 -0.062160 -0.004242 0.995803
1305031103.975373 -0.016984 -0.001774 0.200520 -0.065914 -0.064521 -0.005283 0.995723
1305031104.011232 -0.012048 -0.007081 0.190390 -0.062107 -0.066075 -0.006164 0.995861
1305031104.043249 -0.008919 -0.008593 0.174554 -0.054280 -0.063297 -0.008524 0.996481
1305031104.075425 -0.006277 -0.008133 0.160136 -0.049628 -0.059070 -0.011035 0.996958
1305031104.111235 -0.002866 -0.014629 0.149516 -0.047650 -0.053997 -0.012008 0.997331
1305031104.143230 -0.003521 -0.020844 0.134420 -0.043852 -0.047864 -0.013244 0.997803
1305031104.175424 -0.004296 -0.024071 0.119367 -0.039945 -0.044189 -0.014229 0.998123
1305031104.211283 -0.002764 -0.029301 0.107275 -0.036612 -0.042019 -0.013867 0.998349
1305031104.243196 -0.001930 -0.031406 0.094032 -0.031862 -0.039783 -0.013930 0.998603
1305031104.275546 -0.000485 -0.033136 0.081706 -0.027413 -0.037475 -0.014719 0.998813
1305031104.311219 0.000671 -0.034564 0.070272 -0.023613 -0.034374 -0.014792 0.999021
1305031104.343342 0.002065 -0.034442 0.058801 -0.020079 -0.030431 -0.015231 0.999219
1305031104.375837 0.001355 -0.035366 0.047852 -0.018160 -0.025273 -0.015012 0.999403
1305031104.411509 -0.001833 -0.036444 0.036415 -0.016771 -0.020455 -0.014626 0.999543
1305031104.443288 -0.007190 -0.036318 0.024225 -0.016049 -0.017502 -0.014338 0.999615
1305031104.475456 -0.011086 -0.037504 0.014827 -0.016357 -0.017979 -0.013654 0.999611
1305031104.511329 -0.011364 -0.041736 0.006986 -0.016298 -0.020735 -0.012224 0.999577
1305031104.543368 -0.008062 -0.044839 -0.002409 -0.013579 -0.023577 -0.011108 0.999568
1305031104.575343 -0.002430 -0.048410 -0.009105 -0.009629 -0.024731 -0.010459 0.999593
1305031104.611336 0.005261 -0.057184 -0.015292 -0.001618 -0.022014 -0.008929 0.999716
1305031104.643243 0.007008 -0.054053 -0.027374 0.011383 -0.014595 -0.009130 0.999787
1305031104.675525 0.008856 -0.058229 -0.036199 0.022099 -0.006770 -0.007645 0.999704
1305031104.711277 0.010166 -0.060840 -0.046442 0.035151 0.000363 -0.005306 0.999368
1305031104.743280 0.012509 -0.059200 -0.057094 0.048436 0.007015 -0.003547 0.998795
1305031104.775327 0.013477 -0.058206 -0.066033 0.060741 0.014072 -0.001571 0.998053
