# timestamp tx ty tz qx qy qz qw
1311868164.363181 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1311868164.399026 -0.001135 0.001856 -0.002124 -0.001731 -0.000795 -0.001334 0.999997
1311868164.430940 0.000318 0.003229 -0.004822 -0.003862 -0.003531 -0.002813 0.999982
1311868164.463055 0.004790 0.004710 -0.008061 -0.005981 -0.005024 -0.005387 0.999955
1311868164.499130 0.008406 0.004420 -0.010194 -0.008065 -0.003758 -0.008273 0.999926
1311868164.531025 0.011381 0.003911 -0.012631 -0.008737 -0.000925 -0.010391 0.999907
1311868164.563004 0.012546 0.003366 -0.015282 -0.008491 0.001689 -0.011975 0.999891
1311868164.599061 0.014965 0.002303 -0.018345 -0.007496 0.002576 -0.013798 0.999873
1311868164.631140 0.018241 0.002597 -0.021807 -0.005561 0.003182 -0.014758 0.999871
1311868164.663105 0.020489 0.004990 -0.025004 -0.003921 0.002530 -0.015262 0.999873
1311868164.698987 0.025377 0.005600 -0.028813 -0.003898 0.000205 -0.014995 0.999880
1311868164.731046 0.031250 0.001724 -0.030628 -0.004706 -0.002012 -0.014018 0.999889
1311868164.763098 0.038228 0.000785 -0.033611 -0.002610 -0.004274 -0.013362 0.999898
1311868164.799138 0.045465 -0.002049 -0.036133 -0.000938 -0.005505 -0.013444 0.999894
1311868164.831006 0.053180 -0.002950 -0.037733 0.002936 -0.006052 -0.013936 0.999880
1311868164.863058 0.062043 -0.002806 -0.039993 0.006191 -0.005688 -0.014955 0.999853
1311868164.899132 0.070039 -0.003664 -0.041563 0.009543 -0.004557 -0.015509 0.999824
1311868164.930933 0.077097 0.001033 -0.044459 0.013534 -0.003751 -0.017317 0.999751
1311868164.963119 0.084280 0.007255 -0.046714 0.014695 -0.003902 -0.019613 0.999692
1311868164.999037 0.091559 0.005981 -0.046266 0.012360 -0.006168 -0.019948 0.999706
1311868165.031122 0.101464 0.004518 -0.047744 0.011922 -0.010461 -0.019321 0.999688
1311868165.063108 0.112827 0.005360 -0.050506 0.011978 -0.015261 -0.020781 0.999596
1311868165.099162 0.126285 0.003694 -0.052138 0.011115 -0.019758 -0.023790 0.999460
1311868165.131014 0.137644 0.001176 -0.054531 0.012545 -0.022858 -0.025554 0.999333
1311868165.163146 0.150210 0.004412 -0.057331 0.015562 -0.026074 -0.028188 0.999141
