# timestamp tx ty tz qx qy qz qw
1341845820.887882 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845820.920082 -0.001945 0.003640 -0.001402 -0.000428 0.000015 -0.000702 1.000000
1341845820.955790 -0.002025 0.002278 -0.001765 -0.001913 -0.000937 -0.000864 0.999997
1341845820.987817 -0.000796 0.001050 -0.001677 -0.002799 -0.001320 -0.001032 0.999995
1341845821.019783 -0.001898 0.000111 -0.001383 -0.002949 -0.001405 -0.001242 0.999994
1341845821.055706 -0.003446 0.000003 -0.001588 -0.002314 -0.001711 0.000044 0.999996
1341845821.087831 -0.002375 -0.001952 -0.001120 -0.001525 -0.003389 0.002695 0.999989
1341845821.119871 0.005097 -0.000850 -0.001043 0.000589 -0.003229 0.004892 0.999983
1341845821.155881 0.003727 0.002154 -0.001686 0.000807 -0.000076 0.005752 0.999983
1341845821.188556 0.001457 -0.001502 0.000557 0.000372 0.001977 0.007829 0.999967
1341845821.223751 0.002971 -0.004971 0.000777 0.003141 0.002167 0.010036 0.999942
1341845821.256005 0.006389 0.002456 -0.004059 0.004645 0.003266 0.009538 0.999938
1341845821.287883 0.007351 -0.000067 -0.001958 0.002600 0.005722 0.008215 0.999946
1341845821.323879 0.010037 -0.003743 -0.001530 0.002507 0.007593 0.006897 0.999944
1341845821.355690 0.007404 -0.001024 -0.001026 0.003580 0.010185 0.007021 0.999917
1341845821.388161 0.006384 -0.003245 -0.000804 0.003363 0.010834 0.008694 0.999898
1341845821.424470 0.012686 -0.006037 -0.000823 0.004835 0.011450 0.009441 0.999878
1341845821.455778 0.009114 -0.001724 -0.000975 0.005555 0.014447 0.008333 0.999845
1341845821.488014 0.006420 -0.005410 0.000948 0.005014 0.015674 0.008507 0.999828
1341845821.524370 0.009425 -0.007987 0.001025 0.006584 0.016018 0.009310 0.999807
1341845821.555644 0.006782 -0.005932 0.000536 0.008397 0.017691 0.008830 0.999769
1341845821.587677 0.003092 -0.002853 -0.001405 0.008652 0.017845 0.007915 0.999772
1341845821.623761 0.004509 -0.004927 -0.001447 0.007906 0.016918 0.007225 0.999800
1341845821.655725 0.005741 -0.003486 -0.002788 0.007948 0.016756 0.006160 0.999809
1341845821.691884 0.003994 -0.003052 -0.003326 0.006920 0.016955 0.005192 0.999819
1341845821.724228 0.002134 -0.006976 -0.002187 0.006458 0.016297 0.005464 0.999831
1341845821.755681 0.001618 -0.006383 -0.002014 0.007441 0.015195 0.006415 0.999836
1341845821.791636 0.003801 -0.007918 -0.001010 0.008248 0.014363 0.006769 0.999840
1341845821.823697 0.004422 -0.004981 -0.002680 0.009172 0.014941 0.005349 0.999832
1341845821.855574 0.002264 -0.005898 -0.002381 0.008098 0.015966 0.003705 0.999833
1341845821.891741 0.000913 -0.010147 -0.001567 0.008230 0.015812 0.003616 0.999835
1341845821.923730 0.003179 -0.009453 -0.002180 0.009861 0.015583 0.004371 0.999820
1341845821.955750 0.001392 -0.007252 -0.003722 0.010769 0.016171 0.004265 0.999802
1341845821.991786 0.001942 -0.006373 -0.003407 0.010257 0.016472 0.003508 0.999806
1341845822.023863 -0.001721 -0.009406 -0.002027 0.009897 0.017386 0.003179 0.999795
1341845822.059759 -0.003639 -0.006624 -0.002466 0.010131 0.017505 0.003221 0.999790
1341845822.091719 -0.002616 -0.012480 -0.001056 0.009471 0.017566 0.003334 0.999795
1341845822.123689 -0.002969 -0.012462 -0.001800 0.011328 0.018502 0.002978 0.999760
1341845822.185916 -0.013599 -0.012893 -0.002024 0.010407 0.019388 0.003506 0.999752
1341845822.221838 -0.014225 -0.012726 -0.002362 0.012170 0.017660 0.004500 0.999760
1341845822.254004 -0.017028 -0.007656 -0.004020 0.012222 0.017174 0.004242 0.999769
1341845822.289876 -0.019302 -0.012939 -0.000834 0.010857 0.016519 0.003252 0.999799
1341845822.321804 -0.021727 -0.013889 -0.000263 0.011741 0.016271 0.002202 0.999796
1341845822.353784 -0.025035 -0.013957 -0.000311 0.012465 0.016508 0.001779 0.999784
1341845822.391662 -0.028186 -0.015314 0.001108 0.013164 0.017011 0.001696 0.999767
1341845822.428074 -0.034195 -0.012938 0.000417 0.013922 0.017263 0.001681 0.999753
1341845822.459970 -0.038191 -0.012923 0.000624 0.013237 0.016787 0.001610 0.999770
1341845822.495728 -0.042223 -0.015663 0.002299 0.013040 0.016466 0.001761 0.999778
1341845822.527724 -0.047337 -0.013369 0.001336 0.013368 0.016163 0.001690 0.999779
1341845822.559648 -0.051368 -0.012728 0.001699 0.012392 0.015427 0.002815 0.999800
1341845822.595852 -0.052120 -0.015302 0.003425 0.011950 0.014977 0.003077 0.999812
1341845822.627724 -0.059471 -0.011772 0.003506 0.011562 0.016029 0.002920 0.999800
1341845822.663716 -0.067833 -0.019061 0.007702 0.010800 0.015319 0.006102 0.999806
1341845822.695601 -0.068361 -0.023668 0.007193 0.014646 0.012365 0.009914 0.999767
1341845822.731816 -0.070256 -0.019169 0.006265 0.017149 0.012038 0.010777 0.999722
1341845822.789911 -0.076561 -0.018733 0.005839 0.018157 0.012939 0.010480 0.999696
1341845822.825897 -0.083419 -0.019304 0.006118 0.017400 0.014461 0.010719 0.999687
1341845822.859721 -0.089725 -0.025077 0.007216 0.017824 0.014070 0.012680 0.999662
1341845822.889712 -0.094772 -0.025795 0.006543 0.020005 0.012707 0.013965 0.999622
1341845822.925900 -0.094354 -0.023996 0.006546 0.021047 0.011459 0.013345 0.999624
1341845822.957708 -0.095104 -0.025325 0.007580 0.021205 0.011944 0.011693 0.999635
1341845822.989939 -0.100844 -0.027688 0.007981 0.022148 0.012733 0.011183 0.999611
1341845823.025889 -0.102080 -0.028219 0.007989 0.024249 0.012302 0.011631 0.999563
1341845823.057775 -0.100153 -0.028084 0.008086 0.025561 0.013542 0.011550 0.999515
1341845823.093671 -0.106221 -0.027723 0.008001 0.026957 0.016350 0.011397 0.999438
1341845823.125951 -0.110538 -0.026673 0.007521 0.027842 0.017484 0.012474 0.999382
1341845823.157773 -0.112596 -0.028075 0.008840 0.028456 0.018682 0.012455 0.999343
1341845823.193885 -0.121859 -0.023377 0.006628 0.029236 0.019689 0.011800 0.999309
1341845823.225800 -0.127425 -0.024218 0.006020 0.027278 0.018502 0.011503 0.999390
1341845823.261842 -0.128284 -0.025155 0.006709 0.027044 0.017141 0.010947 0.999427
1341845823.293622 -0.129507 -0.019583 0.005116 0.026097 0.017145 0.009914 0.999463
1341845823.325746 -0.127893 -0.023099 0.006756 0.022184 0.018974 0.010098 0.999523
1341845823.361852 -0.131994 -0.029473 0.009355 0.022330 0.022696 0.011364 0.999428
1341845823.394013 -0.137806 -0.028823 0.008380 0.024848 0.025730 0.014393 0.999256
1341845823.426028 -0.147331 -0.029756 0.007458 0.026120 0.027731 0.017396 0.999123
1341845823.461869 -0.151257 -0.031128 0.006895 0.026768 0.027012 0.018570 0.999104
1341845823.493758 -0.150513 -0.031337 0.006625 0.027046 0.027638 0.018631 0.999078
1341845823.529780 -0.159537 -0.033206 0.006804 0.026987 0.030121 0.018973 0.999002
1341845823.561916 -0.170398 -0.035593 0.004345 0.027096 0.029653 0.019482 0.999003
1341845823.593678 -0.172839 -0.036079 0.003914 0.027471 0.026579 0.021337 0.999041
1341845823.629815 -0.169245 -0.036564 0.003168 0.027102 0.026002 0.021788 0.999057
1341845823.661750 -0.179596 -0.038800 0.006663 0.026363 0.027831 0.020929 0.999046
1341845823.695523 -0.190415 -0.048067 0.010612 0.027377 0.026411 0.022418 0.999025
1341845823.729635 -0.192798 -0.048851 0.010071 0.031242 0.023438 0.023939 0.998950
1341845823.761810 -0.197313 -0.047270 0.006114 0.033859 0.021659 0.024910 0.998881
1341845823.797871 -0.207985 -0.047309 0.001543 0.033980 0.019556 0.023824 0.998947
1341845823.829660 -0.210197 -0.050869 0.003948 0.033164 0.015901 0.021749 0.999087
1341845823.861808 -0.219437 -0.053833 0.004960 0.033803 0.013309 0.019709 0.999145
1341845823.929826 -0.225266 -0.054933 0.002851 0.033881 0.006210 0.016318 0.999273
1341845823.961797 -0.229464 -0.052866 -0.000233 0.032740 0.005374 0.012799 0.999367
1341845823.998070 -0.235077 -0.059348 0.002077 0.031154 0.005313 0.011080 0.999439
1341845824.029656 -0.238642 -0.057152 0.002525 0.032294 0.005206 0.012570 0.999386
1341845824.065768 -0.238303 -0.057030 0.002265 0.032232 0.006602 0.014797 0.999349
1341845824.097956 -0.226080 -0.050737 0.000734 0.031005 0.011108 0.014528 0.999352
1341845824.130299 -0.232447 -0.050557 -0.002488 0.025750 0.027883 0.013599 0.999187
1341845824.165751 -0.257074 -0.052092 -0.004815 0.020476 0.040902 0.014043 0.998855
1341845824.197930 -0.265502 -0.066537 -0.000849 0.017835 0.043963 0.014517 0.998768
1341845824.229907 -0.273599 -0.069365 -0.004256 0.022161 0.044575 0.015005 0.998647
1341845824.265800 -0.291873 -0.069874 -0.012783 0.024550 0.042493 0.015910 0.998668
1341845824.298080 -0.291163 -0.071134 -0.011783 0.025618 0.034118 0.016022 0.998961
1341845824.333783 -0.287769 -0.076830 -0.004509 0.027746 0.029969 0.015688 0.999043
1341845824.365821 -0.291728 -0.071436 -0.008063 0.030525 0.031149 0.014857 0.998938
1341845824.398039 -0.304193 -0.071516 -0.010168 0.029712 0.031281 0.013388 0.998979
1341845824.433843 -0.314009 -0.074682 -0.007325 0.029356 0.028374 0.014051 0.999067
1341845824.465921 -0.312700 -0.075050 -0.009375 0.031024 0.023741 0.019047 0.999055
1341845824.501802 -0.317538 -0.069654 -0.012052 0.031282 0.021869 0.023991 0.998983
1341845824.533723 -0.324062 -0.070511 -0.013279 0.029218 0.019658 0.028058 0.998986
1341845824.565735 -0.329844 -0.072896 -0.011226 0.027052 0.017081 0.031135 0.999003
1341845824.601758 -0.333531 -0.074291 -0.009852 0.026718 0.015006 0.034820 0.998924
1341845824.633861 -0.339974 -0.072691 -0.009488 0.026284 0.013328 0.038726 0.998815
1341845824.665789 -0.347982 -0.074501 -0.005397 0.025843 0.011713 0.041928 0.998718
1341845824.701769 -0.356112 -0.075986 -0.003201 0.026378 0.009286 0.043917 0.998644
1341845824.733585 -0.357116 -0.074901 -0.005818 0.027927 0.006502 0.045645 0.998546
1341845824.769643 -0.365092 -0.064280 -0.014148 0.027290 0.005715 0.046205 0.998543
1341845824.801632 -0.370007 -0.071493 -0.007602 0.023005 0.002105 0.046780 0.998638
1341845824.833654 -0.370869 -0.084883 -0.010767 0.023648 -0.000399 0.046088 0.998657
1341845824.869926 -0.375975 -0.079033 -0.014146 0.027971 -0.000121 0.047326 0.998488
1341845824.902071 -0.383730 -0.073512 -0.017595 0.027621 -0.000679 0.046739 0.998525
1341845824.933752 -0.384208 -0.081531 -0.015725 0.027123 -0.001241 0.044032 0.998661
1341845824.969855 -0.386269 -0.075464 -0.020348 0.028138 0.000310 0.042520 0.998699
1341845825.001907 -0.390032 -0.076608 -0.020049 0.026386 0.003414 0.042275 0.998752
1341845825.037975 -0.399591 -0.081828 -0.015872 0.025435 0.007027 0.040883 0.998815
1341845825.075793 -0.407784 -0.090446 -0.014897 0.027693 0.006393 0.042914 0.998674
1341845825.107881 -0.406221 -0.091282 -0.013972 0.033222 0.005751 0.045249 0.998407
1341845825.143675 -0.409078 -0.087048 -0.020035 0.036371 0.007828 0.042959 0.998384
1341845825.175707 -0.416071 -0.090547 -0.018924 0.036492 0.009589 0.039763 0.998497
1341845825.211865 -0.419967 -0.088847 -0.020552 0.038114 0.009957 0.039802 0.998431
1341845825.243814 -0.419710 -0.096657 -0.018211 0.039446 0.011347 0.041408 0.998299
1341845825.275795 -0.430975 -0.091454 -0.022016 0.042485 0.013631 0.041051 0.998160
1341845825.311665 -0.440490 -0.092344 -0.021390 0.042910 0.012638 0.042006 0.998115
1341845825.343650 -0.440865 -0.085920 -0.026982 0.043454 0.010552 0.043409 0.998056
