# timestamp tx ty tz qx qy qz qw
1341839113.793718 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341839113.861553 -0.002909 0.007753 -0.002725 0.002071 -0.001333 -0.002555 0.999994
1341839113.894400 -0.003965 0.004000 -0.002563 -0.000299 -0.000162 -0.001486 0.999999
1341839113.925550 -0.003674 0.001510 0.000697 -0.001293 -0.000517 0.000772 0.999999
1341839113.961614 -0.003251 0.005630 -0.002184 -0.000693 -0.001097 -0.000159 0.999999
1341839113.993616 -0.003925 0.003088 0.001768 -0.001936 -0.001527 -0.002221 0.999994
1341839114.025642 -0.004834 0.001477 0.000108 -0.001843 -0.002417 -0.002101 0.999993
1341839114.061534 -0.007379 0.009768 -0.003034 -0.001142 -0.001928 -0.002777 0.999994
1341839114.093617 -0.006862 0.006775 -0.002302 -0.005079 -0.001822 -0.001669 0.999984
1341839114.129556 -0.005652 0.002494 0.003768 -0.007070 -0.003375 -0.001604 0.999968
1341839114.161678 -0.006927 0.007040 0.001546 -0.005261 -0.003927 -0.004537 0.999968
1341839114.229673 -0.010492 0.004316 0.003941 -0.008424 -0.004856 -0.006243 0.999933
1341839114.261690 -0.012895 0.012206 0.000313 -0.005823 -0.003289 -0.005685 0.999961
1341839114.293564 -0.014506 0.007771 -0.002019 -0.008759 -0.002254 -0.004686 0.999948
1341839114.329671 -0.015752 0.003726 0.001378 -0.010529 -0.004021 -0.004582 0.999926
1341839114.361622 -0.017411 0.008699 0.001889 -0.008757 -0.005207 -0.006282 0.999928
1341839114.397666 -0.021100 0.012626 -0.002900 -0.008118 -0.004273 -0.006992 0.999933
1341839114.429583 -0.024768 0.012013 -0.003480 -0.010390 -0.003505 -0.005488 0.999925
1341839114.461610 -0.025757 0.012513 -0.002174 -0.011565 -0.003595 -0.002868 0.999923
1341839114.497561 -0.025554 0.015690 -0.001343 -0.011508 -0.003550 -0.002759 0.999924
1341839114.529492 -0.027603 0.015062 -0.000869 -0.011799 -0.003415 -0.003843 0.999917
1341839114.565482 -0.029718 0.016464 -0.004373 -0.012105 -0.003863 -0.004246 0.999910
1341839114.597648 -0.033048 0.021217 -0.005535 -0.012736 -0.002483 -0.004178 0.999907
1341839114.629596 -0.032464 0.019814 -0.002602 -0.013972 -0.001481 -0.003370 0.999896
1341839114.665607 -0.033432 0.020557 -0.005928 -0.014379 -0.001236 -0.004105 0.999887
1341839114.697721 -0.034993 0.021165 -0.004410 -0.014637 -0.001036 -0.006752 0.999870
1341839114.730054 -0.038996 0.021829 -0.007777 -0.013875 0.001013 -0.007105 0.999878
1341839114.765560 -0.042385 0.023004 -0.013803 -0.015194 0.002238 -0.005517 0.999867
1341839114.797510 -0.043856 0.022025 -0.010090 -0.015943 0.003237 -0.005208 0.999854
1341839114.833570 -0.048514 0.023919 -0.016133 -0.014647 0.004936 -0.004415 0.999871
1341839114.865530 -0.052996 0.025153 -0.020667 -0.015576 0.005503 -0.004394 0.999854
1341839114.897742 -0.056141 0.025447 -0.021074 -0.015808 0.006388 -0.004174 0.999846
1341839114.933721 -0.061056 0.027113 -0.024250 -0.014797 0.007889 -0.003665 0.999853
1341839114.965565 -0.067033 0.028626 -0.032222 -0.014769 0.008850 -0.001915 0.999850
1341839114.997678 -0.071465 0.034606 -0.035800 -0.014792 0.008992 -0.002019 0.999848
1341839115.033675 -0.075348 0.037118 -0.035459 -0.014420 0.011954 -0.001976 0.999823
1341839115.065634 -0.083644 0.034786 -0.043418 -0.015279 0.015673 0.002776 0.999757
1341839115.101577 -0.084417 0.037937 -0.047224 -0.015615 0.014191 0.004731 0.999766
1341839115.133455 -0.088781 0.044942 -0.047646 -0.014058 0.014732 0.001575 0.999791
1341839115.165699 -0.095327 0.041930 -0.051716 -0.013864 0.016898 0.001413 0.999760
1341839115.201542 -0.104044 0.047325 -0.062958 -0.013931 0.017922 0.004033 0.999734
1341839115.233600 -0.108085 0.053620 -0.064790 -0.016008 0.017566 0.004183 0.999709
1341839115.265499 -0.111865 0.052807 -0.065142 -0.016581 0.018414 0.003553 0.999687
1341839115.301699 -0.118344 0.056059 -0.073197 -0.016671 0.018709 0.003040 0.999681
1341839115.333616 -0.122855 0.060358 -0.077208 -0.019469 0.017596 0.001650 0.999654
1341839115.369483 -0.128541 0.062939 -0.075560 -0.020456 0.018570 0.000782 0.999618
1341839115.401613 -0.134479 0.063840 -0.080515 -0.019898 0.020282 0.001580 0.999595
1341839115.469819 -0.143061 0.066584 -0.082690 -0.024618 0.021480 0.002179 0.999464
1341839115.533671 -0.155414 0.074927 -0.091509 -0.023331 0.024594 0.006663 0.999403
1341839115.569633 -0.156117 0.069078 -0.087797 -0.026808 0.023915 0.004632 0.999344
1341839115.601623 -0.160840 0.063758 -0.088065 -0.026145 0.025596 0.003529 0.999324
1341839115.637954 -0.171534 0.071290 -0.095490 -0.023171 0.028845 0.005745 0.999299
1341839115.669467 -0.177899 0.082423 -0.099305 -0.023290 0.030122 0.008027 0.999243
1341839115.701635 -0.177659 0.069238 -0.093515 -0.027360 0.030326 0.007839 0.999135
1341839115.737552 -0.183878 0.065689 -0.090615 -0.024243 0.032101 0.008140 0.999157
1341839115.769579 -0.196855 0.085322 -0.098585 -0.019587 0.034348 0.007067 0.999193
1341839115.805533 -0.199946 0.079210 -0.094218 -0.023478 0.035021 0.006842 0.999087
1341839115.837641 -0.204870 0.073683 -0.089654 -0.023092 0.036856 0.009852 0.999005
1341839115.869594 -0.217660 0.085568 -0.095498 -0.020778 0.039861 0.011479 0.998923
1341839115.905464 -0.223836 0.082805 -0.093795 -0.023909 0.041221 0.012798 0.998782
1341839115.937926 -0.225656 0.073793 -0.086213 -0.024304 0.042603 0.015847 0.998671
1341839115.976772 -0.239268 0.088139 -0.093669 -0.018901 0.047199 0.018105 0.998543
1341839116.037844 -0.253621 0.076549 -0.093073 -0.024888 0.051216 0.024564 0.998075
1341839116.073614 -0.258940 0.073518 -0.089802 -0.023026 0.052357 0.024968 0.998051
1341839116.105551 -0.272192 0.083708 -0.095789 -0.018984 0.055459 0.024873 0.997971
1341839116.137629 -0.283807 0.082849 -0.098074 -0.020357 0.057621 0.026183 0.997787
1341839116.173741 -0.286297 0.076138 -0.092662 -0.021329 0.058024 0.027098 0.997719
1341839116.205705 -0.297024 0.082062 -0.095033 -0.017855 0.061521 0.026870 0.997584
1341839116.237744 -0.311337 0.082814 -0.099405 -0.017912 0.065301 0.028560 0.997296
1341839116.273644 -0.318208 0.084047 -0.100120 -0.018153 0.066705 0.030727 0.997134
1341839116.305590 -0.323877 0.088537 -0.100299 -0.018001 0.069339 0.030845 0.996954
1341839116.341693 -0.334728 0.083429 -0.098874 -0.019061 0.073609 0.033079 0.996556
1341839116.374159 -0.346267 0.082814 -0.103785 -0.018998 0.076100 0.037873 0.996200
1341839116.405626 -0.350959 0.084558 -0.102221 -0.019087 0.076747 0.040558 0.996042
1341839116.441448 -0.358838 0.083498 -0.100611 -0.018523 0.078912 0.042523 0.995802
1341839116.473792 -0.366182 0.081726 -0.103242 -0.018101 0.079166 0.044654 0.995696
1341839116.505559 -0.373225 0.088143 -0.104730 -0.016314 0.079494 0.043931 0.995733
1341839116.541530 -0.384409 0.090738 -0.109597 -0.016513 0.082101 0.045740 0.995437
1341839116.573449 -0.385973 0.085794 -0.108075 -0.019367 0.081103 0.047118 0.995403
1341839116.609629 -0.387469 0.086474 -0.105480 -0.018568 0.080311 0.043794 0.995634
1341839116.642092 -0.397898 0.088230 -0.110297 -0.017283 0.082646 0.041355 0.995571
1341839116.673494 -0.407478 0.087999 -0.115783 -0.018496 0.083654 0.042941 0.995397
1341839116.709491 -0.405937 0.088782 -0.112925 -0.020001 0.081803 0.041110 0.995599
1341839116.741798 -0.409451 0.085731 -0.111334 -0.020134 0.083265 0.036562 0.995653
1341839116.777780 -0.418815 0.083823 -0.115201 -0.019914 0.084681 0.035293 0.995584
1341839116.809493 -0.426309 0.089418 -0.120338 -0.020194 0.084088 0.034335 0.995662
1341839116.841577 -0.424706 0.083381 -0.113837 -0.022515 0.083509 0.032502 0.995722
1341839116.877541 -0.430246 0.078273 -0.113893 -0.020743 0.085167 0.031373 0.995657
1341839116.909607 -0.444764 0.091220 -0.123712 -0.017388 0.087824 0.031429 0.995488
1341839116.941574 -0.449968 0.091796 -0.126684 -0.020743 0.088689 0.031498 0.995345
1341839116.977669 -0.448869 0.076385 -0.121699 -0.024532 0.088537 0.031271 0.995280
1341839117.009692 -0.458290 0.086830 -0.126738 -0.020099 0.089577 0.028822 0.995360
1341839117.045446 -0.469746 0.103754 -0.132879 -0.018684 0.091521 0.025765 0.995294
1341839117.077581 -0.473962 0.092775 -0.129278 -0.023409 0.092967 0.026350 0.995045
1341839117.109633 -0.479903 0.091715 -0.130949 -0.022905 0.094879 0.027558 0.994844
1341839117.145451 -0.487526 0.095630 -0.134521 -0.021896 0.097144 0.026457 0.994678
1341839117.177591 -0.500621 0.094502 -0.137594 -0.022669 0.099917 0.026496 0.994385
1341839117.209585 -0.505056 0.089397 -0.135895 -0.023498 0.099696 0.027637 0.994356
1341839117.245753 -0.515090 0.097327 -0.139448 -0.019955 0.102499 0.027446 0.994154
1341839117.278976 -0.531078 0.096764 -0.145755 -0.020340 0.106624 0.029272 0.993660
1341839117.313580 -0.539567 0.092063 -0.147087 -0.021250 0.107073 0.032794 0.993483
1341839117.345623 -0.551941 0.101556 -0.153380 -0.019003 0.109066 0.034032 0.993270
1341839117.377641 -0.564916 0.103828 -0.158796 -0.020715 0.110732 0.034258 0.993044
1341839117.413568 -0.574160 0.100340 -0.159671 -0.022846 0.110824 0.033892 0.992999
