# timestamp tx ty tz qx qy qz qw
1341846313.654184 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686156 0.009160 0.001215 0.004049 0.001242 -0.002681 0.000038 0.999996
1341846313.721918 0.014159 0.003246 0.003322 0.001233 -0.003649 0.000821 0.999992
1341846313.753994 0.024850 0.000989 0.002306 0.000405 -0.004882 0.002664 0.999984
1341846313.789969 0.031916 0.000169 0.002352 0.001432 -0.005626 0.001130 0.999983
1341846313.822075 0.028602 0.002368 -0.000342 0.001689 -0.003043 0.000397 0.999994
1341846313.853928 0.023962 0.002477 0.003575 0.001090 0.000978 -0.000434 0.999999
1341846313.890011 0.020917 0.002350 0.001643 0.000914 0.003681 -0.000876 0.999992
1341846313.922055 0.000214 0.005361 0.002832 -0.001014 0.008673 0.000757 0.999962
1341846313.957927 -0.004243 0.004301 0.011421 -0.003041 0.014439 0.002345 0.999888
1341846313.990058 -0.015081 0.004499 0.010722 -0.004067 0.022219 0.002794 0.999741
1341846314.022042 -0.026758 0.008406 0.014354 -0.005782 0.026146 0.002939 0.999637
1341846314.057816 -0.029366 0.010787 0.028711 -0.008554 0.029672 0.004431 0.999513
1341846314.089801 -0.035780 0.009792 0.037675 -0.007543 0.036161 0.004334 0.999308
1341846314.122037 -0.049084 0.018231 0.035263 -0.007428 0.041995 0.006028 0.999072
1341846314.157989 -0.049507 0.017285 0.048132 -0.009586 0.045893 0.007312 0.998874
1341846314.190094 -0.060541 0.019194 0.046845 -0.008972 0.051895 0.007856 0.998581
1341846314.225969 -0.082408 0.023785 0.037612 -0.010837 0.058217 0.010379 0.998191
1341846314.257923 -0.079073 0.024356 0.049224 -0.012231 0.060487 0.010792 0.998036
1341846314.290052 -0.083747 0.030873 0.049464 -0.009736 0.062884 0.008481 0.997937
1341846314.325981 -0.104708 0.036348 0.042465 -0.010047 0.068490 0.007352 0.997574
1341846314.357905 -0.097928 0.036473 0.056578 -0.010678 0.071491 0.007103 0.997359
1341846314.389899 -0.098464 0.038209 0.060517 -0.008750 0.074770 0.006333 0.997142
1341846314.427905 -0.100400 0.043655 0.055366 -0.008329 0.077295 0.004745 0.996962
1341846314.493987 -0.090382 0.041847 0.067846 -0.007080 0.086892 -0.002849 0.996189
1341846314.526085 -0.095646 0.044578 0.059185 -0.006707 0.090073 -0.004555 0.995902
1341846314.558292 -0.102632 0.043396 0.060568 -0.008141 0.095675 -0.002966 0.995375
1341846314.594085 -0.097528 0.040618 0.064668 -0.006810 0.100529 -0.002424 0.994908
1341846314.626096 -0.111422 0.043993 0.044433 -0.006045 0.105943 -0.001735 0.994352
1341846314.658455 -0.108264 0.044997 0.043686 -0.008021 0.108049 -0.002219 0.994111
1341846314.694004 -0.094185 0.039634 0.052934 -0.007970 0.110931 -0.001709 0.993795
1341846314.725910 -0.097837 0.036781 0.050588 -0.003475 0.114306 0.003263 0.993434
1341846314.761942 -0.098343 0.039475 0.044813 0.000577 0.114873 0.007085 0.993355
1341846314.794030 -0.089090 0.043165 0.039811 0.004263 0.116289 0.008625 0.993169
1341846314.826092 -0.095137 0.044872 0.025207 0.006440 0.121189 0.008890 0.992569
1341846314.862145 -0.096623 0.045913 0.016817 0.006591 0.125385 0.009916 0.992037
1341846314.894072 -0.086725 0.045331 0.017961 0.006347 0.128658 0.011547 0.991602
1341846314.925969 -0.092645 0.045050 0.007562 0.006502 0.132138 0.014518 0.991104
1341846314.961937 -0.104589 0.047799 -0.006325 0.003854 0.134764 0.018990 0.990688
1341846314.994564 -0.096859 0.046611 -0.005691 0.000343 0.135084 0.019465 0.990643
1341846315.029900 -0.089472 0.043520 -0.007195 -0.000228 0.138433 0.017546 0.990216
1341846315.061965 -0.099589 0.044129 -0.015301 -0.000304 0.141995 0.019467 0.989676
1341846315.094388 -0.089721 0.043074 -0.007231 -0.000231 0.140316 0.021064 0.989883
1341846315.129851 -0.081431 0.046087 -0.008908 0.002144 0.139999 0.019808 0.989951
1341846315.161941 -0.086374 0.064268 -0.012878 0.002311 0.140912 0.022071 0.989773
1341846315.197984 -0.085070 0.083412 -0.011794 -0.000681 0.139151 0.018625 0.990096
1341846315.230076 -0.081305 0.084834 -0.011686 -0.003674 0.138300 0.015521 0.990262
1341846315.262069 -0.084610 0.084805 -0.017395 -0.006398 0.136369 0.017280 0.990487
1341846315.298000 -0.073124 0.082408 -0.012693 -0.008157 0.131644 0.021152 0.991038
1341846315.329931 -0.067392 0.095151 -0.008121 -0.001900 0.130323 0.021364 0.991240
1341846315.361981 -0.067384 0.098272 -0.009668 0.003721 0.130148 0.022865 0.991224
1341846315.397962 -0.066075 0.109933 -0.009676 0.008180 0.130739 0.025051 0.991067
1341846315.429923 -0.062951 0.113428 -0.009658 0.011255 0.132466 0.026156 0.990778
1341846315.466047 -0.070717 0.117406 -0.017057 0.012573 0.137779 0.027765 0.989994
1341846315.497883 -0.075247 0.118447 -0.017383 0.012081 0.141361 0.031464 0.989384
1341846315.530008 -0.072483 0.117847 -0.014691 0.012063 0.142632 0.032439 0.989170
1341846315.566108 -0.075243 0.121106 -0.014676 0.011782 0.144665 0.033087 0.988857
1341846315.597986 -0.067487 0.118612 -0.013643 0.011255 0.145187 0.033340 0.988778
1341846315.630109 -0.069289 0.119288 -0.014551 0.011419 0.146794 0.032254 0.988575
1341846315.666042 -0.072704 0.123165 -0.019959 0.010994 0.148851 0.030908 0.988315
1341846315.698114 -0.075448 0.129641 -0.021752 0.006588 0.152781 0.029215 0.987806
1341846315.733985 -0.088239 0.131345 -0.015589 0.005338 0.157205 0.028769 0.987132
1341846315.766041 -0.099045 0.131920 -0.025314 0.005759 0.155777 0.029555 0.987333
1341846315.798188 -0.086834 0.132394 -0.023332 0.004724 0.153602 0.029888 0.987669
1341846315.834140 -0.085698 0.128174 -0.015197 0.005378 0.155696 0.029186 0.987359
1341846315.866751 -0.095683 0.130690 -0.014617 0.008165 0.158286 0.027864 0.986966
1341846315.898492 -0.114338 0.129284 -0.006890 0.009246 0.162163 0.027502 0.986337
1341846315.936901 -0.117939 0.126475 -0.001418 0.011772 0.164022 0.026642 0.986027
1341846315.966572 -0.124859 0.125814 -0.007573 0.015180 0.165607 0.025324 0.985750
1341846316.034204 -0.135673 0.127052 -0.009793 0.019121 0.165758 0.023964 0.985690
1341846316.066113 -0.143111 0.127132 -0.005295 0.021678 0.166071 0.024158 0.985580
1341846316.101867 -0.160297 0.130014 -0.009711 0.023353 0.166057 0.023840 0.985551
1341846316.134066 -0.167138 0.131942 -0.005696 0.022507 0.163319 0.021525 0.986082
1341846316.202049 -0.178387 0.126307 0.002695 0.022211 0.158863 0.017599 0.986894
1341846316.233979 -0.177651 0.128200 0.002101 0.022786 0.156946 0.016794 0.987201
1341846316.270052 -0.179758 0.126929 0.003266 0.021122 0.157712 0.014653 0.987150
1341846316.301915 -0.183725 0.122159 0.007157 0.021349 0.158690 0.013485 0.987005
1341846316.334208 -0.191786 0.122288 0.007882 0.023265 0.157997 0.015007 0.987051
1341846316.370006 -0.191199 0.120826 0.008680 0.025293 0.155945 0.016443 0.987305
1341846316.401994 -0.194875 0.123810 0.006580 0.027621 0.154980 0.018503 0.987358
1341846316.438069 -0.194305 0.118546 0.010314 0.029625 0.153867 0.021683 0.987409
1341846316.470076 -0.182780 0.119693 0.004701 0.034792 0.150050 0.024208 0.987769
1341846316.502034 -0.151229 0.136864 -0.019650 0.038464 0.140217 0.027625 0.988988
1341846316.537975 -0.139409 0.134709 -0.015803 0.035575 0.135629 0.026770 0.989759
1341846316.570121 -0.132284 0.127183 -0.001777 0.034769 0.134490 0.024828 0.989993
1341846316.601885 -0.136662 0.127107 -0.001617 0.037204 0.133627 0.024057 0.990041
1341846316.638009 -0.119592 0.127577 -0.003238 0.039911 0.128406 0.025363 0.990594
1341846316.669925 -0.115450 0.126357 0.001580 0.042351 0.126663 0.026117 0.990697
1341846316.705941 -0.126545 0.123143 -0.003728 0.046464 0.127128 0.026286 0.990449
1341846316.738062 -0.140264 0.126167 -0.012228 0.048958 0.126823 0.028913 0.990294
1341846316.770433 -0.146831 0.126337 -0.004737 0.047794 0.126369 0.028959 0.990408
1341846316.805932 -0.147125 0.118876 0.001814 0.047839 0.125947 0.028731 0.990466
1341846316.838029 -0.164614 0.123783 -0.006441 0.049806 0.125349 0.029823 0.990413
1341846316.870034 -0.168476 0.120119 0.004528 0.050143 0.121902 0.031236 0.990782
1341846316.906344 -0.170771 0.119960 0.000064 0.051072 0.118055 0.030997 0.991208
1341846316.937940 -0.174919 0.121365 -0.001911 0.050886 0.116582 0.028249 0.991474
1341846316.973994 -0.188125 0.122798 -0.002721 0.050349 0.115356 0.027534 0.991665
1341846317.005913 -0.198209 0.119364 0.002758 0.048986 0.112967 0.028034 0.991994
1341846317.037936 -0.205222 0.114845 0.009723 0.049041 0.110890 0.027561 0.992239
1341846317.073972 -0.211769 0.113970 0.013202 0.050375 0.109102 0.027904 0.992361
1341846317.106113 -0.228427 0.109125 0.025461 0.052677 0.108469 0.031115 0.992215
1341846317.137887 -0.240383 0.110582 0.018922 0.056127 0.102396 0.034209 0.992570
1341846317.173970 -0.250600 0.113091 0.011569 0.057459 0.095573 0.036367 0.993097
1341846317.205887 -0.258031 0.109173 0.014237 0.057105 0.093064 0.037573 0.993311
1341846317.248131 -0.271418 0.105365 0.017068 0.058062 0.091135 0.038747 0.993389
1341846317.306289 -0.274536 0.110072 0.016217 0.060479 0.083645 0.043561 0.993704
1341846317.348137 -0.283005 0.104592 0.013838 0.061035 0.085142 0.043827 0.993531
1341846317.410120 -0.306386 0.107322 0.014592 0.063205 0.085349 0.049534 0.993110
1341846317.442569 -0.313783 0.095836 0.011890 0.064805 0.085770 0.051122 0.992890
1341846317.474010 -0.323763 0.097530 0.009211 0.070939 0.086185 0.054324 0.992264
1341846317.509927 -0.333086 0.104725 0.004835 0.074975 0.084095 0.058342 0.991919
1341846317.542282 -0.334681 0.106141 -0.001026 0.074188 0.080602 0.059671 0.992189
1341846317.573943 -0.335138 0.099136 0.008927 0.073397 0.081314 0.058516 0.992258
1341846317.610159 -0.344151 0.096335 0.011893 0.076090 0.083534 0.058911 0.991848
1341846317.643553 -0.353832 0.102871 0.011394 0.079222 0.083137 0.061265 0.991493
1341846317.677993 -0.371842 0.096559 0.019756 0.079209 0.081262 0.062537 0.991570
1341846317.709996 -0.370325 0.096721 0.016555 0.081772 0.077901 0.062054 0.991662
1341846317.741834 -0.373353 0.104569 0.003472 0.082443 0.076238 0.062767 0.991691
1341846317.777923 -0.374747 0.104136 0.007253 0.080769 0.074587 0.062339 0.991981
1341846317.810021 -0.369898 0.103842 0.009678 0.080503 0.070747 0.060366 0.992406
1341846317.841886 -0.359540 0.111412 0.001312 0.080493 0.066549 0.059064 0.992776
1341846317.878017 -0.363620 0.110697 0.006298 0.077784 0.066101 0.055175 0.993245
1341846317.909910 -0.362706 0.107432 0.011130 0.076746 0.066868 0.052036 0.993444
1341846317.946031 -0.371522 0.105331 0.008953 0.078359 0.067671 0.054513 0.993131
1341846317.978041 -0.347538 0.106426 0.006549 0.080566 0.061035 0.054293 0.993396
1341846318.009897 -0.347518 0.108870 0.003865 0.083057 0.060509 0.052727 0.993308
1341846318.045949 -0.392792 0.108871 0.006988 0.083057 0.067688 0.051358 0.992916
1341846318.078074 -0.399368 0.107867 0.012512 0.082186 0.066468 0.049561 0.993162
1341846318.109894 -0.396939 0.110090 0.012557 0.082202 0.061282 0.047893 0.993576
1341846318.145957 -0.345065 0.109007 -0.010653 0.080610 0.050142 0.046343 0.994404
1341846318.178001 -0.347921 0.108342 -0.002658 0.080083 0.050422 0.043623 0.994556
