# timestamp tx ty tz qx qy qz qw
1341846313.654184 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686156 0.009160 0.001215 0.004049 0.001242 -0.002681 0.000038 0.999996
1341846313.721918 0.014159 0.003246 0.003322 0.001233 -0.003649 0.000821 0.999992
1341846313.753994 0.024850 0.000989 0.002306 0.000405 -0.004882 0.002664 0.999984
1341846313.789969 0.031916 0.000169 0.002352 0.001432 -0.005626 0.001130 0.999983
1341846313.822075 0.028602 0.002368 -0.000342 0.001689 -0.003043 0.000397 0.999994
1341846313.853928 0.023962 0.002477 0.003575 0.001090 0.000978 -0.000434 0.999999
1341846313.890011 0.020917 0.002350 0.001643 0.000914 0.003681 -0.000876 0.999992
1341846313.922055 0.000214 0.005361 0.002832 -0.001014 0.008673 0.000757 0.999962
1341846313.957927 -0.004243 0.004301 0.011421 -0.003041 0.014439 0.002345 0.999888
1341846313.990058 -0.015081 0.004499 0.010722 -0.004067 0.022219 0.002794 0.999741
1341846314.022042 -0.026758 0.008406 0.014354 -0.005782 0.026146 0.002939 0.999637
1341846314.057816 -0.029366 0.010787 0.028711 -0.008554 0.029672 0.004431 0.999513
1341846314.089801 -0.000908 0.009936 -0.012334 -0.007470 0.034742 0.004184 0.999360
1341846314.122037 -0.014203 0.018379 -0.014782 -0.007356 0.040576 0.005878 0.999132
1341846314.157989 -0.014663 0.017431 -0.001914 -0.009515 0.044475 0.007160 0.998940
1341846314.190094 -0.025692 0.019343 -0.003233 -0.008901 0.050478 0.007705 0.998656
1341846314.225969 -0.047531 0.023942 -0.012527 -0.010769 0.056800 0.010226 0.998275
1341846314.257923 -0.044230 0.024510 -0.000906 -0.012163 0.059070 0.010637 0.998123
1341846314.290052 -0.048902 0.031028 -0.000677 -0.009665 0.061467 0.008330 0.998028
1341846314.325981 -0.069842 0.036511 -0.007736 -0.009973 0.067074 0.007201 0.997672
1341846314.357905 -0.063102 0.036632 0.006397 -0.010604 0.070076 0.006951 0.997461
1341846314.389899 -0.063648 0.038368 0.010335 -0.008674 0.073355 0.006184 0.997249
1341846314.427905 -0.065569 0.043815 0.005178 -0.008250 0.075880 0.004597 0.997072
1341846314.493987 -0.055586 0.042003 0.017688 -0.006990 0.085478 -0.002994 0.996311
1341846314.526085 -0.060825 0.044736 0.009013 -0.006614 0.088659 -0.004699 0.996029
1341846314.558292 -0.067814 0.043556 0.010376 -0.008049 0.094263 -0.003112 0.995510
1341846314.594085 -0.062723 0.040776 0.014489 -0.006718 0.099117 -0.002568 0.995050
1341846314.626096 -0.029075 0.038983 0.000861 -0.006939 0.098090 -0.003981 0.995145
1341846314.658455 -0.025905 0.039971 0.000156 -0.008906 0.100202 -0.004481 0.994917
1341846314.694004 -0.011997 0.034570 0.009637 -0.008853 0.103086 -0.003973 0.994625
1341846314.725910 -0.015386 0.037866 0.023594 -0.003874 0.107348 -0.002387 0.994211
1341846314.761942 -0.015780 0.040553 0.017808 0.000154 0.107896 0.001462 0.994161
1341846314.794030 -0.006417 0.044129 0.012929 0.003837 0.109296 0.003028 0.993997
1341846314.826092 -0.012240 0.045872 -0.001762 0.006040 0.114187 0.003307 0.993435
1341846314.862145 -0.013596 0.046912 -0.010174 0.006208 0.118387 0.004333 0.992939
1341846314.894072 -0.003719 0.046224 -0.008885 0.005970 0.121666 0.005961 0.992535
1341846314.925969 -0.009496 0.045987 -0.019366 0.006125 0.125152 0.008932 0.992078
1341846314.961937 -0.021212 0.048838 -0.033425 0.003460 0.127800 0.013385 0.991704
1341846314.994564 -0.013506 0.047567 -0.032681 -0.000052 0.128140 0.013835 0.991660
1341846315.029900 0.031402 0.050999 -0.011784 0.000125 0.127142 0.010769 0.991826
1341846315.061965 0.021472 0.051734 -0.020119 0.000052 0.130714 0.012691 0.991339
1341846315.094388 0.031148 0.050557 -0.011825 0.000095 0.129030 0.014288 0.991538
1341846315.129851 0.039514 0.053455 -0.013314 0.002483 0.128696 0.013059 0.991595
1341846315.161941 0.022318 0.065724 -0.026162 0.000973 0.131489 0.017677 0.991159
1341846315.197984 0.027545 0.073208 -0.024345 -0.004647 0.129099 0.015259 0.991503
1341846315.230076 0.031316 0.074607 -0.024175 -0.007612 0.128242 0.012125 0.991640
1341846315.262069 0.028129 0.074548 -0.029950 -0.010360 0.126324 0.013863 0.991838
1341846315.298000 0.039502 0.072127 -0.024995 -0.012174 0.121614 0.017736 0.992344
1341846315.329931 0.045212 0.084876 -0.020414 -0.005924 0.120274 0.018017 0.992559
1341846315.361981 0.045270 0.087985 -0.021986 -0.000320 0.120090 0.019576 0.992570
1341846315.397962 0.046645 0.099638 -0.022065 0.004119 0.120679 0.021805 0.992443
1341846315.429923 0.049786 0.103115 -0.022013 0.007189 0.122406 0.022935 0.992189
1341846315.466047 0.078269 0.077748 -0.028456 0.004121 0.122900 0.028657 0.991997
1341846315.497883 0.073750 0.078767 -0.028937 0.003571 0.126518 0.032318 0.991431
1341846315.530008 0.076432 0.078220 -0.026152 0.003537 0.127800 0.033283 0.991235
1341846315.566108 0.073662 0.081468 -0.026273 0.003245 0.129842 0.033910 0.990949
1341846315.597986 0.081392 0.079020 -0.024964 0.002714 0.130366 0.034150 0.990874
1341846315.630109 0.079616 0.079675 -0.025938 0.002894 0.131968 0.033054 0.990699
1341846315.666042 0.076349 0.083454 -0.031508 0.002488 0.134019 0.031686 0.990469
1341846315.698114 0.073640 0.089890 -0.033485 -0.001895 0.137934 0.029893 0.989988
1341846315.733985 0.079250 0.077643 -0.023891 -0.005832 0.140090 0.030576 0.989649
1341846315.766041 0.068791 0.077942 -0.034001 -0.005422 0.138668 0.031384 0.989827
1341846315.798188 0.080921 0.078544 -0.031600 -0.006458 0.136488 0.031722 0.990113
1341846315.834140 0.081798 0.074498 -0.023346 -0.005796 0.138581 0.031009 0.989848
1341846315.866751 0.071783 0.076954 -0.023170 -0.002991 0.141174 0.029709 0.989534
1341846315.898492 0.052875 0.075573 -0.016076 -0.001910 0.145061 0.029325 0.988986
1341846315.936901 0.049102 0.072851 -0.010677 0.000627 0.146925 0.028489 0.988737
1341846315.966572 0.042407 0.072016 -0.017057 0.004055 0.148512 0.027214 0.988528
1341846316.034204 0.031673 0.073132 -0.019683 0.008020 0.148663 0.025922 0.988516
1341846316.066113 0.024080 0.073251 -0.015453 0.010572 0.148989 0.026158 0.988436
1341846316.101867 0.007042 0.075920 -0.020528 0.012253 0.148978 0.025869 0.988426
1341846316.134066 0.000052 0.077880 -0.016798 0.011452 0.146205 0.023570 0.988907
1341846316.202049 -0.015129 0.064288 -0.009529 0.009635 0.142761 0.018570 0.989536
1341846316.233979 -0.014383 0.066171 -0.010144 0.010224 0.140832 0.017798 0.989821
1341846316.270052 -0.016522 0.064917 -0.009018 0.008595 0.141569 0.015621 0.989768
1341846316.301915 -0.032057 0.060614 -0.012850 0.008663 0.144197 0.013113 0.989424
1341846316.334208 -0.040136 0.060737 -0.012368 0.010557 0.143524 0.014672 0.989482
1341846316.370006 -0.039570 0.059297 -0.011516 0.012562 0.141490 0.016164 0.989728
1341846316.401994 -0.043189 0.062217 -0.013798 0.014860 0.140553 0.018270 0.989793
1341846316.438069 -0.042718 0.057050 -0.009918 0.016817 0.139481 0.021493 0.989849
1341846316.470076 -0.031033 0.058091 -0.015214 0.021947 0.135698 0.024142 0.990213
1341846316.502034 0.001189 0.074746 -0.039039 0.025564 0.125896 0.027737 0.991326
1341846316.537975 -0.018122 0.038630 -0.004574 0.016077 0.126692 0.018876 0.991632
1341846316.570121 -0.011343 0.031602 0.009876 0.015278 0.125516 0.016949 0.991829
1341846316.601885 -0.015724 0.031579 0.009956 0.017714 0.124623 0.016218 0.991913
1341846316.638009 -0.066088 0.054785 -0.021908 0.025284 0.128502 0.024130 0.991093
1341846316.669925 -0.061947 0.053712 -0.017054 0.027722 0.126771 0.024910 0.991232
1341846316.705941 -0.073035 0.050329 -0.022273 0.031838 0.127242 0.025073 0.991043
1341846316.738062 -0.086753 0.053084 -0.030865 0.034334 0.126976 0.027705 0.990924
1341846316.770433 -0.093325 0.053465 -0.023385 0.033168 0.126522 0.027758 0.991020
1341846316.805932 -0.093612 0.046199 -0.016619 0.033213 0.126098 0.027535 0.991079
1341846316.838029 -0.111103 0.050840 -0.025024 0.035181 0.125517 0.028637 0.991054
1341846316.870034 -0.114967 0.047494 -0.013955 0.035514 0.122091 0.030101 0.991426
1341846316.906344 -0.117259 0.047201 -0.018413 0.036439 0.118242 0.029919 0.991865
1341846316.937940 -0.121408 0.048542 -0.020432 0.036251 0.116728 0.027193 0.992129
1341846316.973994 -0.134615 0.049934 -0.021290 0.035712 0.115491 0.026496 0.992313
1341846317.005913 -0.144698 0.046648 -0.015719 0.034346 0.113109 0.027030 0.992621
1341846317.037936 -0.151709 0.042327 -0.008628 0.034399 0.111025 0.026589 0.992866
1341846317.073972 -0.158257 0.041546 -0.005129 0.035732 0.109243 0.026958 0.993007
1341846317.106113 -0.174916 0.037040 0.007258 0.038036 0.108659 0.030179 0.992893
1341846317.137887 -0.186871 0.038290 0.000673 0.041483 0.102635 0.033362 0.993294
1341846317.173970 -0.172270 0.057130 -0.003443 0.045314 0.093318 0.037008 0.993916
1341846317.205887 -0.179704 0.053252 -0.000724 0.044958 0.090822 0.038244 0.994116
1341846317.248131 -0.193095 0.049468 0.002123 0.045915 0.088910 0.039443 0.994199
1341846317.306289 -0.196223 0.054143 0.001142 0.048326 0.081480 0.044354 0.994514
1341846317.348137 -0.204660 0.048579 -0.001152 0.048881 0.082982 0.044603 0.994352
1341846317.410120 -0.228054 0.051248 -0.000594 0.051040 0.083262 0.050312 0.993947
1341846317.442569 -0.235399 0.039677 -0.003060 0.052636 0.083705 0.051899 0.993745
1341846317.474010 -0.245369 0.041272 -0.005835 0.058768 0.084170 0.055113 0.993189
1341846317.509927 -0.254690 0.048329 -0.010433 0.062800 0.082136 0.059166 0.992879
1341846317.542282 -0.256256 0.049599 -0.016335 0.062012 0.078657 0.060534 0.993128
1341846317.573943 -0.256747 0.042833 -0.006220 0.061222 0.079354 0.059369 0.993192
1341846317.610159 -0.265768 0.040073 -0.003239 0.063916 0.081584 0.059745 0.992819
1341846317.643553 -0.275468 0.046563 -0.003946 0.067045 0.081221 0.062111 0.992497
1341846317.677993 -0.293503 0.040393 0.004463 0.067031 0.079361 0.063405 0.992567
1341846317.709996 -0.291969 0.040484 0.001267 0.069600 0.075998 0.062970 0.992681
1341846317.741834 -0.294948 0.048006 -0.012016 0.070271 0.074345 0.063705 0.992712
1341846317.777923 -0.296362 0.047659 -0.008233 0.068597 0.072685 0.063293 0.992978
1341846317.810021 -0.291526 0.047440 -0.005775 0.068339 0.068820 0.061366 0.993392
1341846317.841886 -0.281145 0.054842 -0.014263 0.068334 0.064606 0.060115 0.993752
1341846317.878017 -0.285258 0.054232 -0.009283 0.065631 0.064107 0.056224 0.994194
1341846317.909910 -0.284361 0.051086 -0.004369 0.064598 0.064834 0.053074 0.994388
1341846317.946031 -0.293158 0.048905 -0.006544 0.066207 0.065671 0.055544 0.994092
1341846317.978041 -0.269165 0.050021 -0.008840 0.068422 0.059035 0.055411 0.994366
1341846318.009897 -0.269137 0.052401 -0.011582 0.070919 0.058494 0.053858 0.994308
1341846318.045949 -0.314428 0.052326 -0.008711 0.070915 0.065658 0.052403 0.993939
1341846318.078074 -0.321031 0.051431 -0.003201 0.070049 0.064414 0.050618 0.994174
1341846318.109894 -0.318610 0.053663 -0.003195 0.070073 0.059208 0.049014 0.994576
1341846318.145957 -0.266602 0.052199 -0.026086 0.068494 0.048045 0.047593 0.995357
