# timestamp tx ty tz qx qy qz qw
1305031102.175304 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031102.211214 0.003580 0.025377 0.021548 0.004028 -0.006409 0.001461 0.999970
1305031102.243211 0.003192 0.025308 0.021355 0.003916 -0.006346 0.001450 0.999971
1305031102.275326 -0.003814 0.042826 0.040562 0.001639 -0.008450 0.004644 0.999952
1305031102.311267 -0.000072 0.058637 0.062204 0.003890 -0.013209 0.008082 0.999873
1305031102.343233 0.005150 0.061924 0.074932 0.002735 -0.017460 0.011573 0.999777
1305031102.375329 -0.006272 0.064806 0.066586 0.005684 -0.012432 0.006607 0.999885
1305031102.411258 -0.011239 0.070487 0.075605 0.005852 -0.013245 0.005842 0.999878
1305031102.443271 -0.018228 0.095668 0.083760 0.011544 -0.013347 0.007162 0.999819
1305031102.475318 -0.011898 0.112390 0.094177 0.013936 -0.017974 0.008093 0.999709
1305031102.511219 0.000698 0.145519 0.081437 0.028341 -0.021783 0.000105 0.999361
1305031102.543220 0.000392 0.146200 0.080770 0.028445 -0.021641 -0.000000 0.999361
1305031102.575286 0.020681 0.164117 0.106583 0.033240 -0.028313 0.000951 0.999046
1305031102.611233 0.026582 0.161482 0.122146 0.035746 -0.029708 0.002184 0.998917
1305031102.643265 0.026750 0.161290 0.123224 0.035886 -0.029723 0.002421 0.998911
1305031102.675285 0.024122 0.171917 0.129495 0.040576 -0.029050 0.002605 0.998751
1305031102.711263 0.025528 0.167045 0.133160 0.037757 -0.030382 0.004483 0.998815
1305031102.743234 0.026298 0.173840 0.144928 0.039062 -0.031404 0.005974 0.998725
1305031102.775472 0.033683 0.179602 0.158440 0.040636 -0.033299 0.006318 0.998599
1305031102.811232 0.047498 0.180178 0.163781 0.039738 -0.038627 0.008618 0.998426
1305031102.843290 0.059415 0.177287 0.164358 0.037509 -0.042149 0.011562 0.998340
1305031102.875363 0.061718 0.180443 0.176902 0.039447 -0.041941 0.010266 0.998288
1305031102.911185 0.057529 0.184240 0.186598 0.041795 -0.038607 0.009748 0.998332
1305031102.943229 0.057199 0.184330 0.187124 0.041776 -0.038461 0.009431 0.998342
1305031102.975203 0.040023 0.186612 0.194421 0.041648 -0.036488 0.008500 0.998430
1305031103.011215 0.044776 0.187996 0.214487 0.041334 -0.048172 0.009527 0.997938
1305031103.043227 0.044002 0.185612 0.211399 0.039783 -0.048358 0.010674 0.997980
1305031103.075319 0.044726 0.188064 0.235260 0.040006 -0.057381 0.013027 0.997465
1305031103.111240 0.044919 0.195253 0.243561 0.043281 -0.058143 0.013935 0.997272
1305031103.143318 0.043278 0.195271 0.253932 0.041479 -0.057644 0.015485 0.997355
1305031103.175452 0.053819 0.199734 0.263664 0.041592 -0.063997 0.016724 0.996943
1305031103.211220 0.054746 0.204017 0.272877 0.037311 -0.065822 0.018422 0.996963
1305031103.243216 0.059716 0.196661 0.270542 0.030639 -0.067419 0.013320 0.997165
1305031103.275370 0.047473 0.207568 0.273047 0.022550 -0.064241 0.023432 0.997404
