# timestamp tx ty tz qx qy qz qw
1305031102.175304 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031102.211214 -0.003480 -0.002277 -0.000429 -0.001988 0.000892 -0.003298 0.999992
1305031102.243211 -0.003477 -0.002285 -0.000410 -0.001993 0.000890 -0.003299 0.999992
1305031102.275326 -0.004669 0.003679 0.018415 -0.008330 -0.002618 -0.001073 0.999961
1305031102.311267 -0.005820 0.002266 0.027893 -0.009326 -0.002759 -0.002265 0.999950
1305031102.343233 -0.009972 0.003267 0.029028 -0.010427 -0.001515 -0.004469 0.999935
1305031102.375329 -0.011480 0.005239 0.029037 -0.010156 -0.001208 -0.005497 0.999933
1305031102.411258 -0.011884 0.006302 0.028941 -0.010442 -0.000689 -0.005795 0.999928
1305031102.443271 -0.014959 0.004468 0.021493 -0.012209 -0.000579 -0.004495 0.999915
1305031102.475318 -0.008154 -0.004786 0.030338 -0.016393 -0.003528 0.000601 0.999859
1305031102.511219 -0.005226 -0.013726 0.033977 -0.020093 -0.004594 -0.001275 0.999787
1305031102.543220 -0.005241 -0.013750 0.033983 -0.020103 -0.004588 -0.001268 0.999787
1305031102.575286 -0.004691 -0.012176 0.034166 -0.020226 -0.004504 -0.001936 0.999783
1305031102.611233 -0.002323 -0.017151 0.037613 -0.021955 -0.005044 -0.001550 0.999745
1305031102.643265 -0.002333 -0.017112 0.037651 -0.021932 -0.005036 -0.001557 0.999746
1305031102.675285 -0.003714 -0.011187 0.037643 -0.018972 -0.004319 -0.000472 0.999811
1305031102.711263 -0.002434 -0.012529 0.040514 -0.020004 -0.004893 0.000680 0.999788
1305031102.743234 -0.003509 -0.011983 0.036345 -0.020814 -0.004409 0.000906 0.999773
1305031102.775472 -0.002586 -0.015901 0.035476 -0.023189 -0.005223 0.003786 0.999710
1305031102.811232 -0.003082 -0.012039 0.032468 -0.022450 -0.004193 0.002554 0.999736
1305031102.843290 -0.005368 -0.012480 0.032486 -0.023065 -0.001666 0.003994 0.999725
1305031102.875363 -0.007674 -0.013937 0.035941 -0.023694 -0.000773 0.004986 0.999707
1305031102.911185 -0.006773 -0.013507 0.037756 -0.023577 -0.000679 0.004326 0.999712
1305031102.943229 -0.006750 -0.013516 0.037748 -0.023584 -0.000692 0.004317 0.999712
1305031102.975203 -0.004895 -0.014189 0.035886 -0.024549 -0.002290 0.004362 0.999686
1305031103.011215 -0.004697 -0.016826 0.036295 -0.025824 -0.002920 0.008191 0.999629
1305031103.043227 -0.004701 -0.016893 0.036291 -0.025851 -0.002926 0.008221 0.999628
1305031103.075319 0.005564 -0.008998 0.031679 -0.020601 -0.010087 0.008686 0.999699
1305031103.111240 0.006889 -0.005810 0.032572 -0.018661 -0.011021 0.009030 0.999724
1305031103.143318 0.005967 -0.004903 0.032636 -0.018037 -0.010203 0.009630 0.999739
1305031103.175452 0.005243 -0.004564 0.032094 -0.018514 -0.009321 0.008792 0.999746
