# timestamp tx ty tz qx qy qz qw
1305031102.175304 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031102.211214 -0.003244 -0.002431 -0.000114 -0.002057 0.000868 -0.003167 0.999992
1305031102.243211 -0.001132 -0.002403 0.002929 -0.000812 0.000161 -0.000944 0.999999
1305031102.275326 -0.003553 0.001194 0.002589 0.000861 0.001147 -0.001570 0.999998
1305031102.311267 0.003285 0.005612 0.000568 0.002160 -0.000766 0.000638 0.999997
1305031102.343233 0.003674 -0.004613 -0.001776 -0.000988 -0.000167 -0.000533 0.999999
1305031102.375329 0.000768 -0.001414 0.002770 -0.000267 -0.000203 -0.000754 1.000000
1305031102.411258 -0.003380 0.000819 0.000866 -0.000159 0.000086 -0.000089 1.000000
1305031102.443271 0.002740 0.000416 -0.001431 -0.000251 -0.000602 -0.000508 1.000000
1305031102.475318 0.005144 -0.001416 0.009564 -0.000567 -0.002084 0.000759 0.999997
1305031102.511219 -0.002492 0.001323 -0.007673 -0.000125 0.000211 -0.001260 0.999999
1305031102.543220 0.002371 0.005473 -0.000471 0.001591 -0.000415 -0.002789 0.999995
1305031102.575286 0.003417 0.013990 -0.004737 0.006106 0.000265 -0.002921 0.999977
1305031102.611233 -0.006988 0.002872 -0.003729 0.001007 0.001251 -0.002916 0.999994
1305031102.643265 -0.000934 0.008592 0.001770 0.002010 0.000770 -0.002877 0.999994
1305031102.675285 0.000698 0.012516 0.003022 0.005814 0.000045 -0.000707 0.999983
1305031102.711263 -0.001414 0.000982 -0.004859 0.000365 0.000803 -0.001837 0.999998
1305031102.743234 0.001159 -0.000405 0.002553 -0.000290 -0.000410 -0.000173 1.000000
1305031102.775472 -0.009423 -0.004767 -0.018583 -0.000732 0.001235 0.008210 0.999965
1305031102.811232 0.000816 -0.003821 -0.011811 -0.000508 -0.001582 0.005325 0.999984
1305031102.843290 -0.002493 0.001929 -0.010505 -0.000327 -0.000000 -0.000680 1.000000
1305031102.875363 -0.000649 0.000151 0.002064 -0.000027 -0.000068 -0.000325 1.000000
1305031102.911185 -0.006092 -0.004809 -0.001442 -0.001133 0.001280 0.001580 0.999997
1305031102.943229 -0.014347 -0.003247 -0.006759 -0.000607 0.004481 0.004037 0.999982
1305031102.975203 0.003769 0.007325 -0.016909 0.003044 -0.003144 0.000473 0.999990
1305031103.011215 -0.003977 0.008062 -0.000414 0.005675 0.001069 0.002758 0.999980
1305031103.043227 -0.002058 0.009759 -0.002329 0.005855 0.000206 0.001638 0.999981
1305031103.075319 0.008472 0.001589 -0.006636 0.002111 -0.003562 0.005410 0.999977
1305031103.111240 0.005737 0.004267 -0.013430 0.000033 -0.003773 0.000328 0.999993
1305031103.143318 -0.009199 0.008807 0.003813 0.004661 0.002899 0.000077 0.999985
1305031103.175452 -0.001824 0.011789 -0.039597 0.012817 -0.005869 0.023255 0.999630
1305031103.211220 0.005090 0.021097 -0.040652 0.018064 -0.010555 0.020814 0.999564
1305031103.243216 0.010579 0.040958 -0.043121 0.030685 -0.014279 0.020958 0.999207
1305031103.275370 0.012161 0.046243 -0.044638 0.033385 -0.015151 0.018891 0.999149
1305031103.311210 0.021357 0.039248 -0.040454 0.030292 -0.020763 0.020718 0.999111
1305031103.343223 0.028969 0.030068 -0.040391 0.023817 -0.024297 0.018886 0.999243
1305031103.375327 0.032337 0.027276 -0.039633 0.022478 -0.025520 0.021579 0.999189
1305031103.411260 0.024114 0.034777 -0.041072 0.027748 -0.021809 0.019936 0.999178
1305031103.443280 0.002467 0.026127 -0.041695 0.020792 -0.007993 0.023557 0.999474
1305031103.475274 -0.015838 0.028296 -0.042662 0.021539 0.001890 0.023950 0.999479
1305031103.511333 -0.029411 0.025840 -0.040239 0.019210 0.007823 0.017695 0.999628
1305031103.543444 -0.037082 0.022665 -0.044786 0.019637 0.010982 0.018695 0.999572
1305031103.575474 -0.049571 0.056332 -0.061363 0.047257 0.016408 0.013440 0.998658
1305031103.611223 -0.044024 0.085991 -0.071707 0.066689 0.012630 0.004089 0.997685
1305031103.643445 -0.042487 0.105523 -0.070465 0.080141 0.010265 0.003693 0.996724
1305031103.675523 -0.035598 0.114070 -0.090526 0.082380 0.002845 0.004901 0.996585
1305031103.711610 -0.030848 0.115465 -0.090804 0.083850 -0.000755 0.006742 0.996455
1305031103.743326 -0.033824 0.110132 -0.088784 0.081320 0.001158 0.006096 0.996669
1305031103.775342 -0.032248 0.109465 -0.088030 0.080569 -0.000380 0.006200 0.996730
1305031103.811242 -0.031198 0.114505 -0.088124 0.083927 -0.000389 0.005024 0.996459
1305031103.843251 -0.027417 0.118227 -0.090212 0.085505 -0.002069 0.006661 0.996313
1305031103.875361 -0.031609 0.119917 -0.091316 0.084645 0.000483 -0.000244 0.996411
1305031103.911221 -0.034315 0.124330 -0.091955 0.086433 0.001935 -0.001824 0.996254
1305031103.943211 -0.028145 0.122032 -0.088908 0.087744 -0.001086 0.005229 0.996129
1305031103.975373 -0.031950 0.116541 -0.096828 0.083254 0.000335 0.006098 0.996510
1305031104.011232 -0.027769 0.119300 -0.090752 0.086147 -0.002803 0.006091 0.996260
1305031104.043249 -0.029236 0.118982 -0.086803 0.086999 -0.000546 0.006888 0.996184
1305031104.075425 -0.041812 0.112719 -0.092261 0.080830 0.004395 0.008283 0.996684
1305031104.111235 -0.035157 0.114847 -0.101032 0.082549 0.001476 0.003563 0.996580
1305031104.143230 -0.033826 0.107773 -0.100713 0.079814 0.001421 0.007086 0.996784
1305031104.175424 -0.020441 0.112418 -0.089137 0.083644 -0.007142 0.013518 0.996378
1305031104.211283 -0.032136 0.111571 -0.086913 0.081689 0.001308 0.004630 0.996646
1305031104.243196 -0.035536 0.112633 -0.089480 0.081546 0.001970 0.005306 0.996653
1305031104.275546 -0.027917 0.118845 -0.090116 0.085739 -0.001976 0.005820 0.996299
1305031104.311219 -0.034416 0.122669 -0.091344 0.087993 0.000031 0.007834 0.996090
1305031104.343342 -0.071870 0.150427 -0.152962 0.084753 0.008798 0.003482 0.996357
