# timestamp tx ty tz qx qy qz qw
1305031102.175304 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031102.211214 -0.003244 -0.002431 -0.000114 -0.002057 0.000868 -0.003167 0.999992
1305031102.243211 -0.003248 -0.002440 -0.000105 -0.002062 0.000868 -0.003166 0.999992
1305031102.275326 -0.004391 0.003020 0.018733 -0.008495 -0.002615 -0.000945 0.999960
1305031102.311267 -0.005893 0.000229 0.027962 -0.009964 -0.002653 -0.002049 0.999945
1305031102.343233 -0.003440 -0.009942 0.032012 -0.015420 -0.003873 -0.001537 0.999872
1305031102.375329 -0.004840 -0.008057 0.032111 -0.015169 -0.003586 -0.002555 0.999875
1305031102.411258 -0.004750 -0.008706 0.034174 -0.016203 -0.003541 -0.002269 0.999860
1305031102.443271 -0.007648 -0.010774 0.026986 -0.017988 -0.003449 -0.000990 0.999832
1305031102.475318 -0.004201 -0.017570 0.033414 -0.021067 -0.004996 0.001680 0.999764
1305031102.511219 -0.003894 -0.023574 0.037401 -0.023080 -0.004738 0.002365 0.999720
1305031102.543220 -0.003915 -0.023596 0.037395 -0.023089 -0.004731 0.002372 0.999719
1305031102.575286 -0.002914 -0.022034 0.037529 -0.023135 -0.004847 0.001853 0.999719
1305031102.611233 -0.001815 -0.024834 0.041732 -0.023922 -0.005020 0.001615 0.999700
1305031102.643265 -0.001820 -0.024812 0.041751 -0.023909 -0.005017 0.001616 0.999700
1305031102.675285 -0.001438 -0.023629 0.042530 -0.023360 -0.004925 0.002561 0.999712
1305031102.711263 -0.003087 -0.022399 0.044040 -0.023126 -0.004408 0.001942 0.999721
1305031102.743234 -0.003622 -0.020773 0.041650 -0.023446 -0.003745 0.001162 0.999717
1305031102.775472 -0.002822 -0.024716 0.040616 -0.025859 -0.004529 0.004068 0.999647
1305031102.811232 -0.002273 -0.024047 0.040530 -0.026061 -0.004144 0.003985 0.999644
1305031102.843290 -0.000211 -0.024509 0.040297 -0.026785 -0.003664 0.004966 0.999622
1305031102.875363 -0.001977 -0.024710 0.043429 -0.027284 -0.003002 0.005267 0.999609
1305031102.911185 -0.003847 -0.024085 0.046150 -0.027116 -0.002030 0.005019 0.999618
1305031102.943229 -0.003841 -0.024090 0.046149 -0.027119 -0.002033 0.005016 0.999618
1305031102.975203 -0.002223 -0.023582 0.044783 -0.027030 -0.002937 0.003351 0.999625
1305031103.011215 -0.002569 -0.029911 0.049045 -0.029974 -0.002592 0.007386 0.999520
1305031103.043227 -0.002576 -0.029928 0.049052 -0.029977 -0.002590 0.007399 0.999520
1305031103.075319 0.004857 -0.037735 0.047398 -0.034170 -0.007344 0.009235 0.999346
1305031103.111240 0.007767 -0.039097 0.048589 -0.034989 -0.009313 0.010111 0.999293
1305031103.143318 0.006917 -0.038887 0.048319 -0.034484 -0.008614 0.009720 0.999321
1305031103.175452 0.005689 -0.038948 0.048360 -0.035067 -0.007559 0.008834 0.999317
1305031103.211220 0.005287 -0.045782 0.050045 -0.040119 -0.007193 0.007291 0.999142
1305031103.243216 0.005315 -0.045911 0.049967 -0.040206 -0.007227 0.007321 0.999138
1305031103.275370 0.003350 -0.046753 0.048123 -0.041622 -0.005670 0.005034 0.999105
1305031103.311210 0.001041 -0.048971 0.050189 -0.043401 -0.004483 0.004603 0.999037
1305031103.343223 0.001044 -0.048942 0.050161 -0.043388 -0.004488 0.004596 0.999038
1305031103.375327 -0.001950 -0.046257 0.050420 -0.041940 -0.003218 0.003847 0.999108
1305031103.411260 -0.001138 -0.048268 0.049917 -0.043838 -0.003315 0.003094 0.999028
1305031103.443280 -0.009647 -0.047503 0.048392 -0.043053 0.002455 0.005173 0.999056
1305031103.475274 -0.013115 -0.043246 0.048119 -0.039957 0.004227 0.005240 0.999179
1305031103.511333 -0.017050 -0.038758 0.048656 -0.036417 0.005780 0.005310 0.999306
1305031103.543444 -0.017582 -0.041999 0.047773 -0.035413 0.004313 0.003563 0.999357
1305031103.575474 -0.021023 -0.048745 0.028284 -0.034315 0.005184 -0.000432 0.999398
1305031103.611223 -0.015898 -0.049490 0.021141 -0.031199 0.000974 -0.003740 0.999506
1305031103.643445 -0.012071 -0.034853 0.014571 -0.020105 -0.003635 -0.004111 0.999783
1305031103.675523 -0.014740 -0.022084 0.007491 -0.010490 -0.004631 -0.007424 0.999907
1305031103.711610 -0.008935 -0.003464 0.006120 0.002316 -0.009495 -0.005626 0.999936
1305031103.743326 -0.001323 0.016334 0.003563 0.015474 -0.014354 -0.005417 0.999763
1305031103.775342 -0.002121 0.023608 -0.006397 0.022821 -0.013814 -0.005834 0.999627
1305031103.811242 0.001104 0.036176 -0.007262 0.031255 -0.016109 -0.005330 0.999367
1305031103.843251 -0.000627 0.042751 -0.013936 0.034298 -0.014252 -0.007299 0.999283
1305031103.875361 0.001640 0.047682 -0.020933 0.034912 -0.015426 -0.010240 0.999219
1305031103.911221 -0.003004 0.048869 -0.024953 0.033257 -0.014197 -0.012428 0.999269
1305031103.943211 -0.004815 0.045057 -0.031163 0.032725 -0.014190 -0.011950 0.999292
1305031103.975373 0.003091 0.041046 -0.036266 0.031897 -0.020606 -0.009443 0.999234
1305031104.011232 0.003647 0.041471 -0.034871 0.033254 -0.020456 -0.010228 0.999185
1305031104.043249 0.007725 0.044035 -0.049031 0.037617 -0.022301 -0.010183 0.998991
1305031104.075425 -0.000572 0.055310 -0.075285 0.049999 -0.014701 -0.016965 0.998497
1305031104.111235 -0.028135 0.095900 -0.173557 0.064143 -0.001407 -0.023876 0.997654
1305031104.143230 -0.048534 0.119913 -0.207719 0.073033 0.011440 -0.035476 0.996633
1305031104.175424 -0.042480 0.118834 -0.233475 0.075611 0.012871 -0.034062 0.996472
1305031104.211283 -0.040467 0.115152 -0.282594 0.080187 0.016032 -0.034380 0.996058
1305031104.243196 -0.084946 0.195836 -0.414554 0.093877 0.036377 -0.053736 0.993467
1305031104.275546 -0.084197 0.223046 -0.433624 0.109483 0.037651 -0.053071 0.991857
1305031104.311219 -0.083308 0.225696 -0.431155 0.112192 0.037681 -0.052822 0.991566
