# timestamp tx ty tz qx qy qz qw
1341845820.887882 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845820.920082 -0.002588 0.002516 -0.002535 -0.000503 0.000084 -0.000950 0.999999
1341845820.955790 -0.002999 0.001540 -0.003341 -0.001995 -0.000852 -0.001009 0.999997
1341845820.987817 -0.001576 -0.000517 -0.002932 -0.002974 -0.001241 -0.001349 0.999994
1341845821.019783 -0.002942 -0.001028 -0.000636 -0.003091 -0.001290 -0.001595 0.999993
1341845821.055706 -0.005323 -0.001338 0.000146 -0.002549 -0.001492 -0.000729 0.999995
1341845821.087831 -0.004553 -0.004213 0.000747 -0.001880 -0.003111 0.001805 0.999992
1341845821.119871 0.002337 -0.002270 0.003308 0.000314 -0.002984 0.003984 0.999988
1341845821.155881 0.004038 0.001144 0.000002 0.000694 -0.000225 0.005033 0.999987
1341845821.188556 -0.000797 -0.003503 0.002562 0.000058 0.002200 0.006923 0.999974
1341845821.223751 0.002845 -0.009595 -0.000788 0.002342 0.002203 0.009622 0.999949
1341845821.256005 0.006542 0.001683 -0.003633 0.004567 0.003224 0.009188 0.999942
1341845821.287883 0.007654 -0.000703 -0.002753 0.002519 0.005674 0.008150 0.999948
1341845821.323879 0.009578 -0.004327 -0.000322 0.002357 0.007649 0.006690 0.999946
1341845821.355690 0.005428 -0.001683 0.003614 0.003473 0.010338 0.006325 0.999921
1341845821.388161 0.002647 -0.004282 0.004269 0.003132 0.011242 0.007685 0.999902
1341845821.424470 0.010711 -0.008208 0.002133 0.004439 0.011684 0.008747 0.999884
1341845821.455778 0.008778 -0.001812 0.000901 0.005536 0.014421 0.007997 0.999849
1341845821.488014 0.004366 -0.005591 0.005552 0.004920 0.015873 0.007963 0.999830
1341845821.524370 0.008294 -0.009984 0.003534 0.006238 0.016154 0.008624 0.999813
1341845821.555644 0.006435 -0.005467 0.003921 0.008411 0.017698 0.008520 0.999772
1341845821.587677 0.002685 -0.002005 -0.001030 0.008782 0.017832 0.007891 0.999771
1341845821.623761 0.004062 -0.003520 0.001652 0.008095 0.016924 0.007206 0.999798
1341845821.655725 0.004608 -0.002106 0.001469 0.008145 0.016838 0.006008 0.999807
1341845821.691884 0.002426 -0.001352 0.000295 0.007171 0.017075 0.005081 0.999816
1341845821.724228 -0.000572 -0.006267 0.000581 0.006499 0.016540 0.005217 0.999828
1341845821.755681 -0.001009 -0.006053 0.000704 0.007463 0.015455 0.005875 0.999835
1341845821.791636 0.001351 -0.006594 0.004256 0.008368 0.014590 0.006568 0.999837
1341845821.823697 0.004189 -0.003688 -0.000595 0.009365 0.014933 0.005421 0.999830
