# timestamp tx ty tz qx qy qz qw
1341846313.654184 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686156 0.008570 -0.003584 -0.003769 0.000553 -0.002503 -0.000463 0.999997
1341846313.721918 0.018695 0.002421 -0.005712 0.001105 -0.004300 0.000593 0.999990
1341846313.753994 0.025133 0.001128 0.001024 0.000409 -0.004876 0.002018 0.999986
1341846313.789969 0.032237 -0.002110 -0.000509 0.001063 -0.005608 0.000589 0.999984
1341846313.822075 0.044210 0.001782 -0.008964 0.001587 -0.005373 -0.000282 0.999984
1341846313.853928 0.051228 -0.000217 -0.006856 0.000604 -0.003094 -0.001139 0.999994
1341846313.890011 0.053855 0.002503 -0.009408 0.000818 -0.001093 -0.000798 0.999999
1341846313.922055 0.064780 0.008137 -0.009949 -0.000696 -0.001693 0.001070 0.999998
1341846313.957927 0.097638 0.009395 -0.001415 -0.002545 -0.000897 0.002487 0.999993
1341846313.990058 0.107806 0.010338 -0.001443 -0.003523 0.004462 0.003288 0.999978
1341846314.022042 0.077291 0.013394 -0.004864 -0.005387 0.010766 0.004048 0.999919
1341846314.057816 0.102748 0.013967 0.008053 -0.009074 0.011596 0.006057 0.999873
1341846314.089801 0.118477 0.009297 0.009218 -0.008782 0.015289 0.006835 0.999821
1341846314.122037 0.113423 0.019648 -0.000243 -0.008625 0.020180 0.009595 0.999713
1341846314.157989 0.129724 0.017021 0.012175 -0.011184 0.022306 0.010511 0.999633
1341846314.190094 0.133337 0.017123 0.007341 -0.010902 0.026118 0.011301 0.999536
1341846314.225969 0.139842 0.021830 -0.003874 -0.012856 0.027886 0.014763 0.999419
1341846314.257923 0.144621 0.019239 0.021806 -0.015041 0.030065 0.013946 0.999337
1341846314.290052 0.144641 0.014961 0.008095 -0.014226 0.032192 0.012752 0.999299
1341846314.325981 0.154934 0.021694 0.004851 -0.014506 0.032604 0.010986 0.999303
1341846314.357905 0.165563 0.019020 0.020474 -0.015602 0.034927 0.010150 0.999217
1341846314.389899 0.165242 0.016474 0.016838 -0.014293 0.038243 0.008959 0.999126
1341846314.427905 0.176667 0.020601 0.004179 -0.014053 0.039481 0.007910 0.999090
1341846314.493987 0.185323 0.015418 0.012641 -0.013031 0.049271 -0.000728 0.998700
1341846314.526085 0.192605 0.018845 0.004320 -0.012612 0.051028 -0.002034 0.998616
1341846314.558292 0.201218 0.018235 0.013203 -0.013945 0.053667 -0.000618 0.998461
1341846314.594085 0.208558 0.009856 0.014404 -0.013569 0.058140 -0.000668 0.998216
1341846314.626096 0.210484 0.017572 0.001946 -0.012231 0.062270 0.000036 0.997984
1341846314.658455 0.217496 0.018744 0.004521 -0.014229 0.063943 -0.000970 0.997852
1341846314.694004 0.226867 0.007912 0.020978 -0.015079 0.067711 -0.001898 0.997589
1341846314.725910 0.226704 0.004482 0.024933 -0.011201 0.070804 0.002660 0.997424
1341846314.761942 0.229866 0.005467 0.015207 -0.007431 0.071137 0.006245 0.997419
1341846314.794030 0.241308 0.001894 0.005735 -0.004979 0.073146 0.007136 0.997283
1341846314.826092 0.250943 0.005203 -0.007071 -0.002448 0.076670 0.007810 0.997023
1341846314.862145 0.259110 0.007491 -0.010927 -0.002173 0.080058 0.008704 0.996750
1341846314.894072 0.264277 0.006770 -0.008029 -0.002514 0.084045 0.010270 0.996406
1341846314.925969 0.268876 0.007017 -0.016267 -0.002510 0.086472 0.013580 0.996159
1341846314.961937 0.275619 0.014980 -0.029630 -0.004913 0.086762 0.019450 0.996027
1341846314.994564 0.274914 0.012770 -0.029076 -0.008158 0.088564 0.016070 0.995907
1341846315.029900 0.292780 0.015061 -0.010645 -0.007934 0.090708 0.013121 0.995759
