# timestamp tx ty tz qx qy qz qw
1341845820.887882 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845820.920082 -0.002868 0.002409 -0.002437 -0.000526 0.000100 -0.001086 0.999999
1341845820.955790 -0.002893 0.001050 -0.003793 -0.002052 -0.000873 -0.001163 0.999997
1341845820.987817 -0.001447 -0.000768 -0.003643 -0.003001 -0.001263 -0.001424 0.999994
1341845821.019783 -0.002585 -0.001400 -0.001857 -0.003119 -0.001329 -0.001625 0.999993
1341845821.055706 -0.005256 -0.002459 -0.000375 -0.002665 -0.001483 -0.000956 0.999995
1341845821.087831 -0.004389 -0.004031 0.000097 -0.001885 -0.003124 0.001707 0.999992
1341845821.119871 0.001692 -0.001480 0.005842 0.000432 -0.002945 0.004067 0.999987
1341845821.155881 0.004647 0.001061 0.000268 0.000736 -0.000318 0.005120 0.999987
1341845821.188556 -0.001517 -0.003149 0.005175 0.000116 0.002268 0.006827 0.999974
1341845821.223751 0.003118 -0.008326 0.000196 0.002478 0.002121 0.009661 0.999948
1341845821.256005 0.005791 0.002254 -0.001691 0.004637 0.003273 0.009193 0.999942
1341845821.287883 0.007093 -0.000265 -0.002549 0.002558 0.005696 0.008176 0.999947
1341845821.323879 0.009501 -0.003364 0.001256 0.002485 0.007592 0.006855 0.999945
1341845821.355690 0.004989 -0.001810 0.003359 0.003472 0.010329 0.006333 0.999921
1341845821.388161 0.002849 -0.004219 0.003227 0.003147 0.011201 0.007795 0.999902
1341845821.424470 0.010784 -0.006925 0.005002 0.004599 0.011683 0.008877 0.999882
1341845821.455778 0.008245 -0.001204 0.003605 0.005618 0.014449 0.007963 0.999848
1341845821.488014 0.004468 -0.006051 0.005961 0.004913 0.015832 0.008035 0.999830
1341845821.524370 0.007473 -0.008514 0.008124 0.006424 0.016208 0.008721 0.999810
1341845821.555644 0.005947 -0.005785 0.005886 0.008437 0.017720 0.008583 0.999771
