# timestamp tx ty tz qx qy qz qw
1341845820.887882 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845820.920082 -0.001945 0.003640 -0.001402 -0.000428 0.000015 -0.000702 1.000000
1341845820.955790 -0.002025 0.002278 -0.001765 -0.001913 -0.000937 -0.000864 0.999997
1341845820.987817 -0.000796 0.001050 -0.001677 -0.002799 -0.001320 -0.001032 0.999995
1341845821.019783 -0.001898 0.000111 -0.001383 -0.002949 -0.001405 -0.001242 0.999994
1341845821.055706 -0.003446 0.000003 -0.001588 -0.002314 -0.001711 0.000044 0.999996
1341845821.087831 -0.002375 -0.001952 -0.001120 -0.001525 -0.003389 0.002695 0.999989
1341845821.119871 0.005097 -0.000850 -0.001043 0.000589 -0.003229 0.004892 0.999983
1341845821.155881 0.003727 0.002154 -0.001686 0.000807 -0.000076 0.005752 0.999983
1341845821.188556 0.001457 -0.001502 0.000557 0.000372 0.001977 0.007829 0.999967
1341845821.223751 0.002971 -0.004971 0.000777 0.003141 0.002167 0.010036 0.999942
1341845821.256005 0.006389 0.002456 -0.004059 0.004645 0.003266 0.009538 0.999938
1341845821.287883 0.007351 -0.000067 -0.001958 0.002600 0.005722 0.008215 0.999946
1341845821.323879 0.010037 -0.003743 -0.001530 0.002507 0.007593 0.006897 0.999944
1341845821.355690 0.007404 -0.001024 -0.001026 0.003580 0.010185 0.007021 0.999917
1341845821.388161 0.006384 -0.003245 -0.000804 0.003363 0.010834 0.008694 0.999898
1341845821.424470 0.012686 -0.006037 -0.000823 0.004835 0.011450 0.009441 0.999878
1341845821.455778 0.009114 -0.001724 -0.000975 0.005555 0.014447 0.008333 0.999845
1341845821.488014 0.006420 -0.005410 0.000948 0.005014 0.015674 0.008507 0.999828
1341845821.524370 0.009425 -0.007987 0.001025 0.006584 0.016018 0.009310 0.999807
1341845821.555644 0.006782 -0.005932 0.000536 0.008397 0.017691 0.008830 0.999769
1341845821.587677 0.003092 -0.002853 -0.001405 0.008652 0.017845 0.007915 0.999772
1341845821.623761 0.004509 -0.004927 -0.001447 0.007906 0.016918 0.007225 0.999800
1341845821.655725 0.005741 -0.003486 -0.002788 0.007948 0.016756 0.006160 0.999809
1341845821.691884 0.003994 -0.003052 -0.003326 0.006920 0.016955 0.005192 0.999819
1341845821.724228 0.002134 -0.006976 -0.002187 0.006458 0.016297 0.005464 0.999831
1341845821.755681 0.001618 -0.006383 -0.002014 0.007441 0.015195 0.006415 0.999836
1341845821.791636 0.003801 -0.007918 -0.001010 0.008248 0.014363 0.006769 0.999840
1341845821.823697 0.004422 -0.004981 -0.002680 0.009172 0.014941 0.005349 0.999832
1341845821.855574 0.002264 -0.005898 -0.002381 0.008098 0.015966 0.003705 0.999833
1341845821.891741 0.000913 -0.010147 -0.001567 0.008230 0.015812 0.003616 0.999835
1341845821.923730 0.003179 -0.009453 -0.002180 0.009861 0.015583 0.004371 0.999820
1341845821.955750 0.001392 -0.007252 -0.003722 0.010769 0.016171 0.004265 0.999802
1341845821.991786 0.001942 -0.006373 -0.003407 0.010257 0.016472 0.003508 0.999806
1341845822.023863 -0.001721 -0.009406 -0.002027 0.009897 0.017386 0.003179 0.999795
1341845822.059759 -0.003639 -0.006624 -0.002466 0.010131 0.017505 0.003221 0.999790
1341845822.091719 -0.002616 -0.012480 -0.001056 0.009471 0.017566 0.003334 0.999795
1341845822.123689 -0.002969 -0.012462 -0.001800 0.011328 0.018502 0.002978 0.999760
1341845822.185916 -0.013599 -0.012893 -0.002024 0.010407 0.019388 0.003506 0.999752
1341845822.221838 -0.014225 -0.012726 -0.002362 0.012170 0.017660 0.004500 0.999760
1341845822.254004 -0.016766 -0.007828 -0.002906 0.012130 0.017130 0.004132 0.999771
1341845822.289876 -0.020347 -0.013463 -0.000386 0.010743 0.016679 0.003091 0.999798
1341845822.321804 -0.021623 -0.013890 0.000628 0.011723 0.016204 0.002047 0.999798
1341845822.353784 -0.024598 -0.013863 0.000883 0.012398 0.016408 0.001671 0.999787
1341845822.391662 -0.028389 -0.015138 0.001516 0.013162 0.017077 0.001621 0.999766
1341845822.428074 -0.034745 -0.013302 0.000577 0.013821 0.017338 0.001552 0.999753
1341845822.459970 -0.037931 -0.012962 0.001099 0.013260 0.016762 0.001711 0.999770
1341845822.495728 -0.042422 -0.015615 0.002420 0.013027 0.016474 0.001674 0.999778
1341845822.527724 -0.047668 -0.013499 0.001526 0.013334 0.016168 0.001673 0.999779
1341845822.559648 -0.051055 -0.012912 0.002584 0.012292 0.015301 0.002692 0.999804
1341845822.595852 -0.052521 -0.015185 0.003783 0.011941 0.015002 0.002895 0.999812
1341845822.627724 -0.059018 -0.012027 0.003774 0.011480 0.015880 0.002900 0.999804
1341845822.663716 -0.069219 -0.020403 0.008386 0.010636 0.015365 0.006249 0.999806
1341845822.695601 -0.067573 -0.022950 0.007106 0.014710 0.012188 0.009913 0.999768
1341845822.731816 -0.069385 -0.018326 0.006194 0.017302 0.011869 0.010733 0.999722
1341845822.789911 -0.076263 -0.018544 0.005929 0.018188 0.012836 0.010497 0.999697
1341845822.825897 -0.083611 -0.019295 0.006880 0.017253 0.014434 0.010384 0.999693
1341845822.859721 -0.091197 -0.025405 0.008845 0.017694 0.014200 0.012348 0.999666
1341845822.889712 -0.094502 -0.025749 0.007755 0.019995 0.012621 0.013955 0.999623
1341845822.925900 -0.094439 -0.024173 0.007180 0.021045 0.011427 0.013469 0.999622
1341845822.957708 -0.095203 -0.025634 0.007906 0.021141 0.011934 0.011869 0.999635
1341845822.989939 -0.101412 -0.027866 0.008602 0.022167 0.012739 0.011282 0.999609
1341845823.025889 -0.102287 -0.028255 0.008982 0.024200 0.012300 0.011647 0.999564
1341845823.057775 -0.100396 -0.027791 0.008888 0.025652 0.013482 0.011527 0.999514
1341845823.093671 -0.106920 -0.027596 0.008984 0.026975 0.016420 0.011286 0.999438
1341845823.125951 -0.110760 -0.026452 0.008129 0.027861 0.017411 0.012284 0.999385
1341845823.157773 -0.113796 -0.028786 0.008804 0.028305 0.018806 0.012427 0.999345
1341845823.193885 -0.122156 -0.023195 0.006951 0.029134 0.019699 0.011642 0.999314
1341845823.225800 -0.126355 -0.023856 0.007972 0.027174 0.018336 0.011393 0.999398
1341845823.261842 -0.126733 -0.025941 0.008607 0.026696 0.016884 0.010896 0.999442
1341845823.293622 -0.129437 -0.018959 0.006293 0.026062 0.017124 0.009720 0.999466
1341845823.325746 -0.128418 -0.022091 0.007327 0.022259 0.018923 0.009720 0.999526
1341845823.361852 -0.130929 -0.028736 0.010231 0.022198 0.022450 0.010840 0.999443
1341845823.394013 -0.137341 -0.028433 0.010081 0.024629 0.025639 0.013793 0.999273
1341845823.426028 -0.148404 -0.029773 0.009904 0.025728 0.027844 0.016482 0.999145
1341845823.461869 -0.152101 -0.031697 0.008158 0.026295 0.027093 0.017642 0.999131
1341845823.493758 -0.150826 -0.032257 0.007275 0.026512 0.027626 0.017887 0.999107
1341845823.529780 -0.160053 -0.034102 0.007397 0.026439 0.030145 0.018149 0.999031
1341845823.561916 -0.170759 -0.036593 0.006881 0.026534 0.029613 0.018788 0.999033
1341845823.593678 -0.173811 -0.036666 0.007615 0.026936 0.026485 0.020452 0.999077
1341845823.629815 -0.170757 -0.036279 0.008048 0.026699 0.026079 0.020798 0.999087
1341845823.661750 -0.181502 -0.039101 0.009541 0.025925 0.027977 0.020115 0.999070
1341845823.695523 -0.192335 -0.048347 0.013502 0.026938 0.026557 0.021604 0.999051
1341845823.729635 -0.193032 -0.047686 0.012277 0.031122 0.023279 0.023280 0.998973
1341845823.761810 -0.197981 -0.045934 0.010833 0.033549 0.021656 0.023687 0.998922
1341845823.797871 -0.204264 -0.045006 0.009368 0.033792 0.018690 0.022560 0.998999
1341845823.829660 -0.206328 -0.048349 0.011324 0.032999 0.014889 0.020537 0.999133
1341845823.861808 -0.214330 -0.050706 0.012610 0.033697 0.012237 0.018388 0.999188
1341845823.929826 -0.220077 -0.052120 0.010398 0.033769 0.005045 0.015109 0.999303
1341845823.961797 -0.226529 -0.050019 0.008421 0.032590 0.004547 0.011450 0.999393
1341845823.998070 -0.232095 -0.055524 0.014414 0.031009 0.004437 0.009618 0.999463
1341845824.029656 -0.237044 -0.055008 0.011788 0.031971 0.004411 0.010834 0.999420
1341845824.065768 -0.234777 -0.054880 0.009989 0.031929 0.005775 0.013427 0.999383
1341845824.097956 -0.216421 -0.046816 0.001970 0.031191 0.008815 0.013138 0.999388
1341845824.130299 -0.240153 -0.047768 0.007722 0.025483 0.030020 0.012482 0.999146
1341845824.165751 -0.237189 -0.047028 0.002546 0.020221 0.039470 0.014352 0.998913
1341845824.197930 -0.253839 -0.061879 0.017388 0.017071 0.044296 0.013229 0.998785
1341845824.229907 -0.261945 -0.064692 0.013992 0.021398 0.044904 0.013715 0.998668
1341845824.265800 -0.283690 -0.064830 0.010185 0.024047 0.043090 0.013969 0.998684
1341845824.298080 -0.282984 -0.066091 0.011186 0.025100 0.034713 0.014085 0.998983
1341845824.333783 -0.279603 -0.071791 0.018462 0.027219 0.030560 0.013751 0.999068
1341845824.365821 -0.284600 -0.068680 0.003554 0.029881 0.031045 0.012972 0.998987
1341845824.398039 -0.293545 -0.068276 -0.000285 0.029145 0.030793 0.011403 0.999036
1341845824.433843 -0.305384 -0.071775 0.005684 0.028609 0.028650 0.011826 0.999110
1341845824.465921 -0.314129 -0.074112 0.003565 0.029859 0.025733 0.016355 0.999089
1341845824.501802 -0.318951 -0.068697 0.000894 0.030123 0.023866 0.021302 0.999034
1341845824.533723 -0.325484 -0.069523 -0.000304 0.028061 0.021666 0.025375 0.999049
1341845824.565735 -0.330288 -0.071892 0.002508 0.025828 0.018881 0.028604 0.999079
1341845824.601758 -0.335502 -0.073428 0.004110 0.025502 0.017075 0.032285 0.999007
1341845824.633861 -0.341420 -0.072518 0.001739 0.025030 0.015471 0.036154 0.998913
1341845824.665789 -0.346263 -0.075136 0.002074 0.024506 0.013467 0.039334 0.998835
1341845824.701769 -0.354370 -0.076581 0.004304 0.025037 0.011037 0.041326 0.998771
1341845824.733585 -0.355400 -0.075490 0.001686 0.026583 0.008256 0.043056 0.998685
1341845824.769643 -0.363351 -0.064854 -0.006648 0.025946 0.007471 0.043618 0.998683
1341845824.801632 -0.369434 -0.074528 0.000685 0.021029 0.004026 0.043127 0.998840
1341845824.833654 -0.371181 -0.085281 0.005289 0.021672 0.001604 0.042500 0.998860
1341845824.869926 -0.374848 -0.077958 -0.000715 0.026329 0.001577 0.044101 0.998679
1341845824.902071 -0.382502 -0.075920 -0.004354 0.025349 0.001090 0.043327 0.998739
1341845824.933752 -0.383028 -0.083927 -0.002445 0.024844 0.000524 0.040622 0.998866
1341845824.969855 -0.385064 -0.077868 -0.007088 0.025861 0.002067 0.039105 0.998898
1341845825.001907 -0.388833 -0.078986 -0.006771 0.024119 0.005177 0.038856 0.998940
1341845825.037975 -0.398413 -0.084121 -0.002536 0.023178 0.008790 0.037456 0.998991
1341845825.075793 -0.408793 -0.094070 -0.000583 0.024914 0.008490 0.038519 0.998911
1341845825.107881 -0.408354 -0.093931 -0.000014 0.030434 0.008066 0.040142 0.998698
1341845825.143675 -0.410121 -0.090756 -0.003620 0.033925 0.009965 0.039036 0.998612
1341845825.175707 -0.416070 -0.093223 -0.005294 0.034087 0.011500 0.035754 0.998713
1341845825.211865 -0.419733 -0.088785 -0.006579 0.035953 0.011849 0.035474 0.998653
1341845825.243814 -0.420418 -0.098889 -0.004831 0.036870 0.013353 0.037108 0.998542
1341845825.275795 -0.431128 -0.090963 -0.007486 0.040149 0.015513 0.036613 0.998402
1341845825.311665 -0.440483 -0.094522 -0.009076 0.040610 0.014495 0.038140 0.998342
1341845825.343650 -0.441078 -0.088181 -0.014338 0.041087 0.012568 0.039648 0.998290
1341845825.379771 -0.446803 -0.093565 -0.007607 0.038187 0.012736 0.040541 0.998367
