# timestamp tx ty tz qx qy qz qw
1341845820.887882 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845820.920082 -0.001503 0.004081 -0.001022 -0.000339 -0.000051 -0.000677 1.000000
1341845820.955790 -0.001890 0.004023 0.001938 -0.001683 -0.000928 -0.000866 0.999998
1341845820.987817 -0.000646 0.003537 0.002319 -0.002415 -0.001319 -0.001110 0.999996
1341845821.019783 -0.001336 0.003388 0.003503 -0.002420 -0.001559 -0.001171 0.999995
1341845821.055706 -0.003876 0.001629 0.000909 -0.002079 -0.001675 0.000080 0.999996
1341845821.087831 -0.004815 -0.001806 -0.001925 -0.001478 -0.003090 0.002630 0.999991
1341845821.119871 0.004358 -0.000457 -0.000779 0.000650 -0.003074 0.004791 0.999984
1341845821.155881 0.003445 0.004346 0.000179 0.001182 0.000029 0.005644 0.999983
1341845821.188556 -0.348220 -0.043415 -0.033156 -0.014104 0.055038 -0.063195 0.996383
1341845821.223751 0.003514 -0.003657 -0.003360 0.003398 0.001898 0.010072 0.999942
1341845821.256005 0.008764 0.002624 -0.007315 0.004666 0.002837 0.009568 0.999939
1341845821.287883 0.008790 -0.001319 -0.005753 0.002450 0.005335 0.008220 0.999949
1341845821.323879 0.012701 -0.004254 -0.007179 0.002529 0.006882 0.006760 0.999950
1341845821.355690 0.012611 0.000535 -0.004417 0.003971 0.009034 0.007197 0.999925
1341845821.388161 0.012127 -0.000415 -0.002895 0.003969 0.009589 0.008941 0.999906
1341845821.424470 0.019886 -0.010567 -0.009446 0.004079 0.009844 0.009711 0.999896
1341845821.455778 0.012658 -0.004122 -0.008304 0.005258 0.013543 0.008638 0.999857
1341845821.488014 0.010035 -0.008315 -0.008207 0.004650 0.014745 0.008898 0.999841
1341845821.524370 0.015529 -0.009497 -0.009515 0.006524 0.014572 0.009571 0.999827
1341845821.555644 0.011824 -0.007726 -0.009763 0.008325 0.016449 0.009213 0.999788
1341845821.587677 0.007635 -0.004710 -0.010172 0.008492 0.016702 0.008295 0.999790
1341845821.623761 0.009594 -0.005454 -0.006357 0.007892 0.015787 0.007581 0.999815
1341845821.655725 0.010178 -0.004486 -0.009841 0.007912 0.015725 0.006474 0.999824
1341845821.691884 0.008985 -0.003724 -0.012526 0.007041 0.015778 0.005603 0.999835
