# timestamp tx ty tz qx qy qz qw
1341845820.887882 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845820.920082 -0.001483 0.004368 -0.001078 -0.000277 -0.000057 -0.000681 1.000000
1341845820.955790 -0.001868 0.004055 0.001624 -0.001665 -0.000936 -0.000871 0.999998
1341845820.987817 -0.000545 0.004026 0.001961 -0.002300 -0.001343 -0.001120 0.999996
1341845821.019783 -0.001047 0.004124 0.002930 -0.002250 -0.001609 -0.001174 0.999995
1341845821.055706 -0.004404 0.001748 0.000774 -0.002048 -0.001569 0.000040 0.999997
1341845821.087831 -0.004509 -0.001200 -0.001711 -0.001356 -0.003129 0.002637 0.999991
1341845821.119871 0.003674 -0.000472 -0.001042 0.000659 -0.002941 0.004780 0.999984
1341845821.155881 0.002648 0.004681 -0.000294 0.001271 0.000182 0.005621 0.999983
1341845821.188556 -0.272003 -0.037251 -0.030397 -0.010845 0.043268 -0.048769 0.997814
1341845821.223751 0.004300 -0.002516 -0.002916 0.003671 0.001771 0.010156 0.999940
1341845821.256005 0.008942 0.002907 -0.007000 0.004732 0.002801 0.009613 0.999939
1341845821.287883 0.009434 -0.000955 -0.005140 0.002508 0.005217 0.008260 0.999949
1341845821.323879 0.013087 -0.003658 -0.005904 0.002627 0.006838 0.006833 0.999950
1341845821.355690 0.012573 0.001052 -0.003363 0.004057 0.009061 0.007209 0.999925
1341845821.388161 0.012190 0.000010 -0.002132 0.004050 0.009599 0.008967 0.999906
1341845821.424470 0.019660 -0.010165 -0.008254 0.004147 0.009909 0.009738 0.999895
1341845821.455778 0.012158 -0.003620 -0.006636 0.005320 0.013682 0.008586 0.999855
1341845821.488014 0.009614 -0.007591 -0.006129 0.004751 0.014872 0.008840 0.999839
1341845821.524370 0.013964 -0.008764 -0.006842 0.006629 0.014935 0.009527 0.999821
1341845821.555644 0.010434 -0.006944 -0.006955 0.008416 0.016782 0.009114 0.999782
1341845821.587677 0.006383 -0.004063 -0.007838 0.008575 0.017010 0.008202 0.999785
1341845821.623761 0.008209 -0.005154 -0.004922 0.007933 0.016094 0.007484 0.999811
1341845821.655725 0.009007 -0.004021 -0.007902 0.007969 0.015996 0.006406 0.999820
1341845821.691884 0.007576 -0.003211 -0.010097 0.007089 0.016099 0.005497 0.999830
1341845821.724228 0.006636 -0.008333 -0.011086 0.006434 0.015230 0.005938 0.999846
1341845821.755681 0.005145 -0.008429 -0.008382 0.007193 0.014357 0.006740 0.999848
1341845821.791636 0.008941 -0.010232 -0.007248 0.007922 0.013191 0.007118 0.999856
1341845821.823697 0.007035 -0.004741 -0.007307 0.009327 0.014311 0.005532 0.999839
1341845821.855574 0.005332 -0.008023 -0.009098 0.007847 0.015211 0.003988 0.999846
1341845821.891741 0.005302 -0.009690 -0.006225 0.008438 0.014870 0.003941 0.999846
1341845821.923730 0.009426 -0.008543 -0.007990 0.010187 0.014264 0.004943 0.999834
1341845821.955750 0.005293 -0.007085 -0.010010 0.010972 0.015233 0.004596 0.999813
1341845821.991786 0.006035 -0.006372 -0.008613 0.010380 0.015527 0.003851 0.999818
1341845822.023863 -0.223755 -0.049660 -0.034580 0.002488 0.050538 -0.033699 0.998150
1341845822.059759 0.000411 -0.007171 -0.010934 0.010255 0.016517 0.003606 0.999804
1341845822.091719 -0.276107 -0.059782 -0.041438 -0.000532 0.057325 -0.047801 0.997210
1341845822.123689 0.001781 -0.015289 -0.011306 0.011020 0.017317 0.003386 0.999784
1341845822.185916 -0.003188 -0.012333 -0.009592 0.010616 0.017253 0.004315 0.999785
1341845822.221838 -0.006663 -0.011447 -0.008424 0.012554 0.015956 0.004942 0.999782
1341845822.254004 -0.010915 -0.006453 -0.009416 0.012608 0.015868 0.004596 0.999784
1341845822.289876 -0.016298 -0.015246 -0.009329 0.010631 0.015685 0.003545 0.999814
1341845822.321804 -0.253760 -0.055162 -0.029137 0.003525 0.050253 -0.038394 0.997992
1341845822.353784 -0.022435 -0.014095 -0.005117 0.012485 0.015746 0.001870 0.999796
1341845822.391662 -0.025531 -0.013702 -0.004218 0.013570 0.016237 0.001853 0.999774
1341845822.428074 -0.031845 -0.012761 -0.005635 0.014057 0.016491 0.001821 0.999764
1341845822.459970 -0.034931 -0.011928 -0.004453 0.013576 0.015905 0.001950 0.999779
1341845822.495728 -0.039237 -0.014779 -0.003066 0.013300 0.015589 0.001939 0.999788
1341845822.527724 -0.044866 -0.013005 -0.004972 0.013574 0.015332 0.001889 0.999789
1341845822.559648 -0.048323 -0.014192 -0.005097 0.012223 0.014476 0.002992 0.999816
1341845822.595852 -0.048683 -0.014450 0.001806 0.012072 0.014049 0.003161 0.999823
1341845822.627724 -0.054968 -0.011856 0.000283 0.011569 0.014887 0.003227 0.999817
1341845822.663716 -0.062360 -0.024405 -0.011517 0.010357 0.014179 0.007487 0.999818
1341845822.695601 -0.064917 -0.022639 0.000684 0.014861 0.011444 0.010212 0.999772
1341845822.731816 -0.067788 -0.020043 0.002877 0.016928 0.011344 0.010946 0.999732
1341845822.789911 -0.075677 -0.021183 0.003667 0.017578 0.012504 0.010608 0.999711
1341845822.825897 -0.081476 -0.022580 0.000075 0.016708 0.013772 0.010699 0.999708
1341845822.859721 -0.089729 -0.024249 0.011718 0.017602 0.013564 0.011960 0.999682
1341845822.889712 -0.092460 -0.023956 0.011753 0.019989 0.011886 0.013548 0.999638
1341845822.925900 -0.092929 -0.022057 0.010514 0.021124 0.010780 0.013072 0.999633
1341845822.957708 -0.094378 -0.024310 0.011486 0.021047 0.011385 0.011449 0.999648
1341845822.989939 -0.099999 -0.026303 0.011400 0.022136 0.012099 0.010884 0.999623
1341845823.025889 -0.100507 -0.025328 0.013223 0.024357 0.011599 0.011147 0.999574
1341845823.057775 -0.109871 -0.032403 0.000985 0.024745 0.014422 0.010881 0.999531
1341845823.093671 -0.117288 -0.033092 -0.003946 0.026119 0.017495 0.010810 0.999447
1341845823.125951 -0.106931 -0.023539 0.013009 0.028012 0.016265 0.012006 0.999403
1341845823.157773 -0.110302 -0.026101 0.013658 0.028345 0.017618 0.012071 0.999370
1341845823.193885 -0.119399 -0.025786 -0.000667 0.028644 0.018658 0.011751 0.999346
1341845823.225800 -0.122614 -0.024277 0.004667 0.026978 0.017165 0.011514 0.999422
1341845823.261842 -0.122123 -0.024757 0.008234 0.026717 0.015583 0.010999 0.999461
1341845823.293622 -0.127155 -0.021470 0.000420 0.025586 0.016187 0.009578 0.999496
1341845823.325746 -0.142222 -0.033913 -0.019290 0.020574 0.020633 0.009347 0.999532
1341845823.361852 -0.144492 -0.035342 -0.001054 0.020901 0.024211 0.009934 0.999439
1341845823.394013 -0.134158 -0.027609 0.014873 0.024270 0.024626 0.013476 0.999311
1341845823.426028 -0.141701 -0.027280 0.010798 0.025904 0.026104 0.016433 0.999188
1341845823.461869 -0.146059 -0.030591 0.008099 0.026207 0.025488 0.017698 0.999175
1341845823.493758 -0.151756 -0.034414 0.001386 0.025987 0.027204 0.017756 0.999134
1341845823.529780 -0.154519 -0.034123 0.005707 0.026175 0.028622 0.018207 0.999082
1341845823.561916 -0.160549 -0.037181 0.001829 0.026232 0.027237 0.019103 0.999102
1341845823.593678 -0.165122 -0.035955 0.004375 0.026857 0.024460 0.020611 0.999127
1341845823.629815 -0.168203 -0.035980 0.007070 0.026495 0.025087 0.020678 0.999120
1341845823.661750 -0.176179 -0.038405 0.007176 0.025830 0.026506 0.020096 0.999113
1341845823.695523 -0.187894 -0.044286 0.019210 0.027091 0.025261 0.020887 0.999095
1341845823.729635 -0.188478 -0.042450 0.025651 0.031219 0.021905 0.022089 0.999028
1341845823.761810 -0.200699 -0.045881 0.011532 0.033239 0.021490 0.023119 0.998949
1341845823.797871 -0.221063 -0.050805 -0.001925 0.032819 0.021092 0.021992 0.998997
1341845823.829660 -0.217975 -0.052316 0.006169 0.032154 0.016287 0.019872 0.999153
1341845823.861808 -0.237701 -0.064230 -0.015314 0.031818 0.015095 0.017598 0.999225
1341845823.929826 -0.248067 -0.065629 -0.016149 0.031848 0.008555 0.014129 0.999356
