# timestamp tx ty tz qx qy qz qw
1341845820.887882 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845820.920082 0.004750 -0.020407 0.002925 -0.005043 -0.000798 0.001022 0.999986
1341845820.955790 -0.045410 0.051978 0.006503 0.006939 0.007024 -0.000176 0.999951
1341845820.987817 -0.060071 0.056846 0.008837 0.007439 0.009441 -0.002209 0.999925
1341845821.019783 -0.025510 0.001362 0.013107 -0.002900 0.002487 0.000390 0.999993
1341845821.055706 -0.009289 0.025645 0.001180 0.002497 -0.001179 0.000186 0.999996
1341845821.087831 -0.026533 -0.004900 -0.002828 -0.002412 -0.000018 0.002450 0.999994
1341845821.119871 0.019077 -0.005490 0.002131 -0.000528 -0.005843 0.003575 0.999976
1341845821.155881 0.021281 -0.005466 0.006549 -0.001159 -0.003036 0.005353 0.999980
1341845821.188556 -0.689727 3.010883 2.528470 0.078296 -0.630336 0.772184 -0.016692
1341845821.223751 0.015286 0.014539 -0.010845 0.005382 -0.001389 0.009012 0.999944
1341845821.256005 0.044521 -0.005069 -0.007577 0.002143 -0.003644 0.007806 0.999961
1341845821.287883 0.047828 -0.065461 -0.006334 -0.009728 -0.001817 0.006938 0.999927
1341845821.323879 0.027906 -0.027980 -0.011298 -0.002639 0.003684 0.003981 0.999982
1341845821.355690 0.065187 -0.013662 -0.007146 0.000563 -0.000390 0.006532 0.999978
1341845821.388161 0.050284 0.004374 -0.005999 0.004026 0.002420 0.008354 0.999954
1341845821.424470 0.075361 -0.060170 -0.005652 -0.006450 -0.000145 0.009898 0.999930
1341845821.455778 0.111360 -0.090912 0.000215 -0.012118 -0.004184 0.010857 0.999859
1341845821.488014 0.122896 -0.104484 -0.000485 -0.014612 -0.005578 0.011176 0.999815
1341845821.524370 0.124450 -0.064151 -0.006668 -0.005486 -0.005110 0.009950 0.999922
1341845821.555644 0.148189 -0.052690 -0.009995 -0.001859 -0.007792 0.010992 0.999907
1341845821.587677 0.133519 -0.120884 0.003688 -0.014848 -0.005847 0.010558 0.999817
1341845821.623761 0.133694 -0.008901 -0.005335 0.004953 -0.006706 0.010303 0.999912
1341845821.655725 0.119375 -0.095694 0.000412 -0.010436 -0.004142 0.006920 0.999913
1341845821.691884 0.128689 -0.055841 -0.009271 -0.004069 -0.005523 0.007395 0.999949
1341845821.724228 0.130273 -0.088031 -0.006777 -0.009589 -0.007220 0.007639 0.999899
1341845821.755681 0.118607 -0.076316 -0.005746 -0.006865 -0.006081 0.008082 0.999925
1341845821.791636 0.115959 -0.059678 -0.007105 -0.003402 -0.005912 0.010131 0.999925
1341845821.823697 0.085392 0.007576 -0.013137 0.009845 -0.000365 0.005727 0.999935
1341845821.855574 0.129295 -0.082492 -0.003627 -0.007810 -0.007021 0.006327 0.999925
1341845821.891741 0.085470 -0.054924 -0.007101 -0.001527 -0.001100 0.003996 0.999990
1341845821.923730 0.112909 -0.031269 -0.012423 0.004353 -0.005932 0.006809 0.999950
1341845821.955750 0.126928 -0.013065 -0.013279 0.007496 -0.006902 0.007747 0.999918
