# timestamp tx ty tz qx qy qz qw
1341845820.887882 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845820.920082 0.003196 0.014811 -0.001480 0.002104 -0.000696 -0.000806 0.999997
1341845820.955790 -0.021777 0.018755 0.011222 0.000760 0.002606 -0.000306 0.999996
1341845820.987817 -0.028422 0.045713 0.011205 0.005423 0.003472 -0.002772 0.999975
1341845821.019783 -0.012854 0.043487 0.006618 0.006007 -0.000285 -0.000286 0.999982
1341845821.055706 -0.015916 0.015107 0.002532 0.000357 0.000234 0.000787 1.000000
1341845821.087831 -0.021047 0.012546 -0.004611 0.001264 -0.001219 0.002179 0.999996
1341845821.119871 -0.002149 0.009793 -0.001922 0.002310 -0.001919 0.003580 0.999989
1341845821.155881 -0.006248 0.045793 -0.002119 0.008429 0.001939 0.004672 0.999952
1341845821.188556 -0.459446 1.036119 0.086063 0.027856 -0.065022 0.997261 0.021617
1341845821.223751 0.018738 0.030888 -0.012630 0.008685 -0.002134 0.008839 0.999921
1341845821.256005 0.030369 0.018720 -0.012010 0.006545 -0.001044 0.007941 0.999947
1341845821.287883 0.040087 -0.001956 -0.014483 0.001860 -0.000493 0.006869 0.999975
1341845821.323879 0.038191 0.024666 -0.015695 0.007108 0.001726 0.003819 0.999966
1341845821.355690 0.056202 0.043751 -0.013648 0.011205 0.001193 0.006448 0.999916
1341845821.388161 0.052693 0.049661 -0.010213 0.012408 0.001907 0.008383 0.999886
1341845821.424470 0.071576 -0.022007 -0.011546 0.000699 0.000465 0.009606 0.999954
1341845821.455778 0.074244 -0.017530 -0.013655 0.001556 0.002519 0.010748 0.999938
1341845821.488014 0.081932 -0.008802 -0.017950 0.003197 0.001756 0.010883 0.999934
1341845821.524370 0.084800 0.035910 -0.022794 0.013092 0.001981 0.009556 0.999867
1341845821.555644 0.089584 0.041300 -0.027741 0.015564 0.002824 0.010988 0.999815
1341845821.587677 0.074024 0.021371 -0.023022 0.011564 0.004838 0.010379 0.999868
1341845821.623761 0.082904 0.029027 -0.015651 0.012035 0.002638 0.010463 0.999869
1341845821.655725 0.072799 0.026413 -0.020952 0.012211 0.004266 0.006619 0.999894
1341845821.691884 0.077286 0.045892 -0.026675 0.014798 0.003762 0.006948 0.999859
1341845821.724228 0.076888 0.020338 -0.026264 0.010499 0.002432 0.007310 0.999915
1341845821.755681 0.072332 -0.007859 -0.019157 0.005865 0.002351 0.007986 0.999948
1341845821.791636 0.077937 -0.012755 -0.018514 0.005584 0.000716 0.007895 0.999953
1341845821.823697 0.049810 0.044083 -0.020712 0.016556 0.006222 0.006196 0.999824
1341845821.855574 0.075928 0.001543 -0.020553 0.007781 0.002727 0.006245 0.999947
1341845821.891741 0.056435 0.017089 -0.016490 0.013146 0.004333 0.000796 0.999904
1341845821.923730 0.071642 0.024376 -0.019864 0.015705 0.002103 0.004798 0.999863
1341845821.955750 0.072053 0.060021 -0.026787 0.021041 0.003097 0.007580 0.999745
1341845821.991786 0.070742 0.042302 -0.021682 0.017168 0.003738 0.007374 0.999818
1341845822.023863 -0.571928 1.104643 0.091785 0.034542 -0.066831 0.996954 0.020578
1341845822.059759 0.068687 0.051544 -0.029052 0.019105 0.003972 0.006007 0.999792
1341845822.091719 -0.565141 1.114597 0.093611 0.034519 -0.068907 0.996787 0.021830
1341845822.123689 0.074014 0.010249 -0.025338 0.013475 0.003974 0.005447 0.999886
1341845822.185916 0.070790 0.020870 -0.015408 0.013956 0.003472 0.007091 0.999871
1341845822.221838 0.070339 0.052506 -0.021208 0.021122 0.001748 0.006483 0.999754
1341845822.254004 0.052143 0.039416 -0.023540 0.020939 0.003254 0.001317 0.999775
1341845822.289876 0.052305 0.018716 -0.025253 0.014916 0.003321 0.005957 0.999865
1341845822.321804 -0.529902 1.132283 0.105518 0.034773 -0.070567 0.996654 0.022182
