# timestamp tx ty tz qx qy qz qw
1341846313.654000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686000 0.009160 0.001215 0.004049 0.001242 -0.002681 0.000038 0.999996
1341846313.722000 0.014159 0.003246 0.003322 0.001233 -0.003649 0.000821 0.999992
1341846313.754000 0.024850 0.000989 0.002306 0.000405 -0.004882 0.002664 0.999984
1341846313.790000 0.031916 0.000169 0.002352 0.001432 -0.005626 0.001130 0.999983
1341846313.822000 0.028602 0.002368 -0.000342 0.001689 -0.003043 0.000397 0.999994
1341846313.854000 0.023962 0.002477 0.003575 0.001090 0.000978 -0.000434 0.999999
1341846313.890000 0.008573 0.002545 -0.000724 0.000846 0.006416 -0.000428 0.999979
1341846313.922000 -0.007970 0.006387 -0.003923 -0.000873 0.010124 0.001023 0.999948
1341846313.958000 -0.012401 0.005322 0.004679 -0.002899 0.015889 0.002615 0.999866
1341846313.990000 -0.034057 0.006114 0.007516 -0.003918 0.027058 0.002836 0.999622
1341846314.022000 -0.039426 0.008371 0.018356 -0.006078 0.029572 0.003140 0.999539
1341846314.058000 -0.041937 0.010760 0.032729 -0.008845 0.033097 0.004641 0.999402
1341846314.090000 -0.056260 0.009063 0.040204 -0.008191 0.041790 0.005183 0.999079
1341846314.122000 -0.086483 0.010113 0.029612 -0.009499 0.051998 0.007235 0.998576
1341846314.158000 -0.086647 0.009221 0.042491 -0.011648 0.055894 0.008533 0.998332
1341846314.190000 -0.102636 0.008698 0.043283 -0.011525 0.063854 0.009446 0.997848
1341846314.226000 -0.116049 0.013342 0.038275 -0.013247 0.068126 0.011256 0.997525
1341846314.258000 -0.112462 0.013952 0.049825 -0.014643 0.070390 0.011680 0.997344
1341846314.290000 -0.113689 0.026285 0.050650 -0.010936 0.072493 0.008773 0.997270
1341846314.326000 -0.146884 0.007816 0.032630 -0.015370 0.074937 0.008660 0.997032
1341846314.358000 -0.139922 0.008112 0.046656 -0.016007 0.077935 0.008399 0.996795
1341846314.390000 -0.138150 0.008600 0.050776 -0.014292 0.081016 0.007008 0.996586
1341846314.428000 -0.188294 -0.008711 -0.001477 -0.016835 0.085702 0.004424 0.996169
1341846314.494000 -0.178042 -0.010292 0.010888 -0.015644 0.095225 -0.003262 0.995327
1341846314.526000 -0.187433 -0.009582 -0.001817 -0.015544 0.098076 -0.005348 0.995043
1341846314.558000 -0.206793 -0.011980 0.009139 -0.017200 0.106822 -0.003621 0.994123
1341846314.594000 -0.205914 -0.015234 0.022451 -0.016085 0.112545 -0.003107 0.993512
1341846314.626000 -0.220300 -0.012237 0.002501 -0.015307 0.117958 -0.002478 0.992897
1341846314.658000 -0.219938 -0.010487 0.004839 -0.017203 0.121202 -0.003050 0.992474
1341846314.694000 -0.196066 -0.017464 0.021426 -0.017699 0.123064 -0.004559 0.992230
1341846314.726000 -0.195574 -0.023763 0.019367 -0.013714 0.126109 -0.001047 0.991921
1341846314.762000 -0.199512 -0.021828 0.016794 -0.009804 0.127684 0.002606 0.991763
1341846314.794000 -0.202500 -0.022381 0.025093 -0.006863 0.132952 0.004870 0.991087
1341846314.826000 -0.206791 -0.022922 0.008210 -0.005007 0.137746 0.004694 0.990444
1341846314.862000 -0.208167 -0.022804 0.001635 -0.004999 0.142339 0.005670 0.989789
1341846314.894000 -0.206562 -0.025262 0.006466 -0.005529 0.146904 0.007318 0.989108
1341846314.926000 -0.211657 -0.024681 -0.002383 -0.005200 0.150776 0.010327 0.988500
1341846314.962000 -0.211450 -0.010874 -0.008296 -0.005891 0.151410 0.014677 0.988344
1341846314.995000 -0.203710 -0.012095 -0.007894 -0.009392 0.151745 0.015207 0.988258
1341846315.030000 -0.185445 -0.014316 -0.000674 -0.010135 0.154163 0.013620 0.987900
1341846315.062000 -0.190890 -0.013384 -0.009141 -0.009954 0.157262 0.015728 0.987381
1341846315.094000 -0.186832 -0.016450 -0.008777 -0.010095 0.156139 0.016823 0.987540
1341846315.130000 -0.172085 -0.017050 -0.004684 -0.008625 0.155246 0.015885 0.987710
1341846315.162000 -0.177069 0.001059 -0.008922 -0.008420 0.156182 0.018134 0.987526
1341846315.198000 -0.175227 -0.000173 -0.010258 -0.016075 0.154301 0.015280 0.987775
1341846315.230000 -0.168680 -0.007417 -0.012766 -0.020636 0.152878 0.011596 0.987962
1341846315.262000 -0.176187 -0.007091 -0.025786 -0.023289 0.151389 0.013583 0.988106
1341846315.298000 -0.156484 -0.014883 -0.016596 -0.026068 0.145877 0.017090 0.988812
1341846315.330000 -0.139985 -0.020120 -0.009854 -0.022492 0.142995 0.020593 0.989253
1341846315.362000 -0.140028 -0.017066 -0.011528 -0.016854 0.142862 0.022028 0.989354
1341846315.398000 -0.138772 -0.005411 -0.012052 -0.012367 0.143505 0.024145 0.989278
1341846315.430000 -0.149269 -0.010779 -0.018518 -0.010938 0.148170 0.026717 0.988540
1341846315.466000 -0.124381 -0.011467 -0.025546 -0.010462 0.148657 0.029301 0.988399
1341846315.498000 -0.118694 0.001740 -0.026004 -0.008201 0.150495 0.032737 0.988035
1341846315.530000 -0.115873 0.001273 -0.023341 -0.008212 0.151783 0.033687 0.987806
1341846315.566000 -0.112764 0.004155 -0.026473 -0.008522 0.153012 0.034864 0.987572
1341846315.598000 -0.107352 0.002049 -0.022115 -0.009013 0.154076 0.034548 0.987414
1341846315.630000 -0.104495 0.002312 -0.024147 -0.008915 0.154909 0.033443 0.987322
1341846315.666000 -0.108210 0.004857 -0.038020 -0.009535 0.156721 0.033118 0.987041
1341846315.698000 -0.113097 0.008440 -0.027276 -0.014688 0.161484 0.030774 0.986286
1341846315.734000 -0.115213 -0.001258 -0.020591 -0.018122 0.164268 0.031175 0.985756
1341846315.766000 -0.125880 -0.001008 -0.030326 -0.017618 0.162758 0.031682 0.986000
1341846315.798000 -0.132439 -0.001881 -0.021652 -0.018869 0.164190 0.032294 0.985719
1341846315.834000 -0.178993 0.089847 -0.059100 -0.001483 0.169612 0.020849 0.985289
1341846315.867000 -0.189377 0.092404 -0.058541 0.001291 0.172213 0.019390 0.984868
1341846315.898000 -0.207387 0.091502 -0.050013 0.002415 0.176025 0.019063 0.984198
1341846315.937000 -0.188822 0.084299 -0.064822 0.004428 0.173377 0.019409 0.984654
1341846315.967000 -0.200014 0.086280 -0.062061 0.008077 0.175753 0.017201 0.984251
1341846316.034000 -0.208317 0.084562 -0.063353 0.011426 0.175538 0.016131 0.984274
1341846316.066000 -0.215664 0.084817 -0.058713 0.013987 0.175836 0.016297 0.984185
1341846316.102000 -0.232897 0.087835 -0.062843 0.015659 0.175809 0.015963 0.984170
1341846316.134000 -0.246141 0.089306 -0.059583 0.014544 0.173978 0.013325 0.984552
1341846316.202000 -0.257277 0.083978 -0.050848 0.014169 0.169495 0.009439 0.985384
1341846316.234000 -0.255699 0.086106 -0.057205 0.014752 0.167357 0.008516 0.985749
1341846316.270000 -0.267300 0.084836 -0.051509 0.012901 0.169580 0.005368 0.985417
1341846316.302000 -0.275332 0.080575 -0.037927 0.012995 0.171252 0.003181 0.985136
1341846316.334000 -0.283368 0.080859 -0.037000 0.014924 0.170558 0.004686 0.985223
1341846316.370000 -0.285662 0.079011 -0.039549 0.016866 0.168772 0.005953 0.985493
1341846316.402000 -0.295984 0.081175 -0.041620 0.018927 0.168480 0.007143 0.985497
1341846316.438000 -0.279140 0.083679 -0.011567 0.021900 0.167058 0.009472 0.985658
1341846316.470000 -0.263247 0.094766 0.005756 0.028200 0.164940 0.014112 0.985799
1341846316.502000 -0.232172 0.110995 -0.019826 0.031830 0.155124 0.017544 0.987226
1341846316.538000 -0.220277 0.108702 -0.016302 0.028884 0.150566 0.016765 0.988036
1341846316.570000 -0.209872 0.105624 -0.000952 0.028508 0.149447 0.015452 0.988238
1341846316.602000 -0.208618 0.106192 0.000109 0.030754 0.148433 0.014076 0.988344
1341846316.638000 -0.215104 0.104047 -0.000459 0.033198 0.146960 0.015799 0.988459
1341846316.670000 -0.169411 0.109912 -0.003323 0.036363 0.138168 0.014819 0.989630
1341846316.706000 -0.172029 0.104925 0.005653 0.040238 0.138105 0.015082 0.989485
1341846316.738000 -0.181974 0.116943 -0.007748 0.044420 0.137124 0.019061 0.989374
1341846316.770000 -0.145033 0.120507 -0.012036 0.043282 0.128925 0.019720 0.990513
1341846316.806000 -0.196114 0.107026 -0.004392 0.042616 0.136654 0.018362 0.989531
1341846316.838000 -0.134788 0.119445 -0.004219 0.045160 0.125867 0.017225 0.990869
1341846316.870000 -0.138730 0.116007 0.006792 0.045454 0.122427 0.018655 0.991261
1341846316.906000 -0.141021 0.115850 0.002344 0.046335 0.118567 0.018433 0.991693
1341846316.938000 -0.142800 0.118173 -0.002149 0.046312 0.116878 0.016293 0.991932
1341846316.974000 -0.158055 0.118350 -0.002516 0.045483 0.115954 0.015382 0.992093
1341846317.006000 -0.143042 0.120409 0.003467 0.044841 0.109560 0.015796 0.992843
1341846317.038000 -0.168667 0.113300 0.013478 0.044493 0.110744 0.015600 0.992730
1341846317.074000 -0.175230 0.112615 0.016968 0.045806 0.108943 0.015952 0.992864
1341846317.106000 -0.191986 0.108293 0.029290 0.048103 0.108303 0.019168 0.992768
1341846317.138000 -0.209039 0.109776 0.017714 0.051410 0.102620 0.022820 0.993129
1341846317.174000 -0.219209 0.112420 0.010345 0.052667 0.095795 0.025011 0.993692
1341846317.206000 -0.215387 0.112871 0.014101 0.052899 0.090713 0.026053 0.994130
1341846317.248000 -0.230764 0.108995 0.022076 0.053714 0.090136 0.027431 0.994102
1341846317.306000 -0.249220 0.111007 0.022654 0.055639 0.083773 0.031738 0.994424
1341846317.348000 -0.257808 0.105689 0.020344 0.056212 0.085264 0.031997 0.994257
1341846317.410000 -0.281126 0.108963 0.021094 0.058391 0.085481 0.037705 0.993912
1341846317.443000 -0.288786 0.097617 0.018533 0.059997 0.085893 0.039293 0.993720
1341846317.474000 -0.296557 0.100007 0.016085 0.066402 0.085915 0.042922 0.993160
1341846317.510000 -0.313112 0.108456 0.016785 0.069650 0.084765 0.045320 0.992930
1341846317.542000 -0.314685 0.109836 0.010910 0.068820 0.081290 0.046669 0.993216
1341846317.574000 -0.315292 0.102975 0.020955 0.068036 0.082005 0.045510 0.993265
1341846317.610000 -0.330812 0.095434 0.021805 0.070000 0.084555 0.045485 0.992916
1341846317.644000 -0.342302 0.105366 0.022240 0.073579 0.084444 0.048221 0.992537
1341846317.678000 -0.350707 0.101108 0.025878 0.073967 0.081400 0.050581 0.992645
1341846317.710000 -0.349193 0.101195 0.022675 0.076491 0.078007 0.050117 0.992750
1341846317.742000 -0.352058 0.108946 0.009496 0.077142 0.076341 0.050840 0.992792
1341846317.778000 -0.354231 0.105742 0.008976 0.074706 0.075080 0.049599 0.993137
1341846317.810000 -0.336015 0.105084 0.009566 0.074243 0.068283 0.047888 0.993747
1341846317.842000 -0.333080 0.106980 -0.006954 0.073213 0.064851 0.046430 0.994122
1341846317.878000 -0.314949 0.107666 -0.012742 0.070693 0.060609 0.043164 0.994719
1341846317.910000 -0.301302 0.106585 -0.011756 0.070043 0.059046 0.040323 0.994978
1341846317.946000 -0.302820 0.109211 -0.001060 0.072191 0.059614 0.042108 0.994717
1341846317.978000 -0.284622 0.108617 -0.001180 0.074157 0.053802 0.041932 0.994911
1341846318.010000 -0.256161 0.110508 -0.024118 0.076324 0.048110 0.040491 0.995098
1341846318.046000 -0.263195 0.114731 -0.025834 0.076832 0.049047 0.039726 0.995044
1341846318.078000 -0.234239 0.115969 -0.026461 0.075947 0.041958 0.037468 0.995524
1341846318.110000 -0.249408 0.115293 -0.032428 0.075398 0.042902 0.035009 0.995615
1341846318.146000 -0.288190 0.112793 -0.025637 0.074581 0.041950 0.033248 0.995777
1341846318.178000 -0.291177 0.112311 -0.017679 0.074078 0.042218 0.030522 0.995891
1341846318.214000 -0.304748 0.109551 -0.007450 0.074826 0.041304 0.029174 0.995914
1341846318.246000 -0.319476 0.103409 0.007707 0.077282 0.036794 0.029197 0.995902
1341846318.278000 -0.316596 0.108045 0.001845 0.081508 0.030995 0.029265 0.995761
1341846318.314000 -0.322173 0.110653 0.003175 0.083720 0.024363 0.028665 0.995779
1341846318.346000 -0.336920 0.108234 0.003716 0.084593 0.016232 0.026615 0.995928
1341846318.382000 -0.334707 0.112275 0.016653 0.087216 0.009422 0.026379 0.995796
1341846318.414000 -0.348990 0.111411 0.020967 0.088772 0.003353 0.026422 0.995696
1341846318.446000 -0.351670 0.109847 0.023567 0.090660 -0.002706 0.026621 0.995522
1341846318.482000 -0.348816 0.113647 0.013463 0.092291 -0.006169 0.026646 0.995356
1341846318.514000 -0.360518 0.110126 0.006359 0.091960 -0.007110 0.027664 0.995353
1341846318.546000 -0.376433 0.102538 0.006996 0.092779 -0.007682 0.027627 0.995274
1341846318.582000 -0.382150 0.107885 0.000934 0.094485 -0.007655 0.027874 0.995107
1341846318.614000 -0.395130 0.107705 0.001512 0.093956 -0.007641 0.026943 0.995182
1341846318.650000 -0.403674 0.107261 0.000789 0.093507 -0.008067 0.023903 0.995299
1341846318.682000 -0.413571 0.107612 -0.002836 0.092950 -0.008256 0.021966 0.995394
1341846318.714000 -0.427247 0.106822 -0.003885 0.092531 -0.008767 0.021428 0.995441
1341846318.750000 -0.452533 0.102003 0.006750 0.093222 -0.008070 0.022917 0.995349
1341846318.782000 -0.470560 0.104321 0.000046 0.095083 -0.007783 0.024488 0.995138
1341846318.814000 -0.486921 0.104172 0.000266 0.094782 -0.012591 0.021712 0.995182
1341846318.850000 -0.503007 0.101125 0.005960 0.095046 -0.017855 0.018816 0.995135
1341846318.884000 -0.519580 0.099348 0.014887 0.098190 -0.024757 0.015842 0.994734
1341846318.918000 -0.546879 0.100160 0.010694 0.100389 -0.032748 0.015298 0.994292
1341846318.950000 -0.595613 0.096441 0.016992 0.102296 -0.037907 0.011232 0.993968
1341846318.982000 -0.604091 0.097227 0.008103 0.103470 -0.041541 0.008602 0.993728
1341846319.018000 -0.622766 0.093938 -0.016079 0.102364 -0.046827 0.008570 0.993607
1341846319.051000 -0.648427 0.085426 0.009913 0.103936 -0.051349 0.006262 0.993238
1341846319.082000 -0.667900 0.085870 0.011249 0.109307 -0.049904 0.002866 0.992750
1341846319.118000 -0.704397 0.095405 0.000066 0.112461 -0.047641 0.008155 0.992480
1341846319.150000 -0.730746 0.092812 0.005087 0.114491 -0.050659 0.014174 0.992031
1341846319.186000 -0.761340 0.095111 -0.000658 0.116039 -0.051528 0.017718 0.991749
1341846319.218000 -0.793417 0.097345 -0.002578 0.112601 -0.044486 0.017734 0.992486
1341846319.250000 -0.822106 0.092877 0.007882 0.106895 -0.037274 0.016457 0.993435
1341846319.287000 -0.840049 0.089750 0.023417 0.105801 -0.034238 0.018719 0.993621
1341846319.318000 -0.885467 0.088400 0.030659 0.106838 -0.031901 0.022539 0.993509
1341846319.350000 -0.896477 0.087098 0.034045 0.107868 -0.031408 0.028357 0.993264
1341846319.386000 -0.915098 0.086617 0.037397 0.110262 -0.035016 0.034253 0.992695
1341846319.418000 -0.917500 0.086280 0.033953 0.110934 -0.040428 0.036806 0.992323
1341846319.454000 -0.974368 0.086370 0.031620 0.111251 -0.034218 0.032606 0.992668
1341846319.486000 -0.988473 0.086634 0.029807 0.110065 -0.033868 0.031858 0.992836
1341846319.554000 -0.927762 0.090207 0.055388 0.105473 -0.052104 0.032223 0.992533
1341846319.586000 -0.951761 0.089973 0.056851 0.105823 -0.050286 0.027741 0.992725
1341846319.622000 -0.986491 0.088476 0.053494 0.103653 -0.051378 0.024944 0.992972
1341846319.654000 -0.993473 0.084578 0.065865 0.103186 -0.056599 0.023988 0.992761
1341846319.686000 -1.010330 0.089637 0.095956 0.105969 -0.060351 0.024682 0.992229
1341846319.722000 -1.018686 0.093417 0.080183 0.106473 -0.064075 0.025994 0.991908
1341846319.754000 -1.021353 0.097474 0.073106 0.102885 -0.066727 0.026971 0.992086
1341846319.786000 -1.022019 0.097226 0.091705 0.098922 -0.067307 0.031186 0.992326
1341846319.822000 -1.029662 0.102418 0.093413 0.096496 -0.068020 0.035015 0.992389
1341846319.854000 -1.030990 0.099555 0.098725 0.091033 -0.069295 0.039759 0.992638
1341846319.890000 -1.039891 0.091189 0.097970 0.087985 -0.069521 0.043430 0.992743
1341846319.922000 -1.048530 0.088523 0.093102 0.087644 -0.073412 0.043486 0.992491
1341846319.954000 -1.037949 0.087170 0.102666 0.088274 -0.080327 0.039701 0.992058
1341846319.990000 -1.039082 0.087801 0.103967 0.090754 -0.083271 0.032934 0.991839
1341846320.028000 -1.047945 0.085258 0.109493 0.092428 -0.086935 0.031375 0.991421
1341846320.090000 -1.023268 0.091428 0.095033 0.097423 -0.095592 0.033410 0.990078
1341846320.122000 -1.024170 0.092069 0.095776 0.098169 -0.092573 0.034864 0.990241
1341846320.158000 -1.013039 0.090266 0.104871 0.098448 -0.090435 0.035184 0.990400
1341846320.190000 -0.999742 0.082653 0.112443 0.100796 -0.087637 0.033717 0.990466
1341846320.222000 -0.995689 0.081619 0.106002 0.104668 -0.083971 0.034228 0.990365
1341846320.258000 -0.984885 0.076821 0.102473 0.108501 -0.083352 0.036322 0.989930
1341846320.290000 -0.974274 0.066057 0.097264 0.113548 -0.084501 0.035961 0.989279
1341846320.322000 -0.961095 0.066171 0.097470 0.121876 -0.086068 0.034992 0.988187
1341846320.358000 -0.948881 0.081777 0.101577 0.128517 -0.085870 0.037141 0.987284
1341846320.390000 -0.919289 0.079025 0.097680 0.129641 -0.083016 0.038258 0.987339
1341846320.427000 -0.915657 0.078894 0.094714 0.132500 -0.074124 0.034364 0.987810
1341846320.458000 -0.912788 0.078565 0.100261 0.133596 -0.066594 0.032161 0.988273
1341846320.490000 -0.906133 0.076111 0.110932 0.137657 -0.059523 0.030650 0.988215
1341846320.526000 -0.878972 0.077770 0.095181 0.140647 -0.053655 0.029755 0.988157
1341846320.558000 -0.852838 0.080921 0.084460 0.141732 -0.051308 0.026551 0.988218
1341846320.594000 -0.848517 0.078266 0.101444 0.143347 -0.044884 0.021689 0.988416
1341846320.632000 -0.837710 0.081126 0.092312 0.145830 -0.037586 0.020976 0.988373
1341846320.665000 -0.821487 0.083561 0.082485 0.145919 -0.034074 0.019719 0.988513
1341846320.700000 -0.797153 0.080898 0.095336 0.146084 -0.031466 0.017822 0.988611
1341846320.732000 -0.743318 0.084596 0.079220 0.147968 -0.032548 0.018083 0.988291
1341846320.764000 -0.727710 0.102154 0.032160 0.145882 -0.031759 0.019736 0.988595
1341846320.800000 -0.690969 0.091263 0.059840 0.139357 -0.034887 0.014720 0.989518
1341846320.832000 -0.640183 0.078533 0.079353 0.139645 -0.029281 0.013093 0.989682
1341846320.864000 -0.599093 0.101921 0.007449 0.139048 -0.024204 0.015975 0.989861
1341846320.900000 -0.569256 0.091169 0.031188 0.132854 -0.031332 0.019954 0.990439
1341846320.932000 -0.532432 0.080886 0.042759 0.133237 -0.033029 0.019494 0.990342
1341846320.968000 -0.497025 0.104004 -0.006355 0.133626 -0.029376 0.017431 0.990443
1341846321.000000 -0.472784 0.096226 0.007457 0.127122 -0.030999 0.017671 0.991245
1341846321.032000 -0.432341 0.097721 0.022382 0.125572 -0.031378 0.013074 0.991502
1341846321.068000 -0.408597 0.102737 0.005463 0.125784 -0.028382 0.011058 0.991590
1341846321.100000 -0.370215 0.105132 0.013725 0.123581 -0.029120 0.011434 0.991841
1341846321.132000 -0.345517 0.096572 0.043559 0.123821 -0.028493 0.012818 0.991813
1341846321.168000 -0.314748 0.102977 0.037853 0.126850 -0.025696 0.013163 0.991502
1341846321.200000 -0.285555 0.108852 0.033576 0.127480 -0.024556 0.012985 0.991452
1341846321.232000 -0.271692 0.106633 0.052853 0.127200 -0.024208 0.011188 0.991519
1341846321.268000 -0.249780 0.111982 0.047216 0.127886 -0.022463 0.006529 0.991513
1341846321.300000 -0.231782 0.111213 0.059184 0.126952 -0.018581 0.000716 0.991735
1341846321.332000 -0.201494 0.109699 0.066627 0.127250 -0.016885 -0.003658 0.991720
1341846321.368000 -0.177790 0.105732 0.074927 0.128846 -0.015498 -0.006809 0.991520
1341846321.400000 -0.175503 0.108724 0.072367 0.130852 -0.009495 -0.007805 0.991326
1341846321.436000 -0.122932 0.109707 0.074238 0.132745 -0.008837 -0.008205 0.991077
1341846321.468000 -0.112575 0.112036 0.076008 0.134915 -0.006390 -0.007570 0.990808
1341846321.500000 -0.103179 0.111330 0.070329 0.136069 -0.003520 -0.007405 0.990665
1341846321.536000 -0.063011 0.122108 0.062611 0.136539 -0.000657 -0.010188 0.990582
1341846321.569000 -0.038698 0.126410 0.062140 0.133433 0.003258 -0.011610 0.990984
1341846321.604000 -0.026961 0.126929 0.075386 0.130950 0.005341 -0.011754 0.991305
1341846321.637000 0.006733 0.132479 0.067642 0.128790 0.008568 -0.011592 0.991567
1341846321.668000 0.012358 0.133961 0.068447 0.124505 0.016916 -0.008101 0.992042
1341846321.704000 0.026597 0.133586 0.088753 0.121514 0.015907 0.000563 0.992462
1341846321.737000 0.001235 0.131611 0.079844 0.120139 0.016773 0.006992 0.992591
1341846321.772000 0.005529 0.141674 0.063674 0.117569 0.017489 0.012247 0.992835
1341846321.804000 0.015452 0.140888 0.078641 0.113641 0.019715 0.015377 0.993207
1341846321.836000 0.030423 0.146840 0.070077 0.110882 0.019439 0.014902 0.993532
1341846321.872000 0.033261 0.153190 0.073351 0.105815 0.020807 0.011331 0.994104
1341846321.904000 0.040274 0.147156 0.077132 0.099173 0.022083 0.008759 0.994787
1341846321.940000 0.043974 0.149526 0.079943 0.095522 0.025389 0.005372 0.995089
1341846322.004000 0.041212 0.139457 0.079507 0.088452 0.023171 0.006663 0.995789
1341846322.066000 0.054579 0.130988 0.080332 0.082558 0.028118 0.002142 0.996187
1341846322.108000 0.051980 0.116796 0.082685 0.079991 0.030067 0.000942 0.996342
1341846322.166000 0.049698 0.097796 0.080546 0.083457 0.029996 0.001422 0.996059
1341846322.203000 0.054891 0.093624 0.076530 0.084671 0.027153 0.001261 0.996038
1341846322.234000 0.054337 0.089197 0.073628 0.083491 0.025838 -0.000710 0.996173
1341846322.266000 0.051031 0.078905 0.077628 0.080895 0.023324 -0.000101 0.996450
1341846322.302000 0.060840 0.065434 0.077734 0.078953 0.020811 0.001068 0.996661
1341846322.334000 0.049627 0.052295 0.076581 0.078026 0.019508 -0.000042 0.996760
1341846322.370000 0.064575 0.037508 0.076839 0.078677 0.012999 -0.002937 0.996811
1341846322.402000 0.078620 0.023720 0.075277 0.080395 0.014051 -0.008486 0.996628
1341846322.434000 0.069885 0.007004 0.076839 0.086027 0.015592 -0.010051 0.996120
1341846322.470000 0.070038 -0.004671 0.072790 0.093848 0.011044 -0.007634 0.995496
1341846322.502000 0.078903 -0.015583 0.078826 0.100387 0.007524 -0.004299 0.994911
1341846322.534000 0.080879 -0.029821 0.078930 0.109009 0.007349 -0.003841 0.994006
1341846322.570000 0.081613 -0.036553 0.079815 0.118299 0.006728 -0.000815 0.992955
1341846322.602000 0.073612 -0.036379 0.092389 0.125298 0.003806 0.002736 0.992108
1341846322.638000 0.089182 -0.058421 0.079365 0.129072 -0.000045 0.001811 0.991634
1341846322.670000 0.094581 -0.066242 0.082645 0.132834 0.003276 0.001751 0.991131
