# timestamp tx ty tz qx qy qz qw
1341846313.654000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686000 0.002694 0.002469 -0.004753 0.001508 -0.001476 -0.000261 0.999998
1341846313.722000 0.005654 0.003849 -0.008904 0.001426 -0.002048 0.000368 0.999997
1341846313.754000 0.014748 0.001001 -0.012595 0.000516 -0.002914 0.002201 0.999993
1341846313.790000 0.021464 0.002038 -0.009331 0.001824 -0.003741 0.000926 0.999991
1341846313.822000 0.018372 0.004347 -0.012576 0.002097 -0.001163 0.000133 0.999997
1341846313.854000 0.007271 0.004687 -0.015448 0.001554 0.004167 -0.000578 0.999990
1341846313.890000 0.002057 0.004841 -0.010148 0.001301 0.007605 -0.000689 0.999970
1341846313.922000 -0.011080 0.005616 -0.016930 -0.000826 0.010638 0.000235 0.999943
1341846313.958000 -0.028014 0.004323 -0.014779 -0.002822 0.018649 0.001848 0.999820
1341846313.990000 -0.057795 0.004704 -0.021755 -0.003783 0.030999 0.002482 0.999509
1341846314.022000 -0.072759 0.002254 -0.027892 -0.006533 0.034849 0.003347 0.999366
1341846314.058000 -0.079410 -0.001430 -0.026550 -0.010224 0.037981 0.005838 0.999209
1341846314.090000 -0.117518 -0.000852 -0.019726 -0.009009 0.052173 0.006258 0.998578
1341846314.122000 -0.132556 -0.004409 -0.028205 -0.010987 0.058686 0.008352 0.998181
1341846314.158000 -0.142787 -0.006034 -0.025046 -0.013183 0.063861 0.009792 0.997824
1341846314.190000 -0.162557 -0.007517 -0.024146 -0.013167 0.072275 0.010842 0.997239
1341846314.226000 -0.165571 -0.006520 -0.032277 -0.015352 0.074367 0.012027 0.997040
1341846314.258000 -0.173910 -0.006863 -0.029451 -0.016745 0.078301 0.012187 0.996715
1341846314.290000 -0.184790 0.003760 -0.032520 -0.013203 0.081694 0.009233 0.996527
1341846314.326000 -0.203392 -0.016492 -0.040578 -0.018184 0.083327 0.008347 0.996321
1341846314.358000 -0.217995 -0.014598 -0.028674 -0.018529 0.089023 0.008387 0.995822
1341846314.390000 -0.221163 -0.007363 -0.017902 -0.015648 0.094108 0.006552 0.995417
1341846314.428000 -0.243570 -0.022138 -0.037404 -0.018446 0.094883 0.005134 0.995304
1341846314.494000 -0.255333 -0.021738 -0.029879 -0.016791 0.108906 -0.004084 0.993902
1341846314.526000 -0.254950 -0.024112 -0.047602 -0.017354 0.108224 -0.004624 0.993964
1341846314.558000 -0.282805 -0.026062 -0.037340 -0.018866 0.117505 -0.003223 0.992888
1341846314.594000 -0.321787 -0.026491 -0.032777 -0.017296 0.129457 -0.002476 0.991431
1341846314.626000 -0.328268 -0.024100 -0.049076 -0.016507 0.133413 -0.001898 0.990921
1341846314.658000 -0.323383 -0.023023 -0.047004 -0.018436 0.135699 -0.002351 0.990576
1341846314.694000 -0.311977 -0.028714 -0.034133 -0.018938 0.139951 -0.003912 0.989970
