# timestamp tx ty tz qx qy qz qw
1341846313.654000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686000 0.002954 0.002493 -0.004603 0.001516 -0.001534 -0.000258 0.999998
1341846313.722000 0.006080 0.003425 -0.008661 0.001333 -0.002141 0.000425 0.999997
1341846313.754000 0.015088 0.001088 -0.012378 0.000535 -0.002987 0.002201 0.999993
1341846313.790000 0.021613 0.002166 -0.009202 0.001852 -0.003772 0.000920 0.999991
1341846313.822000 0.018997 0.004141 -0.012248 0.002052 -0.001308 0.000163 0.999997
1341846313.854000 0.009152 0.004593 -0.014898 0.001542 0.003715 -0.000585 0.999992
1341846313.890000 0.005140 0.005327 -0.009488 0.001422 0.006859 -0.000812 0.999975
1341846313.922000 -0.006639 0.006716 -0.016004 -0.000571 0.009552 0.000028 0.999954
1341846313.958000 -0.017453 0.007344 -0.013623 -0.002133 0.016066 0.001452 0.999868
1341846313.990000 -0.044166 0.009069 -0.019611 -0.002772 0.027635 0.001826 0.999613
1341846314.022000 -0.059774 0.010019 -0.025671 -0.004797 0.031691 0.002477 0.999483
1341846314.058000 -0.067838 0.009624 -0.024817 -0.007777 0.035141 0.004638 0.999341
1341846314.090000 -0.100547 0.006016 -0.017606 -0.007461 0.048018 0.005578 0.998803
1341846314.122000 -0.108249 -0.012664 -0.024376 -0.012699 0.052964 0.008949 0.998476
1341846314.158000 -0.116180 -0.015360 -0.021595 -0.015125 0.057553 0.010523 0.998172
1341846314.190000 -0.128752 -0.016321 -0.021530 -0.014981 0.064218 0.011354 0.997759
1341846314.226000 -0.130431 -0.016965 -0.029171 -0.017474 0.066085 0.012902 0.997578
1341846314.258000 -0.137233 -0.017197 -0.026561 -0.018850 0.069661 0.013195 0.997305
1341846314.290000 -0.147588 -0.010491 -0.029241 -0.016102 0.073028 0.010834 0.997141
1341846314.326000 -0.165928 -0.030062 -0.037520 -0.020911 0.074643 0.010277 0.996938
1341846314.358000 -0.178105 -0.029391 -0.026333 -0.021521 0.079744 0.010433 0.996528
1341846314.390000 -0.181914 -0.021899 -0.016176 -0.018556 0.084885 0.008680 0.996180
1341846314.428000 -0.201056 -0.039115 -0.035820 -0.021807 0.085091 0.007540 0.996106
1341846314.494000 -0.210468 -0.036962 -0.029072 -0.019714 0.098512 -0.001444 0.994940
