# timestamp tx ty tz qx qy qz qw
1341846313.654000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686000 0.003743 0.002409 -0.003663 0.001499 -0.001687 -0.000228 0.999997
1341846313.722000 0.007076 0.003120 -0.007528 0.001257 -0.002336 0.000504 0.999996
1341846313.754000 0.016218 0.001191 -0.011057 0.000545 -0.003208 0.002247 0.999992
1341846313.790000 0.022692 0.002079 -0.008319 0.001836 -0.003963 0.000933 0.999990
1341846313.822000 0.020367 0.003811 -0.011162 0.001984 -0.001576 0.000209 0.999997
1341846313.854000 0.011781 0.004333 -0.013205 0.001493 0.003154 -0.000568 0.999994
1341846313.890000 0.006916 0.005213 -0.008411 0.001413 0.006465 -0.000835 0.999978
1341846313.922000 -0.005028 0.007381 -0.014308 -0.000460 0.009141 0.000073 0.999958
1341846313.958000 -0.011990 0.008618 -0.011103 -0.001895 0.014822 0.001458 0.999887
1341846313.990000 -0.037096 0.010875 -0.015662 -0.002437 0.026082 0.001714 0.999655
1341846314.022000 -0.053253 0.013301 -0.020837 -0.004219 0.030301 0.002312 0.999529
1341846314.058000 -0.061996 0.015033 -0.018842 -0.006807 0.034058 0.004243 0.999388
1341846314.090000 -0.089768 0.009901 -0.012103 -0.006831 0.045773 0.005379 0.998914
1341846314.122000 -0.099270 -0.006527 -0.018239 -0.011726 0.051215 0.008666 0.998581
1341846314.158000 -0.105320 -0.008930 -0.013701 -0.014121 0.055553 0.010237 0.998303
1341846314.190000 -0.117097 -0.009661 -0.013965 -0.013955 0.062125 0.011051 0.997910
1341846314.226000 -0.121990 -0.009275 -0.020914 -0.016304 0.064590 0.012731 0.997697
1341846314.258000 -0.126281 -0.009252 -0.016632 -0.017678 0.067808 0.013104 0.997456
1341846314.290000 -0.134606 -0.001685 -0.019161 -0.014799 0.070897 0.010746 0.997316
1341846314.326000 -0.156269 -0.020246 -0.028990 -0.019388 0.072615 0.010226 0.997119
1341846314.358000 -0.162174 -0.020025 -0.018039 -0.020061 0.076962 0.010313 0.996779
1341846314.390000 -0.164322 -0.014654 -0.009290 -0.017464 0.081519 0.008625 0.996481
1341846314.428000 -0.188753 -0.031667 -0.033464 -0.020459 0.082570 0.006996 0.996351
1341846314.494000 -0.192533 -0.030492 -0.026466 -0.018586 0.094747 -0.001576 0.995327
1341846314.526000 -0.196706 -0.032327 -0.041841 -0.019004 0.095573 -0.002650 0.995237
1341846314.558000 -0.201385 -0.028409 -0.035394 -0.019331 0.100176 -0.002186 0.994779
1341846314.594000 -0.223867 -0.029490 -0.033812 -0.017940 0.108776 -0.002657 0.993901
1341846314.626000 -0.229828 -0.026443 -0.050821 -0.017088 0.112659 -0.002396 0.993484
1341846314.658000 -0.215630 -0.025040 -0.050747 -0.018933 0.112961 -0.002972 0.993415
1341846314.694000 -0.198727 -0.033300 -0.038962 -0.019804 0.115951 -0.004334 0.993048
1341846314.726000 -0.235643 -0.030360 -0.031889 -0.016508 0.125428 -0.006601 0.991943
1341846314.762000 -0.201046 -0.043875 -0.038520 -0.013162 0.120764 0.003835 0.992587
1341846314.794000 -0.209778 -0.044218 -0.037872 -0.010353 0.123922 0.006056 0.992220
1341846314.826000 -0.222565 -0.035067 -0.041784 -0.006601 0.130689 0.004754 0.991390
1341846314.862000 -0.298482 -0.043101 -0.052913 -0.007767 0.149705 0.007758 0.988670
1341846314.894000 -0.179794 -0.043692 -0.071595 -0.007915 0.129233 0.008120 0.991549
1341846314.926000 -0.202964 -0.040692 -0.055921 -0.007321 0.138022 0.009267 0.990359
1341846314.962000 -0.155752 -0.033956 -0.054811 -0.009647 0.132969 0.015042 0.990959
1341846314.995000 -0.151595 -0.037289 -0.058993 -0.013489 0.133493 0.015885 0.990831
1341846315.030000 -0.150279 -0.042227 -0.063697 -0.014486 0.137774 0.014758 0.990248
