# timestamp tx ty tz qx qy qz qw
1341846313.654184 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686156 -0.000647 0.003178 -0.010644 0.001682 -0.000914 -0.000459 0.999998
1341846313.721918 0.002632 0.001247 -0.014390 0.000949 -0.001554 0.000346 0.999998
1341846313.753994 0.009293 0.000651 -0.019517 0.000582 -0.001964 0.001754 0.999996
1341846313.789969 0.013668 0.004236 -0.013558 0.002261 -0.002460 0.000744 0.999994
1341846313.822075 0.013264 0.004795 -0.016603 0.002140 -0.000440 0.000060 0.999998
1341846313.853928 0.004607 0.005997 -0.021667 0.001848 0.004231 -0.000874 0.999989
1341846313.890011 0.004361 0.009510 -0.013436 0.002273 0.006590 -0.001270 0.999975
1341846313.922055 -0.002535 0.009386 -0.021299 0.000197 0.008408 -0.000917 0.999964
1341846313.957927 -0.008786 0.015883 -0.020861 -0.000011 0.013428 -0.000228 0.999910
1341846313.990058 -0.031451 0.019678 -0.028591 0.000031 0.023596 -0.000171 0.999722
1341846314.022042 -0.044860 0.023525 -0.036469 -0.001071 0.027355 0.000407 0.999625
1341846314.057816 -0.053348 0.025491 -0.040169 -0.003199 0.030465 0.002448 0.999528
1341846314.089801 -0.089820 0.013841 -0.029854 -0.004513 0.043870 0.004161 0.999018
1341846314.122037 -0.083887 -0.024849 -0.035620 -0.014094 0.046184 0.008563 0.998797
1341846314.157989 -0.091175 -0.030302 -0.035994 -0.017036 0.050301 0.010338 0.998535
1341846314.190094 -0.097119 -0.030878 -0.036370 -0.016732 0.055137 0.010984 0.998278
1341846314.225969 -0.090540 -0.035196 -0.044945 -0.019826 0.055652 0.012965 0.998169
1341846314.257923 -0.099171 -0.035723 -0.045156 -0.021167 0.059280 0.013322 0.997928
1341846314.290052 -0.113462 -0.035553 -0.046799 -0.019648 0.063289 0.011634 0.997734
1341846314.325981 -0.125246 -0.053561 -0.053901 -0.024178 0.064570 0.011192 0.997557
1341846314.357905 -0.144812 -0.053266 -0.042191 -0.024952 0.070249 0.011483 0.997151
1341846314.389899 -0.151015 -0.042540 -0.031485 -0.021370 0.076121 0.009815 0.996821
1341846314.427905 -0.162040 -0.061609 -0.047718 -0.025324 0.075082 0.009447 0.996811
1341846314.493987 -0.176721 -0.056604 -0.041577 -0.022468 0.089634 0.000320 0.995721
1341846314.526085 -0.175409 -0.061291 -0.058641 -0.023427 0.088535 -0.000517 0.995797
1341846314.558292 -0.170750 -0.047686 -0.054356 -0.021853 0.090468 -0.001297 0.995659
1341846314.594085 -0.202261 -0.047805 -0.052259 -0.020532 0.100472 -0.003075 0.994723
1341846314.626096 -0.198828 -0.044646 -0.067242 -0.019570 0.102649 -0.003499 0.994519
1341846314.658455 -0.174121 -0.044211 -0.070694 -0.021388 0.100573 -0.003691 0.994693
1341846314.694004 -0.158628 -0.054592 -0.063907 -0.022871 0.103468 -0.004912 0.994358
1341846314.725910 -0.235998 -0.045104 -0.043492 -0.021317 0.119383 -0.013238 0.992531
1341846314.761942 -0.156097 -0.075448 -0.058179 -0.018418 0.107653 0.004401 0.994008
1341846314.794030 -0.184967 -0.074506 -0.055479 -0.015653 0.112557 0.005934 0.993504
1341846314.826092 -0.203177 -0.051550 -0.056404 -0.009090 0.119828 0.004011 0.992745
1341846314.862145 -0.326475 -0.068611 -0.062491 -0.011668 0.148458 0.008033 0.988817
1341846314.894072 -0.131884 -0.071284 -0.094752 -0.012384 0.112796 0.007450 0.993513
1341846314.925969 -0.177356 -0.065753 -0.069946 -0.011225 0.124800 0.007601 0.992089
1341846314.961937 -0.083523 -0.064207 -0.077926 -0.014767 0.112913 0.014311 0.993392
1341846314.994564 -0.080716 -0.070694 -0.085185 -0.019140 0.113405 0.015500 0.993243
1341846315.029900 -0.089021 -0.078324 -0.090591 -0.020460 0.118985 0.014111 0.992585
1341846315.061965 -0.077389 -0.065869 -0.071233 -0.018384 0.120993 0.014228 0.992381
1341846315.094388 -0.078144 -0.074515 -0.074636 -0.020068 0.120712 0.016077 0.992354
1341846315.129851 -0.087449 -0.062011 -0.076059 -0.015975 0.123125 0.012149 0.992188
1341846315.161941 -0.108358 -0.063831 -0.099853 -0.020281 0.126133 0.013414 0.991715
1341846315.197984 -0.109588 -0.049021 -0.105202 -0.021148 0.124199 0.015778 0.991907
1341846315.230076 -0.099839 -0.046192 -0.100723 -0.026173 0.122483 0.006829 0.992102
1341846315.262069 -0.115111 -0.037307 -0.105137 -0.026913 0.122833 0.007115 0.992037
1341846315.298000 -0.104928 -0.065490 -0.107395 -0.034287 0.118083 0.012373 0.992334
1341846315.329931 -0.110151 -0.090330 -0.104112 -0.037124 0.118683 0.012789 0.992155
1341846315.361981 -0.136121 -0.068786 -0.106923 -0.028555 0.123292 0.011051 0.991898
1341846315.397962 -0.118975 -0.053511 -0.099975 -0.024444 0.121118 0.011478 0.992271
1341846315.429923 -0.126347 -0.064033 -0.087448 -0.025914 0.125366 0.011752 0.991702
1341846315.466047 -0.122947 -0.049575 -0.083326 -0.022395 0.128086 0.008352 0.991475
1341846315.497883 -0.109967 -0.037010 -0.090628 -0.020982 0.130605 0.013528 0.991120
1341846315.530008 -0.109266 -0.037549 -0.086674 -0.021052 0.132236 0.014232 0.990893
1341846315.566108 -0.110229 -0.035388 -0.081510 -0.021654 0.134442 0.014481 0.990579
1341846315.597986 -0.109807 -0.032533 -0.079239 -0.021290 0.135721 0.013516 0.990426
1341846315.630109 -0.107775 -0.026801 -0.078487 -0.020326 0.136341 0.011348 0.990388
1341846315.666042 -0.103389 -0.013694 -0.088508 -0.019440 0.136354 0.008676 0.990431
1341846315.698114 -0.142062 0.007923 -0.075686 -0.020100 0.146322 0.003776 0.989026
1341846315.733985 -0.178380 -0.048247 -0.051344 -0.030877 0.156729 0.013215 0.987070
1341846315.766041 -0.223297 -0.044563 -0.044498 -0.031809 0.161553 0.008160 0.986318
1341846315.798188 -0.231984 -0.035062 -0.049922 -0.030294 0.162766 0.010986 0.986138
1341846315.834140 -0.216332 -0.029242 -0.067879 -0.026771 0.156527 0.007983 0.987278
1341846315.866751 -0.230575 -0.019120 -0.063060 -0.022975 0.160000 0.005102 0.986836
1341846315.898492 -0.285882 -0.009769 -0.070614 -0.020200 0.169784 0.003642 0.985268
1341846315.936901 -0.292041 -0.003563 -0.081439 -0.017153 0.171195 0.000841 0.985087
1341846315.966572 -0.274958 -0.016797 -0.047704 -0.016913 0.169850 -0.000926 0.985324
1341846316.034204 -0.260038 0.013451 -0.050321 -0.010192 0.165299 -0.007112 0.986165
1341846316.066113 -0.269808 0.012827 -0.048199 -0.007905 0.165762 -0.006973 0.986109
1341846316.101867 -0.275541 0.010916 -0.050301 -0.006745 0.164477 -0.005145 0.986344
1341846316.134066 -0.292977 0.017520 -0.046248 -0.006626 0.163411 -0.006344 0.986515
1341846316.202049 -0.318015 0.009940 -0.027650 -0.007733 0.161857 -0.010400 0.986729
1341846316.233979 -0.328405 0.011386 -0.028707 -0.007423 0.161893 -0.012028 0.986707
1341846316.270052 -0.340381 0.004552 -0.025124 -0.010304 0.163386 -0.015474 0.986387
1341846316.301915 -0.357078 -0.003953 -0.012363 -0.011208 0.165612 -0.017900 0.985965
1341846316.334208 -0.353762 -0.002110 -0.009299 -0.009219 0.162992 -0.016355 0.986449
1341846316.370006 -0.376092 -0.001890 0.001226 -0.007517 0.165093 -0.017047 0.986102
1341846316.401994 -0.387442 -0.001704 0.003191 -0.005948 0.164676 -0.015761 0.986204
1341846316.438069 -0.382961 0.000148 0.008362 -0.004330 0.163430 -0.013490 0.986453
1341846316.470076 -0.408238 -0.010290 0.021171 -0.003300 0.165576 -0.011870 0.986120
1341846316.502034 -0.416750 0.001885 0.026791 0.000262 0.164115 -0.007451 0.986413
1341846316.537975 -0.413177 -0.000703 0.009862 -0.002212 0.159729 -0.006838 0.987135
1341846316.570121 -0.412081 -0.001345 0.026613 -0.002396 0.159422 -0.007775 0.987177
1341846316.601885 -0.429550 -0.000312 0.031460 -0.000238 0.160682 -0.008942 0.986966
1341846316.638009 -0.440684 -0.005092 0.036290 0.001385 0.160205 -0.007942 0.987051
1341846316.669925 -0.436515 -0.009712 0.042826 0.002426 0.158857 -0.008372 0.987263
1341846316.705941 -0.401849 0.024130 0.043816 0.013318 0.152904 -0.008803 0.988112
1341846316.738062 -0.411827 0.018249 0.040054 0.014142 0.152280 -0.005772 0.988219
