# timestamp tx ty tz qx qy qz qw
1341846313.654184 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686156 0.009763 0.001465 0.004308 0.001304 -0.002820 0.000025 0.999995
1341846313.721918 0.015080 0.001891 0.003633 0.000932 -0.003854 0.001000 0.999992
1341846313.753994 0.025230 0.001513 0.002297 0.000518 -0.004965 0.002625 0.999984
1341846313.789969 0.031398 0.001057 0.001805 0.001625 -0.005515 0.001041 0.999983
1341846313.822075 0.030271 0.001965 0.000279 0.001604 -0.003448 0.000442 0.999993
1341846313.853928 0.029887 0.002527 0.005214 0.001132 -0.000475 -0.000518 0.999999
1341846313.890011 0.023615 0.004342 0.005281 0.001317 0.002911 -0.001010 0.999994
1341846313.922055 0.017018 0.009752 0.007433 -0.000078 0.004273 0.000098 0.999991
1341846313.957927 0.031419 0.014997 0.017782 -0.000652 0.005247 0.001044 0.999985
1341846313.990058 0.021504 0.019630 0.026138 -0.000694 0.013565 0.000481 0.999908
1341846314.022042 0.009364 0.029465 0.035055 -0.001177 0.017716 0.000764 0.999842
1341846314.057816 -0.000432 0.040460 0.045124 -0.002027 0.022690 0.001631 0.999739
1341846314.089801 -0.006353 0.027002 0.051275 -0.003902 0.029033 0.003824 0.999564
1341846314.122037 0.002038 -0.014512 0.049924 -0.014459 0.030167 0.009049 0.999399
1341846314.157989 0.005061 -0.018856 0.058472 -0.017368 0.032678 0.010932 0.999255
1341846314.190094 0.010749 -0.018149 0.057981 -0.016892 0.035199 0.011292 0.999174
1341846314.225969 0.005860 -0.018176 0.055615 -0.019495 0.037753 0.014428 0.998993
1341846314.257923 0.009731 -0.017025 0.064195 -0.020805 0.039520 0.015326 0.998885
1341846314.290052 0.006411 -0.014042 0.065372 -0.019018 0.042186 0.014012 0.998830
1341846314.325981 -0.022876 -0.032406 0.049484 -0.023469 0.044233 0.015302 0.998628
1341846314.357905 -0.017334 -0.035527 0.059241 -0.024859 0.046828 0.015489 0.998473
1341846314.389899 -0.023989 -0.030960 0.059020 -0.022115 0.051387 0.013998 0.998336
1341846314.427905 -0.047730 -0.053351 0.027507 -0.025757 0.052377 0.012248 0.998220
