# timestamp tx ty tz qx qy qz qw
1341846313.654184 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686156 -0.012314 -0.015875 -0.020846 -0.002120 0.001624 0.000557 0.999996
1341846313.721918 -0.015213 -0.013788 -0.021031 -0.001731 0.002141 0.000707 0.999996
1341846313.753994 -0.021585 -0.025057 -0.026112 -0.004193 0.004032 0.001782 0.999981
1341846313.789969 -0.024972 0.005762 -0.016220 0.002235 0.004743 0.000916 0.999986
1341846313.822075 -0.018066 0.007676 -0.021745 0.002467 0.005780 -0.000324 0.999980
1341846313.853928 -0.036870 0.004639 -0.029038 0.001555 0.012676 -0.000934 0.999918
1341846313.890011 -0.032435 0.024406 -0.018527 0.004929 0.014021 -0.001096 0.999889
1341846313.922055 -0.028096 -0.005281 -0.028101 -0.002464 0.014468 0.000565 0.999892
1341846313.957927 -0.070764 -0.010618 -0.027103 -0.004992 0.026802 0.000508 0.999628
1341846313.990058 -0.108788 -0.048352 -0.033547 -0.012626 0.039809 0.002455 0.999125
1341846314.022042 -0.099774 -0.037854 -0.046755 -0.012126 0.039729 0.004118 0.999128
1341846314.057816 -0.080592 -0.163650 -0.042972 -0.038723 0.038351 0.015747 0.998390
1341846314.089801 -0.203565 -0.143767 -0.020195 -0.033042 0.067789 0.010794 0.997094
1341846314.122037 -0.170952 -0.120238 -0.039364 -0.029791 0.065458 0.012353 0.997334
1341846314.157989 -0.194278 -0.155270 -0.038356 -0.037759 0.073006 0.014336 0.996513
1341846314.190094 -0.229859 -0.165559 -0.027571 -0.039328 0.083156 0.016314 0.995627
1341846314.225969 -0.153925 -0.194345 -0.052008 -0.046946 0.072420 0.021796 0.996030
1341846314.257923 -0.200191 -0.233780 -0.043819 -0.055251 0.082754 0.021993 0.994794
1341846314.290052 -0.246480 -0.299298 -0.022917 -0.066110 0.092644 0.022763 0.993241
1341846314.325981 -0.205384 -0.280371 -0.046114 -0.063535 0.086980 0.022718 0.993922
1341846314.357905 -0.318406 -0.238690 -0.015650 -0.057493 0.105767 0.017556 0.992572
1341846314.389899 -0.325018 -0.197045 -0.012326 -0.048107 0.113754 0.015406 0.992224
1341846314.427905 -0.302274 -0.166750 -0.032284 -0.043953 0.107549 0.013874 0.993131
1341846314.493987 -0.405881 -0.154793 -0.006232 -0.039211 0.140651 0.000910 0.989282
