# timestamp tx ty tz qx qy qz qw
1305031790.645000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031790.681000 0.004910 0.007317 0.001471 -0.010265 0.000030 0.003490 0.999941
1305031790.713000 0.009517 0.011056 0.003230 -0.022004 -0.000078 0.006504 0.999737
1305031790.745000 0.018643 0.016375 0.005770 -0.031036 -0.001413 0.011943 0.999446
1305031790.781000 0.028201 0.023820 0.007315 -0.039826 -0.002135 0.019690 0.999010
1305031790.813000 0.033891 0.031282 0.007835 -0.051921 -0.001151 0.027623 0.998268
1305031790.845000 0.042188 0.036457 0.010550 -0.064669 -0.001364 0.034971 0.997293
1305031790.882000 0.051762 0.039611 0.012351 -0.076051 0.000344 0.042274 0.996207
1305031790.913000 0.059362 0.038940 0.011095 -0.085057 0.004693 0.049031 0.995158
1305031790.945000 0.063831 0.040558 0.011304 -0.091539 0.010367 0.056374 0.994151
1305031790.981000 0.063216 0.038409 0.011826 -0.095557 0.017127 0.065193 0.993139
1305031791.013000 0.063786 0.030340 0.003947 -0.096535 0.024371 0.078662 0.991917
1305031791.045000 0.077703 0.017202 -0.005898 -0.090380 0.030374 0.086436 0.991684
1305031791.081000 0.078026 0.016386 -0.017664 -0.079272 0.042362 0.098963 0.991024
1305031791.113000 0.090813 -0.007225 -0.021828 -0.070863 0.052044 0.104440 0.990637
1305031791.145000 0.119761 -0.031349 -0.048078 -0.053472 0.061506 0.105956 0.991025
1305031791.181000 0.104042 -0.025078 -0.059884 -0.027969 0.086948 0.113428 0.989339
1305031791.213000 0.119064 -0.053078 -0.084423 -0.009438 0.101780 0.110693 0.988584
1305031791.245000 0.126468 -0.076786 -0.134703 0.010186 0.120795 0.102572 0.987311
1305031791.281000 0.126002 -0.086673 -0.143670 0.031751 0.141288 0.106499 0.983711
1305031791.313000 0.113028 -0.097163 -0.153983 0.061434 0.165618 0.106647 0.978480
1305031791.345000 0.146823 -0.119159 -0.201297 0.079314 0.172867 0.110829 0.975471
1305031791.382000 0.138350 -0.134025 -0.192097 0.099128 0.192311 0.119047 0.969029
1305031791.413000 0.211739 -0.216118 -0.275661 0.094514 0.183651 0.125329 0.970377
1305031791.445000 0.232741 -0.225230 -0.302243 0.116191 0.187765 0.132850 0.966227
1305031791.481000 0.231948 -0.229673 -0.303790 0.137412 0.197136 0.142169 0.960231
1305031791.513000 0.260346 -0.306081 -0.335512 0.139174 0.197086 0.150477 0.958720
1305031791.545000 0.260492 -0.311555 -0.342996 0.159036 0.203194 0.151996 0.954105
1305031791.581000 0.271578 -0.340611 -0.363944 0.169554 0.207671 0.159831 0.950041
1305031791.613000 0.279005 -0.374950 -0.384396 0.178678 0.211830 0.162626 0.946972
1305031791.645000 0.270359 -0.399845 -0.402464 0.194188 0.219337 0.159613 0.942712
1305031791.681000 0.245272 -0.392457 -0.405820 0.219795 0.231919 0.158181 0.934282
1305031791.713000 0.227462 -0.385666 -0.418036 0.241363 0.242763 0.159227 0.925990
1305031791.745000 0.231557 -0.419371 -0.454622 0.251641 0.250599 0.158914 0.921208
1305031791.781000 0.269011 -0.475291 -0.510803 0.254541 0.253207 0.153339 0.920642
1305031791.813000 0.285012 -0.485903 -0.526835 0.271554 0.261164 0.147005 0.914571
1305031791.845000 0.303450 -0.481353 -0.520581 0.295062 0.269749 0.142003 0.905543
1305031791.881000 0.311904 -0.469143 -0.517021 0.314496 0.278962 0.136792 0.896973
1305031791.913000 0.330431 -0.473495 -0.526838 0.329419 0.280356 0.136562 0.891198
1305031791.949000 0.323827 -0.482864 -0.544619 0.343514 0.286065 0.135281 0.884231
1305031791.981000 0.308443 -0.504716 -0.568557 0.351940 0.293938 0.134709 0.878403
1305031792.013000 0.316892 -0.517552 -0.586884 0.363622 0.296317 0.133113 0.873073
1305031792.050000 0.292960 -0.598696 -0.691920 0.351271 0.299814 0.137657 0.876225
1305031792.081000 0.298034 -0.615685 -0.701739 0.356103 0.302372 0.135030 0.873801
1305031792.113000 0.292180 -0.634106 -0.728337 0.358909 0.305799 0.135049 0.871455
1305031792.149000 0.291666 -0.644332 -0.735543 0.364386 0.307308 0.134675 0.868704
1305031792.181000 0.300828 -0.653043 -0.748313 0.367360 0.307537 0.130050 0.868075
1305031792.213000 0.309454 -0.686108 -0.791741 0.362878 0.308623 0.125283 0.870273
1305031792.249000 0.322201 -0.728724 -0.821757 0.357886 0.305928 0.128497 0.872820
1305031792.281000 0.318002 -0.739039 -0.836134 0.355279 0.306237 0.128637 0.873755
1305031792.313000 0.314570 -0.744186 -0.845817 0.353612 0.305018 0.129747 0.874693
1305031792.349000 0.319271 -0.709257 -0.812553 0.357677 0.303003 0.128253 0.873961
1305031792.381000 0.320143 -0.696206 -0.804044 0.351753 0.303268 0.130698 0.875909
1305031792.413000 0.318092 -0.624456 -0.726923 0.363134 0.305860 0.130509 0.870374
1305031792.449000 0.301565 -0.552423 -0.678068 0.367680 0.306969 0.134891 0.867402
