# timestamp tx ty tz qx qy qz qw
1305031790.645000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031790.681000 0.004982 0.007425 0.001514 -0.010222 -0.000011 0.003528 0.999942
1305031790.713000 0.009756 0.011367 0.003406 -0.021890 -0.000218 0.006617 0.999738
1305031790.745000 0.019102 0.016845 0.006121 -0.030865 -0.001688 0.012120 0.999449
1305031790.781000 0.028458 0.024132 0.007570 -0.039723 -0.002300 0.019815 0.999012
1305031790.813000 0.034144 0.031631 0.008098 -0.051803 -0.001319 0.027749 0.998271
1305031790.845000 0.042401 0.036811 0.010818 -0.064544 -0.001516 0.035077 0.997297
1305031790.882000 0.051991 0.039913 0.012604 -0.075956 0.000186 0.042382 0.996210
1305031790.913000 0.059581 0.039183 0.011307 -0.084988 0.004549 0.049127 0.995160
1305031790.945000 0.064046 0.040787 0.011513 -0.091478 0.010225 0.056464 0.994152
1305031790.981000 0.063434 0.038571 0.012001 -0.095526 0.016993 0.065270 0.993139
1305031791.013000 0.064081 0.030350 0.004069 -0.096578 0.024221 0.078720 0.991912
1305031791.045000 0.078273 0.017104 -0.005654 -0.090491 0.030095 0.086502 0.991677
1305031791.081000 0.078676 0.016513 -0.017256 -0.079304 0.042010 0.099093 0.991023
1305031791.113000 0.090463 -0.007722 -0.022036 -0.071044 0.052279 0.104246 0.990632
1305031791.145000 0.119316 -0.032419 -0.049147 -0.053838 0.061929 0.105549 0.991022
1305031791.181000 0.103631 -0.028079 -0.061326 -0.029141 0.087524 0.112530 0.989357
1305031791.213000 0.118588 -0.056167 -0.085804 -0.010598 0.102337 0.109770 0.988618
1305031791.245000 0.125912 -0.080017 -0.136028 0.009040 0.121325 0.101616 0.987356
1305031791.281000 0.125422 -0.089927 -0.144969 0.030627 0.141804 0.105511 0.983779
1305031791.313000 0.112424 -0.100422 -0.155244 0.060337 0.166109 0.105619 0.978576
1305031791.345000 0.137551 -0.121270 -0.194933 0.079325 0.176345 0.108847 0.975071
1305031791.382000 0.126757 -0.131147 -0.185985 0.101119 0.196278 0.117096 0.968266
1305031791.413000 0.179686 -0.191776 -0.250316 0.105169 0.192698 0.124744 0.967598
1305031791.445000 0.191200 -0.197036 -0.270066 0.128668 0.199265 0.131948 0.962459
1305031791.481000 0.187295 -0.202669 -0.271957 0.149440 0.209015 0.140542 0.956153
1305031791.513000 0.207676 -0.263646 -0.299654 0.155390 0.210295 0.147830 0.953822
1305031791.545000 0.205663 -0.267766 -0.306747 0.175550 0.216624 0.148973 0.948717
1305031791.581000 0.209695 -0.286123 -0.322378 0.188471 0.222308 0.154451 0.944036
1305031791.613000 0.208627 -0.313169 -0.338484 0.199559 0.228131 0.155826 0.940133
1305031791.645000 0.200946 -0.332184 -0.353149 0.216121 0.235183 0.152207 0.935315
1305031791.681000 0.181389 -0.326227 -0.355505 0.240956 0.246392 0.150236 0.926639
1305031791.713000 0.174032 -0.326604 -0.366405 0.260628 0.255284 0.150493 0.918834
1305031791.745000 0.171230 -0.348375 -0.394466 0.273883 0.264100 0.149943 0.912555
1305031791.781000 0.193265 -0.394012 -0.441223 0.279744 0.268981 0.145609 0.910050
1305031791.813000 0.202216 -0.400204 -0.452468 0.297859 0.277924 0.139760 0.902500
1305031791.845000 0.221248 -0.401650 -0.450970 0.319715 0.286009 0.134911 0.893186
1305031791.881000 0.233895 -0.393248 -0.443738 0.338980 0.295204 0.128625 0.883970
1305031791.913000 0.244384 -0.401637 -0.455368 0.352785 0.297876 0.128880 0.877612
1305031791.949000 0.241196 -0.403230 -0.462764 0.369467 0.302929 0.126738 0.869290
1305031791.981000 0.219851 -0.423916 -0.488076 0.377330 0.311523 0.126164 0.862936
1305031792.013000 0.229559 -0.430976 -0.501733 0.390452 0.313748 0.123335 0.856679
1305031792.050000 0.198700 -0.490486 -0.585204 0.383906 0.318834 0.126128 0.857353
1305031792.081000 0.214242 -0.498051 -0.587034 0.391834 0.318982 0.123167 0.854135
1305031792.113000 0.202015 -0.513027 -0.609152 0.395396 0.323417 0.123291 0.850801
1305031792.149000 0.203722 -0.516436 -0.610713 0.402680 0.324647 0.121708 0.847137
1305031792.181000 0.212230 -0.517690 -0.615232 0.407710 0.325582 0.115877 0.845187
1305031792.213000 0.211285 -0.535703 -0.646155 0.406921 0.328104 0.111813 0.845139
1305031792.249000 0.221387 -0.572025 -0.692074 0.400847 0.324642 0.114151 0.849058
1305031792.281000 0.217618 -0.574048 -0.699436 0.400343 0.325140 0.113288 0.849220
1305031792.313000 0.211401 -0.578400 -0.708595 0.398723 0.324327 0.114570 0.850121
1305031792.349000 0.218960 -0.552017 -0.681532 0.400705 0.321850 0.113690 0.850249
1305031792.381000 0.218090 -0.539556 -0.669663 0.395228 0.322750 0.116711 0.852060
1305031792.413000 0.218953 -0.504965 -0.623962 0.396831 0.323904 0.120360 0.850368
1305031792.449000 0.203392 -0.443534 -0.561557 0.401650 0.326506 0.124494 0.846506
1305031792.481000 0.217212 -0.406750 -0.519855 0.401658 0.325409 0.124312 0.846951
1305031792.513000 0.212520 -0.387830 -0.470128 0.394618 0.328636 0.129121 0.848294
1305031792.549000 0.215708 -0.370766 -0.449273 0.382741 0.327765 0.135784 0.853019
1305031792.581000 0.219338 -0.350455 -0.417687 0.372121 0.328835 0.141474 0.856375
1305031792.613000 0.219245 -0.341456 -0.382664 0.361597 0.331970 0.148250 0.858525
1305031792.649000 0.223508 -0.329830 -0.366130 0.347876 0.333786 0.154063 0.862458
1305031792.681000 0.229874 -0.319512 -0.355798 0.333273 0.334717 0.159682 0.866831
1305031792.713000 0.235429 -0.312184 -0.355231 0.315673 0.333787 0.166941 0.872392
1305031792.749000 0.233855 -0.292344 -0.356200 0.301144 0.332023 0.172366 0.877133
1305031792.781000 0.239452 -0.290176 -0.355384 0.283973 0.330562 0.177565 0.882360
1305031792.813000 0.240323 -0.259749 -0.345755 0.273491 0.329245 0.185495 0.884529
1305031792.849000 0.242745 -0.251750 -0.335115 0.259237 0.330182 0.190592 0.887384
1305031792.881000 0.239462 -0.248789 -0.331667 0.243698 0.332328 0.197679 0.889434
1305031792.913000 0.250315 -0.213173 -0.305852 0.236164 0.329727 0.205997 0.890546
1305031792.949000 0.256645 -0.197819 -0.294565 0.224698 0.326001 0.216129 0.892481
1305031792.981000 0.262510 -0.152204 -0.267113 0.220456 0.320780 0.226658 0.892819
1305031793.013000 0.268133 -0.133255 -0.255461 0.208511 0.316265 0.237759 0.894411
1305031793.049000 0.272940 -0.128069 -0.248427 0.197195 0.314650 0.246989 0.895045
1305031793.081000 0.275406 -0.115869 -0.237460 0.187928 0.315740 0.255073 0.894387
1305031793.113000 0.281720 -0.070536 -0.222613 0.185747 0.317374 0.260715 0.892636
1305031793.149000 0.287021 -0.053807 -0.216077 0.178399 0.320829 0.267207 0.890979
1305031793.181000 0.289265 -0.043204 -0.204946 0.170034 0.326154 0.273108 0.888889
1305031793.213000 0.293794 -0.042388 -0.202588 0.158333 0.331175 0.280334 0.886942
1305031793.249000 0.291652 0.009093 -0.184802 0.158533 0.335084 0.284649 0.884059
1305031793.281000 0.295877 0.012057 -0.180816 0.147403 0.339598 0.290693 0.882294
1305031793.313000 0.299376 0.034849 -0.170163 0.141217 0.342810 0.297438 0.879812
1305031793.349000 0.302359 0.056387 -0.162711 0.135205 0.344470 0.304703 0.877619
1305031793.381000 0.312013 0.064133 -0.158569 0.125635 0.344587 0.311839 0.876488
1305031793.414000 0.295529 0.070327 -0.136772 0.118808 0.350253 0.320497 0.872061
1305031793.449000 0.298309 0.079228 -0.130110 0.110209 0.352478 0.328180 0.869431
1305031793.481000 0.303819 0.077820 -0.128856 0.098207 0.354112 0.338302 0.866321
1305031793.513000 0.301047 0.103638 -0.111102 0.094724 0.356340 0.346628 0.862495
1305031793.549000 0.296583 0.158938 -0.091617 0.097138 0.356291 0.351301 0.860354
1305031793.581000 0.294230 0.181414 -0.076469 0.092523 0.357237 0.362296 0.855899
1305031793.613000 0.296413 0.191418 -0.067083 0.084768 0.356862 0.375345 0.851223
1305031793.649000 0.308540 0.167319 -0.070985 0.067496 0.355280 0.388077 0.847713
1305031793.681000 0.303589 0.260229 -0.049765 0.078417 0.349835 0.393912 0.846345
1305031793.713000 0.305140 0.262150 -0.042894 0.068657 0.348341 0.406062 0.842056
1305031793.749000 0.307641 0.259215 -0.037084 0.057911 0.346416 0.417917 0.837847
1305031793.781000 0.305351 0.258796 -0.029710 0.048504 0.344047 0.430303 0.833138
1305031793.813000 0.313007 0.267057 -0.016055 0.038752 0.343152 0.438116 0.829939
1305031793.849000 0.315369 0.270930 -0.006447 0.031975 0.342673 0.446933 0.825714
1305031793.881000 0.329850 0.277379 -0.005344 0.025103 0.338909 0.457511 0.821702
1305031793.913000 0.323217 0.270500 -0.000104 0.017983 0.341612 0.466217 0.815855
1305031793.949000 0.318629 0.273960 0.005128 0.013796 0.341067 0.472711 0.812421
1305031793.981000 0.297510 0.281590 0.024839 0.013576 0.346972 0.474860 0.808662
1305031794.013000 0.305394 0.283484 0.025428 0.009808 0.346287 0.482035 0.804756
1305031794.049000 0.310227 0.280506 0.026268 0.006507 0.347423 0.487379 0.801072
1305031794.081000 0.313646 0.277869 0.025872 0.005092 0.347725 0.492515 0.797804
1305031794.113000 0.319973 0.275589 0.022835 0.004395 0.346991 0.497147 0.795250
1305031794.149000 0.332197 0.278633 0.017785 0.006128 0.345600 0.500133 0.793971
1305031794.181000 0.338740 0.276982 0.012734 0.008995 0.348102 0.501068 0.792259
1305031794.214000 0.348529 0.274281 0.004296 0.012554 0.351038 0.500649 0.791180
1305031794.249000 0.356867 0.267407 -0.004915 0.018367 0.356682 0.498826 0.789692
1305031794.281000 0.361563 0.264702 -0.013011 0.027266 0.363612 0.494760 0.788832
1305031794.314000 0.362608 0.258899 -0.019915 0.035927 0.371674 0.489428 0.788053
1305031794.349000 0.381406 0.194447 -0.034691 0.032708 0.380443 0.489484 0.783964
1305031794.381000 0.386223 0.184626 -0.045422 0.044041 0.388551 0.481738 0.784230
1305031794.414000 0.376221 0.184164 -0.039870 0.056409 0.398872 0.472523 0.783863
1305031794.449000 0.368608 0.185232 -0.040581 0.068102 0.406479 0.463923 0.784163
1305031794.481000 0.382328 0.165059 -0.067470 0.076320 0.409339 0.460915 0.783692
1305031794.514000 0.381398 0.159330 -0.079335 0.089767 0.414959 0.456188 0.782076
1305031794.549000 0.376451 0.166057 -0.082121 0.103814 0.421499 0.450334 0.780231
1305031794.581000 0.382909 0.158073 -0.097573 0.113746 0.429474 0.445982 0.776991
1305031794.614000 0.380887 0.154686 -0.107553 0.125675 0.441215 0.439636 0.772175
1305031794.649000 0.385376 0.151282 -0.128734 0.135526 0.452635 0.433495 0.767356
1305031794.681000 0.387778 0.138332 -0.146480 0.142357 0.468087 0.425522 0.761288
1305031794.714000 0.389759 0.139662 -0.164738 0.152083 0.483445 0.418649 0.753581
1305031794.749000 0.387965 0.136947 -0.180122 0.164300 0.504656 0.410052 0.741745
1305031794.781000 0.399335 0.093624 -0.239151 0.164524 0.522816 0.403422 0.732698
1305031794.813000 0.390292 0.084385 -0.249115 0.175832 0.547043 0.390863 0.719064
1305031794.849000 0.391821 0.083102 -0.261312 0.187874 0.567003 0.379695 0.706430
1305031794.881000 0.383675 0.074624 -0.270748 0.200674 0.588304 0.367037 0.692035
1305031794.913000 0.382086 0.054564 -0.297972 0.209197 0.603774 0.357957 0.680853
1305031794.949000 0.385610 0.044535 -0.342236 0.215478 0.614088 0.349144 0.674213
1305031794.981000 0.398229 0.011201 -0.400807 0.218704 0.618796 0.353539 0.666536
1305031795.014000 0.395775 0.002261 -0.418042 0.225143 0.628487 0.348228 0.658067
1305031795.049000 0.399103 -0.010814 -0.441651 0.227161 0.634577 0.347280 0.652002
1305031795.081000 0.391580 -0.015392 -0.439977 0.231185 0.644119 0.343214 0.643326
1305031795.113000 0.389584 -0.023541 -0.461698 0.240062 0.653291 0.336892 0.634102
1305031795.149000 0.380221 -0.039769 -0.505661 0.249799 0.659348 0.333130 0.626007
1305031795.181000 0.372865 -0.039009 -0.514800 0.259343 0.669858 0.325060 0.615116
1305031795.213000 0.366011 -0.051190 -0.534901 0.269420 0.676714 0.322958 0.604292
1305031795.249000 0.368793 -0.058484 -0.547623 0.277416 0.683282 0.318622 0.595521
1305031795.281000 0.361187 -0.062357 -0.563387 0.284476 0.688974 0.314002 0.588040
1305031795.313000 0.349171 -0.067135 -0.592547 0.290299 0.693952 0.310306 0.581263
1305031795.349000 0.324410 -0.054761 -0.637878 0.294861 0.697165 0.304342 0.578268
1305031795.381000 0.318490 -0.065034 -0.638261 0.296869 0.709313 0.298522 0.565357
1305031795.413000 0.325822 -0.061354 -0.648471 0.299686 0.720543 0.294065 0.551845
1305031795.449000 0.329028 -0.107185 -0.643553 0.296013 0.733732 0.297134 0.534532
1305031795.481000 0.327590 -0.109102 -0.653682 0.296657 0.741893 0.295849 0.523510
1305031795.513000 0.319782 -0.092904 -0.668378 0.298762 0.748720 0.291626 0.514892
1305031795.549000 0.312120 -0.088710 -0.687867 0.298907 0.754163 0.290058 0.507700
1305031795.581000 0.306190 -0.083183 -0.712000 0.296823 0.759025 0.286832 0.503493
1305031795.613000 0.302854 -0.084722 -0.720830 0.294789 0.765888 0.283357 0.496210
1305031795.649000 0.306795 -0.091199 -0.728784 0.293027 0.774168 0.279040 0.486761
1305031795.681000 0.305834 -0.101966 -0.735565 0.292834 0.780193 0.277566 0.478022
1305031795.713000 0.300524 -0.080147 -0.739587 0.295128 0.782243 0.277427 0.473317
1305031795.749000 0.292827 -0.067398 -0.735759 0.288124 0.785883 0.278885 0.470738
1305031795.781000 0.301839 -0.068818 -0.730120 0.279830 0.790221 0.285920 0.464215
