# timestamp tx ty tz qx qy qz qw
1305031790.645155 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031790.681208 0.004770 0.007111 0.001389 -0.010345 0.000108 0.003418 0.999941
1305031790.713097 0.009048 0.010449 0.002888 -0.022225 0.000195 0.006284 0.999733
1305031790.745223 0.017681 0.015400 0.005041 -0.031390 -0.000836 0.011571 0.999440
1305031790.781258 0.027661 0.023186 0.006791 -0.040030 -0.001791 0.019425 0.999008
1305031790.813207 0.033358 0.030581 0.007295 -0.052154 -0.000799 0.027358 0.998264
1305031790.845151 0.041733 0.035745 0.010004 -0.064916 -0.001045 0.034746 0.997285
1305031790.882094 0.051673 0.039325 0.012086 -0.076160 0.000432 0.042258 0.996200
1305031790.913129 0.059809 0.040049 0.011864 -0.084647 0.004273 0.049369 0.995178
1305031790.945171 0.064335 0.041924 0.012176 -0.091029 0.009879 0.056780 0.994179
1305031790.981159 0.063793 0.041119 0.013350 -0.094497 0.016402 0.065926 0.993204
1305031791.013075 0.063534 0.038061 0.008140 -0.093281 0.023304 0.080316 0.992121
1305031791.045137 0.069906 0.027853 -0.004661 -0.085415 0.032868 0.087741 0.991930
1305031791.081293 0.066775 0.017734 -0.023858 -0.077712 0.048166 0.097718 0.991006
1305031791.113136 0.071620 -0.008853 -0.032267 -0.069649 0.062098 0.101141 0.990486
1305031791.145096 0.086189 -0.043914 -0.071924 -0.055281 0.079933 0.097798 0.990450
1305031791.181287 0.084896 -0.073645 -0.088014 -0.045945 0.101056 0.098665 0.988909
1305031791.213098 0.098593 -0.103027 -0.111697 -0.027238 0.115569 0.095422 0.988330
1305031791.245087 0.104180 -0.128971 -0.161100 -0.007434 0.134131 0.086701 0.987136
1305031791.281340 0.103243 -0.139202 -0.169635 0.014517 0.154368 0.090002 0.983799
1305031791.313088 0.089758 -0.149748 -0.179207 0.044625 0.178234 0.089374 0.978904
1305031791.345123 0.090204 -0.160600 -0.197667 0.069522 0.196274 0.090179 0.973915
1305031791.382161 0.081248 -0.165198 -0.191740 0.093466 0.214954 0.098412 0.967147
1305031791.413087 0.076065 -0.176491 -0.202603 0.119304 0.226831 0.106227 0.960745
1305031791.445165 0.071866 -0.175126 -0.209458 0.146445 0.237110 0.112299 0.953793
1305031791.481375 0.058061 -0.173720 -0.206894 0.169009 0.248148 0.118845 0.946432
1305031791.513084 0.042127 -0.181304 -0.209780 0.190175 0.256287 0.122059 0.939815
1305031791.545065 0.036478 -0.183049 -0.215460 0.210894 0.262406 0.122085 0.933682
1305031791.581127 0.031578 -0.189316 -0.223026 0.226666 0.269179 0.124423 0.927731
1305031791.613194 0.020123 -0.207181 -0.231883 0.240112 0.276470 0.123653 0.922291
1305031791.645074 0.011862 -0.219164 -0.241988 0.257823 0.282646 0.118817 0.916254
