# timestamp tx ty tz qx qy qz qw
1305031790.645155 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031790.681208 0.007868 0.012117 0.003339 -0.008355 -0.001650 0.005057 0.999951
1305031790.713097 0.014837 0.018417 0.007301 -0.019274 -0.003217 0.009025 0.999768
1305031790.745223 0.022389 0.020355 0.008716 -0.029567 -0.003681 0.013381 0.999466
1305031790.781258 0.029835 0.025980 0.009030 -0.039092 -0.003203 0.020488 0.999020
1305031790.813207 0.035213 0.034895 0.009696 -0.050436 -0.002169 0.028392 0.998321
1305031790.845151 0.043202 0.039311 0.012396 -0.063522 -0.002201 0.035492 0.997347
1305031790.882094 0.052938 0.041545 0.013897 -0.075382 -0.000518 0.042803 0.996235
1305031790.913129 0.060784 0.040692 0.012572 -0.084527 0.003734 0.049652 0.995176
1305031790.945171 0.065157 0.041664 0.012547 -0.091295 0.009532 0.056828 0.994155
1305031790.981159 0.064652 0.039564 0.013030 -0.095306 0.016234 0.065681 0.993146
1305031791.013075 0.065774 0.030578 0.004887 -0.096741 0.023332 0.079048 0.991891
1305031791.045137 0.082187 0.016015 -0.004030 -0.091398 0.028212 0.086804 0.991623
1305031791.081293 0.085279 0.016001 -0.013549 -0.080262 0.038608 0.099926 0.991001
1305031791.113136 0.100000 -0.006302 -0.016375 -0.071571 0.047214 0.106071 0.990655
1305031791.145096 0.127934 -0.030929 -0.042605 -0.054318 0.057363 0.107343 0.991078
1305031791.181287 0.112505 -0.022328 -0.054206 -0.027875 0.082556 0.115539 0.989474
1305031791.213098 0.127860 -0.050223 -0.078658 -0.009366 0.097434 0.112895 0.988774
1305031791.245087 0.135798 -0.073819 -0.128909 0.010251 0.116503 0.104869 0.987585
1305031791.281340 0.135452 -0.083694 -0.137895 0.031751 0.137056 0.108897 0.984047
1305031791.313088 0.122614 -0.094224 -0.148335 0.061376 0.161473 0.109180 0.978897
1305031791.345123 0.172962 -0.113448 -0.212091 0.078907 0.163002 0.114783 0.976744
1305031791.382161 0.183906 -0.143071 -0.201265 0.092059 0.176913 0.125234 0.971876
1305031791.413087 0.289111 -0.278040 -0.327104 0.068582 0.162359 0.123652 0.976548
1305031791.445165 0.364194 -0.303091 -0.398176 0.082973 0.151875 0.130737 0.976195
1305031791.481375 0.351583 -0.279784 -0.377080 0.111830 0.165164 0.144533 0.969188
1305031791.513084 0.386101 -0.386183 -0.433809 0.105197 0.163154 0.157063 0.968321
1305031791.545065 0.407942 -0.397282 -0.437292 0.123164 0.165620 0.160269 0.965253
1305031791.581127 0.422703 -0.479381 -0.471046 0.123175 0.171542 0.181154 0.960513
1305031791.613194 0.468141 -0.533675 -0.501732 0.125178 0.167457 0.186322 0.959986
1305031791.645074 0.422466 -0.617811 -0.550662 0.130464 0.184598 0.187252 0.955950
1305031791.681062 0.396222 -0.599513 -0.521235 0.159134 0.199938 0.183241 0.949276
1305031791.713242 0.300878 -0.654188 -0.574153 0.175003 0.228069 0.192331 0.938279
1305031791.745148 0.388822 -0.752196 -0.676962 0.165639 0.219895 0.192145 0.941961
1305031791.781286 0.398517 -0.757921 -0.702176 0.181894 0.231085 0.181243 0.938438
1305031791.813247 0.435802 -0.764888 -0.736802 0.197418 0.236435 0.169965 0.936075
1305031791.845123 0.449226 -0.743911 -0.740264 0.221952 0.246965 0.161827 0.929278
1305031791.881072 0.443623 -0.719850 -0.733319 0.244424 0.255688 0.162767 0.921080
1305031791.913193 0.476122 -0.693048 -0.764764 0.261605 0.252824 0.160478 0.917545
1305031791.948998 0.473677 -0.720044 -0.790095 0.272076 0.260048 0.157663 0.912958
1305031791.981259 0.464790 -0.752588 -0.803377 0.281171 0.267780 0.158714 0.907770
1305031792.013213 0.469610 -0.778119 -0.824586 0.290379 0.271545 0.159227 0.903654
1305031792.050221 0.469198 -0.886067 -0.928305 0.274442 0.273429 0.162975 0.907390
1305031792.081058 0.466669 -0.904739 -0.946667 0.277556 0.278330 0.158151 0.905806
1305031792.113127 0.477137 -0.927862 -0.978178 0.279375 0.279120 0.157571 0.905104
1305031792.149109 0.476245 -0.967956 -0.992384 0.278727 0.281416 0.160462 0.904084
1305031792.181099 0.475779 -0.978651 -0.979112 0.285382 0.281439 0.166750 0.900857
1305031792.213166 0.529056 -1.070823 -1.014013 0.270691 0.282575 0.144337 0.908870
1305031792.249088 0.523158 -1.083663 -1.018736 0.273459 0.282658 0.152323 0.906710
1305031792.281069 0.525652 -1.119779 -1.041285 0.265500 0.282183 0.154433 0.908864
1305031792.313073 0.526405 -1.119523 -1.041924 0.266086 0.280792 0.154509 0.909110
1305031792.349198 0.520528 -1.068573 -1.006980 0.273133 0.279815 0.152776 0.907613
1305031792.381062 0.522798 -1.054662 -1.002208 0.266806 0.279454 0.154020 0.909394
1305031792.413074 0.504052 -0.927271 -0.926091 0.287564 0.282508 0.149882 0.902791
1305031792.449168 0.486881 -0.844895 -0.910501 0.289733 0.279122 0.160815 0.901268
1305031792.481098 0.483833 -0.825151 -0.881908 0.284495 0.278931 0.164542 0.902323
1305031792.513052 0.483955 -0.780604 -0.816621 0.282128 0.285715 0.152367 0.903081
1305031792.549157 0.505061 -0.669750 -0.762044 0.290181 0.279026 0.153251 0.902471
1305031792.581136 0.505735 -0.654598 -0.740712 0.276499 0.279574 0.157648 0.905833
1305031792.613102 0.504977 -0.646297 -0.735218 0.260558 0.280791 0.162028 0.909402
1305031792.649254 0.507921 -0.621917 -0.720948 0.247559 0.281638 0.166420 0.911975
1305031792.681063 0.508792 -0.599223 -0.710362 0.234162 0.282830 0.170486 0.914390
1305031792.713116 0.513800 -0.588349 -0.709297 0.216380 0.281665 0.176636 0.917957
1305031792.749097 0.518058 -0.590680 -0.718574 0.196933 0.279317 0.181343 0.922125
1305031792.781106 0.530711 -0.596850 -0.726302 0.176469 0.276007 0.185337 0.926461
1305031792.813144 0.531701 -0.582281 -0.721906 0.162336 0.275552 0.192136 0.927794
1305031792.849022 0.525122 -0.539814 -0.700192 0.155861 0.276980 0.194743 0.927936
1305031792.881064 0.524066 -0.533463 -0.709433 0.138391 0.277985 0.200411 0.929197
1305031792.913316 0.504927 -0.488351 -0.697309 0.131603 0.280285 0.209395 0.927510
1305031792.949047 0.493426 -0.426193 -0.663947 0.130983 0.279568 0.217732 0.925893
1305031792.981139 0.473249 -0.312310 -0.622109 0.142891 0.277007 0.228066 0.922407
1305031793.013059 0.480484 -0.325468 -0.671296 0.118795 0.270887 0.237917 0.925151
