# timestamp tx ty tz qx qy qz qw
1305031790.645155 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031790.681208 0.008590 0.013492 0.003838 -0.007793 -0.002070 0.005453 0.999953
1305031790.713097 0.016282 0.020644 0.008464 -0.018423 -0.004083 0.009713 0.999775
1305031790.745223 0.023693 0.021845 0.009790 -0.029003 -0.004482 0.013874 0.999473
1305031790.781258 0.030507 0.027025 0.009813 -0.038716 -0.003659 0.020812 0.999027
1305031790.813207 0.035707 0.036392 0.010491 -0.049810 -0.002568 0.028668 0.998344
1305031790.845151 0.043645 0.040660 0.013228 -0.062966 -0.002574 0.035704 0.997374
1305031790.882094 0.053563 0.042586 0.014694 -0.075018 -0.000975 0.043094 0.996250
1305031790.913129 0.061412 0.041667 0.013332 -0.084199 0.003283 0.049933 0.995192
1305031790.945171 0.065782 0.042601 0.013296 -0.090990 0.009084 0.057099 0.994172
1305031790.981159 0.065287 0.040439 0.013745 -0.095034 0.015787 0.065941 0.993162
1305031791.013075 0.066516 0.031317 0.005571 -0.096546 0.022851 0.079295 0.991902
1305031791.045137 0.083208 0.016660 -0.003203 -0.091275 0.027601 0.087058 0.991629
1305031791.081293 0.086338 0.016825 -0.012594 -0.080085 0.037953 0.100234 0.991009
1305031791.113136 0.100235 -0.006074 -0.015984 -0.071552 0.047064 0.106085 0.990662
1305031791.145096 0.128185 -0.031149 -0.043070 -0.054443 0.057360 0.107171 0.991090
1305031791.181287 0.112596 -0.023875 -0.054832 -0.028561 0.082733 0.115007 0.989501
1305031791.213098 0.127921 -0.051821 -0.079245 -0.010044 0.097599 0.112351 0.988813
1305031791.245087 0.135828 -0.075499 -0.129462 0.009581 0.116653 0.104310 0.987633
1305031791.281340 0.135471 -0.085387 -0.138433 0.031094 0.137198 0.108323 0.984112
1305031791.313088 0.122621 -0.095920 -0.148855 0.060735 0.161601 0.108587 0.978982
1305031791.345123 0.164273 -0.117459 -0.202861 0.078151 0.166278 0.113620 0.976388
1305031791.382161 0.170636 -0.141807 -0.197980 0.093446 0.181274 0.123302 0.971187
1305031791.413087 0.263534 -0.253654 -0.304062 0.077992 0.168942 0.125517 0.974485
1305031791.445165 0.323589 -0.274931 -0.360866 0.093745 0.162467 0.133225 0.973174
1305031791.481375 0.308745 -0.264027 -0.344139 0.120169 0.176391 0.144502 0.966212
1305031791.513084 0.349301 -0.363274 -0.391612 0.115267 0.173451 0.155644 0.965610
1305031791.545065 0.366479 -0.374880 -0.398073 0.133260 0.176629 0.158501 0.962248
1305031791.581127 0.381900 -0.437045 -0.431526 0.137020 0.181228 0.174060 0.958168
1305031791.613194 0.413909 -0.485211 -0.459434 0.141530 0.180310 0.178963 0.956781
1305031791.645074 0.379110 -0.551996 -0.503739 0.149549 0.194087 0.179435 0.952769
1305031791.681062 0.350385 -0.538120 -0.489297 0.177454 0.209173 0.176604 0.945287
1305031791.713242 0.271039 -0.562002 -0.541545 0.196002 0.231840 0.184178 0.934832
1305031791.745148 0.343443 -0.660947 -0.633994 0.187543 0.226742 0.183862 0.937875
1305031791.781286 0.352004 -0.666845 -0.652881 0.204042 0.237121 0.175385 0.933478
1305031791.813247 0.385427 -0.676686 -0.681064 0.219738 0.242895 0.165686 0.930196
1305031791.845123 0.398707 -0.658890 -0.680305 0.244313 0.253334 0.158437 0.922513
1305031791.881072 0.395614 -0.636673 -0.674540 0.266099 0.261976 0.158352 0.914049
1305031791.913193 0.427083 -0.623387 -0.694053 0.282565 0.260235 0.156770 0.909867
1305031791.948998 0.422444 -0.643667 -0.722569 0.293607 0.266848 0.154625 0.904808
1305031791.981259 0.412580 -0.672581 -0.739136 0.302649 0.274468 0.155218 0.899432
1305031792.013213 0.418784 -0.694064 -0.760476 0.312529 0.277733 0.155168 0.895049
1305031792.050221 0.411365 -0.794062 -0.868099 0.297299 0.279926 0.159559 0.898775
1305031792.081058 0.411110 -0.811563 -0.879518 0.301569 0.284177 0.156077 0.896627
1305031792.113127 0.418644 -0.833888 -0.911225 0.303460 0.285394 0.155672 0.895672
1305031792.149109 0.416559 -0.864740 -0.928501 0.304094 0.287365 0.157878 0.894440
1305031792.181099 0.421546 -0.880832 -0.932890 0.307219 0.287877 0.157427 0.893286
1305031792.213166 0.461228 -0.946011 -0.969913 0.298022 0.286841 0.146818 0.898527
1305031792.249088 0.457512 -0.960374 -0.979441 0.299846 0.287375 0.150641 0.897115
1305031792.281069 0.457001 -0.988894 -1.003803 0.293025 0.286993 0.152440 0.899185
1305031792.313073 0.456488 -0.987203 -1.006355 0.293557 0.285637 0.152503 0.899433
1305031792.349198 0.453836 -0.942213 -0.970620 0.299617 0.284407 0.150750 0.898119
1305031792.381062 0.455947 -0.928863 -0.964209 0.293391 0.284144 0.152515 0.899957
