# timestamp tx ty tz qx qy qz qw
1305031453.360000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.392000 0.001158 0.002763 -0.008439 -0.001343 0.006492 0.010664 0.999921
1305031453.424000 0.012453 0.006872 -0.017218 0.000474 0.007345 0.020188 0.999769
1305031453.460000 0.016859 0.016908 -0.021393 0.006653 0.010853 0.026684 0.999563
1305031453.492000 0.016633 0.020445 -0.032908 0.010299 0.018404 0.035884 0.999133
1305031453.524000 0.014298 0.025585 -0.047472 0.016615 0.024540 0.043719 0.998604
1305031453.560000 0.017648 0.031350 -0.061448 0.023647 0.026026 0.049971 0.998131
1305031453.592000 0.016048 0.039893 -0.076529 0.031859 0.029315 0.054212 0.997590
1305031453.628000 0.008645 0.043189 -0.088360 0.038032 0.032163 0.058446 0.997047
1305031453.660000 0.000087 0.051145 -0.104367 0.046061 0.029788 0.056165 0.996913
1305031453.692000 -0.010484 0.060045 -0.119945 0.052931 0.026580 0.051900 0.996894
1305031453.728000 -0.019196 0.068608 -0.134127 0.057318 0.022131 0.046587 0.997023
1305031453.760000 -0.033302 0.075989 -0.145117 0.062284 0.015926 0.038287 0.997197
1305031453.792000 -0.043462 0.085420 -0.161081 0.066900 0.007648 0.030988 0.997249
1305031453.828000 -0.052784 0.092682 -0.172451 0.069590 0.000503 0.024025 0.997286
1305031453.860000 -0.067303 0.101626 -0.183959 0.071935 -0.010361 0.016071 0.997226
1305031453.892000 -0.076430 0.117309 -0.192390 0.074573 -0.026900 0.009941 0.996803
1305031453.928000 -0.097232 0.122199 -0.202956 0.071607 -0.041473 0.005268 0.996556
1305031453.960000 -0.098438 0.123486 -0.213479 0.067601 -0.061074 -0.003855 0.995834
1305031453.992000 -0.119475 0.123718 -0.216508 0.065296 -0.068821 -0.014688 0.995382
1305031454.028000 -0.118384 0.131285 -0.213633 0.069936 -0.085505 -0.025281 0.993559
1305031454.060000 -0.131692 0.131116 -0.227751 0.068404 -0.096014 -0.037962 0.992301
1305031454.092000 -0.128419 0.131864 -0.225796 0.068776 -0.112304 -0.052889 0.989879
1305031454.128000 -0.146108 0.136477 -0.227349 0.073003 -0.124145 -0.067053 0.987301
1305031454.160000 -0.178030 0.157453 -0.227491 0.079259 -0.131977 -0.078867 0.984926
1305031454.192000 -0.195122 0.161809 -0.229796 0.077376 -0.145800 -0.093058 0.981884
1305031454.228000 -0.237141 0.153170 -0.238082 0.073166 -0.148975 -0.107675 0.980234
1305031454.260000 -0.241307 0.152665 -0.243539 0.077892 -0.162099 -0.123507 0.975911
1305031454.292000 -0.236142 0.157304 -0.242402 0.077409 -0.174660 -0.136492 0.972045
1305031454.328000 -0.250086 0.156208 -0.242745 0.078484 -0.183913 -0.152388 0.967881
1305031454.360000 -0.255131 0.158961 -0.244284 0.084442 -0.195825 -0.166990 0.962619
1305031454.392000 -0.263398 0.164038 -0.245781 0.085463 -0.202782 -0.178878 0.958947
1305031454.427000 -0.279057 0.186718 -0.239523 0.094733 -0.212950 -0.193522 0.953010
1305031454.460000 -0.278271 0.190351 -0.237798 0.097644 -0.224160 -0.208817 0.946897
1305031454.492000 -0.283776 0.196049 -0.242012 0.099419 -0.228090 -0.225157 0.942017
1305031454.528000 -0.290717 0.208584 -0.241604 0.101162 -0.232848 -0.240928 0.936751
1305031454.560000 -0.295423 0.215982 -0.244939 0.098534 -0.237651 -0.254007 0.932359
