# timestamp tx ty tz qx qy qz qw
1305031453.360000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.392000 0.002601 0.003688 -0.007910 -0.000915 0.005765 0.010716 0.999926
1305031453.424000 0.015187 0.008284 -0.016445 0.001109 0.005973 0.020193 0.999778
1305031453.460000 0.021385 0.017854 -0.019995 0.007107 0.008886 0.026770 0.999577
1305031453.492000 0.022078 0.021223 -0.031331 0.010668 0.016080 0.036059 0.999163
1305031453.524000 0.019261 0.026222 -0.046036 0.016948 0.022497 0.044050 0.998632
1305031453.560000 0.021986 0.031119 -0.060163 0.023683 0.024358 0.050468 0.998148
1305031453.592000 0.020361 0.039622 -0.075231 0.031871 0.027681 0.054702 0.997610
1305031453.628000 0.013088 0.043003 -0.087089 0.038071 0.030492 0.058973 0.997067
1305031453.660000 0.004554 0.050953 -0.103120 0.046104 0.028130 0.056705 0.996929
1305031453.692000 -0.006111 0.059767 -0.118737 0.052953 0.024977 0.052450 0.996906
1305031453.728000 -0.014737 0.068347 -0.132935 0.057360 0.020513 0.047144 0.997029
1305031453.760000 -0.028936 0.075758 -0.143912 0.062363 0.014360 0.038867 0.997193
1305031453.792000 -0.037843 0.085607 -0.159775 0.067146 0.005650 0.031603 0.997227
1305031453.828000 -0.047784 0.092626 -0.171302 0.069759 -0.001248 0.024637 0.997259
1305031453.860000 -0.062483 0.101501 -0.182914 0.072099 -0.012038 0.016672 0.997185
1305031453.892000 -0.071443 0.116109 -0.192291 0.074300 -0.028630 0.010234 0.996772
1305031453.928000 -0.090943 0.121133 -0.202451 0.071429 -0.043669 0.005565 0.996474
1305031453.960000 -0.092290 0.123085 -0.212710 0.067702 -0.063191 -0.003395 0.995697
1305031453.992000 -0.112199 0.123439 -0.215236 0.065524 -0.071309 -0.014161 0.995199
1305031454.028000 -0.116910 0.128581 -0.216269 0.068981 -0.085790 -0.024596 0.993618
1305031454.060000 -0.128317 0.130760 -0.227387 0.068573 -0.097017 -0.037059 0.992226
1305031454.092000 -0.131250 0.131254 -0.226396 0.068704 -0.111138 -0.051556 0.990086
1305031454.128000 -0.148659 0.134686 -0.229005 0.072456 -0.123048 -0.065876 0.987557
1305031454.160000 -0.174693 0.150677 -0.232091 0.076883 -0.132745 -0.078244 0.985061
1305031454.192000 -0.190158 0.154291 -0.234036 0.074844 -0.147304 -0.092567 0.981902
1305031454.228000 -0.226798 0.147311 -0.241258 0.072067 -0.152790 -0.108265 0.979663
1305031454.260000 -0.229132 0.149077 -0.245441 0.077526 -0.166894 -0.124001 0.975069
1305031454.292000 -0.226050 0.154981 -0.244866 0.077273 -0.178874 -0.136819 0.971243
1305031454.328000 -0.239639 0.151341 -0.246769 0.077325 -0.188075 -0.152666 0.967131
1305031454.360000 -0.244576 0.154361 -0.248178 0.083459 -0.200003 -0.167184 0.961812
1305031454.392000 -0.253602 0.160888 -0.249466 0.085086 -0.206745 -0.179170 0.958079
1305031454.427000 -0.268249 0.178252 -0.245217 0.092292 -0.217356 -0.194246 0.952107
1305031454.460000 -0.267463 0.181892 -0.243508 0.095261 -0.228592 -0.209486 0.945932
1305031454.492000 -0.272915 0.187586 -0.247797 0.097106 -0.232555 -0.225798 0.941012
1305031454.528000 -0.279813 0.200147 -0.247516 0.098916 -0.237342 -0.241539 0.935705
1305031454.560000 -0.284467 0.207543 -0.250931 0.096343 -0.242162 -0.254606 0.931263
1305031454.592000 -0.290183 0.212401 -0.249572 0.093858 -0.251451 -0.270132 0.924658
1305031454.628000 -0.293104 0.219516 -0.255402 0.091852 -0.264199 -0.285247 0.916731
1305031454.660000 -0.291978 0.230665 -0.256546 0.087113 -0.276237 -0.291764 0.911580
1305031454.692000 -0.293405 0.234001 -0.259072 0.079526 -0.289826 -0.299849 0.905410
1305031454.728000 -0.285039 0.234257 -0.254279 0.073907 -0.306088 -0.303674 0.899239
1305031454.760000 -0.276419 0.238263 -0.264348 0.068038 -0.310738 -0.300818 0.899067
1305031454.792000 -0.271524 0.243788 -0.264425 0.063040 -0.313930 -0.293814 0.900637
1305031454.828000 -0.267508 0.258170 -0.256411 0.061981 -0.316027 -0.288041 0.901841
1305031454.860000 -0.262192 0.269155 -0.251826 0.058285 -0.314430 -0.280728 0.904947
1305031454.892000 -0.255312 0.269159 -0.257965 0.051004 -0.309564 -0.272400 0.909597
1305031454.928000 -0.253389 0.279132 -0.260644 0.047920 -0.303277 -0.266274 0.913687
1305031454.960000 -0.254461 0.287315 -0.267052 0.044724 -0.296590 -0.260953 0.917572
1305031454.992000 -0.259421 0.297211 -0.276898 0.042495 -0.290985 -0.255941 0.920878
1305031455.028000 -0.259484 0.309619 -0.280260 0.042924 -0.290148 -0.252775 0.921996
1305031455.060000 -0.264057 0.316998 -0.282919 0.041363 -0.286731 -0.250873 0.923654
1305031455.092000 -0.269295 0.326402 -0.287923 0.043933 -0.282597 -0.250285 0.924968
1305031455.128000 -0.275429 0.340146 -0.293373 0.046385 -0.276924 -0.248847 0.926950
1305031455.160000 -0.285222 0.351896 -0.299714 0.046039 -0.271108 -0.245044 0.929696
1305031455.192000 -0.294656 0.361702 -0.306191 0.043231 -0.266481 -0.240263 0.932412
1305031455.228000 -0.304146 0.368227 -0.310897 0.042352 -0.262879 -0.234746 0.934877
1305031455.260000 -0.310498 0.383397 -0.314941 0.041698 -0.257998 -0.228083 0.937911
1305031455.292000 -0.324078 0.387419 -0.320008 0.032507 -0.251150 -0.219183 0.942245
1305031455.328000 -0.336177 0.398022 -0.327466 0.027526 -0.247352 -0.208523 0.945821
1305031455.360000 -0.338289 0.414570 -0.326355 0.025535 -0.247717 -0.204811 0.946592
1305031455.392000 -0.351305 0.414499 -0.328816 0.013804 -0.239957 -0.197367 0.950408
1305031455.428000 -0.382093 0.444517 -0.357142 0.016765 -0.219845 -0.187612 0.957177
1305031455.460000 -0.380570 0.418617 -0.344068 -0.000635 -0.227174 -0.178313 0.957390
1305031455.492000 -0.392958 0.424978 -0.352026 -0.004414 -0.222857 -0.167567 0.960331
1305031455.528000 -0.411693 0.423964 -0.360352 -0.010501 -0.217975 -0.154763 0.963548
1305031455.560000 -0.430910 0.427181 -0.372912 -0.012591 -0.216240 -0.141815 0.965904
1305031455.592000 -0.444449 0.432611 -0.385874 -0.014729 -0.216222 -0.127881 0.967821
1305031455.628000 -0.461557 0.428708 -0.391017 -0.021287 -0.214417 -0.115011 0.969714
1305031455.660000 -0.479462 0.424121 -0.403072 -0.020399 -0.211134 -0.109092 0.971136
1305031455.692000 -0.495705 0.426553 -0.416550 -0.016129 -0.208012 -0.110344 0.971748
1305031455.728000 -0.511244 0.425275 -0.427309 -0.013956 -0.203934 -0.115129 0.972091
1305031455.760000 -0.525483 0.425010 -0.436412 -0.012201 -0.198584 -0.118161 0.972858
1305031455.792000 -0.540843 0.415256 -0.447984 -0.012738 -0.193470 -0.117750 0.973931
1305031455.828000 -0.556871 0.412251 -0.466786 -0.010812 -0.188548 -0.117118 0.974996
1305031455.860000 -0.569707 0.408877 -0.476926 -0.010611 -0.186757 -0.118734 0.975147
1305031455.892000 -0.580293 0.404427 -0.490477 -0.011029 -0.183726 -0.119134 0.975669
1305031455.928000 -0.593129 0.400472 -0.498303 -0.011838 -0.179901 -0.119956 0.976271
1305031455.960000 -0.602709 0.400002 -0.507512 -0.010893 -0.176540 -0.121562 0.976697
1305031455.992000 -0.613661 0.397821 -0.519632 -0.012610 -0.170908 -0.124627 0.977292
1305031456.028000 -0.625669 0.404840 -0.531375 -0.014763 -0.162733 -0.128893 0.978104
1305031456.060000 -0.639892 0.394783 -0.537386 -0.025815 -0.156172 -0.136970 0.977846
1305031456.092000 -0.652105 0.385795 -0.543578 -0.031949 -0.151280 -0.142048 0.977709
1305031456.128000 -0.666332 0.380686 -0.549280 -0.033215 -0.145678 -0.143823 0.978259
1305031456.160000 -0.675482 0.370404 -0.550373 -0.035594 -0.140618 -0.143925 0.978900
1305031456.192000 -0.686024 0.359378 -0.555774 -0.032267 -0.132462 -0.141716 0.980474
1305031456.228000 -0.693028 0.365571 -0.559978 -0.026492 -0.122623 -0.138053 0.982448
1305031456.260000 -0.704883 0.358156 -0.556163 -0.028475 -0.111285 -0.135253 0.984130
1305031456.292000 -0.719034 0.350025 -0.555041 -0.026697 -0.099423 -0.130100 0.986142
1305031456.328000 -0.729485 0.343159 -0.553437 -0.023204 -0.089223 -0.122998 0.988116
1305031456.360000 -0.735503 0.348441 -0.556402 -0.017124 -0.078281 -0.117792 0.989800
1305031456.392000 -0.753312 0.341073 -0.546056 -0.017136 -0.063587 -0.112617 0.991454
1305031456.428000 -0.771216 0.343479 -0.542375 -0.009638 -0.051556 -0.106113 0.992970
1305031456.460000 -0.791008 0.358166 -0.536669 -0.005445 -0.043249 -0.099734 0.994059
1305031456.492000 -0.809516 0.360366 -0.528777 -0.011521 -0.040796 -0.094162 0.994654
1305031456.528000 -0.822688 0.359865 -0.519891 -0.017953 -0.041652 -0.088733 0.995022
1305031456.560000 -0.829015 0.357593 -0.501630 -0.019880 -0.043072 -0.084460 0.995297
1305031456.592000 -0.842263 0.362294 -0.501721 -0.019942 -0.037611 -0.077033 0.996119
1305031456.628000 -0.854517 0.379856 -0.491141 -0.027689 -0.030819 -0.070592 0.996645
1305031456.660000 -0.864581 0.362052 -0.471923 -0.043543 -0.027408 -0.063660 0.996644
1305031456.692000 -0.881025 0.364677 -0.466453 -0.041363 -0.022108 -0.053671 0.997457
1305031456.728000 -0.897902 0.381600 -0.457512 -0.042137 -0.019139 -0.043695 0.997972
1305031456.760000 -0.915251 0.366960 -0.448042 -0.053200 -0.021103 -0.037363 0.997662
1305031456.792000 -0.930082 0.369390 -0.440359 -0.048514 -0.027108 -0.029858 0.998008
1305031456.828000 -0.936288 0.384362 -0.432430 -0.046720 -0.031590 -0.021005 0.998187
1305031456.860000 -0.939835 0.390077 -0.415902 -0.051509 -0.033814 -0.012085 0.998027
1305031456.892000 -0.941268 0.405868 -0.392539 -0.046253 -0.035885 -0.002383 0.998282
1305031456.928000 -0.953916 0.412550 -0.385533 -0.040075 -0.029665 0.003937 0.998748
1305031456.960000 -0.966516 0.429654 -0.379500 -0.037683 -0.023522 0.009566 0.998967
1305031456.992000 -0.980942 0.424952 -0.372295 -0.047423 -0.017711 0.011544 0.998651
1305031457.028000 -0.994035 0.424197 -0.367432 -0.049606 -0.012834 0.015159 0.998571
1305031457.060000 -1.005923 0.435246 -0.366227 -0.050494 -0.007447 0.020921 0.998477
1305031457.092000 -1.018493 0.430176 -0.363846 -0.061245 -0.001209 0.024916 0.997811
1305031457.128000 -1.029309 0.420794 -0.363177 -0.066826 0.004971 0.029245 0.997324
1305031457.160000 -1.042356 0.420715 -0.366753 -0.065143 0.012855 0.036301 0.997133
1305031457.192000 -1.057661 0.425218 -0.372802 -0.062858 0.021748 0.042463 0.996882
1305031457.228000 -1.071374 0.420710 -0.376534 -0.067784 0.029095 0.048377 0.996102
1305031457.260000 -1.079255 0.403656 -0.379244 -0.070857 0.033985 0.054863 0.995397
1305031457.292000 -1.095433 0.407539 -0.390048 -0.061034 0.043969 0.060940 0.995303
1305031457.328000 -1.109186 0.412140 -0.399517 -0.056740 0.054180 0.066582 0.994692
1305031457.360000 -1.121772 0.403459 -0.405801 -0.059195 0.064905 0.072402 0.993500
1305031457.392000 -1.138933 0.396483 -0.415979 -0.054730 0.077417 0.080418 0.992242
1305031457.428000 -1.160568 0.396104 -0.425314 -0.051291 0.087929 0.087554 0.990945
1305031457.460000 -1.177995 0.390181 -0.433693 -0.051632 0.092382 0.092272 0.990094
1305031457.492000 -1.191183 0.379102 -0.442496 -0.052409 0.094439 0.095921 0.989512
1305031457.528000 -1.203086 0.371281 -0.453807 -0.049327 0.097495 0.099449 0.989026
1305031457.560000 -1.217565 0.366522 -0.463976 -0.045710 0.102881 0.103371 0.988251
1305031457.592000 -1.236903 0.365712 -0.472979 -0.041710 0.108947 0.106935 0.987398
1305031457.628000 -1.252300 0.353256 -0.478254 -0.043373 0.112282 0.109626 0.986658
1305031457.660000 -1.265686 0.347815 -0.498989 -0.041831 0.113042 0.113750 0.986171
1305031457.692000 -1.281550 0.343298 -0.499825 -0.046319 0.114900 0.116257 0.985463
