# timestamp tx ty tz qx qy qz qw
1305031453.360000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.392000 0.012601 0.016315 -0.020386 0.006619 -0.006423 0.003670 0.999951
1305031453.424000 0.017140 0.019229 -0.030729 0.007242 -0.005428 0.010407 0.999905
1305031453.460000 0.022868 0.026359 -0.017870 0.009166 0.007143 0.028528 0.999525
1305031453.492000 0.026858 0.036975 -0.026698 0.015858 0.011501 0.035550 0.999176
1305031453.524000 0.027847 0.043164 -0.040589 0.021814 0.016595 0.043210 0.998690
1305031453.560000 0.033882 0.049403 -0.054115 0.029464 0.017215 0.048335 0.998248
1305031453.592000 0.035839 0.063901 -0.067957 0.039073 0.018987 0.055140 0.997533
1305031453.628000 0.034014 0.043503 -0.060486 0.045485 0.034208 0.069143 0.995982
1305031453.660000 0.037923 0.048905 -0.068952 0.053302 0.033078 0.067893 0.995718
1305031453.692000 0.039027 0.049652 -0.072115 0.057311 0.032715 0.065076 0.995696
1305031453.728000 0.044917 0.057839 -0.084821 0.063634 0.025868 0.059315 0.995873
1305031453.760000 0.050286 0.066243 -0.095469 0.072431 0.033042 0.067247 0.994555
1305031453.792000 0.034446 0.070157 -0.103482 0.074647 0.028219 0.057598 0.995145
1305031453.828000 0.022845 0.080429 -0.110741 0.078251 0.019867 0.049603 0.995501
1305031453.860000 0.018272 0.087646 -0.122338 0.081342 0.008782 0.042544 0.995739
1305031453.892000 0.014394 0.106648 -0.120783 0.087833 -0.007055 0.040452 0.995289
1305031453.928000 -0.008568 0.087166 -0.143286 0.077259 -0.012946 0.033564 0.996362
1305031453.960000 -0.017321 0.091784 -0.151089 0.072793 -0.035402 0.018228 0.996552
1305031453.992000 -0.045251 0.072575 -0.170350 0.067225 -0.037899 -0.000337 0.997018
1305031454.028000 -0.016871 0.163904 -0.170784 0.120799 -0.093468 -0.019471 0.988075
1305031454.060000 -0.028824 0.093487 -0.206783 0.087802 -0.087913 -0.055604 0.990692
1305031454.092000 -0.025876 0.100301 -0.209856 0.088147 -0.111848 -0.080932 0.986494
1305031454.128000 -0.072410 0.165216 -0.180022 0.106957 -0.126110 -0.071830 0.983614
1305031454.160000 -0.026069 0.150324 -0.152502 0.113390 -0.126512 -0.083155 0.981948
1305031454.192000 -0.030490 0.141012 -0.146870 0.110670 -0.129797 -0.087424 0.981459
1305031454.228000 -0.039356 0.122890 -0.134944 0.100925 -0.136066 -0.099123 0.980548
1305031454.260000 -0.043698 0.122982 -0.118952 0.101489 -0.147927 -0.115256 0.977002
1305031454.292000 -0.045856 0.119854 -0.114598 0.097234 -0.156557 -0.127140 0.974613
1305031454.328000 -0.043720 0.123579 -0.118195 0.102283 -0.166370 -0.142709 0.970306
1305031454.360000 -0.043775 0.126810 -0.114333 0.108570 -0.178796 -0.158275 0.964984
1305031454.392000 -0.044891 0.127806 -0.109123 0.108715 -0.186740 -0.169810 0.961496
1305031454.427000 -0.039223 0.139708 -0.116387 0.121825 -0.195514 -0.180710 0.956178
1305031454.460000 -0.039223 0.139708 -0.116387 0.121825 -0.195514 -0.180710 0.956178
1305031454.492000 -0.039223 0.139708 -0.116387 0.121825 -0.195514 -0.180710 0.956178
1305031454.528000 -0.039223 0.139708 -0.116387 0.121825 -0.195514 -0.180710 0.956178
1305031454.560000 -0.039223 0.139708 -0.116387 0.121825 -0.195514 -0.180710 0.956178
1305031454.592000 -0.044380 0.169690 -0.103046 0.130829 -0.202431 -0.189566 0.951825
1305031454.628000 -0.044380 0.169690 -0.103046 0.130829 -0.202431 -0.189566 0.951825
1305031454.660000 -0.044380 0.169690 -0.103046 0.130829 -0.202431 -0.189566 0.951825
1305031454.692000 -0.044380 0.169690 -0.103046 0.130829 -0.202431 -0.189566 0.951825
1305031454.728000 -0.044380 0.169690 -0.103046 0.130829 -0.202431 -0.189566 0.951825
1305031454.760000 -0.044380 0.169690 -0.103046 0.130829 -0.202431 -0.189566 0.951825
1305031454.792000 -0.034416 0.182913 -0.108606 0.128649 -0.206291 -0.181703 0.952826
1305031454.828000 -0.044135 0.194539 -0.093467 0.129239 -0.205241 -0.179570 0.953377
1305031454.860000 -0.040211 0.207040 -0.088987 0.126461 -0.205077 -0.172584 0.955074
1305031454.892000 -0.040211 0.207040 -0.088987 0.126461 -0.205077 -0.172584 0.955074
1305031454.928000 -0.049133 0.212162 -0.096372 0.121786 -0.196965 -0.166736 0.958422
1305031454.960000 -0.049185 0.218032 -0.101590 0.117823 -0.193118 -0.159649 0.960903
1305031454.992000 -0.061455 0.232190 -0.109220 0.115961 -0.187677 -0.151087 0.963589
1305031455.028000 -0.061455 0.232190 -0.109220 0.115961 -0.187677 -0.151087 0.963589
1305031455.060000 -0.061455 0.232190 -0.109220 0.115961 -0.187677 -0.151087 0.963589
1305031455.092000 -0.061455 0.232190 -0.109220 0.115961 -0.187677 -0.151087 0.963589
1305031455.128000 -0.074533 0.249913 -0.112275 0.119430 -0.180869 -0.151043 0.964473
1305031455.160000 -0.086786 0.261686 -0.114986 0.119815 -0.175645 -0.146722 0.966057
1305031455.192000 -0.097173 0.272070 -0.118329 0.117936 -0.172529 -0.141116 0.967683
1305031455.228000 -0.105332 0.277301 -0.119134 0.117841 -0.170318 -0.135776 0.968850
1305031455.260000 -0.105332 0.277301 -0.119134 0.117841 -0.170318 -0.135776 0.968850
1305031455.292000 -0.105332 0.277301 -0.119134 0.117841 -0.170318 -0.135776 0.968850
1305031455.328000 -0.105332 0.277301 -0.119134 0.117841 -0.170318 -0.135776 0.968850
1305031455.360000 -0.112570 0.309072 -0.112009 0.117268 -0.173498 -0.119981 0.970439
1305031455.392000 -0.112570 0.309072 -0.112009 0.117268 -0.173498 -0.119981 0.970439
1305031455.428000 -0.183337 0.345509 -0.140186 0.111819 -0.142814 -0.096852 0.978632
1305031455.460000 -0.183337 0.345509 -0.140186 0.111819 -0.142814 -0.096852 0.978632
1305031455.492000 -0.192835 0.333448 -0.130004 0.112464 -0.117350 -0.053131 0.985271
1305031455.528000 -0.192835 0.333448 -0.130004 0.112464 -0.117350 -0.053131 0.985271
1305031455.560000 -0.192835 0.333448 -0.130004 0.112464 -0.117350 -0.053131 0.985271
1305031455.592000 -0.192835 0.333448 -0.130004 0.112464 -0.117350 -0.053131 0.985271
1305031455.628000 -0.198799 0.321711 -0.134603 0.108643 -0.103541 -0.022272 0.988423
1305031455.660000 -0.210630 0.302576 -0.136323 0.110560 -0.088350 0.001691 0.989933
1305031455.692000 -0.210630 0.302576 -0.136323 0.110560 -0.088350 0.001691 0.989933
1305031455.728000 -0.210630 0.302576 -0.136323 0.110560 -0.088350 0.001691 0.989933
1305031455.760000 -0.225381 0.289838 -0.139709 0.109317 -0.083655 -0.003174 0.990475
1305031455.792000 -0.258223 0.292935 -0.150069 0.111494 -0.074564 -0.002809 0.990960
1305031455.828000 -0.281267 0.276567 -0.176933 0.106651 -0.071319 0.003089 0.991731
1305031455.860000 -0.300604 0.286375 -0.174442 0.112404 -0.066484 -0.002702 0.991432
1305031455.892000 -0.294723 0.281201 -0.192322 0.110042 -0.068605 -0.006736 0.991534
1305031455.928000 -0.335496 0.272315 -0.194161 0.109265 -0.059069 -0.003030 0.992251
1305031455.960000 -0.348969 0.259536 -0.198437 0.105608 -0.055756 -0.001251 0.992843
1305031455.992000 -0.366016 0.267673 -0.213018 0.106705 -0.050172 -0.006326 0.993004
1305031456.028000 -0.396931 0.279809 -0.218755 0.104898 -0.038744 -0.007597 0.993699
1305031456.060000 -0.396931 0.279809 -0.218755 0.104898 -0.038744 -0.007597 0.993699
1305031456.092000 -0.392381 0.287329 -0.227296 0.104868 -0.040956 -0.009615 0.993596
1305031456.128000 -0.418341 0.268492 -0.231136 0.099325 -0.031754 -0.011758 0.994479
1305031456.160000 -0.418341 0.268492 -0.231136 0.099325 -0.031754 -0.011758 0.994479
1305031456.192000 -0.418341 0.268492 -0.231136 0.099325 -0.031754 -0.011758 0.994479
1305031456.228000 -0.418341 0.268492 -0.231136 0.099325 -0.031754 -0.011758 0.994479
1305031456.260000 -0.418341 0.268492 -0.231136 0.099325 -0.031754 -0.011758 0.994479
1305031456.292000 -0.418341 0.268492 -0.231136 0.099325 -0.031754 -0.011758 0.994479
1305031456.328000 -0.418341 0.268492 -0.231136 0.099325 -0.031754 -0.011758 0.994479
1305031456.360000 -0.418341 0.268492 -0.231136 0.099325 -0.031754 -0.011758 0.994479
1305031456.392000 -0.418341 0.268492 -0.231136 0.099325 -0.031754 -0.011758 0.994479
1305031456.428000 -0.418341 0.268492 -0.231136 0.099325 -0.031754 -0.011758 0.994479
1305031456.460000 -0.418341 0.268492 -0.231136 0.099325 -0.031754 -0.011758 0.994479
1305031456.492000 -0.418341 0.268492 -0.231136 0.099325 -0.031754 -0.011758 0.994479
1305031456.528000 -0.418341 0.268492 -0.231136 0.099325 -0.031754 -0.011758 0.994479
1305031456.560000 -0.398409 0.282096 -0.196603 0.106974 -0.036341 -0.015112 0.993483
1305031456.592000 -0.398409 0.282096 -0.196603 0.106974 -0.036341 -0.015112 0.993483
1305031456.628000 -0.398409 0.282096 -0.196603 0.106974 -0.036341 -0.015112 0.993483
1305031456.660000 -0.398409 0.282096 -0.196603 0.106974 -0.036341 -0.015112 0.993483
1305031456.692000 -0.398409 0.282096 -0.196603 0.106974 -0.036341 -0.015112 0.993483
1305031456.728000 -0.398409 0.282096 -0.196603 0.106974 -0.036341 -0.015112 0.993483
1305031456.760000 -0.398409 0.282096 -0.196603 0.106974 -0.036341 -0.015112 0.993483
1305031456.792000 -0.398409 0.282096 -0.196603 0.106974 -0.036341 -0.015112 0.993483
1305031456.828000 -0.398409 0.282096 -0.196603 0.106974 -0.036341 -0.015112 0.993483
1305031456.860000 0.208559 0.630353 -0.277989 0.118017 -0.064010 -0.012154 0.990872
1305031456.892000 -1.321913 -0.172507 0.065480 0.011214 0.557254 0.829054 0.044861
1305031456.928000 -1.321913 -0.172507 0.065480 0.011214 0.557254 0.829054 0.044861
1305031456.960000 -1.321913 -0.172507 0.065480 0.011214 0.557254 0.829054 0.044861
1305031456.992000 -1.321913 -0.172507 0.065480 0.011214 0.557254 0.829054 0.044861
1305031457.028000 -1.321913 -0.172507 0.065480 0.011214 0.557254 0.829054 0.044861
1305031457.060000 -1.321913 -0.172507 0.065480 0.011214 0.557254 0.829054 0.044861
1305031457.092000 -1.321913 -0.172507 0.065480 0.011214 0.557254 0.829054 0.044861
1305031457.128000 -1.321913 -0.172507 0.065480 0.011214 0.557254 0.829054 0.044861
1305031457.160000 -1.321913 -0.172507 0.065480 0.011214 0.557254 0.829054 0.044861
1305031457.192000 -1.321913 -0.172507 0.065480 0.011214 0.557254 0.829054 0.044861
1305031457.228000 -1.321913 -0.172507 0.065480 0.011214 0.557254 0.829054 0.044861
1305031457.260000 -1.321913 -0.172507 0.065480 0.011214 0.557254 0.829054 0.044861
1305031457.292000 -1.321913 -0.172507 0.065480 0.011214 0.557254 0.829054 0.044861
1305031457.328000 -1.321913 -0.172507 0.065480 0.011214 0.557254 0.829054 0.044861
1305031457.360000 -1.321913 -0.172507 0.065480 0.011214 0.557254 0.829054 0.044861
1305031457.392000 -1.321913 -0.172507 0.065480 0.011214 0.557254 0.829054 0.044861
1305031457.428000 -1.321913 -0.172507 0.065480 0.011214 0.557254 0.829054 0.044861
1305031457.460000 -1.321913 -0.172507 0.065480 0.011214 0.557254 0.829054 0.044861
1305031457.492000 -1.321913 -0.172507 0.065480 0.011214 0.557254 0.829054 0.044861
1305031457.528000 -1.321913 -0.172507 0.065480 0.011214 0.557254 0.829054 0.044861
1305031457.560000 -1.321913 -0.172507 0.065480 0.011214 0.557254 0.829054 0.044861
1305031457.592000 -1.321913 -0.172507 0.065480 0.011214 0.557254 0.829054 0.044861
1305031457.628000 -1.321913 -0.172507 0.065480 0.011214 0.557254 0.829054 0.044861
1305031457.660000 -1.267561 -0.204931 0.019075 -0.006172 0.547823 0.835659 0.039060
1305031457.692000 -1.221777 -0.195524 -0.010399 -0.022824 0.533922 0.844383 0.037733
1305031457.728000 -1.221777 -0.195524 -0.010399 -0.022824 0.533922 0.844383 0.037733
1305031457.760000 -1.221777 -0.195524 -0.010399 -0.022824 0.533922 0.844383 0.037733
1305031457.792000 -1.221777 -0.195524 -0.010399 -0.022824 0.533922 0.844383 0.037733
1305031457.828000 -1.221777 -0.195524 -0.010399 -0.022824 0.533922 0.844383 0.037733
1305031457.860000 -1.221777 -0.195524 -0.010399 -0.022824 0.533922 0.844383 0.037733
1305031457.892000 -1.221777 -0.195524 -0.010399 -0.022824 0.533922 0.844383 0.037733
1305031457.928000 -1.221777 -0.195524 -0.010399 -0.022824 0.533922 0.844383 0.037733
1305031457.960000 -1.221777 -0.195524 -0.010399 -0.022825 0.533922 0.844383 0.037730
1305031457.992000 -1.342773 -0.218378 0.006145 -0.011544 0.542579 0.837965 0.057357
1305031458.028000 -1.342773 -0.218378 0.006145 -0.011544 0.542579 0.837965 0.057357
1305031458.060000 -1.342773 -0.218378 0.006145 -0.011544 0.542579 0.837965 0.057357
1305031458.092000 -1.342773 -0.218378 0.006145 -0.011544 0.542579 0.837965 0.057357
1305031458.128000 -1.342773 -0.218378 0.006145 -0.011544 0.542579 0.837965 0.057357
1305031458.160000 -1.342773 -0.218378 0.006145 -0.011544 0.542579 0.837965 0.057357
1305031458.192000 -1.342773 -0.218378 0.006145 -0.011544 0.542579 0.837965 0.057357
1305031458.228000 -1.342773 -0.218378 0.006145 -0.011544 0.542579 0.837965 0.057357
1305031458.260000 -1.342773 -0.218378 0.006145 -0.011544 0.542579 0.837965 0.057357
1305031458.292000 -1.265170 -0.218094 -0.004768 -0.021275 0.535667 0.843809 0.024390
1305031458.328000 -1.265170 -0.218094 -0.004768 -0.021275 0.535667 0.843809 0.024390
1305031458.360000 -1.265170 -0.218094 -0.004768 -0.021275 0.535667 0.843809 0.024390
1305031458.392000 -1.265170 -0.218094 -0.004768 -0.021275 0.535667 0.843809 0.024390
1305031458.428000 -1.265170 -0.218094 -0.004768 -0.021275 0.535667 0.843809 0.024390
1305031458.460000 -1.265170 -0.218094 -0.004768 -0.021275 0.535667 0.843809 0.024390
1305031458.492000 -1.265170 -0.218094 -0.004768 -0.021275 0.535667 0.843809 0.024390
1305031458.528000 -1.265170 -0.218094 -0.004768 -0.021275 0.535667 0.843809 0.024390
1305031458.560000 -1.265170 -0.218094 -0.004768 -0.021275 0.535667 0.843809 0.024390
1305031458.592000 -1.266421 -0.198328 0.013836 -0.026718 0.539676 0.841225 0.019413
1305031458.628000 -1.268624 -0.171845 0.064464 -0.031302 0.553052 0.832345 0.018847
1305031458.660000 -1.268624 -0.171845 0.064464 -0.031302 0.553052 0.832345 0.018847
1305031458.692000 -1.269679 -0.155450 0.080712 -0.032428 0.547881 0.835603 0.023274
1305031458.728000 -1.269679 -0.155450 0.080712 -0.032428 0.547881 0.835603 0.023274
1305031458.760000 -1.269679 -0.155450 0.080712 -0.032428 0.547881 0.835603 0.023274
1305031458.792000 -1.269679 -0.155450 0.080712 -0.032428 0.547881 0.835603 0.023274
