# timestamp tx ty tz qx qy qz qw
1305031453.359684 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.391690 -0.002638 0.000301 -0.009829 -0.002477 0.008396 0.010495 0.999907
1305031453.423683 0.002464 0.001627 -0.019946 -0.001847 0.012272 0.019828 0.999726
1305031453.459685 0.003038 0.009400 -0.027090 0.003532 0.017688 0.026439 0.999488
1305031453.491698 -0.000008 0.014140 -0.039087 0.007695 0.026139 0.035094 0.999013
1305031453.523684 -0.000539 0.017893 -0.053389 0.013623 0.031723 0.043291 0.998466
1305031453.559753 0.002430 0.023048 -0.067494 0.020593 0.033411 0.049817 0.997987
1305031453.591640 0.001105 0.032079 -0.082577 0.029070 0.036487 0.054173 0.997441
1305031453.627706 -0.007677 0.033256 -0.094760 0.034439 0.039866 0.058019 0.996924
1305031453.659600 -0.015793 0.041199 -0.110769 0.042482 0.037211 0.055713 0.996848
1305031453.691678 -0.021274 0.052652 -0.126118 0.050252 0.032010 0.051530 0.996893
1305031453.727652 -0.031360 0.060578 -0.140517 0.054403 0.028015 0.046177 0.997057
1305031453.759694 -0.042275 0.066912 -0.152930 0.058792 0.020459 0.037559 0.997354
1305031453.791716 -0.045188 0.078570 -0.168180 0.064205 0.009497 0.030393 0.997429
1305031453.827773 -0.059052 0.084335 -0.180221 0.066325 0.003982 0.023411 0.997515
1305031453.859705 -0.074955 0.092910 -0.191954 0.068519 -0.006456 0.015443 0.997509
1305031453.891710 -0.082288 0.101904 -0.205354 0.068366 -0.023668 0.007709 0.997350
1305031453.927723 -0.096902 0.107148 -0.213784 0.065640 -0.040529 0.003134 0.997015
1305031453.959641 -0.098707 0.111385 -0.223129 0.062754 -0.059894 -0.005148 0.996217
1305031453.991624 -0.111746 0.111734 -0.223548 0.060691 -0.070395 -0.015791 0.995546
1305031454.027662 -0.124535 0.113667 -0.229797 0.062509 -0.081880 -0.025962 0.994341
1305031454.059654 -0.133596 0.119066 -0.236816 0.063564 -0.094100 -0.038073 0.992802
1305031454.091651 -0.147558 0.119562 -0.237019 0.063351 -0.104479 -0.051918 0.991148
1305031454.127701 -0.164502 0.121434 -0.240917 0.066364 -0.116605 -0.066374 0.988733
1305031454.159672 -0.176702 0.127391 -0.249355 0.067131 -0.130721 -0.079283 0.985961
1305031454.191658 -0.189775 0.129947 -0.250714 0.064776 -0.146439 -0.093676 0.982642
1305031454.227671 -0.204757 0.121687 -0.255653 0.063138 -0.160020 -0.109357 0.979004
1305031454.259627 -0.203262 0.125357 -0.254974 0.069488 -0.176799 -0.125985 0.973674
1305031454.291639 -0.213574 0.134707 -0.257989 0.069507 -0.184002 -0.138417 0.970645
1305031454.327699 -0.226049 0.126779 -0.262326 0.067831 -0.193403 -0.154083 0.966568
1305031454.359636 -0.231088 0.130736 -0.263150 0.074423 -0.205466 -0.168459 0.961180
1305031454.391677 -0.241335 0.139692 -0.264009 0.077026 -0.211957 -0.180504 0.957371
1305031454.427465 -0.250637 0.144565 -0.265054 0.079490 -0.224444 -0.196058 0.951245
1305031454.459913 -0.249825 0.148241 -0.263433 0.082543 -0.235868 -0.211103 0.944981
1305031454.491617 -0.255180 0.153877 -0.267917 0.084502 -0.240032 -0.227328 0.939982
1305031454.527700 -0.261944 0.166514 -0.268025 0.086424 -0.245012 -0.242968 0.934594
1305031454.559575 -0.266489 0.173865 -0.271672 0.083938 -0.249969 -0.255958 0.930030
1305031454.591635 -0.270794 0.182033 -0.267310 0.083090 -0.258778 -0.268693 0.924086
1305031454.627580 -0.274959 0.185808 -0.276529 0.079653 -0.272319 -0.286248 0.915183
1305031454.659528 -0.273703 0.196911 -0.277955 0.074945 -0.284394 -0.292600 0.909884
1305031454.691884 -0.275073 0.200194 -0.280579 0.067401 -0.298020 -0.300506 0.903514
1305031454.727659 -0.266746 0.200487 -0.275722 0.061794 -0.314274 -0.304109 0.897179
1305031454.759732 -0.257999 0.204137 -0.285817 0.055891 -0.318855 -0.301216 0.896926
1305031454.791641 -0.253048 0.209478 -0.286011 0.050782 -0.321942 -0.294220 0.898448
1305031454.827570 -0.249889 0.227170 -0.278095 0.051561 -0.323297 -0.289386 0.899487
1305031454.859620 -0.243818 0.237045 -0.273981 0.047052 -0.321950 -0.281781 0.902626
1305031454.891764 -0.236614 0.234965 -0.280060 0.038606 -0.317262 -0.272946 0.907389
1305031454.927567 -0.236698 0.244940 -0.284715 0.036387 -0.310237 -0.268594 0.911201
1305031454.959648 -0.235838 0.251133 -0.291086 0.032544 -0.304238 -0.263323 0.914900
1305031454.991937 -0.240630 0.262712 -0.300735 0.030295 -0.298422 -0.257390 0.918573
1305031455.027799 -0.240519 0.275030 -0.304409 0.030702 -0.297553 -0.254238 0.919719
1305031455.059636 -0.244983 0.282391 -0.307293 0.029132 -0.294110 -0.252396 0.921383
1305031455.091700 -0.250068 0.291725 -0.312578 0.031706 -0.289989 -0.251857 0.922751
1305031455.127695 -0.256609 0.307605 -0.318836 0.034952 -0.284115 -0.250971 0.924700
1305031455.159720 -0.265950 0.319569 -0.325625 0.034657 -0.278328 -0.247158 0.927494
1305031455.191655 -0.274630 0.328872 -0.332330 0.031739 -0.273870 -0.242474 0.930158
1305031455.227581 -0.282575 0.335087 -0.336231 0.030985 -0.270867 -0.237423 0.932363
1305031455.259631 -0.290128 0.350541 -0.341737 0.030135 -0.265261 -0.230435 0.935750
1305031455.291831 -0.303612 0.354602 -0.347026 0.020893 -0.258274 -0.221686 0.940060
1305031455.327766 -0.315513 0.365169 -0.354845 0.015844 -0.254337 -0.211116 0.943659
1305031455.359630 -0.312036 0.384288 -0.350851 0.016145 -0.256905 -0.207468 0.943767
1305031455.391665 -0.325014 0.384313 -0.353505 0.004367 -0.249033 -0.200212 0.947565
1305031455.427642 -0.360777 0.421018 -0.387750 0.009635 -0.226061 -0.190115 0.955332
1305031455.459589 -0.354003 0.388449 -0.369271 -0.010210 -0.236030 -0.181434 0.954603
1305031455.491637 -0.366329 0.394657 -0.377828 -0.014101 -0.231495 -0.170864 0.957610
1305031455.527610 -0.384819 0.393814 -0.386121 -0.020260 -0.226585 -0.158087 0.960863
1305031455.559669 -0.403811 0.396991 -0.399028 -0.022459 -0.224726 -0.145187 0.963283
1305031455.591645 -0.417096 0.402310 -0.412297 -0.024719 -0.224570 -0.131281 0.965258
1305031455.627617 -0.433838 0.398674 -0.417067 -0.031335 -0.222842 -0.118364 0.967135
1305031455.659615 -0.451664 0.396330 -0.429020 -0.029331 -0.219455 -0.112703 0.968647
1305031455.691605 -0.467670 0.398699 -0.442789 -0.025040 -0.216372 -0.113954 0.969315
1305031455.727628 -0.483056 0.397397 -0.453764 -0.022811 -0.212351 -0.118760 0.969682
1305031455.759683 -0.496833 0.397252 -0.458996 -0.020699 -0.208310 -0.122495 0.970141
1305031455.791666 -0.512063 0.386203 -0.473303 -0.021864 -0.203081 -0.123103 0.971147
1305031455.827590 -0.527105 0.377523 -0.494619 -0.022599 -0.198671 -0.121998 0.972181
1305031455.859526 -0.541156 0.378284 -0.502784 -0.020588 -0.196845 -0.124349 0.972299
1305031455.891657 -0.544997 0.368335 -0.518917 -0.022828 -0.195984 -0.125827 0.972233
1305031455.927955 -0.564753 0.369269 -0.524141 -0.021946 -0.190648 -0.126184 0.973267
1305031455.959716 -0.573378 0.366240 -0.529415 -0.022433 -0.188396 -0.126625 0.973637
1305031455.991694 -0.584249 0.365497 -0.545853 -0.023041 -0.182440 -0.131184 0.974154
1305031456.027770 -0.598612 0.374490 -0.558700 -0.024706 -0.173452 -0.135510 0.975162
1305031456.059713 -0.610150 0.362519 -0.564097 -0.035995 -0.167731 -0.143825 0.974621
1305031456.091707 -0.618562 0.355064 -0.571542 -0.041099 -0.164149 -0.148506 0.974327
1305031456.127645 -0.636214 0.349714 -0.576932 -0.042628 -0.157584 -0.150876 0.974980
1305031456.159731 -0.645510 0.339565 -0.578024 -0.044970 -0.152514 -0.151060 0.975653
1305031456.191658 -0.656117 0.328607 -0.583438 -0.041616 -0.144382 -0.148909 0.977368
1305031456.227678 -0.662921 0.334828 -0.587919 -0.035820 -0.134577 -0.145299 0.979538
1305031456.259614 -0.674981 0.327688 -0.584221 -0.037755 -0.123215 -0.142648 0.981348
1305031456.291675 -0.689288 0.319816 -0.583252 -0.035955 -0.111340 -0.137611 0.983552
1305031456.327718 -0.699886 0.313156 -0.581745 -0.032475 -0.101122 -0.130591 0.985731
1305031456.359846 -0.705748 0.318477 -0.584946 -0.026379 -0.090198 -0.125442 0.987640
1305031456.391619 -0.723900 0.311613 -0.574853 -0.026342 -0.075473 -0.120429 0.989498
1305031456.427662 -0.741838 0.314387 -0.571619 -0.018831 -0.063458 -0.113976 0.991276
1305031456.459610 -0.761499 0.329510 -0.566646 -0.014651 -0.055135 -0.107644 0.992551
1305031456.491677 -0.780134 0.332174 -0.559211 -0.020773 -0.052583 -0.102169 0.993159
1305031456.527641 -0.793504 0.332069 -0.550611 -0.027274 -0.053334 -0.096806 0.993499
1305031456.559608 -0.799125 0.334865 -0.529883 -0.027126 -0.054900 -0.093071 0.993775
1305031456.591651 -0.813427 0.335187 -0.532932 -0.029369 -0.049172 -0.085180 0.994718
1305031456.627612 -0.825611 0.353158 -0.522975 -0.037134 -0.042258 -0.078897 0.995294
1305031456.659665 -0.836392 0.335914 -0.503637 -0.053034 -0.038646 -0.072174 0.995231
1305031456.691612 -0.852905 0.338919 -0.498585 -0.050928 -0.033275 -0.062223 0.996207
1305031456.727693 -0.869684 0.356295 -0.490358 -0.051792 -0.030205 -0.052291 0.996830
1305031456.759615 -0.887481 0.342137 -0.480987 -0.062936 -0.032010 -0.046059 0.996440
1305031456.791649 -0.902433 0.344966 -0.473684 -0.058388 -0.037982 -0.038447 0.996830
1305031456.827603 -0.908557 0.360195 -0.466194 -0.056730 -0.042391 -0.029532 0.997052
1305031456.859634 -0.917810 0.357915 -0.453504 -0.065027 -0.041686 -0.023122 0.996744
1305031456.891672 -0.920286 0.350200 -0.436455 -0.070670 -0.043042 -0.017259 0.996421
1305031456.927690 -0.932823 0.357593 -0.429984 -0.064459 -0.036772 -0.011050 0.997181
1305031456.959667 -0.944972 0.375343 -0.424979 -0.062023 -0.030535 -0.005555 0.997592
1305031456.991709 -0.959644 0.371434 -0.417797 -0.071678 -0.024528 -0.003789 0.997119
1305031457.027648 -0.972826 0.371312 -0.413119 -0.073811 -0.019532 -0.000308 0.997081
1305031457.059621 -0.984380 0.382763 -0.412637 -0.074659 -0.013995 0.005317 0.997097
1305031457.091655 -0.997136 0.378198 -0.410224 -0.085324 -0.007493 0.009087 0.996284
1305031457.127632 -1.008248 0.369192 -0.409286 -0.090830 -0.001122 0.013230 0.995778
1305031457.159693 -1.021237 0.369338 -0.413068 -0.089077 0.006903 0.020111 0.995798
1305031457.191735 -1.036301 0.374009 -0.419575 -0.086698 0.015906 0.026078 0.995766
1305031457.227543 -1.050090 0.369745 -0.423313 -0.091536 0.023474 0.031787 0.995017
1305031457.259691 -1.058458 0.352828 -0.425336 -0.094567 0.028570 0.038140 0.994377
1305031457.291656 -1.074344 0.356677 -0.436577 -0.084639 0.038544 0.044054 0.994691
1305031457.327548 -1.087804 0.361233 -0.446479 -0.080220 0.048824 0.049492 0.994350
1305031457.359712 -1.100559 0.352646 -0.452548 -0.082526 0.059731 0.055052 0.993273
1305031457.391684 -1.117775 0.345715 -0.462663 -0.077903 0.072371 0.062819 0.992344
1305031457.427641 -1.139270 0.345545 -0.472323 -0.074328 0.083006 0.069747 0.991323
1305031457.459614 -1.156746 0.339758 -0.480696 -0.074617 0.087582 0.074367 0.990571
1305031457.491705 -1.170139 0.328675 -0.489175 -0.075377 0.089742 0.077968 0.990043
1305031457.527638 -1.182110 0.320685 -0.500295 -0.072265 0.092838 0.081453 0.989709
1305031457.559685 -1.196577 0.315884 -0.510462 -0.068579 0.098266 0.085284 0.989124
1305031457.591678 -1.215794 0.315231 -0.519733 -0.064496 0.104360 0.088746 0.988470
1305031457.627526 -1.231491 0.303009 -0.524661 -0.066109 0.107789 0.091354 0.987758
1305031457.659632 -1.247626 0.290467 -0.550348 -0.067492 0.109508 0.093964 0.987230
1305031457.691570 -1.264212 0.283348 -0.548808 -0.073096 0.112112 0.095721 0.986370
1305031457.727669 -1.276772 0.263751 -0.558225 -0.077992 0.113045 0.095493 0.985910
1305031457.759556 -1.290940 0.251604 -0.563601 -0.076197 0.115864 0.093655 0.985900
1305031457.791567 -1.298520 0.233606 -0.569443 -0.071147 0.119350 0.092814 0.985941
1305031457.827699 -1.314635 0.236588 -0.578018 -0.059141 0.128011 0.092257 0.985700
1305031457.859623 -1.329157 0.226840 -0.582073 -0.057127 0.137013 0.093029 0.984535
1305031457.891593 -1.343960 0.206141 -0.584021 -0.052289 0.145145 0.094356 0.983512
1305031457.927633 -1.366901 0.200787 -0.585507 -0.039148 0.152299 0.096886 0.982795
1305031457.959632 -1.382767 0.199954 -0.587980 -0.031640 0.154060 0.100770 0.982400
1305031457.991644 -1.395366 0.184045 -0.586089 -0.028519 0.155694 0.101816 0.982130
