# timestamp tx ty tz qx qy qz qw
1305031453.359684 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.391690 0.003417 0.004207 -0.007611 -0.000675 0.005354 0.010742 0.999928
1305031453.423683 0.010400 0.005804 -0.017790 -0.000002 0.008367 0.020149 0.999762
1305031453.459685 0.012852 0.013654 -0.023640 0.005334 0.013160 0.026942 0.999536
1305031453.491698 0.012650 0.018518 -0.034760 0.009473 0.020341 0.035710 0.999110
1305031453.523684 0.010050 0.022237 -0.049770 0.015329 0.026928 0.043934 0.998554
1305031453.559753 0.012956 0.027183 -0.063898 0.022156 0.028699 0.050444 0.998069
1305031453.591640 0.011827 0.036401 -0.078927 0.030666 0.031745 0.054863 0.997518
1305031453.627706 0.003792 0.038908 -0.090806 0.036554 0.034859 0.058870 0.996987
1305031453.659600 -0.005185 0.046755 -0.106754 0.044567 0.032616 0.056569 0.996870
1305031453.691678 -0.016443 0.055141 -0.122359 0.051264 0.029620 0.052287 0.996875
1305031453.727652 -0.023766 0.064355 -0.136189 0.055908 0.024595 0.047000 0.997026
1305031453.759694 -0.040680 0.072071 -0.146284 0.061101 0.019496 0.038985 0.997179
1305031453.791716 -0.053578 0.080434 -0.162439 0.065340 0.012148 0.031591 0.997289
1305031453.827773 -0.063713 0.087362 -0.173328 0.067963 0.005162 0.024441 0.997375
1305031453.859705 -0.077579 0.096519 -0.184496 0.070391 -0.005957 0.016592 0.997364
1305031453.891710 -0.087424 0.113384 -0.191744 0.073551 -0.022295 0.010850 0.996983
1305031453.927723 -0.118216 0.114785 -0.207295 0.069028 -0.033119 0.005889 0.997047
1305031453.959641 -0.113462 0.115988 -0.215596 0.065111 -0.055150 -0.003635 0.996346
1305031453.991624 -0.131224 0.119384 -0.215817 0.064097 -0.064083 -0.013757 0.995789
1305031454.027662 -0.103095 0.140106 -0.193280 0.075166 -0.091093 -0.025061 0.992685
1305031454.059654 -0.131965 0.127613 -0.224201 0.067757 -0.095703 -0.038290 0.992363
1305031454.091651 -0.127557 0.128382 -0.222430 0.068170 -0.112249 -0.053156 0.989913
