# timestamp tx ty tz qx qy qz qw
1305031453.359684 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.391690 0.005396 0.005457 -0.006885 -0.000093 0.004352 0.010791 0.999932
1305031453.423683 0.012868 0.007088 -0.017101 0.000571 0.007138 0.020192 0.999770
1305031453.459685 0.016711 0.014601 -0.022621 0.005756 0.011530 0.027193 0.999547
1305031453.491698 0.017976 0.019131 -0.033357 0.009747 0.018126 0.036074 0.999137
1305031453.523684 0.014292 0.022878 -0.048724 0.015637 0.025239 0.044421 0.998572
1305031453.559753 0.016807 0.027127 -0.062907 0.022237 0.027274 0.051089 0.998074
1305031453.591640 0.015561 0.036143 -0.077960 0.030660 0.030394 0.055459 0.997527
1305031453.627706 0.007730 0.038897 -0.089824 0.036639 0.033433 0.059541 0.996993
1305031453.659600 -0.001237 0.046735 -0.105791 0.044656 0.031206 0.057251 0.996872
1305031453.691678 -0.012598 0.055024 -0.121432 0.051329 0.028266 0.052978 0.996875
1305031453.727652 -0.019816 0.064273 -0.135261 0.055999 0.023214 0.047697 0.997021
1305031453.759694 -0.036895 0.072028 -0.145320 0.061235 0.018197 0.039718 0.997167
1305031453.791716 -0.048509 0.080885 -0.161392 0.065669 0.010405 0.032379 0.997262
1305031453.827773 -0.059218 0.087599 -0.172499 0.068219 0.003659 0.025269 0.997344
1305031453.859705 -0.073279 0.096654 -0.183781 0.070631 -0.007391 0.017383 0.997324
1305031453.891710 -0.083028 0.112426 -0.192073 0.073340 -0.023764 0.011306 0.996960
1305031453.927723 -0.112021 0.114845 -0.206510 0.069274 -0.035288 0.006451 0.996952
1305031453.959641 -0.107549 0.116435 -0.214813 0.065527 -0.057136 -0.002863 0.996210
1305031453.991624 -0.124505 0.119400 -0.214914 0.064417 -0.066325 -0.013051 0.995631
1305031454.027662 -0.110740 0.132768 -0.203132 0.071925 -0.087841 -0.023974 0.993245
1305031454.059654 -0.132745 0.126927 -0.225204 0.067692 -0.095064 -0.036722 0.992488
1305031454.091651 -0.134185 0.127464 -0.224298 0.067855 -0.109613 -0.051172 0.990334
1305031454.127701 -0.152317 0.134550 -0.223382 0.073135 -0.121362 -0.064930 0.987779
1305031454.159672 -0.174946 0.144481 -0.231413 0.075121 -0.132088 -0.078067 0.985300
1305031454.191658 -0.194709 0.149951 -0.234458 0.073522 -0.144803 -0.091911 0.982435
1305031454.227671 -0.216048 0.140820 -0.238896 0.071136 -0.156414 -0.108552 0.979128
1305031454.259627 -0.214589 0.143977 -0.240329 0.077272 -0.172504 -0.124685 0.974025
1305031454.291639 -0.220094 0.151082 -0.242144 0.076804 -0.181224 -0.137150 0.970798
1305031454.327699 -0.233441 0.146336 -0.244747 0.076419 -0.190431 -0.152966 0.966694
1305031454.359636 -0.238430 0.149791 -0.245909 0.082766 -0.202368 -0.167458 0.961330
1305031454.391677 -0.247635 0.156965 -0.246939 0.084679 -0.209086 -0.179458 0.957553
1305031454.427465 -0.260971 0.169809 -0.244888 0.090121 -0.220093 -0.194767 0.951579
1305031454.459913 -0.260183 0.173455 -0.243193 0.093123 -0.231356 -0.209964 0.945366
1305031454.491617 -0.265600 0.179142 -0.247535 0.095012 -0.235350 -0.226257 0.940421
1305031454.527700 -0.272466 0.191723 -0.247346 0.096864 -0.240166 -0.241974 0.935086
1305031454.559575 -0.277085 0.199113 -0.250818 0.094325 -0.245004 -0.255029 0.930611
1305031454.591635 -0.282115 0.204652 -0.248118 0.092304 -0.254119 -0.269428 0.924290
1305031454.627580 -0.285670 0.211088 -0.255386 0.089910 -0.267077 -0.285607 0.915978
1305031454.659528 -0.284509 0.222228 -0.256579 0.085182 -0.279113 -0.292099 0.910779
1305031454.691884 -0.285916 0.225555 -0.259127 0.077609 -0.292698 -0.300159 0.904549
1305031454.727659 -0.277572 0.225812 -0.254298 0.071993 -0.308948 -0.303949 0.898322
1305031454.759732 -0.268896 0.229747 -0.264348 0.066112 -0.313583 -0.301094 0.898130
1305031454.791641 -0.263975 0.235508 -0.264399 0.061177 -0.316739 -0.294059 0.899702
1305031454.827570 -0.260031 0.249841 -0.256406 0.060119 -0.318815 -0.288377 0.900878
1305031454.859620 -0.254437 0.259705 -0.252010 0.055753 -0.317365 -0.280766 0.904069
1305031454.891764 -0.247735 0.260618 -0.258020 0.048990 -0.312340 -0.272732 0.908659
1305031454.927567 -0.246975 0.270895 -0.261742 0.046568 -0.305642 -0.267675 0.912559
1305031454.959648 -0.246985 0.278139 -0.268032 0.042903 -0.299294 -0.262115 0.916449
1305031454.991937 -0.251634 0.288569 -0.276965 0.040398 -0.293759 -0.256272 0.919999
1305031455.027799 -0.251650 0.300960 -0.280389 0.040818 -0.292918 -0.253108 0.921124
1305031455.059636 -0.256193 0.308337 -0.283106 0.039253 -0.289497 -0.251220 0.922789
1305031455.091700 -0.261385 0.317729 -0.288180 0.041823 -0.285368 -0.250638 0.924119
1305031455.127695 -0.267729 0.332249 -0.293793 0.044568 -0.279615 -0.249369 0.926091
1305031455.159720 -0.277228 0.343354 -0.300194 0.043973 -0.273866 -0.245448 0.928881
1305031455.191655 -0.286583 0.352446 -0.306617 0.040878 -0.269246 -0.240548 0.931650
