# timestamp tx ty tz qx qy qz qw
1305031102.175000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031102.211000 -0.002381 0.015982 0.025811 0.000624 -0.004229 -0.000891 0.999990
1305031102.243000 -0.005863 0.011836 0.025740 -0.006678 -0.005041 -0.001241 0.999964
1305031102.275000 -0.006905 0.014090 0.041001 -0.010861 -0.007909 -0.000895 0.999909
1305031102.311000 -0.007871 0.013338 0.056426 -0.015191 -0.009899 -0.000356 0.999836
1305031102.343000 -0.008474 0.014414 0.068836 -0.017057 -0.011814 0.001389 0.999784
1305031102.375000 -0.008673 0.015534 0.079776 -0.018957 -0.013621 0.001569 0.999726
1305031102.411000 -0.012696 0.019834 0.090983 -0.019892 -0.015307 0.000435 0.999685
1305031102.443000 -0.013879 0.031055 0.104241 -0.021485 -0.018357 0.000920 0.999600
1305031102.475000 -0.007035 0.025394 0.115101 -0.031516 -0.022730 0.001080 0.999244
1305031102.511000 -0.008039 0.031683 0.135551 -0.034176 -0.021930 -0.000987 0.999175
1305031102.543000 -0.006066 0.024436 0.142105 -0.041683 -0.020907 -0.001757 0.998911
1305031102.575000 -0.004998 0.023036 0.160084 -0.043561 -0.019801 -0.002454 0.998852
1305031102.611000 -0.005351 0.022456 0.178300 -0.040849 -0.017632 -0.001184 0.999009
1305031102.643000 -0.013032 0.028435 0.180890 -0.037609 -0.013830 -0.000848 0.999196
1305031102.675000 -0.012762 0.032938 0.206912 -0.037960 -0.017432 -0.000817 0.999127
1305031102.711000 -0.013190 0.032160 0.220537 -0.039275 -0.017787 0.000406 0.999070
1305031102.743000 -0.013796 0.041819 0.233706 -0.037594 -0.017940 0.001519 0.999131
1305031102.775000 -0.009361 0.040294 0.246559 -0.041128 -0.017631 0.000817 0.998998
1305031102.811000 -0.011032 0.043954 0.258258 -0.041800 -0.014024 -0.000186 0.999028
1305031102.843000 -0.010139 0.044203 0.272432 -0.043901 -0.011073 -0.001040 0.998974
1305031102.875000 -0.013559 0.047527 0.284075 -0.042633 -0.007166 -0.003541 0.999059
1305031102.911000 -0.013479 0.052403 0.299995 -0.041249 -0.006560 -0.004921 0.999115
1305031102.943000 -0.019606 0.053196 0.308863 -0.041456 -0.004433 -0.007199 0.999105
1305031102.975000 -0.027804 0.058418 0.323050 -0.040309 -0.007721 -0.008264 0.999123
1305031103.011000 -0.020243 0.063598 0.341608 -0.040926 -0.018250 -0.003990 0.998988
1305031103.043000 -0.029276 0.065775 0.347898 -0.041690 -0.018605 -0.002802 0.998953
