# timestamp tx ty tz qx qy qz qw
1305031102.175000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031102.211000 -0.002054 0.015547 0.024937 0.000447 -0.004266 -0.000851 0.999990
1305031102.243000 -0.005499 0.011513 0.025582 -0.006821 -0.005143 -0.001211 0.999963
1305031102.275000 -0.006372 0.013762 0.040637 -0.011022 -0.008051 -0.000854 0.999906
1305031102.311000 -0.007611 0.013886 0.056114 -0.015013 -0.009939 -0.000319 0.999838
1305031102.343000 -0.007825 0.013949 0.068265 -0.017284 -0.011972 0.001461 0.999778
1305031102.375000 -0.007840 0.014924 0.079214 -0.019251 -0.013843 0.001639 0.999717
1305031102.411000 -0.011952 0.019003 0.089960 -0.020251 -0.015457 0.000430 0.999675
1305031102.443000 -0.012977 0.029634 0.103176 -0.022220 -0.018646 0.000878 0.999579
1305031102.475000 -0.007243 0.025338 0.114496 -0.031524 -0.022639 0.000845 0.999246
1305031102.511000 -0.007921 0.030336 0.133405 -0.034651 -0.021863 -0.001169 0.999160
1305031102.543000 -0.006757 0.024479 0.141310 -0.041587 -0.020647 -0.002214 0.998919
1305031102.575000 -0.005117 0.022008 0.158993 -0.043901 -0.019853 -0.002915 0.998834
1305031102.611000 -0.005579 0.020843 0.175607 -0.041418 -0.017524 -0.001687 0.998987
1305031102.643000 -0.013149 0.027429 0.179794 -0.037947 -0.013885 -0.001311 0.999182
1305031102.675000 -0.011649 0.031911 0.203949 -0.038523 -0.017618 -0.000804 0.999102
1305031102.711000 -0.012082 0.031148 0.217575 -0.039838 -0.017973 0.000419 0.999044
1305031102.743000 -0.012118 0.040308 0.230341 -0.038468 -0.018343 0.001767 0.999090
1305031102.775000 -0.008263 0.039311 0.243589 -0.041691 -0.017816 0.000830 0.998971
1305031102.811000 -0.009938 0.042984 0.255283 -0.042363 -0.014210 -0.000176 0.999001
1305031102.843000 -0.009050 0.043249 0.269457 -0.044464 -0.011259 -0.001031 0.998947
1305031102.875000 -0.012475 0.046586 0.281096 -0.043196 -0.007353 -0.003535 0.999033
1305031102.911000 -0.012686 0.050656 0.295249 -0.042173 -0.006455 -0.004845 0.999078
1305031102.943000 -0.018918 0.052129 0.305314 -0.042211 -0.004446 -0.006898 0.999075
1305031102.975000 -0.026125 0.056961 0.318404 -0.041518 -0.008655 -0.007816 0.999070
1305031103.011000 -0.021083 0.061900 0.335047 -0.042163 -0.017939 -0.003787 0.998943
1305031103.043000 -0.027354 0.064111 0.342489 -0.043310 -0.020091 -0.002209 0.998857
1305031103.075000 -0.015761 0.064909 0.359570 -0.042666 -0.027389 -0.000616 0.998714
1305031103.111000 -0.016723 0.072856 0.368012 -0.039729 -0.026934 0.000422 0.998847
1305031103.143000 -0.015579 0.072369 0.374395 -0.042611 -0.027181 0.001534 0.998721
1305031103.175000 -0.011551 0.076386 0.379851 -0.043096 -0.027995 0.000989 0.998678
1305031103.211000 -0.018020 0.088012 0.393157 -0.044000 -0.025327 0.003105 0.998706
1305031103.243000 -0.017643 0.091122 0.400610 -0.050780 -0.025463 0.006932 0.998361
1305031103.275000 -0.023044 0.093822 0.405636 -0.059326 -0.026290 0.011187 0.997830
1305031103.311000 -0.022477 0.086904 0.412848 -0.068398 -0.036267 0.010702 0.996941
1305031103.343000 -0.016866 0.088528 0.414620 -0.068628 -0.042194 0.010284 0.996697
1305031103.375000 -0.015340 0.087894 0.415337 -0.072107 -0.041199 0.012017 0.996473
1305031103.411000 -0.016340 0.082066 0.414302 -0.075742 -0.040345 0.013842 0.996215
1305031103.443000 -0.017754 0.080673 0.410284 -0.075501 -0.042163 0.013420 0.996164
1305031103.475000 -0.017316 0.076627 0.405639 -0.075684 -0.044939 0.011650 0.996051
1305031103.511000 -0.017210 0.072337 0.399606 -0.073701 -0.046430 0.009568 0.996153
1305031103.543000 -0.017271 0.063731 0.391218 -0.071462 -0.047337 0.006443 0.996299
1305031103.575000 -0.018896 0.063196 0.381339 -0.065994 -0.048017 0.006633 0.996642
1305031103.611000 -0.020939 0.058096 0.371274 -0.064223 -0.050176 0.007490 0.996645
1305031103.643000 -0.019727 0.053342 0.360762 -0.062078 -0.054459 0.008262 0.996550
1305031103.676000 -0.016096 0.048803 0.349601 -0.060219 -0.057935 0.009247 0.996460
1305031103.712000 -0.012126 0.044293 0.337982 -0.058949 -0.060001 0.010613 0.996400
1305031103.743000 -0.010615 0.037332 0.326115 -0.057640 -0.059782 0.009792 0.996498
1305031103.775000 -0.008796 0.035881 0.311982 -0.054210 -0.059922 0.007103 0.996705
1305031103.811000 -0.007090 0.034533 0.297930 -0.054248 -0.059190 0.004443 0.996762
1305031103.843000 -0.011096 0.036604 0.280449 -0.055686 -0.057159 0.001546 0.996810
1305031103.875000 -0.010229 0.028511 0.274253 -0.062610 -0.060797 -0.001067 0.996184
1305031103.911000 -0.008284 0.017863 0.259695 -0.063966 -0.065272 -0.002593 0.995812
1305031103.943000 -0.006810 0.015660 0.244941 -0.061543 -0.067942 -0.003592 0.995783
1305031103.975000 -0.003634 0.009364 0.232591 -0.060557 -0.070523 -0.004496 0.995660
1305031104.011000 0.001439 0.004178 0.222461 -0.056742 -0.072067 -0.005362 0.995770
1305031104.043000 0.003332 0.003927 0.206148 -0.048534 -0.068696 -0.007500 0.996428
1305031104.075000 0.007574 0.003461 0.192269 -0.044239 -0.065025 -0.010120 0.996851
1305031104.111000 0.008099 -0.004987 0.175040 -0.042693 -0.057800 -0.011589 0.997348
1305031104.143000 0.007736 -0.006037 0.165829 -0.037154 -0.052470 -0.012086 0.997858
1305031104.175000 0.010089 -0.012041 0.151361 -0.034554 -0.050119 -0.013177 0.998058
1305031104.211000 0.007890 -0.020046 0.132261 -0.031733 -0.045628 -0.014110 0.998355
1305031104.243000 0.010920 -0.020715 0.123283 -0.026897 -0.044666 -0.013431 0.998550
1305031104.276000 0.011759 -0.022357 0.110492 -0.022430 -0.042025 -0.014277 0.998763
1305031104.311000 0.012638 -0.024157 0.098189 -0.018788 -0.038702 -0.014405 0.998970
1305031104.343000 0.014693 -0.023706 0.087132 -0.015208 -0.035004 -0.014650 0.999164
1305031104.376000 0.011066 -0.027740 0.070893 -0.014284 -0.028306 -0.015131 0.999383
1305031104.412000 0.008922 -0.028555 0.059522 -0.012886 -0.023902 -0.014606 0.999525
