# timestamp tx ty tz qx qy qz qw
1305031102.175304 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031102.211214 -0.005942 0.018198 0.030323 0.001697 -0.003366 -0.001525 0.999992
1305031102.243211 -0.010687 0.015291 0.026798 -0.005044 -0.003611 -0.001747 0.999979
1305031102.275326 -0.012625 0.016587 0.043199 -0.009477 -0.006235 -0.001420 0.999935
1305031102.311267 -0.014836 0.015929 0.059361 -0.013590 -0.007954 -0.001163 0.999875
1305031102.343233 -0.016254 0.018231 0.072789 -0.014888 -0.009644 0.000350 0.999843
1305031102.375329 -0.016109 0.019263 0.082620 -0.016909 -0.011412 0.000889 0.999792
1305031102.411258 -0.019992 0.024308 0.095421 -0.017544 -0.013212 0.000069 0.999759
1305031102.443271 -0.021411 0.036957 0.108142 -0.018108 -0.015842 0.000550 0.999710
1305031102.475318 -0.009427 0.025949 0.118086 -0.030932 -0.021896 0.001717 0.999280
1305031102.511219 -0.013545 0.037807 0.146037 -0.031675 -0.020193 0.000082 0.999294
1305031102.543220 -0.005760 0.024080 0.145751 -0.041784 -0.020843 0.000271 0.998909
1305031102.575286 -0.007481 0.024417 0.163366 -0.042669 -0.018794 -0.001633 0.998911
1305031102.611233 -0.011403 0.027571 0.186483 -0.038255 -0.015407 -0.000430 0.999149
1305031102.643265 -0.015481 0.029767 0.184198 -0.036721 -0.012820 -0.000028 0.999243
1305031102.675285 -0.017696 0.033700 0.212118 -0.036895 -0.015906 -0.000769 0.999192
1305031102.711263 -0.018082 0.032893 0.225744 -0.038208 -0.016262 0.000456 0.999137
1305031102.743234 -0.022626 0.045284 0.240497 -0.034782 -0.014741 0.000308 0.999286
1305031102.775472 -0.014174 0.040971 0.251771 -0.040061 -0.016107 0.000871 0.999067
1305031102.811232 -0.015810 0.044606 0.263482 -0.040734 -0.012499 -0.000128 0.999092
1305031102.843290 -0.014873 0.044825 0.277654 -0.042837 -0.009547 -0.000975 0.999036
1305031102.875363 -0.018258 0.048124 0.289315 -0.041573 -0.005637 -0.003474 0.999114
1305031102.911185 -0.024319 0.058766 0.315240 -0.036989 -0.002907 -0.006529 0.999290
1305031102.943229 -0.023752 0.053906 0.314553 -0.040148 -0.003062 -0.007532 0.999161
1305031102.975203 -0.033148 0.059337 0.329446 -0.038733 -0.005383 -0.008532 0.999199
1305031103.011215 -0.014764 0.062780 0.352544 -0.039918 -0.019827 -0.004296 0.998997
1305031103.043227 -0.035256 0.066835 0.355870 -0.039267 -0.014802 -0.003345 0.999114
1305031103.075319 -0.021305 0.068272 0.372169 -0.038530 -0.023588 -0.002212 0.998977
1305031103.111240 -0.022432 0.074316 0.381500 -0.036463 -0.023189 -0.000857 0.999066
1305031103.143318 -0.014033 0.070689 0.382822 -0.041083 -0.026601 -0.000574 0.998801
1305031103.175452 -0.010394 0.076173 0.391145 -0.040722 -0.027436 -0.001939 0.998792
1305031103.211220 -0.023237 0.091100 0.405964 -0.039847 -0.021540 0.001522 0.998972
1305031103.243216 -0.022794 0.094147 0.413439 -0.046614 -0.021683 0.005374 0.998663
1305031103.275370 -0.028149 0.096822 0.418528 -0.055148 -0.022515 0.009659 0.998178
1305031103.311210 -0.027551 0.089842 0.425678 -0.064241 -0.032479 0.009168 0.997364
1305031103.343223 -0.021922 0.091432 0.427422 -0.064484 -0.038404 0.008726 0.997141
1305031103.375327 -0.020392 0.090788 0.428122 -0.067956 -0.037412 0.010476 0.996932
1305031103.411260 -0.021420 0.084972 0.427046 -0.071583 -0.036561 0.012319 0.996688
1305031103.443280 -0.022868 0.083617 0.423026 -0.071348 -0.038377 0.011888 0.996642
1305031103.475274 -0.022479 0.079609 0.418344 -0.071542 -0.041146 0.010108 0.996537
1305031103.511333 -0.022431 0.075369 0.412276 -0.069569 -0.042631 0.008012 0.996634
1305031103.543444 -0.022584 0.066834 0.403816 -0.067343 -0.043528 0.004875 0.996768
1305031103.575474 -0.024284 0.066387 0.393945 -0.061873 -0.044216 0.005040 0.997091
1305031103.611223 -0.026418 0.061378 0.383854 -0.060103 -0.046382 0.005882 0.997097
1305031103.643445 -0.023425 0.055903 0.372799 -0.059171 -0.050858 0.008935 0.996911
1305031103.675523 -0.018134 0.049354 0.361523 -0.058508 -0.055128 0.010486 0.996708
1305031103.711610 -0.014561 0.044238 0.349847 -0.057780 -0.057273 0.012270 0.996610
1305031103.743326 -0.015336 0.033572 0.336916 -0.059255 -0.055777 0.013770 0.996588
1305031103.775342 -0.012075 0.031103 0.324253 -0.056607 -0.057612 0.011079 0.996671
1305031103.811242 -0.008077 0.029422 0.309739 -0.056751 -0.057960 0.008800 0.996666
1305031103.843251 -0.009520 0.026996 0.291397 -0.060638 -0.057703 0.005525 0.996475
1305031103.875361 -0.010669 0.026665 0.287914 -0.063585 -0.059912 0.003448 0.996171
1305031103.911221 -0.008819 0.013708 0.272126 -0.065919 -0.064347 0.001830 0.995746
1305031103.943211 -0.010002 0.012741 0.256905 -0.062684 -0.065773 0.000035 0.995864
1305031103.975373 -0.004163 0.005126 0.245049 -0.062490 -0.069588 -0.000066 0.995617
1305031104.011232 0.000930 -0.000062 0.234930 -0.058670 -0.071118 -0.000933 0.995741
1305031104.043249 -0.004031 0.003281 0.217218 -0.049561 -0.065295 -0.002222 0.996632
1305031104.075425 0.006999 -0.000862 0.204726 -0.046205 -0.064032 -0.005717 0.996861
1305031104.111235 0.006978 -0.006875 0.179678 -0.044510 -0.055741 -0.005055 0.997440
1305031104.143230 0.003880 -0.007418 0.177607 -0.037836 -0.049927 -0.007388 0.998009
1305031104.175424 0.009547 -0.016525 0.163882 -0.036589 -0.049091 -0.008814 0.998085
1305031104.211283 0.002764 -0.032943 0.122200 -0.036469 -0.040573 -0.010475 0.998456
1305031104.243196 0.003742 -0.026023 0.125556 -0.029646 -0.040395 -0.009772 0.998696
1305031104.275546 0.001226 -0.028009 0.109130 -0.025275 -0.036178 -0.010383 0.998972
1305031104.311219 -0.000866 -0.029821 0.094087 -0.021918 -0.031775 -0.010307 0.999202
1305031104.343342 0.003892 -0.029474 0.085746 -0.018082 -0.029129 -0.010819 0.999354
1305031104.375837 -0.002677 -0.043711 0.061407 -0.021634 -0.021986 -0.011879 0.999454
1305031104.411509 -0.002400 -0.043983 0.049771 -0.020234 -0.018268 -0.010900 0.999569
1305031104.443288 -0.006515 -0.046510 0.035510 -0.020438 -0.015555 -0.010584 0.999614
1305031104.475456 -0.007140 -0.047003 0.024373 -0.020646 -0.016676 -0.008684 0.999610
1305031104.511329 -0.004686 -0.049505 0.013682 -0.020327 -0.019765 -0.006520 0.999577
1305031104.543368 -0.000909 -0.055303 0.002622 -0.018939 -0.022697 -0.005252 0.999549
1305031104.575343 0.007288 -0.060195 -0.008850 -0.016449 -0.024622 -0.004880 0.999550
1305031104.611336 0.006344 -0.061906 -0.004701 -0.004495 -0.020055 -0.003676 0.999782
1305031104.643243 0.008009 -0.058826 -0.016809 0.008468 -0.012568 -0.003924 0.999877
1305031104.675525 0.009867 -0.063038 -0.025616 0.019145 -0.004684 -0.002485 0.999803
1305031104.711277 0.011164 -0.065695 -0.035850 0.032166 0.002523 -0.000195 0.999479
1305031104.743280 0.009974 -0.064330 -0.049135 0.044366 0.009399 0.000092 0.998971
1305031104.775327 0.007571 -0.052922 -0.061666 0.059309 0.015686 0.003472 0.998110
1305031104.811465 0.019124 -0.057291 -0.064328 0.069499 0.021650 0.005526 0.997332
1305031104.843258 0.020217 -0.059317 -0.073042 0.076180 0.027927 0.007663 0.996673
1305031104.875350 0.025929 -0.043171 -0.085777 0.085954 0.029517 0.010197 0.995810
1305031104.911534 0.036414 -0.062100 -0.096062 0.081065 0.027725 0.011659 0.996255
1305031104.943262 0.017589 -0.052526 -0.081688 0.084439 0.033198 0.011763 0.995806
1305031104.975202 0.015946 -0.055269 -0.084940 0.081343 0.032923 0.011239 0.996079
1305031105.011290 0.014866 -0.039774 -0.075607 0.081002 0.032799 0.012526 0.996095
1305031105.043373 0.015503 -0.033350 -0.068057 0.076889 0.032193 0.012154 0.996446
1305031105.075320 0.038931 -0.027252 -0.054602 0.071178 0.024785 0.015074 0.997042
1305031105.111299 0.040236 -0.035953 -0.043471 0.061490 0.023147 0.014853 0.997729
1305031105.143106 0.026235 -0.008218 -0.036285 0.063019 0.024178 0.008717 0.997681
1305031105.175159 0.004494 -0.023908 -0.033161 0.044239 0.025453 0.003120 0.998692
1305031105.211268 -0.008288 0.007689 -0.012166 0.039950 0.023180 0.006059 0.998914
1305031105.243270 0.016316 -0.007301 0.005273 0.029653 0.011492 0.007010 0.999470
1305031105.275288 -0.004946 -0.018803 0.005493 0.016711 0.011129 -0.001604 0.999797
1305031105.311290 -0.019535 -0.013608 0.024418 0.008916 0.007508 -0.004616 0.999921
1305031105.343302 0.006772 -0.010321 0.047877 -0.000072 -0.008027 0.004546 0.999957
1305031105.375338 -0.024564 -0.001959 0.074702 0.000202 -0.005655 0.001517 0.999983
1305031105.411286 0.002050 -0.003904 0.073638 -0.007697 -0.017055 0.003322 0.999819
1305031105.443316 0.001264 -0.007520 0.089169 -0.015430 -0.021313 0.002893 0.999650
1305031105.475280 -0.002159 -0.000132 0.109745 -0.016005 -0.024374 0.002093 0.999573
1305031105.511332 0.002575 0.000343 0.127970 -0.021232 -0.029048 0.003410 0.999347
1305031105.543282 0.003460 0.001016 0.145289 -0.024618 -0.028226 0.008629 0.999261
1305031105.575449 0.003300 0.001464 0.161034 -0.027658 -0.030007 0.008158 0.999134
1305031105.611378 0.006469 0.001047 0.178674 -0.030429 -0.032339 0.008871 0.998974
1305031105.643273 0.006899 -0.002379 0.189413 -0.033445 -0.033501 0.012131 0.998805
1305031105.675166 0.007983 -0.004880 0.185739 -0.036286 -0.032531 0.012762 0.998730
1305031105.711309 0.013471 -0.003666 0.218998 -0.036065 -0.034277 0.013392 0.998672
1305031105.743312 0.011040 0.003263 0.230696 -0.033007 -0.029139 0.013548 0.998938
1305031105.775339 0.015057 0.003436 0.247990 -0.034076 -0.026066 0.013625 0.998986
1305031105.811283 0.022710 0.006122 0.266984 -0.033108 -0.026166 0.015429 0.998990
1305031105.843271 0.023231 0.007359 0.282744 -0.032410 -0.023757 0.016502 0.999056
1305031105.875337 0.031161 0.007044 0.290603 -0.034556 -0.022773 0.021078 0.998921
1305031105.911262 0.025171 0.019608 0.307326 -0.032700 -0.014014 0.023273 0.999096
1305031105.943272 0.024882 0.025236 0.319402 -0.034690 -0.010696 0.025779 0.999008
1305031105.975329 0.024428 0.030585 0.332448 -0.038416 -0.008689 0.027159 0.998855
1305031106.011285 0.025220 0.034662 0.345127 -0.042576 -0.006902 0.028915 0.998651
1305031106.043355 0.020822 0.038535 0.357332 -0.045840 -0.003807 0.027506 0.998563
1305031106.075330 0.021575 0.042550 0.368535 -0.050853 -0.003315 0.031746 0.998196
1305031106.111327 0.020249 0.049286 0.378994 -0.055089 -0.003500 0.032901 0.997933
1305031106.143355 0.018523 0.050661 0.390956 -0.062567 -0.005169 0.035150 0.997408
1305031106.175534 0.017145 0.052983 0.401061 -0.066452 -0.006745 0.035946 0.997119
1305031106.211275 0.016142 0.052714 0.411145 -0.070495 -0.008422 0.036687 0.996802
1305031106.243267 0.014740 0.055794 0.418272 -0.070281 -0.009700 0.040060 0.996675
1305031106.276385 0.012989 0.062005 0.423753 -0.070193 -0.011011 0.040716 0.996641
1305031106.311238 0.012475 0.065573 0.429223 -0.073478 -0.012325 0.043761 0.996260
1305031106.343258 0.010017 0.072616 0.431910 -0.077041 -0.012880 0.043908 0.995977
1305031106.375388 0.013022 0.072776 0.435368 -0.086516 -0.014239 0.036945 0.995463
1305031106.411320 0.014414 0.067124 0.437408 -0.094141 -0.009813 0.031605 0.995009
1305031106.443278 0.012099 0.063854 0.434287 -0.095564 -0.005461 0.027967 0.995015
