# timestamp tx ty tz qx qy qz qw
1305031102.175304 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031102.211214 -0.025936 0.023799 0.037946 0.004769 0.003611 -0.005394 0.999968
1305031102.243211 -0.027262 0.022656 0.027027 0.000121 0.000553 -0.001439 0.999999
1305031102.275326 -0.036566 0.018196 0.045632 -0.004699 0.000044 0.001554 0.999988
1305031102.311267 -0.044730 0.015003 0.062869 -0.008045 -0.000627 0.004109 0.999959
1305031102.343233 -0.048048 0.013639 0.078042 -0.010222 -0.001337 0.005685 0.999931
1305031102.375329 -0.044679 0.017293 0.086207 -0.011859 -0.003892 0.006727 0.999899
1305031102.411258 -0.048386 0.019487 0.100527 -0.012603 -0.005534 0.008346 0.999870
1305031102.443271 -0.047902 0.038261 0.113756 -0.010026 -0.007692 0.008013 0.999888
1305031102.475318 -0.021610 0.002888 0.123659 -0.034187 -0.017557 0.010718 0.999204
1305031102.511219 -0.033728 0.008582 0.156267 -0.038197 -0.011906 0.011096 0.999138
1305031102.543220 -0.012915 -0.013207 0.153917 -0.050953 -0.016139 0.014972 0.998458
1305031102.575286 -0.024502 0.021343 0.169989 -0.038154 -0.010314 0.007627 0.999190
1305031102.611233 -0.042903 0.032078 0.196609 -0.029778 -0.000685 0.010075 0.999506
1305031102.643265 -0.042903 0.032078 0.196609 -0.029778 -0.000685 0.010075 0.999506
1305031102.675285 -0.044704 0.005215 0.223172 -0.039463 -0.006012 0.013566 0.999111
1305031102.711263 -0.044704 0.005215 0.223172 -0.039463 -0.006012 0.013566 0.999111
1305031102.743234 -0.060169 0.019446 0.254889 -0.034418 0.000246 0.014998 0.999295
1305031102.775472 -0.060169 0.019446 0.254889 -0.034418 0.000246 0.014998 0.999295
1305031102.811232 -0.060169 0.019446 0.254889 -0.034418 0.000246 0.014998 0.999295
1305031102.843290 -0.060169 0.019446 0.254889 -0.034418 0.000246 0.014998 0.999295
1305031102.875363 -0.060169 0.019446 0.254889 -0.034418 0.000246 0.014998 0.999295
1305031102.911185 -0.088903 0.022399 0.288924 -0.030775 0.013238 0.015326 0.999321
1305031102.943229 -0.062705 0.033807 0.280407 -0.027765 0.002110 0.008685 0.999575
1305031102.975203 -0.081773 0.026811 0.301442 -0.030401 0.007122 0.010444 0.999458
1305031103.011215 -0.055575 0.035313 0.327663 -0.028842 -0.007287 0.009549 0.999512
1305031103.043227 -0.082757 0.021237 0.332214 -0.033929 0.000586 0.019581 0.999232
1305031103.075319 -0.068302 0.050581 0.349004 -0.019667 -0.006029 0.010906 0.999729
1305031103.111240 -0.069079 0.037072 0.359335 -0.026859 -0.006259 0.016641 0.999481
1305031103.143318 -0.047001 0.052694 0.357248 -0.022743 -0.014914 0.008658 0.999593
1305031103.175452 -0.042802 0.055813 0.366535 -0.023372 -0.015736 0.006168 0.999584
1305031103.211220 -0.042802 0.055813 0.366535 -0.023372 -0.015736 0.006168 0.999584
1305031103.243216 -0.042802 0.055813 0.366535 -0.023372 -0.015736 0.006168 0.999584
1305031103.275370 -0.042802 0.055813 0.366535 -0.023372 -0.015736 0.006168 0.999584
1305031103.311210 -0.042802 0.055813 0.366535 -0.023372 -0.015736 0.006168 0.999584
1305031103.343223 -0.042802 0.055813 0.366535 -0.023372 -0.015736 0.006168 0.999584
1305031103.375327 -0.042802 0.055813 0.366535 -0.023372 -0.015736 0.006168 0.999584
1305031103.411260 -0.042802 0.055813 0.366535 -0.023372 -0.015736 0.006168 0.999584
1305031103.443280 -0.042802 0.055813 0.366535 -0.023372 -0.015736 0.006168 0.999584
1305031103.475274 -0.042802 0.055813 0.366535 -0.023372 -0.015736 0.006168 0.999584
1305031103.511333 -0.042802 0.055813 0.366535 -0.023372 -0.015736 0.006168 0.999584
1305031103.543444 -0.042802 0.055813 0.366535 -0.023372 -0.015736 0.006168 0.999584
1305031103.575474 -0.042802 0.055813 0.366535 -0.023372 -0.015736 0.006168 0.999584
1305031103.611223 -0.042802 0.055813 0.366535 -0.023372 -0.015736 0.006168 0.999584
1305031103.643445 -0.040130 0.051006 0.354921 -0.022697 -0.019961 0.010283 0.999490
1305031103.675523 -0.033511 0.037951 0.343014 -0.025851 -0.024952 0.013285 0.999266
1305031103.711610 -0.031966 0.030592 0.330780 -0.027024 -0.026837 0.016739 0.999134
1305031103.743326 -0.039879 0.005066 0.318272 -0.036855 -0.022526 0.023821 0.998783
1305031103.775342 -0.036916 -0.003757 0.305326 -0.038401 -0.026106 0.021535 0.998689
1305031103.811242 -0.030072 -0.003931 0.290065 -0.037890 -0.028265 0.020419 0.998673
1305031103.843251 -0.028020 -0.006740 0.270561 -0.042630 -0.031221 0.016892 0.998460
1305031103.875361 -0.061301 0.283675 -0.018171 -0.025987 0.043707 0.091103 0.994542
1305031103.911221 -0.053758 0.189011 0.049323 -0.037934 0.026114 0.074389 0.996165
1305031103.943211 -0.074267 0.377045 -0.153128 -0.038400 -0.017698 0.025018 0.998792
1305031103.975373 -0.074267 0.377045 -0.153128 -0.038400 -0.017698 0.025018 0.998792
1305031104.011232 -0.074267 0.377045 -0.153128 -0.038400 -0.017698 0.025018 0.998792
1305031104.043249 -0.088788 0.369867 -0.169580 -0.034600 -0.009498 0.027267 0.998984
1305031104.075425 -0.088788 0.369867 -0.169580 -0.034600 -0.009498 0.027267 0.998984
1305031104.111235 -0.081978 0.379183 -0.201084 -0.030297 -0.005766 0.023906 0.999238
1305031104.143230 -0.089881 0.363719 -0.195974 -0.023501 0.013100 0.034855 0.999030
1305031104.175424 -0.089881 0.363719 -0.195974 -0.023501 0.013100 0.034855 0.999030
1305031104.211283 -0.093571 0.355444 -0.246128 -0.022166 0.017122 0.035129 0.998990
1305031104.243196 -0.105689 0.364275 -0.236570 -0.015190 0.023009 0.031139 0.999135
1305031104.275546 -0.114466 0.367076 -0.252556 -0.010689 0.028563 0.026219 0.999191
1305031104.311219 -0.118851 0.364951 -0.269432 -0.008757 0.031871 0.027002 0.999089
1305031104.343342 -0.118851 0.364951 -0.269432 -0.008757 0.031871 0.027002 0.999089
1305031104.375837 -0.115907 0.339375 -0.306362 -0.014131 0.036099 0.027861 0.998860
1305031104.411509 -0.115830 0.346996 -0.318806 -0.011167 0.039722 0.026653 0.998793
1305031104.443288 -0.119637 0.339587 -0.332514 -0.013270 0.041927 0.027246 0.998661
1305031104.475456 -0.119648 0.345823 -0.345003 -0.011662 0.040330 0.028171 0.998721
1305031104.511329 -0.121388 0.358020 -0.356755 -0.008269 0.038429 0.024770 0.998920
1305031104.543368 -0.118849 0.353460 -0.368492 -0.007833 0.035399 0.023240 0.999072
1305031104.575343 -0.111643 0.349582 -0.380901 -0.005594 0.033243 0.022260 0.999184
1305031104.611336 -0.111643 0.349582 -0.380901 -0.005594 0.033243 0.022260 0.999184
1305031104.643243 -0.111643 0.349582 -0.380901 -0.005594 0.033243 0.022260 0.999184
1305031104.675525 -0.111643 0.349582 -0.380901 -0.005594 0.033243 0.022260 0.999184
1305031104.711277 -0.111643 0.349582 -0.380901 -0.005594 0.033243 0.022260 0.999184
1305031104.743280 -0.113935 0.353211 -0.395692 0.007129 0.039104 0.020531 0.998999
1305031104.775327 -0.115650 0.365423 -0.412743 0.024003 0.042319 0.026743 0.998458
1305031104.811465 -0.110292 0.361045 -0.414277 0.035753 0.044312 0.017748 0.998220
1305031104.843258 -0.113134 0.378703 -0.444101 0.035541 0.049717 0.019066 0.997949
1305031104.875350 -0.087316 0.398336 -0.441213 0.059850 0.047901 0.019990 0.996857
1305031104.911534 -0.066323 0.349314 -0.453089 0.045318 0.043178 0.023439 0.997764
1305031104.943262 -0.115128 0.401721 -0.460380 0.042372 0.052580 0.020928 0.997498
1305031104.975202 -0.113298 0.346886 -0.460224 0.028251 0.051932 0.018072 0.998087
1305031105.011290 -0.114931 0.409793 -0.454236 0.043930 0.052553 0.024208 0.997358
1305031105.043373 -0.115402 0.425370 -0.453639 0.042531 0.052472 0.025086 0.997401
1305031105.075320 -0.064786 0.400562 -0.412608 0.039598 0.041568 0.028496 0.997944
1305031105.111299 -0.061446 0.383025 -0.399985 0.024917 0.040175 0.029543 0.998445
1305031105.143106 -0.079506 0.430307 -0.395083 0.033064 0.041856 0.017476 0.998423
1305031105.175159 -0.109506 0.395976 -0.388460 0.010478 0.044293 0.020022 0.998763
1305031105.211268 -0.127730 0.437564 -0.369365 0.008242 0.043318 0.022414 0.998776
1305031105.243270 -0.068934 0.447529 -0.361394 0.008767 0.020822 0.026929 0.999382
1305031105.275288 -0.101068 0.425091 -0.359512 -0.006369 0.022714 0.017278 0.999572
1305031105.311290 -0.122979 0.442368 -0.339837 -0.010170 0.021651 0.010161 0.999662
1305031105.343302 -0.122979 0.442368 -0.339837 -0.010170 0.021651 0.010161 0.999662
1305031105.375338 -0.169698 0.437544 -0.306437 -0.012947 0.028794 0.009341 0.999458
1305031105.411286 -0.169698 0.437544 -0.306437 -0.012947 0.028794 0.009341 0.999458
1305031105.443316 -0.169698 0.437544 -0.306437 -0.012947 0.028794 0.009341 0.999458
1305031105.475280 -0.175369 0.447948 -0.283008 -0.010797 0.028057 0.008980 0.999508
1305031105.511332 -0.162830 0.439303 -0.265516 -0.019745 0.021199 0.011792 0.999511
1305031105.543282 -0.150291 0.428981 -0.245946 -0.024250 0.022257 0.025697 0.999128
1305031105.575449 -0.146566 0.425446 -0.229241 -0.028474 0.019986 0.025313 0.999074
1305031105.611378 -0.139180 0.429029 -0.212720 -0.029723 0.016854 0.025044 0.999102
1305031105.643273 -0.149904 0.435929 -0.193459 -0.038825 0.004828 0.017997 0.999072
1305031105.675166 -0.141755 0.438900 -0.200041 -0.039351 0.003422 0.017742 0.999062
1305031105.711309 -0.149806 0.437565 -0.178436 -0.041286 0.004361 0.018799 0.998961
1305031105.743312 -0.149680 0.440143 -0.166287 -0.036604 0.011860 0.022597 0.999004
1305031105.775339 -0.149483 0.444279 -0.148695 -0.037436 0.012986 0.019735 0.999020
1305031105.811283 -0.131125 0.444861 -0.132590 -0.039944 0.008594 0.022146 0.998920
1305031105.843271 -0.129879 0.437113 -0.115897 -0.043008 0.010109 0.026455 0.998673
1305031105.875337 -0.107412 0.419893 -0.110122 -0.051409 0.004167 0.042184 0.997778
1305031105.911262 -0.107412 0.419893 -0.110122 -0.051409 0.004167 0.042184 0.997778
1305031105.943272 -0.107412 0.419893 -0.110122 -0.051409 0.004167 0.042184 0.997778
1305031105.975329 -0.107412 0.419893 -0.110122 -0.051409 0.004167 0.042184 0.997778
1305031106.011285 -0.107412 0.419893 -0.110122 -0.051409 0.004167 0.042184 0.997778
1305031106.043355 -0.111222 0.423773 -0.098003 -0.054291 0.006490 0.040155 0.997696
1305031106.075330 -0.111222 0.423773 -0.098003 -0.054291 0.006490 0.040155 0.997696
1305031106.111327 -0.111222 0.423773 -0.098003 -0.054291 0.006490 0.040155 0.997696
1305031106.143355 -0.111222 0.423773 -0.098003 -0.054291 0.006490 0.040155 0.997696
1305031106.175534 -0.111222 0.423773 -0.098003 -0.054291 0.006490 0.040155 0.997696
1305031106.211275 -0.111222 0.423773 -0.098003 -0.054291 0.006490 0.040155 0.997696
1305031106.243267 -0.111222 0.423773 -0.098003 -0.054291 0.006490 0.040155 0.997696
1305031106.276385 -0.111222 0.423773 -0.098003 -0.054291 0.006490 0.040155 0.997696
1305031106.311238 -0.111222 0.423773 -0.098003 -0.054291 0.006490 0.040155 0.997696
1305031106.343258 -0.111222 0.423773 -0.098003 -0.054291 0.006490 0.040155 0.997696
1305031106.375388 -0.111222 0.423773 -0.098003 -0.054291 0.006490 0.040155 0.997696
1305031106.411320 -0.111222 0.423773 -0.098003 -0.054291 0.006490 0.040155 0.997696
1305031106.443278 -0.111222 0.423773 -0.098003 -0.054291 0.006490 0.040155 0.997696
1305031106.475345 -0.111222 0.423773 -0.098003 -0.054291 0.006490 0.040155 0.997696
1305031106.511129 -0.111222 0.423773 -0.098003 -0.054291 0.006490 0.040155 0.997696
1305031106.543302 -0.111222 0.423773 -0.098003 -0.054291 0.006490 0.040155 0.997696
