# timestamp tx ty tz qx qy qz qw
1341845820.888000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845820.920000 -0.001886 0.003866 -0.001399 -0.000380 0.000004 -0.000702 1.000000
1341845820.956000 -0.001982 0.002470 -0.001611 -0.001878 -0.000945 -0.000866 0.999997
1341845820.988000 -0.000697 0.001606 -0.001521 -0.002687 -0.001339 -0.001044 0.999995
1341845821.020000 -0.001644 0.000881 -0.001330 -0.002791 -0.001454 -0.001237 0.999994
1341845821.056000 -0.003832 0.000248 -0.001416 -0.002269 -0.001638 0.000020 0.999996
1341845821.088000 -0.002373 -0.001492 -0.000934 -0.001435 -0.003389 0.002692 0.999990
1341845821.120000 0.004178 -0.000832 -0.001354 0.000604 -0.003049 0.004856 0.999983
1341845821.156000 0.002825 0.002918 -0.001842 0.000971 0.000108 0.005705 0.999983
1341845821.189000 -0.004342 -0.002253 -0.000922 0.000211 0.002844 0.006603 0.999974
1341845821.224000 0.004082 -0.003351 0.000559 0.003507 0.001948 0.010151 0.999940
1341845821.256000 0.007161 0.002809 -0.004413 0.004722 0.003121 0.009594 0.999938
1341845821.288000 0.008382 0.000066 -0.002095 0.002632 0.005506 0.008259 0.999947
1341845821.324000 0.012295 -0.002652 -0.001304 0.002724 0.007129 0.006964 0.999947
1341845821.356000 0.010215 0.000865 -0.000344 0.003949 0.009615 0.007130 0.999921
1341845821.388000 0.009600 -0.000910 -0.000048 0.003828 0.010195 0.008865 0.999901
1341845821.424000 0.016239 -0.007337 -0.002272 0.004601 0.010707 0.009638 0.999886
1341845821.456000 0.010359 -0.001685 -0.000844 0.005557 0.014190 0.008387 0.999849
1341845821.488000 0.007854 -0.005200 0.000998 0.005053 0.015384 0.008595 0.999832
1341845821.524000 0.012066 -0.006141 0.001282 0.006962 0.015485 0.009453 0.999811
1341845821.556000 0.008690 -0.004614 0.000487 0.008674 0.017295 0.008912 0.999773
1341845821.588000 0.004744 -0.002126 -0.001565 0.008805 0.017505 0.008018 0.999776
1341845821.624000 0.006056 -0.004213 -0.001301 0.008047 0.016604 0.007300 0.999803
1341845821.656000 0.007359 -0.002565 -0.002742 0.008136 0.016431 0.006255 0.999812
1341845821.692000 0.005806 -0.001337 -0.003207 0.007274 0.016591 0.005282 0.999822
1341845821.724000 0.004269 -0.005913 -0.002259 0.006675 0.015874 0.005600 0.999836
1341845821.756000 0.003496 -0.006114 -0.001882 0.007488 0.014817 0.006517 0.999841
1341845821.792000 0.007180 -0.008081 -0.001514 0.008223 0.013662 0.006933 0.999849
