# timestamp tx ty tz qx qy qz qw
1341845820.888000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845820.920000 -0.001848 0.004041 -0.001406 -0.000343 -0.000003 -0.000702 1.000000
1341845820.956000 -0.001957 0.002589 -0.001564 -0.001854 -0.000949 -0.000868 0.999997
1341845820.988000 -0.000628 0.002008 -0.001476 -0.002604 -0.001353 -0.001052 0.999995
1341845821.020000 -0.001463 0.001431 -0.001408 -0.002674 -0.001489 -0.001233 0.999995
1341845821.056000 -0.004142 0.000405 -0.001351 -0.002239 -0.001578 -0.000001 0.999996
1341845821.088000 -0.002332 -0.001124 -0.000766 -0.001363 -0.003394 0.002690 0.999990
1341845821.120000 0.003833 -0.000823 -0.001474 0.000611 -0.002981 0.004843 0.999984
1341845821.156000 0.002474 0.003203 -0.001930 0.001034 0.000179 0.005688 0.999983
1341845821.189000 -0.002679 -0.001686 -0.000650 0.000332 0.002574 0.006888 0.999973
1341845821.224000 0.004520 -0.002735 0.000538 0.003646 0.001863 0.010197 0.999940
1341845821.256000 0.007438 0.002951 -0.004497 0.004753 0.003069 0.009615 0.999938
1341845821.288000 0.008776 0.000134 -0.002101 0.002646 0.005425 0.008276 0.999948
1341845821.324000 0.012448 -0.002557 -0.001225 0.002742 0.007099 0.006971 0.999947
1341845821.356000 0.010387 0.000999 -0.000261 0.003974 0.009581 0.007137 0.999921
1341845821.388000 0.009797 -0.000754 0.000027 0.003858 0.010156 0.008875 0.999902
1341845821.424000 0.016460 -0.007383 -0.002273 0.004591 0.010663 0.009651 0.999886
1341845821.456000 0.010437 -0.001656 -0.000757 0.005560 0.014175 0.008389 0.999849
1341845821.488000 0.007947 -0.005153 0.001095 0.005059 0.015367 0.008599 0.999832
1341845821.524000 0.011720 -0.006350 0.001339 0.006916 0.015557 0.009434 0.999811
1341845821.556000 0.008435 -0.004764 0.000566 0.008640 0.017350 0.008900 0.999773
1341845821.588000 0.004521 -0.002201 -0.001483 0.008787 0.017552 0.008003 0.999775
1341845821.624000 0.005840 -0.004298 -0.001286 0.008029 0.016649 0.007288 0.999803
