# timestamp tx ty tz qx qy qz qw
1341845820.888000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845820.920000 -0.001893 0.003864 -0.001408 -0.000380 0.000005 -0.000702 1.000000
1341845820.956000 -0.001989 0.002438 -0.001689 -0.001882 -0.000944 -0.000867 0.999997
1341845820.988000 -0.000702 0.001572 -0.001603 -0.002691 -0.001339 -0.001043 0.999995
1341845821.020000 -0.001659 0.000827 -0.001459 -0.002798 -0.001451 -0.001238 0.999994
1341845821.056000 -0.003846 0.000212 -0.001491 -0.002274 -0.001634 0.000018 0.999996
1341845821.088000 -0.002320 -0.001473 -0.000897 -0.001432 -0.003396 0.002693 0.999990
1341845821.120000 0.004162 -0.000841 -0.001375 0.000603 -0.003046 0.004857 0.999983
1341845821.156000 0.002797 0.002894 -0.001901 0.000969 0.000113 0.005705 0.999983
1341845821.189000 0.002104 -0.000852 0.000445 0.000512 0.001849 0.007872 0.999967
1341845821.224000 0.004132 -0.003302 0.000681 0.003516 0.001942 0.010155 0.999940
1341845821.256000 0.007145 0.002827 -0.004329 0.004725 0.003124 0.009594 0.999938
1341845821.288000 0.008396 0.000103 -0.002007 0.002637 0.005506 0.008260 0.999947
1341845821.324000 0.012335 -0.002577 -0.001115 0.002735 0.007126 0.006970 0.999947
1341845821.356000 0.010216 0.000911 -0.000222 0.003955 0.009617 0.007130 0.999921
1341845821.388000 0.009600 -0.000879 0.000043 0.003832 0.010197 0.008865 0.999901
1341845821.424000 0.016243 -0.007245 -0.002035 0.004614 0.010711 0.009640 0.999886
1341845821.456000 0.010357 -0.001608 -0.000625 0.005566 0.014195 0.008382 0.999849
1341845821.488000 0.007859 -0.005104 0.001260 0.005065 0.015388 0.008590 0.999832
1341845821.524000 0.012080 -0.005990 0.001639 0.006982 0.015490 0.009453 0.999811
1341845821.556000 0.008689 -0.004497 0.000777 0.008689 0.017302 0.008906 0.999773
1341845821.588000 0.004737 -0.002034 -0.001320 0.008816 0.017513 0.008014 0.999776
1341845821.624000 0.006024 -0.004163 -0.001163 0.008053 0.016614 0.007295 0.999803
1341845821.656000 0.007347 -0.002489 -0.002539 0.008146 0.016438 0.006252 0.999812
1341845821.692000 0.005804 -0.001225 -0.002921 0.007288 0.016597 0.005276 0.999822
1341845821.724000 0.004258 -0.005780 -0.001877 0.006690 0.015884 0.005589 0.999836
1341845821.756000 0.003484 -0.006009 -0.001603 0.007501 0.014825 0.006510 0.999841
1341845821.792000 0.007173 -0.007991 -0.001281 0.008235 0.013668 0.006928 0.999849
1341845821.824000 0.005833 -0.003619 -0.002744 0.009458 0.014660 0.005427 0.999833
