# timestamp tx ty tz qx qy qz qw
1341845820.887882 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845820.920082 -0.001328 0.004263 -0.000909 -0.000300 -0.000077 -0.000667 1.000000
1341845820.955790 -0.001904 0.004142 0.002185 -0.001667 -0.000923 -0.000867 0.999998
1341845820.987817 -0.000679 0.003979 0.002968 -0.002345 -0.001308 -0.001128 0.999996
1341845821.019783 -0.001347 0.004054 0.004299 -0.002304 -0.001572 -0.001153 0.999995
1341845821.055706 -0.003736 0.001400 0.000626 -0.002114 -0.001692 0.000073 0.999996
1341845821.087831 -0.004632 -0.001834 -0.001887 -0.001484 -0.003112 0.002635 0.999991
1341845821.119871 0.004384 -0.000470 -0.000784 0.000647 -0.003079 0.004794 0.999984
1341845821.155881 0.003527 0.004010 -0.000022 0.001122 0.000006 0.005662 0.999983
1341845821.188556 -0.292360 -0.041387 -0.032488 -0.012024 0.046710 -0.051271 0.997519
1341845821.223751 0.003408 -0.003828 -0.003143 0.003369 0.001930 0.010067 0.999942
1341845821.256005 0.008837 0.002641 -0.007371 0.004668 0.002824 0.009567 0.999939
1341845821.287883 0.009205 -0.001486 -0.006336 0.002431 0.005236 0.008221 0.999950
1341845821.323879 0.012871 -0.004224 -0.007343 0.002537 0.006842 0.006753 0.999951
1341845821.355690 0.012348 0.000434 -0.004304 0.003949 0.009090 0.007190 0.999925
1341845821.388161 0.011707 -0.000647 -0.002791 0.003922 0.009678 0.008926 0.999906
1341845821.424470 0.018981 -0.010256 -0.008954 0.004139 0.010032 0.009681 0.999894
1341845821.455778 0.013340 -0.004310 -0.008941 0.005233 0.013390 0.008677 0.999859
1341845821.488014 0.010129 -0.008346 -0.008322 0.004646 0.014724 0.008906 0.999841
1341845821.524370 0.015014 -0.009534 -0.009096 0.006511 0.014682 0.009553 0.999825
1341845821.555644 0.011910 -0.007728 -0.009854 0.008327 0.016430 0.009217 0.999788
1341845821.587677 0.008123 -0.004750 -0.010642 0.008492 0.016593 0.008326 0.999792
1341845821.623761 0.010444 -0.005416 -0.006829 0.007903 0.015607 0.007630 0.999818
1341845821.655725 0.010348 -0.004482 -0.009986 0.007915 0.015688 0.006483 0.999825
1341845821.691884 0.008658 -0.003773 -0.012226 0.007025 0.015847 0.005583 0.999834
1341845821.724228 0.007960 -0.008942 -0.013587 0.006368 0.014924 0.006055 0.999850
1341845821.755681 0.007040 -0.009221 -0.010954 0.007084 0.013936 0.006874 0.999854
1341845821.791636 0.011230 -0.011115 -0.009766 0.007781 0.012687 0.007263 0.999863
1341845821.823697 0.008565 -0.004676 -0.009258 0.009362 0.013960 0.005604 0.999843
1341845821.855574 0.006891 -0.008786 -0.011493 0.007742 0.014859 0.004098 0.999851
1341845821.891741 0.007390 -0.009611 -0.007513 0.008469 0.014442 0.004056 0.999852
1341845821.923730 0.011158 -0.008605 -0.008982 0.010182 0.013918 0.005086 0.999838
1341845821.955750 0.007647 -0.006946 -0.012514 0.011044 0.014706 0.004759 0.999820
1341845821.991786 0.008472 -0.006279 -0.010754 0.010428 0.014994 0.004027 0.999825
1341845822.023863 -0.367897 -0.062376 -0.036298 -0.001765 0.071935 -0.058918 0.995666
1341845822.059759 0.002067 -0.007457 -0.013512 0.010250 0.016138 0.003739 0.999810
1341845822.091719 -0.395684 -0.067782 -0.042078 -0.004403 0.074653 -0.071310 0.994647
1341845822.123689 0.003542 -0.016105 -0.013859 0.010904 0.016905 0.003506 0.999791
1341845822.185916 -0.000503 -0.012038 -0.010900 0.010659 0.016716 0.004484 0.999793
1341845822.221838 -0.004032 -0.011131 -0.009949 0.012620 0.015387 0.005062 0.999789
1341845822.254004 -0.007969 -0.005884 -0.011088 0.012752 0.015276 0.004775 0.999791
1341845822.289876 -0.013741 -0.015631 -0.012445 0.010613 0.015124 0.003750 0.999822
1341845822.321804 -0.409340 -0.066582 -0.028135 -0.001275 0.072939 -0.067283 0.995063
1341845822.353784 -0.021162 -0.013976 -0.007117 0.012523 0.015400 0.001938 0.999801
1341845822.391662 -0.024128 -0.012900 -0.005951 0.013732 0.015848 0.001917 0.999778
1341845822.428074 -0.030037 -0.013633 -0.007927 0.013885 0.016037 0.001968 0.999773
1341845822.459970 -0.033326 -0.011614 -0.006028 0.013626 0.015488 0.002024 0.999785
1341845822.495728 -0.036270 -0.016802 -0.003852 0.012831 0.014973 0.002153 0.999803
1341845822.527724 -0.043277 -0.013116 -0.007206 0.013563 0.014911 0.001932 0.999795
