# timestamp tx ty tz qx qy qz qw
1341845820.887882 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845820.920082 -0.001301 0.004685 -0.000988 -0.000210 -0.000085 -0.000672 1.000000
1341845820.955790 -0.001879 0.004181 0.001852 -0.001647 -0.000932 -0.000872 0.999998
1341845820.987817 -0.000554 0.004574 0.002552 -0.002205 -0.001337 -0.001139 0.999996
1341845821.019783 -0.000969 0.005015 0.003639 -0.002085 -0.001638 -0.001158 0.999996
1341845821.055706 -0.004173 0.001490 0.000499 -0.002089 -0.001604 0.000040 0.999997
1341845821.087831 -0.004347 -0.001273 -0.001680 -0.001372 -0.003148 0.002642 0.999991
1341845821.119871 0.003721 -0.000486 -0.001041 0.000656 -0.002951 0.004784 0.999984
1341845821.155881 0.002849 0.004275 -0.000448 0.001195 0.000136 0.005642 0.999983
1341845821.188556 -0.228582 -0.034817 -0.028751 -0.009254 0.036862 -0.039186 0.998509
1341845821.223751 0.004151 -0.002757 -0.002702 0.003624 0.001810 0.010146 0.999940
1341845821.256005 0.009017 0.002930 -0.007055 0.004736 0.002787 0.009614 0.999939
1341845821.287883 0.009949 -0.001077 -0.005660 0.002497 0.005100 0.008270 0.999950
1341845821.323879 0.013264 -0.003617 -0.006051 0.002638 0.006797 0.006830 0.999950
1341845821.355690 0.012319 0.000937 -0.003274 0.004032 0.009115 0.007201 0.999924
1341845821.388161 0.011772 -0.000241 -0.002053 0.003999 0.009687 0.008950 0.999905
1341845821.424470 0.018806 -0.009845 -0.007759 0.004207 0.010088 0.009705 0.999893
1341845821.455778 0.012716 -0.003802 -0.007205 0.005296 0.013554 0.008621 0.999857
1341845821.488014 0.009692 -0.007619 -0.006230 0.004748 0.014854 0.008846 0.999839
1341845821.524370 0.013588 -0.008790 -0.006463 0.006616 0.015018 0.009512 0.999820
1341845821.555644 0.010495 -0.006946 -0.007033 0.008417 0.016768 0.009117 0.999782
1341845821.587677 0.006729 -0.004104 -0.008250 0.008576 0.016930 0.008226 0.999786
1341845821.623761 0.008824 -0.005127 -0.005319 0.007944 0.015961 0.007522 0.999813
1341845821.655725 0.009130 -0.004019 -0.008027 0.007972 0.015969 0.006413 0.999820
1341845821.691884 0.007347 -0.003250 -0.009834 0.007075 0.016149 0.005481 0.999830
1341845821.724228 0.006314 -0.008320 -0.010717 0.006427 0.015300 0.005912 0.999845
1341845821.755681 0.005169 -0.008437 -0.008408 0.007192 0.014352 0.006741 0.999848
1341845821.791636 0.009086 -0.010273 -0.007364 0.007916 0.013159 0.007127 0.999857
1341845821.823697 0.007180 -0.004700 -0.007466 0.009338 0.014279 0.005540 0.999839
1341845821.855574 0.005210 -0.007982 -0.008945 0.007852 0.015239 0.003979 0.999845
1341845821.891741 0.005086 -0.009743 -0.006096 0.008425 0.014915 0.003928 0.999846
1341845821.923730 0.008209 -0.008864 -0.007336 0.010111 0.014510 0.004846 0.999832
1341845821.955750 0.005071 -0.007136 -0.009787 0.010957 0.015282 0.004581 0.999813
1341845821.991786 0.005853 -0.006399 -0.008464 0.010372 0.015567 0.003838 0.999818
1341845822.023863 -0.211790 -0.048260 -0.033966 0.002840 0.048769 -0.031610 0.998306
1341845822.059759 -0.000285 -0.007256 -0.010065 0.010217 0.016673 0.003554 0.999802
1341845822.091719 -0.229552 -0.055219 -0.039384 0.000961 0.050630 -0.038600 0.997971
1341845822.123689 0.000875 -0.015059 -0.010278 0.011044 0.017522 0.003324 0.999780
1341845822.185916 -0.005749 -0.012737 -0.008543 0.010541 0.017764 0.004150 0.999778
1341845822.221838 -0.008349 -0.011900 -0.007543 0.012453 0.016321 0.004859 0.999777
1341845822.254004 -0.011959 -0.006846 -0.008777 0.012512 0.016081 0.004527 0.999782
1341845822.289876 -0.016797 -0.015187 -0.008700 0.010628 0.015796 0.003503 0.999813
1341845822.321804 -0.236659 -0.053248 -0.028516 0.004067 0.047767 -0.035255 0.998228
1341845822.353784 -0.022767 -0.014168 -0.004580 0.012462 0.015836 0.001849 0.999795
1341845822.391662 -0.026107 -0.014106 -0.003488 0.013480 0.016392 0.001819 0.999773
1341845822.428074 -0.032330 -0.013860 -0.005153 0.013829 0.016631 0.001818 0.999764
1341845822.459970 -0.035472 -0.012447 -0.003678 0.013460 0.016055 0.001918 0.999779
1341845822.495728 -0.039124 -0.016592 -0.001843 0.012895 0.015645 0.001978 0.999792
1341845822.527724 -0.045424 -0.013622 -0.004352 0.013444 0.015484 0.001851 0.999788
1341845822.559648 -0.048919 -0.014391 -0.004263 0.012171 0.014634 0.002952 0.999814
1341845822.595852 -0.049317 -0.014705 0.002243 0.012023 0.014211 0.003123 0.999822
1341845822.627724 -0.055729 -0.011902 0.000710 0.011559 0.015066 0.003175 0.999815
1341845822.663716 -0.063369 -0.023938 -0.009163 0.010393 0.014358 0.007344 0.999816
1341845822.695601 -0.065469 -0.022808 0.001461 0.014828 0.011585 0.010177 0.999771
1341845822.731816 -0.068300 -0.019893 0.003286 0.016967 0.011475 0.010904 0.999731
1341845822.789911 -0.076131 -0.020964 0.004009 0.017633 0.012625 0.010572 0.999709
1341845822.825897 -0.082077 -0.022319 0.000734 0.016757 0.013922 0.010648 0.999706
1341845822.859721 -0.089786 -0.024299 0.011192 0.017665 0.013646 0.012052 0.999678
1341845822.889712 -0.091869 -0.023373 0.012172 0.020144 0.011859 0.013640 0.999634
1341845822.925900 -0.092986 -0.022155 0.009973 0.021178 0.010863 0.013164 0.999630
1341845822.957708 -0.094551 -0.024347 0.011044 0.021108 0.011484 0.011537 0.999645
1341845822.989939 -0.100094 -0.026074 0.010833 0.022241 0.012181 0.010968 0.999618
1341845823.025889 -0.100527 -0.025110 0.012842 0.024459 0.011674 0.011224 0.999570
1341845823.057775 -0.110244 -0.032587 0.000262 0.024787 0.014550 0.010961 0.999527
1341845823.093671 -0.115151 -0.032185 -0.002315 0.026295 0.017264 0.010957 0.999445
1341845823.125951 -0.107314 -0.023816 0.012292 0.028042 0.016419 0.012079 0.999399
1341845823.157773 -0.110804 -0.026463 0.012829 0.028381 0.017826 0.012152 0.999364
1341845823.193885 -0.119847 -0.025450 -0.000084 0.028747 0.018839 0.011767 0.999340
1341845823.225800 -0.121975 -0.020855 0.011139 0.027501 0.017218 0.011527 0.999407
1341845823.261842 -0.122158 -0.023161 0.011206 0.026990 0.015715 0.011005 0.999452
1341845823.293622 -0.127727 -0.021171 0.001256 0.025685 0.016395 0.009543 0.999490
1341845823.325746 -0.144080 -0.034168 -0.019872 0.020604 0.021053 0.009318 0.999523
1341845823.361852 -0.142449 -0.034494 -0.000096 0.021112 0.023967 0.010104 0.999439
1341845823.394013 -0.134265 -0.027691 0.013049 0.024408 0.024738 0.013612 0.999303
1341845823.426028 -0.142908 -0.027862 0.009994 0.025887 0.026427 0.016483 0.999180
1341845823.461869 -0.147219 -0.031003 0.007064 0.026239 0.025798 0.017733 0.999165
1341845823.493758 -0.156065 -0.036041 -0.001594 0.025852 0.028047 0.017691 0.999116
1341845823.529780 -0.155735 -0.034689 0.004501 0.026182 0.028940 0.018241 0.999072
1341845823.561916 -0.162736 -0.037371 0.001453 0.026295 0.027733 0.019084 0.999087
1341845823.593678 -0.165948 -0.036358 0.003113 0.026898 0.024717 0.020656 0.999119
1341845823.629815 -0.170027 -0.036518 0.005956 0.026510 0.025514 0.020676 0.999109
1341845823.661750 -0.177360 -0.038819 0.006112 0.025865 0.026820 0.020128 0.999103
1341845823.695523 -0.189066 -0.044693 0.018165 0.027127 0.025576 0.020918 0.999086
1341845823.729635 -0.189693 -0.042213 0.027010 0.031250 0.022241 0.021941 0.999023
1341845823.761810 -0.208308 -0.047156 0.011879 0.033071 0.022849 0.022725 0.998933
1341845823.797871 -0.226929 -0.052196 -0.003824 0.032716 0.022218 0.021878 0.998978
1341845823.829660 -0.221478 -0.053266 0.005032 0.032097 0.016990 0.019801 0.999144
1341845823.861808 -0.239147 -0.064723 -0.016437 0.031842 0.015448 0.017619 0.999218
1341845823.929826 -0.249334 -0.066118 -0.017298 0.031873 0.008883 0.014158 0.999352
1341845823.961797 -0.260512 -0.072673 -0.038664 0.029656 0.008810 0.010664 0.999464
1341845823.998070 -0.266042 -0.074597 -0.024860 0.028493 0.008751 0.008694 0.999518
1341845824.029656 -0.269925 -0.073467 -0.026124 0.029507 0.008554 0.009829 0.999480
1341845824.065768 -0.274271 -0.071641 -0.018852 0.029584 0.010904 0.012184 0.999429
1341845824.097956 -0.339228 -0.091539 -0.048485 0.024937 0.026120 0.011076 0.999286
1341845824.130299 -0.186011 -0.042466 -0.020348 0.027366 0.017137 0.012855 0.999396
1341845824.165751 -0.275484 -0.071669 -0.041877 0.017330 0.043532 0.013299 0.998813
1341845824.197930 -0.276758 -0.079669 -0.021249 0.014908 0.046767 0.012744 0.998713
1341845824.229907 -0.282170 -0.078263 -0.008695 0.019237 0.047209 0.012506 0.998621
1341845824.265800 -0.266796 -0.076880 -0.038092 0.022881 0.040325 0.015194 0.998809
1341845824.298080 -0.266164 -0.086180 -0.056111 0.022878 0.031898 0.015748 0.999105
1341845824.333783 -0.284927 -0.087710 -0.033400 0.025440 0.030857 0.014190 0.999099
1341845824.365821 -0.295354 -0.081948 -0.035415 0.028362 0.032416 0.013320 0.998983
1341845824.398039 -0.279916 -0.086598 -0.061305 0.027176 0.028131 0.012770 0.999153
1341845824.433843 -0.318953 -0.097471 -0.065275 0.025806 0.029603 0.013049 0.999143
1341845824.465921 -0.321420 -0.094941 -0.059851 0.027699 0.025739 0.017356 0.999134
1341845824.501802 -0.326208 -0.097328 -0.078934 0.027103 0.023810 0.021962 0.999108
1341845824.533723 -0.334088 -0.108426 -0.104990 0.023957 0.021701 0.025737 0.999146
1341845824.565735 -0.338878 -0.106850 -0.093977 0.022208 0.018988 0.029299 0.999144
1341845824.601758 -0.339997 -0.106007 -0.086602 0.022016 0.016783 0.033198 0.999065
1341845824.633861 -0.344089 -0.112398 -0.096047 0.020476 0.014832 0.037067 0.998993
1341845824.665789 -0.351391 -0.107680 -0.088238 0.021022 0.013226 0.040146 0.998885
1341845824.701769 -0.359965 -0.112283 -0.087094 0.020967 0.010916 0.042208 0.998829
1341845824.733585 -0.350419 -0.123745 -0.112256 0.020705 0.006789 0.044610 0.998767
1341845824.769643 -0.356364 -0.131715 -0.137816 0.017191 0.005809 0.045145 0.998816
1341845824.801632 -0.376713 -0.109637 -0.089105 0.017060 0.004208 0.043961 0.998879
1341845824.833654 -0.377843 -0.123223 -0.083894 0.017017 0.001583 0.043361 0.998913
1341845824.869926 -0.382880 -0.108279 -0.083046 0.023007 0.001741 0.044743 0.998732
1341845824.902071 -0.386142 -0.118306 -0.109180 0.020485 0.000608 0.044543 0.998797
1341845824.933752 -0.390552 -0.119196 -0.090171 0.020725 0.000325 0.041490 0.998924
1341845824.969855 -0.395658 -0.110932 -0.087941 0.022055 0.002307 0.039731 0.998964
1341845825.001907 -0.397047 -0.119822 -0.105310 0.019403 0.005244 0.039815 0.999005
1341845825.037975 -0.409504 -0.117081 -0.081120 0.019295 0.008958 0.038331 0.999039
1341845825.075793 -0.406130 -0.128384 -0.103757 0.021044 0.007018 0.040357 0.998939
1341845825.107881 -0.416932 -0.118889 -0.071095 0.028019 0.007651 0.038112 0.998851
1341845825.143675 -0.420339 -0.134110 -0.110558 0.028847 0.010262 0.039845 0.998737
1341845825.175707 -0.423632 -0.134693 -0.109913 0.029227 0.011348 0.036691 0.998835
1341845825.211865 -0.429635 -0.127624 -0.104897 0.031288 0.012012 0.036026 0.998789
1341845825.243814 -0.417769 -0.133529 -0.108149 0.032950 0.011906 0.038929 0.998628
1341845825.275795 -0.428823 -0.125970 -0.110423 0.036149 0.014118 0.038382 0.998509
1341845825.311665 -0.438254 -0.129241 -0.111686 0.036666 0.013118 0.039909 0.998444
1341845825.343650 -0.440994 -0.117868 -0.102081 0.037651 0.011395 0.040787 0.998393
1341845825.379771 -0.444602 -0.125694 -0.101971 0.034497 0.011354 0.042181 0.998450
1341845825.411924 -0.450771 -0.120586 -0.098928 0.036196 0.010176 0.043559 0.998343
1341845825.443786 -0.457256 -0.116165 -0.098510 0.032313 0.008027 0.043897 0.998481
1341845825.480278 -0.450294 -0.127767 -0.121520 0.028259 0.002731 0.047086 0.998487
