# timestamp tx ty tz qx qy qz qw
1341845820.887882 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845820.920082 -0.049552 0.032650 -0.003685 0.003636 -0.000348 -0.001281 0.999993
1341845820.955790 -0.109194 -0.008689 0.001788 -0.000429 0.000912 -0.033890 0.999425
1341845820.987817 -0.009279 -0.003283 -0.003900 0.003802 0.002354 -0.078594 0.996897
1341845821.019783 0.004427 0.092659 -0.012855 0.008555 -0.004296 0.016270 0.999822
1341845821.055706 -0.061629 0.099197 0.009857 -0.000222 0.002470 -0.010572 0.999941
1341845821.087831 -0.197990 -0.037947 0.004735 0.003085 -0.002740 0.010689 0.999934
1341845821.119871 -0.066186 0.123999 0.003836 0.002489 -0.000197 0.017383 0.999846
1341845821.155881 -0.088156 0.226440 0.008693 0.008186 0.008031 -0.065868 0.997762
1341845821.188556 -0.031623 0.056132 -0.006851 0.004967 -0.002314 0.040589 0.999161
1341845821.223751 0.073708 -0.112186 -0.021802 0.012514 -0.011007 0.195776 0.980507
1341845821.256005 0.018774 -0.042027 -0.015573 0.007669 -0.002541 0.074124 0.997216
1341845821.287883 0.063702 -0.124362 -0.018683 0.004636 -0.007362 0.151846 0.988366
1341845821.323879 -0.008433 -0.107760 -0.014776 0.008125 0.000287 0.012585 0.999888
1341845821.355690 0.007138 -0.050954 -0.009053 0.012502 0.000855 0.037461 0.999220
1341845821.388161 0.006451 -0.052987 -0.010249 0.013518 0.000190 0.044353 0.998924
1341845821.424470 0.642362 -1.917590 -0.122984 0.001180 0.002123 -0.015027 0.999884
1341845821.455778 0.000061 -0.000126 0.001793 0.007349 -0.004318 0.183332 0.983014
1341845821.488014 -0.000016 0.000034 -0.000480 0.010847 -0.008160 0.240708 0.970503
1341845821.524370 -0.000259 0.000540 -0.007666 0.018130 -0.000508 0.139177 0.990101
1341845821.555644 -0.000459 0.000956 -0.013555 0.026154 -0.017091 0.482106 0.875555
1341845821.587677 -0.000460 0.000957 -0.013583 0.024501 -0.028421 0.645033 0.763233
1341845821.623761 -0.000298 0.000621 -0.008800 0.020436 -0.012480 0.363557 0.931264
1341845821.655725 -0.000383 0.000801 -0.011308 0.021525 -0.011530 0.363260 0.931368
1341845821.691884 -0.000417 0.000869 -0.012302 0.018399 0.005476 0.089309 0.995819
1341845821.724228 -0.000310 0.000645 -0.009147 0.017984 -0.005855 0.253039 0.967271
1341845821.755681 -0.000071 0.000147 -0.002097 0.011832 -0.004312 0.196227 0.980478
1341845821.791636 -0.000271 0.000953 -0.017975 -0.004199 0.035684 -0.704543 0.708752
1341845821.823697 -0.000572 0.001191 -0.016845 0.025838 -0.015593 0.462337 0.886191
1341845821.855574 -0.000236 0.000489 -0.006944 0.015225 -0.007652 0.267771 0.963332
1341845821.891741 -0.000500 0.001040 -0.014733 0.022543 -0.006195 0.293685 0.955616
1341845821.923730 -0.000562 0.001172 -0.016590 0.027317 -0.016272 0.481889 0.875655
1341845821.955750 0.007775 0.024940 -0.014762 0.025775 0.001339 0.165051 0.985947
1341845821.991786 -0.000465 0.000968 -0.013722 0.024803 -0.009135 0.338278 0.940675
1341845822.023863 -0.000660 0.001367 -0.019423 0.024753 0.002359 0.198484 0.979789
1341845822.059759 0.060041 0.157903 -0.002652 0.023433 0.003380 0.113716 0.993231
1341845822.091719 0.049936 0.130923 -0.004127 0.021739 0.001454 0.157211 0.987325
1341845822.123689 -0.000203 0.000423 -0.006002 0.019545 -0.003765 0.218223 0.975696
1341845822.185916 -0.000132 0.000274 -0.003905 0.018096 -0.001020 0.160281 0.986905
1341845822.221838 0.028569 0.073842 -0.004894 0.022616 0.008253 0.025080 0.999396
1341845822.254004 0.007829 0.062039 -0.013982 0.030664 -0.002831 0.276042 0.960652
1341845822.289876 -0.000249 0.000514 -0.007329 0.018508 0.002522 0.126793 0.991753
1341845822.321804 0.065668 0.211100 0.003904 0.018685 0.001716 0.160679 0.986828
1341845822.353784 0.059699 0.220605 0.001255 0.023185 0.004635 0.144300 0.989251
1341845822.391662 0.038137 0.222747 -0.005352 0.030726 0.000518 0.258742 0.965457
1341845822.428074 -0.015860 0.033294 -0.008317 0.023053 0.004248 0.166102 0.985830
1341845822.459970 -0.003492 0.038723 -0.008420 0.024738 0.006470 0.116143 0.992903
1341845822.495728 0.038804 0.221357 0.014327 0.014973 -0.003032 0.211411 0.977278
1341845822.527724 -0.015009 -0.032535 -0.011835 0.023657 0.007190 0.084364 0.996128
1341845822.559648 -0.026945 -0.080598 -0.013154 0.020673 0.006378 0.084399 0.996197
1341845822.595852 -0.094823 -0.247411 -0.012656 0.013469 0.010421 0.000900 0.999855
1341845822.627724 -0.047815 -0.119461 -0.011101 0.018054 0.010625 0.021730 0.999544
1341845822.663716 -0.048525 -0.121923 -0.012765 0.019861 0.013085 0.027169 0.999348
1341845822.695601 -0.023131 -0.019477 -0.010811 0.026683 0.007397 0.078271 0.996548
1341845822.731816 -0.042793 -0.100079 -0.010691 0.016430 0.009793 0.104356 0.994356
1341845822.789911 -0.053027 -0.140331 -0.008811 0.010512 0.009306 0.143843 0.989501
1341845822.825897 -0.048805 -0.123921 -0.008567 0.016275 0.010683 0.078726 0.996706
1341845822.859721 -0.059110 -0.160064 -0.010854 0.018814 0.014742 -0.023346 0.999442
1341845822.889712 -0.056242 -0.148483 -0.010123 0.023017 0.011777 -0.005798 0.999649
1341845822.925900 -0.058085 -0.155998 -0.010799 0.026923 0.011018 -0.020415 0.999368
1341845822.957708 -0.054101 -0.147168 -0.014734 0.020203 0.011752 -0.069517 0.997307
1341845822.989939 -0.063614 -0.175907 -0.011942 0.026488 0.011930 -0.038535 0.998835
1341845823.025889 -0.065284 -0.181070 -0.012448 0.030194 0.011733 -0.069262 0.997072
1341845823.057775 -0.064057 -0.172563 -0.015070 0.023209 0.011084 -0.085284 0.996025
1341845823.093671 -0.073552 -0.211795 -0.012519 0.029342 0.013095 -0.106678 0.993774
1341845823.125951 -0.152568 1.311880 0.154283 0.039947 0.007266 0.054587 0.997683
1341845823.157773 -0.164667 1.502844 0.166793 0.038051 0.005904 0.094449 0.994785
1341845823.193885 -0.160003 1.429633 0.162824 0.040236 0.007858 0.084714 0.995562
1341845823.225800 -0.161373 1.451451 0.165839 0.040989 0.006449 0.123205 0.991513
