# timestamp tx ty tz qx qy qz qw
1341846313.654000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686000 0.002488 0.002503 -0.005032 0.001516 -0.001438 -0.000270 0.999998
1341846313.722000 0.005420 0.003854 -0.009217 0.001430 -0.002004 0.000355 0.999997
1341846313.754000 0.014444 0.000986 -0.012977 0.000518 -0.002856 0.002185 0.999993
1341846313.790000 0.021126 0.002102 -0.009587 0.001837 -0.003682 0.000919 0.999991
1341846313.822000 0.018053 0.004415 -0.012849 0.002110 -0.001106 0.000124 0.999997
1341846313.854000 0.006822 0.004757 -0.015857 0.001569 0.004251 -0.000586 0.999990
1341846313.890000 0.001815 0.004929 -0.010379 0.001317 0.007648 -0.000696 0.999970
1341846313.922000 -0.011142 0.005575 -0.017230 -0.000827 0.010647 0.000211 0.999943
1341846313.958000 -0.028418 0.004272 -0.015185 -0.002823 0.018720 0.001819 0.999819
1341846313.990000 -0.058228 0.004612 -0.022309 -0.003786 0.031063 0.002459 0.999507
1341846314.022000 -0.073095 0.002040 -0.028556 -0.006548 0.034892 0.003326 0.999364
1341846314.058000 -0.079679 -0.001912 -0.027442 -0.010283 0.037981 0.005847 0.999208
1341846314.090000 -0.118437 -0.001273 -0.020485 -0.009053 0.052320 0.006258 0.998570
1341846314.122000 -0.132988 -0.004972 -0.028950 -0.011050 0.058726 0.008344 0.998178
1341846314.158000 -0.143446 -0.006624 -0.025980 -0.013249 0.063932 0.009783 0.997818
1341846314.190000 -0.163251 -0.008139 -0.025011 -0.013235 0.072342 0.010833 0.997233
1341846314.226000 -0.165783 -0.007276 -0.033219 -0.015441 0.074345 0.012004 0.997041
1341846314.258000 -0.174438 -0.007650 -0.030571 -0.016834 0.078325 0.012153 0.996712
1341846314.290000 -0.185557 0.002857 -0.033628 -0.013310 0.081751 0.009200 0.996521
1341846314.326000 -0.203766 -0.017459 -0.041544 -0.018307 0.083365 0.008304 0.996316
1341846314.358000 -0.219129 -0.015477 -0.029567 -0.018637 0.089162 0.008347 0.995808
1341846314.390000 -0.222545 -0.007990 -0.018684 -0.015711 0.094320 0.006501 0.995397
1341846314.428000 -0.244418 -0.022767 -0.037820 -0.018531 0.095010 0.005134 0.995291
1341846314.494000 -0.256929 -0.022269 -0.030262 -0.016854 0.109196 -0.004137 0.993869
1341846314.526000 -0.256083 -0.024774 -0.048120 -0.017443 0.108382 -0.004642 0.993945
1341846314.558000 -0.284075 -0.026670 -0.037784 -0.018945 0.117665 -0.003263 0.992867
1341846314.594000 -0.323763 -0.026943 -0.033089 -0.017353 0.129746 -0.002529 0.991392
1341846314.626000 -0.329928 -0.024582 -0.049330 -0.016564 0.133645 -0.001952 0.990889
1341846314.658000 -0.324954 -0.023541 -0.047309 -0.018495 0.135905 -0.002397 0.990546
1341846314.694000 -0.313953 -0.029167 -0.034450 -0.018995 0.140239 -0.003966 0.989927
1341846314.726000 -0.368555 -0.001902 -0.021523 -0.012708 0.152434 -0.012195 0.988157
1341846314.762000 -0.317555 -0.033545 -0.038949 -0.010978 0.144862 0.003055 0.989386
1341846314.794000 -0.341976 -0.027480 -0.028978 -0.007021 0.150330 0.004763 0.988600
1341846314.826000 -0.382379 -0.025451 -0.025494 -0.004722 0.162365 0.003712 0.986713
1341846314.862000 -0.371411 -0.032626 -0.046020 -0.005657 0.163170 0.004954 0.986569
1341846314.894000 -0.341615 -0.035421 -0.061142 -0.006048 0.161146 0.007358 0.986885
1341846314.926000 -0.390118 -0.032128 -0.036404 -0.005367 0.175233 0.008710 0.984474
1341846314.962000 -0.330365 -0.022660 -0.063635 -0.006863 0.168542 0.015028 0.985556
1341846314.995000 -0.330485 -0.024996 -0.070533 -0.010399 0.169502 0.015837 0.985348
1341846315.030000 -0.342392 -0.029160 -0.074637 -0.011172 0.175888 0.014422 0.984241
1341846315.062000 -0.321831 -0.021437 -0.057664 -0.009977 0.176596 0.015200 0.984115
1341846315.094000 -0.328105 -0.022856 -0.061193 -0.010063 0.177145 0.015517 0.984011
1341846315.130000 -0.325044 -0.022495 -0.060607 -0.008531 0.177656 0.014093 0.983955
1341846315.162000 -0.352543 -0.000949 -0.084790 -0.008344 0.180794 0.013474 0.983393
1341846315.198000 -0.357989 -0.012195 -0.087855 -0.014840 0.180059 0.016951 0.983398
1341846315.230000 -0.342700 -0.010421 -0.081643 -0.020083 0.177772 0.009188 0.983824
1341846315.262000 -0.365824 -0.008168 -0.091001 -0.022115 0.178988 0.010936 0.983542
1341846315.298000 -0.363599 -0.010894 -0.093802 -0.024484 0.175645 0.012419 0.984071
1341846315.330000 -0.372151 0.009655 -0.090055 -0.018345 0.176742 0.007793 0.984055
1341846315.362000 -0.375663 0.027429 -0.086355 -0.010356 0.177590 0.006885 0.984026
1341846315.398000 -0.386109 0.050111 -0.082806 -0.005007 0.180350 0.005518 0.983574
1341846315.430000 -0.431336 0.079503 -0.063960 0.001405 0.192069 0.001981 0.981378
1341846315.466000 -0.477338 0.069796 -0.043751 0.000052 0.205664 0.001582 0.978621
1341846315.498000 -0.399953 0.094287 -0.071352 0.004520 0.194477 0.005303 0.980882
1341846315.530000 -0.400385 0.093699 -0.069410 0.004541 0.196216 0.006112 0.980531
1341846315.566000 -0.399513 0.097288 -0.065884 0.004342 0.198153 0.006574 0.980139
1341846315.598000 -0.405557 0.095887 -0.061510 0.003896 0.200957 0.005914 0.979574
1341846315.630000 -0.406212 0.097711 -0.053807 0.003980 0.202891 0.003742 0.979186
1341846315.666000 -0.419288 0.103388 -0.054092 0.003167 0.207112 0.001412 0.978311
1341846315.698000 -0.472102 0.101265 -0.036162 -0.003099 0.220472 -0.001779 0.975387
1341846315.734000 -0.457645 0.078405 -0.039318 -0.006616 0.218737 0.005356 0.975747
1341846315.766000 -0.491467 0.088150 -0.031369 -0.006393 0.221632 0.000715 0.975109
1341846315.798000 -0.525696 0.091385 -0.023175 -0.006206 0.228239 0.003427 0.973579
1341846315.834000 -0.616459 0.166817 0.000025 0.010884 0.244765 -0.000277 0.969521
1341846315.867000 -0.624701 0.174952 0.005937 0.014183 0.247291 -0.002969 0.968833
1341846315.898000 -0.630182 0.177635 0.012971 0.015583 0.249041 -0.003959 0.968359
1341846315.937000 -0.628883 0.186631 0.001997 0.019208 0.248936 -0.006439 0.968308
1341846315.967000 -0.644513 0.197523 0.019257 0.024062 0.252763 -0.011041 0.967166
1341846316.034000 -0.663051 0.219799 0.030093 0.028517 0.255263 -0.019655 0.966251
1341846316.066000 -0.670583 0.220797 0.033941 0.031121 0.255418 -0.019664 0.966130
1341846316.102000 -0.685329 0.222541 0.033559 0.032605 0.255360 -0.019439 0.966101
1341846316.134000 -0.695197 0.221967 0.040467 0.031190 0.253349 -0.020575 0.966653
1341846316.202000 -0.713190 0.216803 0.062378 0.030309 0.251369 -0.024295 0.967112
1341846316.234000 -0.718305 0.218720 0.060798 0.030598 0.250463 -0.025516 0.967306
1341846316.270000 -0.739683 0.216169 0.069085 0.028103 0.254059 -0.028932 0.966347
1341846316.302000 -0.760552 0.212041 0.088849 0.027953 0.257904 -0.030971 0.965269
1341846316.334000 -0.768250 0.214108 0.095125 0.030090 0.257336 -0.029926 0.965390
1341846316.370000 -0.771486 0.214433 0.103035 0.032104 0.256352 -0.029763 0.965592
1341846316.402000 -0.784250 0.218279 0.106868 0.034399 0.256268 -0.028811 0.965564
1341846316.438000 -0.772341 0.223080 0.110911 0.037387 0.253918 -0.025822 0.966158
1341846316.470000 -0.785787 0.244906 0.124464 0.045331 0.254448 -0.024907 0.965702
1341846316.502000 -0.779362 0.253042 0.125985 0.048297 0.249893 -0.021619 0.966827
1341846316.538000 -0.772220 0.246747 0.104712 0.044664 0.244231 -0.021429 0.968451
1341846316.570000 -0.768971 0.242238 0.125642 0.044064 0.244700 -0.022532 0.968335
1341846316.602000 -0.774426 0.244441 0.129448 0.046406 0.244009 -0.023762 0.968371
1341846316.638000 -0.781200 0.243117 0.131681 0.048883 0.242625 -0.022615 0.968624
1341846316.670000 -0.751429 0.242264 0.129285 0.050920 0.236716 -0.023596 0.969957
1341846316.706000 -0.746788 0.241270 0.147310 0.055055 0.236766 -0.024593 0.969694
1341846316.738000 -0.755046 0.251016 0.145324 0.059426 0.235832 -0.020727 0.969754
1341846316.770000 -0.740416 0.246589 0.131133 0.057209 0.230639 -0.019684 0.971157
1341846316.806000 -0.762269 0.244493 0.151396 0.058022 0.234639 -0.021120 0.970120
1341846316.838000 -0.729397 0.243856 0.157051 0.058886 0.229247 -0.020557 0.971368
1341846316.870000 -0.730321 0.241166 0.157386 0.059202 0.225137 -0.019068 0.972340
1341846316.906000 -0.722680 0.243342 0.160504 0.060356 0.220686 -0.019603 0.973278
1341846316.938000 -0.709151 0.246264 0.134641 0.060247 0.216079 -0.020831 0.974293
1341846316.974000 -0.713824 0.247209 0.145414 0.059399 0.214772 -0.021948 0.974609
1341846317.006000 -0.695980 0.248102 0.157749 0.058584 0.208206 -0.021819 0.976085
1341846317.038000 -0.710993 0.246320 0.161465 0.058747 0.207969 -0.022052 0.976121
1341846317.074000 -0.713888 0.246353 0.169013 0.060124 0.206033 -0.021891 0.976451
1341846317.106000 -0.717582 0.246239 0.178493 0.063247 0.203807 -0.018752 0.976786
1341846317.138000 -0.686052 0.257165 0.165752 0.068298 0.191404 -0.015582 0.979008
1341846317.174000 -0.701127 0.259693 0.163691 0.069363 0.185849 -0.013588 0.980033
1341846317.206000 -0.710413 0.257925 0.174285 0.069205 0.183459 -0.012449 0.980509
1341846317.248000 -0.719756 0.255667 0.168428 0.069954 0.181853 -0.011319 0.980769
1341846317.306000 -0.754062 0.257775 0.181738 0.071353 0.178239 -0.008666 0.981358
1341846317.348000 -0.765727 0.254416 0.188131 0.072129 0.180472 -0.008577 0.980894
1341846317.410000 -0.777398 0.260912 0.184301 0.075105 0.178625 -0.003081 0.981042
1341846317.443000 -0.788909 0.258471 0.192868 0.077495 0.179893 -0.002438 0.980626
1341846317.474000 -0.794606 0.263045 0.198737 0.084665 0.179585 0.000294 0.980092
1341846317.510000 -0.805810 0.267607 0.199118 0.087797 0.177335 0.003622 0.980220
1341846317.542000 -0.808090 0.268508 0.193309 0.086821 0.173917 0.004723 0.980914
1341846317.574000 -0.791196 0.266720 0.204321 0.087200 0.172519 0.005280 0.981125
1341846317.610000 -0.812063 0.262546 0.210279 0.089059 0.175961 0.003483 0.980354
1341846317.644000 -0.824962 0.269673 0.208584 0.092492 0.175636 0.006276 0.980081
1341846317.678000 -0.841404 0.262620 0.215189 0.092475 0.173748 0.008410 0.980403
1341846317.710000 -0.840529 0.262695 0.211755 0.094820 0.170297 0.007663 0.980790
1341846317.742000 -0.845288 0.271007 0.199498 0.095479 0.168613 0.008298 0.981012
1341846317.778000 -0.847750 0.267977 0.199359 0.092895 0.167493 0.007274 0.981460
1341846317.810000 -0.829857 0.266043 0.196408 0.092031 0.160828 0.005519 0.982667
1341846317.842000 -0.830010 0.268212 0.179663 0.090746 0.157504 0.004117 0.983331
1341846317.878000 -0.813323 0.267809 0.170493 0.087778 0.153470 0.001043 0.984246
1341846317.910000 -0.799857 0.265756 0.168807 0.086803 0.151995 -0.001747 0.984561
1341846317.946000 -0.804918 0.269234 0.202740 0.089254 0.154284 -0.000869 0.983987
1341846317.978000 -0.812565 0.262788 0.215461 0.090216 0.153525 -0.000456 0.984018
1341846318.010000 -0.757757 0.266901 0.148019 0.092676 0.140903 -0.002314 0.985673
1341846318.046000 -0.751720 0.272581 0.128099 0.093430 0.139286 -0.002097 0.985833
1341846318.078000 -0.715620 0.269244 0.113249 0.091564 0.131238 -0.004237 0.987104
1341846318.110000 -0.724082 0.271612 0.125553 0.091534 0.130930 -0.006119 0.987138
1341846318.146000 -0.749800 0.274110 0.142889 0.091108 0.130967 -0.007507 0.987163
1341846318.178000 -0.747848 0.274973 0.143749 0.090520 0.130763 -0.009962 0.987222
1341846318.214000 -0.748669 0.273817 0.144271 0.091331 0.128146 -0.010610 0.987484
1341846318.246000 -0.740652 0.280281 0.151746 0.095381 0.120819 -0.010038 0.988031
1341846318.278000 -0.755782 0.281867 0.158051 0.098978 0.118143 -0.010038 0.988000
1341846318.314000 -0.743592 0.287836 0.147929 0.101331 0.108228 -0.011310 0.988884
1341846318.346000 -0.732125 0.291564 0.109971 0.102101 0.095006 -0.012996 0.990142
1341846318.382000 -0.742103 0.296148 0.130790 0.104455 0.089076 -0.014325 0.990429
