# timestamp tx ty tz qx qy qz qw
1341846313.654000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686000 0.002682 0.002521 -0.004920 0.001521 -0.001481 -0.000268 0.999998
1341846313.722000 0.005737 0.003539 -0.009037 0.001360 -0.002073 0.000398 0.999997
1341846313.754000 0.014699 0.001050 -0.012815 0.000531 -0.002911 0.002185 0.999993
1341846313.790000 0.021241 0.002195 -0.009490 0.001858 -0.003706 0.000915 0.999991
1341846313.822000 0.018518 0.004261 -0.012607 0.002077 -0.001214 0.000146 0.999997
1341846313.854000 0.008220 0.004685 -0.015454 0.001559 0.003915 -0.000592 0.999991
1341846313.890000 0.004100 0.005290 -0.009901 0.001407 0.007095 -0.000788 0.999974
1341846313.922000 -0.007857 0.006405 -0.016566 -0.000635 0.009844 0.000056 0.999951
1341846313.958000 -0.020525 0.006540 -0.014363 -0.002306 0.016790 0.001523 0.999855
1341846313.990000 -0.048062 0.007903 -0.020768 -0.003025 0.028553 0.001966 0.999586
1341846314.022000 -0.063430 0.007976 -0.026978 -0.005224 0.032539 0.002661 0.999453
1341846314.058000 -0.071075 0.006528 -0.026234 -0.008418 0.035867 0.004928 0.999309
1341846314.090000 -0.105731 0.003990 -0.018985 -0.007869 0.049209 0.005734 0.998741
1341846314.122000 -0.114857 -0.011368 -0.026139 -0.012378 0.054465 0.008817 0.998400
1341846314.158000 -0.123564 -0.013825 -0.023446 -0.014749 0.059227 0.010355 0.998082
1341846314.190000 -0.137898 -0.014942 -0.023132 -0.014638 0.066309 0.011237 0.997628
1341846314.226000 -0.139441 -0.015345 -0.030978 -0.017081 0.068146 0.012678 0.997449
1341846314.258000 -0.146916 -0.015639 -0.028490 -0.018462 0.071853 0.012925 0.997161
1341846314.290000 -0.157606 -0.008180 -0.031259 -0.015556 0.075253 0.010430 0.996989
1341846314.326000 -0.175629 -0.027957 -0.039349 -0.020415 0.076854 0.009773 0.996785
1341846314.358000 -0.189072 -0.026906 -0.027920 -0.020947 0.082185 0.009904 0.996348
1341846314.390000 -0.192892 -0.019281 -0.017486 -0.017970 0.087370 0.008125 0.995981
1341846314.428000 -0.212228 -0.035960 -0.036797 -0.021141 0.087613 0.006977 0.995906
1341846314.494000 -0.222813 -0.034161 -0.029846 -0.019138 0.101315 -0.002117 0.994668
1341846314.526000 -0.223413 -0.036954 -0.046892 -0.019752 0.100902 -0.002815 0.994696
1341846314.558000 -0.231969 -0.032580 -0.040314 -0.019996 0.105987 -0.002475 0.994163
1341846314.594000 -0.262442 -0.032495 -0.037860 -0.018448 0.116036 -0.002927 0.993069
1341846314.626000 -0.265690 -0.029720 -0.054017 -0.017596 0.119412 -0.002679 0.992685
1341846314.658000 -0.251224 -0.028678 -0.054431 -0.019463 0.119607 -0.003153 0.992626
1341846314.694000 -0.236659 -0.036419 -0.043620 -0.020335 0.123042 -0.004602 0.992182
1341846314.726000 -0.293431 -0.022189 -0.030174 -0.016392 0.135759 -0.010953 0.990546
1341846314.762000 -0.236648 -0.048481 -0.042959 -0.013920 0.127405 0.003671 0.991746
1341846314.794000 -0.257034 -0.046454 -0.039407 -0.010799 0.131611 0.005483 0.991227
1341846314.826000 -0.281483 -0.034684 -0.039845 -0.006534 0.140377 0.003834 0.990069
1341846314.862000 -0.350028 -0.045612 -0.049403 -0.008118 0.157745 0.006716 0.987424
1341846314.894000 -0.227085 -0.047230 -0.076175 -0.008430 0.136484 0.007427 0.990579
1341846314.926000 -0.266509 -0.043279 -0.053752 -0.007630 0.148248 0.008210 0.988887
1341846314.962000 -0.185692 -0.038651 -0.059945 -0.010345 0.138263 0.014684 0.990233
1341846314.995000 -0.183816 -0.042846 -0.066539 -0.014278 0.138958 0.015668 0.990071
1341846315.030000 -0.191035 -0.048711 -0.071749 -0.015352 0.144495 0.014404 0.989282
1341846315.062000 -0.176188 -0.039184 -0.054408 -0.013819 0.146000 0.014879 0.989076
1341846315.094000 -0.178748 -0.044979 -0.057784 -0.014790 0.145958 0.016130 0.989049
1341846315.130000 -0.180845 -0.037995 -0.058138 -0.011874 0.147275 0.013448 0.988933
1341846315.162000 -0.202779 -0.029963 -0.081064 -0.014206 0.150039 0.014347 0.988474
1341846315.198000 -0.206235 -0.024679 -0.085407 -0.017613 0.148738 0.016089 0.988589
1341846315.230000 -0.194231 -0.023845 -0.080448 -0.022746 0.146791 0.008337 0.988871
1341846315.262000 -0.211166 -0.017623 -0.087920 -0.024061 0.147213 0.009316 0.988768
1341846315.298000 -0.202372 -0.035765 -0.090056 -0.029300 0.142776 0.013235 0.989233
1341846315.330000 -0.205104 -0.053249 -0.086684 -0.030458 0.142986 0.012885 0.989172
1341846315.362000 -0.219959 -0.033283 -0.086894 -0.022091 0.145623 0.011640 0.989025
1341846315.398000 -0.214655 -0.017569 -0.082014 -0.017820 0.145662 0.011757 0.989104
1341846315.430000 -0.229732 -0.021371 -0.069225 -0.017591 0.151730 0.011635 0.988197
1341846315.466000 -0.234092 -0.012095 -0.063474 -0.015132 0.156434 0.009311 0.987529
1341846315.498000 -0.209297 0.003413 -0.074211 -0.012787 0.156151 0.014272 0.987547
1341846315.530000 -0.208629 0.002853 -0.071307 -0.012815 0.157771 0.015054 0.987278
