# timestamp tx ty tz qx qy qz qw
1341846313.654000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686000 0.003440 0.002429 -0.003990 0.001502 -0.001627 -0.000238 0.999998
1341846313.722000 0.006672 0.003307 -0.007939 0.001301 -0.002255 0.000467 0.999997
1341846313.754000 0.015794 0.001140 -0.011522 0.000538 -0.003124 0.002233 0.999992
1341846313.790000 0.022329 0.002075 -0.008628 0.001835 -0.003898 0.000931 0.999990
1341846313.822000 0.019808 0.003957 -0.011579 0.002015 -0.001461 0.000189 0.999997
1341846313.854000 0.010568 0.004431 -0.013864 0.001510 0.003423 -0.000572 0.999993
1341846313.890000 0.005594 0.005116 -0.008927 0.001385 0.006768 -0.000799 0.999976
1341846313.922000 -0.006721 0.007006 -0.015031 -0.000541 0.009546 0.000118 0.999954
1341846313.958000 -0.015922 0.007619 -0.012057 -0.002115 0.015759 0.001563 0.999872
1341846313.990000 -0.042176 0.009454 -0.017172 -0.002755 0.027291 0.001904 0.999622
1341846314.022000 -0.058121 0.010883 -0.022576 -0.004739 0.031434 0.002549 0.999491
1341846314.058000 -0.066389 0.011447 -0.020659 -0.007569 0.035056 0.004594 0.999346
1341846314.090000 -0.096312 0.007622 -0.013940 -0.007310 0.047294 0.005569 0.998839
1341846314.122000 -0.107374 -0.005534 -0.020539 -0.011490 0.053075 0.008588 0.998488
1341846314.158000 -0.114126 -0.007706 -0.016072 -0.013832 0.057574 0.010127 0.998194
1341846314.190000 -0.127739 -0.008577 -0.016156 -0.013697 0.064584 0.010993 0.997758
1341846314.226000 -0.132767 -0.007907 -0.023312 -0.015988 0.067070 0.012567 0.997541
1341846314.258000 -0.137617 -0.007940 -0.019139 -0.017367 0.070401 0.012900 0.997284
1341846314.290000 -0.146224 0.000415 -0.021802 -0.014323 0.073513 0.010406 0.997137
1341846314.326000 -0.167590 -0.018357 -0.031393 -0.018965 0.075211 0.009816 0.996939
1341846314.358000 -0.174301 -0.017862 -0.020296 -0.019580 0.079710 0.009884 0.996577
1341846314.390000 -0.176246 -0.012479 -0.011252 -0.016994 0.084265 0.008181 0.996265
1341846314.428000 -0.201105 -0.028988 -0.035092 -0.019912 0.085387 0.006525 0.996127
1341846314.494000 -0.205506 -0.028172 -0.027982 -0.018130 0.097729 -0.002118 0.995046
1341846314.526000 -0.209323 -0.029907 -0.043681 -0.018538 0.098413 -0.003126 0.994968
1341846314.558000 -0.218318 -0.027396 -0.036784 -0.019146 0.103917 -0.002437 0.994399
1341846314.594000 -0.242258 -0.028532 -0.035021 -0.017746 0.112837 -0.002623 0.993452
1341846314.626000 -0.248873 -0.025601 -0.052034 -0.016911 0.116834 -0.002281 0.993005
1341846314.658000 -0.236871 -0.024211 -0.051462 -0.018771 0.117616 -0.002848 0.992878
1341846314.694000 -0.220323 -0.031969 -0.039359 -0.019556 0.120711 -0.004256 0.992486
1341846314.726000 -0.257837 -0.025976 -0.032044 -0.015779 0.130248 -0.007104 0.991330
1341846314.762000 -0.223069 -0.041117 -0.039938 -0.012598 0.125528 0.003679 0.992003
1341846314.794000 -0.233637 -0.040632 -0.037804 -0.009625 0.129084 0.005879 0.991570
1341846314.826000 -0.249960 -0.033264 -0.041335 -0.006236 0.136520 0.004642 0.990607
1341846314.862000 -0.308623 -0.040552 -0.053025 -0.007271 0.151962 0.007262 0.988333
1341846314.894000 -0.210302 -0.041548 -0.071127 -0.007458 0.135709 0.008052 0.990688
1341846314.926000 -0.235308 -0.038696 -0.055329 -0.006888 0.144927 0.009329 0.989374
1341846314.962000 -0.186251 -0.031084 -0.057063 -0.008989 0.139542 0.015061 0.990061
1341846314.995000 -0.182553 -0.034107 -0.061478 -0.012759 0.140125 0.015881 0.989924
1341846315.030000 -0.182154 -0.038792 -0.066207 -0.013705 0.144554 0.014728 0.989292
1341846315.062000 -0.171133 -0.032258 -0.054011 -0.012698 0.146361 0.015601 0.989027
1341846315.094000 -0.171622 -0.037193 -0.056615 -0.013366 0.145918 0.016854 0.989063
1341846315.130000 -0.167736 -0.033226 -0.056547 -0.011002 0.146387 0.014902 0.989054
1341846315.162000 -0.185279 -0.021100 -0.074529 -0.012408 0.148614 0.016288 0.988683
1341846315.198000 -0.187056 -0.017025 -0.078051 -0.017277 0.147166 0.015766 0.988835
1341846315.230000 -0.175347 -0.020541 -0.074921 -0.022292 0.145187 0.010065 0.989102
1341846315.262000 -0.188998 -0.016517 -0.085132 -0.024121 0.144910 0.011557 0.989083
1341846315.298000 -0.176562 -0.030426 -0.084301 -0.028337 0.140067 0.015372 0.989617
1341846315.330000 -0.175937 -0.043034 -0.084384 -0.028038 0.139543 0.015837 0.989692
1341846315.362000 -0.184959 -0.029007 -0.085847 -0.020575 0.141040 0.015627 0.989667
1341846315.398000 -0.180970 -0.014827 -0.081978 -0.016205 0.141368 0.016584 0.989686
1341846315.430000 -0.192462 -0.018824 -0.072935 -0.015425 0.146975 0.017316 0.988868
1341846315.466000 -0.189953 -0.013260 -0.068893 -0.013650 0.151008 0.016834 0.988295
1341846315.498000 -0.167442 0.001549 -0.080005 -0.011276 0.150368 0.021586 0.988330
1341846315.530000 -0.165703 0.001017 -0.077196 -0.011295 0.151824 0.022452 0.988088
1341846315.566000 -0.163737 0.003878 -0.076227 -0.011651 0.153449 0.023233 0.987815
1341846315.598000 -0.161976 0.003049 -0.072492 -0.011923 0.154946 0.022691 0.987590
1341846315.630000 -0.159353 0.005096 -0.071035 -0.011587 0.155889 0.021085 0.987482
1341846315.666000 -0.160553 0.011517 -0.079368 -0.011747 0.157481 0.019594 0.987258
1341846315.698000 -0.186641 0.025554 -0.068527 -0.014632 0.165699 0.015419 0.985947
1341846315.734000 -0.199403 -0.007564 -0.055170 -0.021713 0.170838 0.020323 0.984850
1341846315.766000 -0.231233 -0.005446 -0.051259 -0.021771 0.173505 0.018181 0.984424
1341846315.798000 -0.251324 -0.002012 -0.050418 -0.021777 0.177173 0.020258 0.983730
1341846315.834000 -0.265221 0.038686 -0.065463 -0.012166 0.177678 0.015389 0.983893
1341846315.867000 -0.276479 0.044378 -0.061896 -0.008973 0.180578 0.013354 0.983429
1341846315.898000 -0.307696 0.046780 -0.059194 -0.007386 0.186419 0.012487 0.982363
1341846315.937000 -0.303226 0.051012 -0.072855 -0.004026 0.185971 0.010448 0.982491
1341846315.967000 -0.301302 0.045859 -0.052112 -0.001827 0.187028 0.008486 0.982316
1341846316.034000 -0.304536 0.061610 -0.050568 0.003382 0.186055 0.003962 0.982525
1341846316.066000 -0.312525 0.061777 -0.046996 0.005879 0.186357 0.004104 0.982456
1341846316.102000 -0.325767 0.063293 -0.049752 0.007392 0.185926 0.004395 0.982526
1341846316.134000 -0.339549 0.065865 -0.045071 0.006544 0.184273 0.002421 0.982850
1341846316.202000 -0.356462 0.060239 -0.029485 0.005915 0.181209 -0.001487 0.983426
1341846316.234000 -0.360321 0.061902 -0.032047 0.006347 0.180133 -0.002649 0.983618
1341846316.270000 -0.373797 0.058890 -0.027490 0.004090 0.182317 -0.006088 0.983213
1341846316.302000 -0.388256 0.053162 -0.013360 0.003810 0.184742 -0.008352 0.982744
1341846316.334000 -0.393120 0.054423 -0.010308 0.005839 0.183605 -0.006908 0.982958
1341846316.370000 -0.400849 0.053533 -0.005010 0.007723 0.183102 -0.006444 0.983043
1341846316.402000 -0.411705 0.055876 -0.003373 0.009757 0.182900 -0.005371 0.983069
1341846316.438000 -0.399628 0.057638 0.007795 0.012191 0.181058 -0.002536 0.983394
1341846316.470000 -0.410061 0.059041 0.017856 0.016227 0.181522 0.000055 0.983253
1341846316.502000 -0.402026 0.070413 0.017128 0.019538 0.176869 0.003989 0.984032
1341846316.538000 -0.392139 0.066791 0.006209 0.016516 0.171777 0.003852 0.984990
1341846316.570000 -0.386494 0.063918 0.021930 0.016067 0.171248 0.002748 0.985093
1341846316.602000 -0.393977 0.064301 0.023849 0.018217 0.171126 0.001415 0.985080
1341846316.638000 -0.401640 0.061605 0.025762 0.020480 0.169957 0.002854 0.985235
1341846316.670000 -0.375362 0.061079 0.027898 0.022517 0.164729 0.002183 0.986079
1341846316.706000 -0.366410 0.070118 0.037272 0.028832 0.163086 0.002020 0.986188
1341846316.738000 -0.373635 0.075620 0.031110 0.031951 0.162054 0.005834 0.986247
1341846316.770000 -0.373936 0.068095 0.033017 0.029126 0.160538 0.007088 0.986574
1341846316.806000 -0.395693 0.062453 0.045200 0.029446 0.163525 0.005294 0.986085
1341846316.838000 -0.344738 0.077231 0.044126 0.032792 0.154211 0.004813 0.987482
1341846316.870000 -0.346389 0.074507 0.048048 0.033098 0.150281 0.006349 0.988069
