# timestamp tx ty tz qx qy qz qw
1341846313.654184 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686156 0.000986 0.002840 -0.007463 0.001594 -0.001176 -0.000354 0.999998
1341846313.721918 0.005559 0.003307 -0.009457 0.001315 -0.002047 0.000405 0.999997
1341846313.753994 0.014343 0.001067 -0.013376 0.000543 -0.002848 0.002155 0.999993
1341846313.789969 0.021030 0.002312 -0.009640 0.001882 -0.003672 0.000906 0.999991
1341846313.822075 0.019066 0.004023 -0.012815 0.002020 -0.001326 0.000142 0.999997
1341846313.853928 0.008613 0.004664 -0.016338 0.001564 0.003796 -0.000618 0.999991
1341846313.890011 0.005425 0.005647 -0.009803 0.001489 0.006764 -0.000857 0.999976
1341846313.922055 -0.007012 0.007049 -0.016263 -0.000508 0.009581 0.000015 0.999954
1341846313.957927 -0.019147 0.010301 -0.015692 -0.001443 0.016028 0.001024 0.999870
1341846313.990058 -0.043946 0.011050 -0.021920 -0.002243 0.027161 0.001558 0.999627
1341846314.022042 -0.058886 0.012087 -0.027956 -0.004196 0.031203 0.002232 0.999502
1341846314.057816 -0.066576 0.010859 -0.029801 -0.007169 0.034276 0.004505 0.999377
1341846314.089801 -0.101620 0.006621 -0.020442 -0.007070 0.047781 0.005509 0.998818
1341846314.122037 -0.105282 -0.016292 -0.026745 -0.013222 0.051920 0.009120 0.998522
1341846314.157989 -0.114118 -0.020641 -0.026580 -0.015934 0.056441 0.010782 0.998221
1341846314.190094 -0.124276 -0.020554 -0.025010 -0.015588 0.062615 0.011521 0.997849
1341846314.225969 -0.122974 -0.022550 -0.033112 -0.018298 0.063936 0.013143 0.997700
1341846314.257923 -0.131966 -0.023077 -0.032448 -0.019665 0.067744 0.013407 0.997419
1341846314.290052 -0.141195 -0.017331 -0.033639 -0.017150 0.071008 0.011213 0.997265
1341846314.325981 -0.158067 -0.035612 -0.041495 -0.021731 0.072380 0.010624 0.997084
1341846314.357905 -0.176752 -0.034826 -0.029623 -0.022372 0.078141 0.010868 0.996632
1341846314.389899 -0.175697 -0.026992 -0.020043 -0.019302 0.082842 0.009067 0.996335
1341846314.427905 -0.192229 -0.045402 -0.040996 -0.022708 0.082640 0.007817 0.996290
1341846314.493987 -0.205000 -0.041988 -0.034413 -0.020292 0.096794 -0.001334 0.995097
1341846314.526085 -0.203221 -0.045856 -0.050988 -0.021143 0.095893 -0.001972 0.995165
1341846314.558292 -0.204808 -0.039226 -0.045102 -0.020948 0.099595 -0.001921 0.994806
1341846314.594085 -0.232605 -0.039119 -0.043306 -0.019419 0.109014 -0.002886 0.993846
1341846314.626096 -0.227455 -0.036191 -0.058222 -0.018468 0.110861 -0.003341 0.993659
1341846314.658455 -0.208495 -0.035578 -0.061487 -0.020332 0.109912 -0.003362 0.993728
1341846314.694004 -0.194652 -0.044832 -0.053240 -0.021593 0.113283 -0.004678 0.993317
1341846314.725910 -0.261938 -0.034121 -0.035880 -0.018840 0.127912 -0.011398 0.991541
