# timestamp tx ty tz qx qy qz qw
1341846313.654184 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686156 0.002015 0.002770 -0.006323 0.001581 -0.001380 -0.000318 0.999998
1341846313.721918 0.006661 0.002926 -0.008264 0.001222 -0.002264 0.000497 0.999997
1341846313.753994 0.015587 0.001199 -0.011994 0.000558 -0.003092 0.002206 0.999993
1341846313.789969 0.022178 0.002235 -0.008739 0.001869 -0.003876 0.000920 0.999990
1341846313.822075 0.020675 0.003487 -0.011625 0.001907 -0.001652 0.000217 0.999997
1341846313.853928 0.011763 0.004351 -0.014550 0.001504 0.003107 -0.000597 0.999994
1341846313.890011 0.007492 0.005557 -0.008644 0.001488 0.006301 -0.000889 0.999979
1341846313.922055 -0.005113 0.007722 -0.014486 -0.000393 0.009108 0.000053 0.999958
1341846313.957927 -0.011300 0.012367 -0.013319 -0.001030 0.014249 0.000993 0.999897
1341846313.990058 -0.035266 0.013541 -0.017952 -0.001761 0.025225 0.001400 0.999679
1341846314.022042 -0.051397 0.016074 -0.023169 -0.003474 0.029567 0.002036 0.999555
1341846314.057816 -0.060636 0.018260 -0.024091 -0.005807 0.033134 0.003996 0.999426
1341846314.089801 -0.089294 0.011410 -0.015221 -0.006271 0.045161 0.005295 0.998946
1341846314.122037 -0.094969 -0.009202 -0.020795 -0.012076 0.049821 0.008829 0.998646
1341846314.157989 -0.101912 -0.013065 -0.019165 -0.014731 0.054049 0.010535 0.998374
1341846314.190094 -0.111016 -0.012839 -0.017805 -0.014375 0.060106 0.011220 0.998025
1341846314.225969 -0.113436 -0.013668 -0.025084 -0.016921 0.062093 0.012977 0.997843
1341846314.257923 -0.119686 -0.013856 -0.022921 -0.018280 0.065496 0.013362 0.997596
1341846314.290052 -0.126975 -0.007203 -0.023916 -0.015619 0.068507 0.011145 0.997466
1341846314.325981 -0.147380 -0.024687 -0.033208 -0.020014 0.070028 0.010567 0.997288
1341846314.357905 -0.158176 -0.024590 -0.022372 -0.020739 0.074843 0.010774 0.996921
1341846314.389899 -0.156856 -0.018729 -0.013494 -0.018025 0.079129 0.008999 0.996661
1341846314.427905 -0.179324 -0.036662 -0.038931 -0.021142 0.079869 0.007288 0.996554
1341846314.493987 -0.185955 -0.034357 -0.032378 -0.018983 0.092646 -0.001439 0.995517
1341846314.526085 -0.187492 -0.037168 -0.047449 -0.019620 0.092890 -0.002364 0.995480
1341846314.558292 -0.190043 -0.032782 -0.040836 -0.019866 0.097120 -0.001973 0.995072
1341846314.594085 -0.211976 -0.033641 -0.039512 -0.018436 0.105555 -0.002614 0.994239
1341846314.626096 -0.210842 -0.030432 -0.054895 -0.017502 0.108127 -0.002847 0.993979
1341846314.658455 -0.193940 -0.029388 -0.057188 -0.019360 0.107709 -0.003094 0.993989
1341846314.694004 -0.179228 -0.038468 -0.047104 -0.020463 0.111032 -0.004373 0.993597
1341846314.725910 -0.226460 -0.034907 -0.036765 -0.017576 0.122399 -0.007590 0.992296
1341846314.761942 -0.184108 -0.050632 -0.044110 -0.014184 0.116545 0.004122 0.993076
1341846314.794030 -0.194374 -0.051687 -0.044224 -0.011574 0.119440 0.006314 0.992754
1341846314.826092 -0.206869 -0.039443 -0.047767 -0.007168 0.126469 0.004850 0.991933
1341846314.862145 -0.292606 -0.048290 -0.059002 -0.008464 0.147643 0.008086 0.988971
1341846314.894072 -0.162047 -0.048497 -0.077942 -0.008566 0.124834 0.008216 0.992107
1341846314.925969 -0.185074 -0.045260 -0.062291 -0.007934 0.133686 0.009325 0.990948
1341846314.961937 -0.137120 -0.039278 -0.059961 -0.010442 0.128331 0.015086 0.991562
1341846314.994564 -0.133869 -0.044203 -0.065947 -0.014554 0.128845 0.016152 0.991426
1341846315.029900 -0.135779 -0.049666 -0.070869 -0.015609 0.133581 0.014941 0.990802
1341846315.061965 -0.122728 -0.040733 -0.056684 -0.014200 0.135212 0.015532 0.990593
1341846315.094388 -0.122036 -0.047069 -0.059325 -0.015184 0.134588 0.017109 0.990638
1341846315.129851 -0.120558 -0.040785 -0.059867 -0.012328 0.135424 0.014676 0.990602
1341846315.161941 -0.139522 -0.036628 -0.080347 -0.015389 0.137965 0.016280 0.990184
1341846315.197984 -0.139994 -0.024581 -0.083623 -0.018115 0.136168 0.016261 0.990387
1341846315.230076 -0.128432 -0.026815 -0.079744 -0.023240 0.134218 0.009700 0.990632
1341846315.262069 -0.141210 -0.020563 -0.087584 -0.024624 0.133989 0.010754 0.990618
1341846315.298000 -0.126454 -0.040176 -0.086693 -0.030018 0.128721 0.015457 0.991106
1341846315.329931 -0.125171 -0.058307 -0.087091 -0.030840 0.128114 0.016673 0.991140
1341846315.361981 -0.141152 -0.041188 -0.090348 -0.022873 0.130796 0.015904 0.991018
1341846315.397962 -0.129258 -0.030549 -0.085368 -0.019025 0.129738 0.017736 0.991207
1341846315.429923 -0.133785 -0.040499 -0.078462 -0.019143 0.134063 0.019563 0.990595
1341846315.466047 -0.123437 -0.031391 -0.075325 -0.016814 0.136543 0.018746 0.990314
1341846315.497883 -0.110282 -0.019298 -0.085101 -0.014947 0.137719 0.023883 0.990071
1341846315.530008 -0.109035 -0.019844 -0.081409 -0.015010 0.139270 0.024652 0.989834
1341846315.566108 -0.108059 -0.017416 -0.078377 -0.015505 0.141126 0.025226 0.989549
1341846315.597986 -0.104566 -0.016919 -0.076315 -0.015506 0.142197 0.024768 0.989407
1341846315.630109 -0.100955 -0.014373 -0.076638 -0.015031 0.142837 0.023256 0.989359
1341846315.666042 -0.099032 -0.005990 -0.086726 -0.014818 0.143637 0.021592 0.989284
1341846315.698114 -0.125701 0.013358 -0.075474 -0.016464 0.151829 0.016972 0.988124
1341846315.733985 -0.144636 -0.027871 -0.056813 -0.025277 0.158846 0.022474 0.986724
1341846315.766041 -0.179594 -0.026937 -0.052329 -0.025538 0.162123 0.020311 0.986231
1341846315.798188 -0.188829 -0.022343 -0.056514 -0.025333 0.163861 0.022599 0.985899
1341846315.834140 -0.182832 0.021933 -0.085073 -0.015480 0.160511 0.016771 0.986770
1341846315.866751 -0.195517 0.028649 -0.081253 -0.012097 0.163686 0.014600 0.986330
1341846315.898492 -0.235918 0.030992 -0.083860 -0.010425 0.170911 0.013766 0.985135
1341846315.936901 -0.231120 0.034468 -0.097818 -0.007140 0.170456 0.011688 0.985270
1341846315.966572 -0.221608 0.025316 -0.072918 -0.005581 0.170362 0.010581 0.985309
1341846316.034204 -0.218973 0.035922 -0.075065 -0.000536 0.168191 0.007960 0.985722
1341846316.066113 -0.227927 0.035422 -0.072387 0.001835 0.168599 0.008121 0.985650
1341846316.101867 -0.238428 0.036392 -0.074794 0.003332 0.167834 0.008784 0.985771
1341846316.134066 -0.254235 0.040449 -0.070896 0.002768 0.166412 0.006544 0.986031
1341846316.202049 -0.275223 0.033454 -0.054198 0.001966 0.164065 0.002534 0.986444
1341846316.233979 -0.277287 0.035811 -0.058264 0.002563 0.162573 0.001359 0.986692
1341846316.270052 -0.288315 0.032485 -0.054650 0.000320 0.164277 -0.002077 0.986412
1341846316.301915 -0.299927 0.026943 -0.042417 0.000127 0.166148 -0.004307 0.986091
1341846316.334208 -0.300876 0.028447 -0.039531 0.002157 0.164326 -0.002764 0.986400
1341846316.370006 -0.315244 0.027421 -0.032082 0.003917 0.164998 -0.002764 0.986282
1341846316.401994 -0.324938 0.028786 -0.031765 0.005828 0.164547 -0.001436 0.986351
1341846316.438069 -0.312978 0.029991 -0.021288 0.008116 0.162708 0.001434 0.986640
1341846316.470076 -0.321782 0.027315 -0.011296 0.011424 0.163090 0.004443 0.986535
1341846316.502034 -0.314435 0.039208 -0.012046 0.014767 0.158645 0.008538 0.987188
1341846316.537975 -0.305874 0.036432 -0.023431 0.011983 0.153775 0.008522 0.987996
1341846316.570121 -0.300087 0.033935 -0.007566 0.011555 0.153090 0.007390 0.988117
1341846316.601885 -0.306945 0.033764 -0.004549 0.013600 0.153076 0.005903 0.988103
1341846316.638009 -0.316554 0.029606 -0.001030 0.015501 0.152315 0.007132 0.988185
1341846316.669925 -0.292702 0.029271 0.001282 0.017636 0.147472 0.006775 0.988886
1341846316.705941 -0.273201 0.050514 0.006458 0.026243 0.143941 0.006740 0.989215
1341846316.738062 -0.287487 0.046163 0.000419 0.027448 0.144037 0.010569 0.989135
1341846316.770433 -0.292789 0.036581 0.006543 0.024241 0.143535 0.011890 0.989277
1341846316.805932 -0.314904 0.030875 0.017745 0.024606 0.146510 0.010030 0.988852
1341846316.838029 -0.259469 0.047106 0.012083 0.028129 0.136093 0.009324 0.990253
1341846316.870034 -0.258399 0.045078 0.012012 0.028504 0.131695 0.010859 0.990821
1341846316.906344 -0.258883 0.046897 0.017952 0.029701 0.128306 0.010739 0.991232
1341846316.937940 -0.244115 0.053130 -0.004300 0.030495 0.123769 0.009801 0.991794
1341846316.973994 -0.270236 0.050277 0.002151 0.029136 0.125284 0.009065 0.991652
1341846317.005913 -0.250444 0.060992 0.003271 0.030117 0.117431 0.009562 0.992578
1341846317.037936 -0.261060 0.056201 0.005456 0.029802 0.116190 0.009220 0.992737
1341846317.073972 -0.274534 0.051618 0.016122 0.030295 0.115911 0.009227 0.992755
1341846317.106113 -0.262346 0.051592 0.018741 0.032953 0.110765 0.011919 0.993229
1341846317.137887 -0.258645 0.049484 0.014245 0.035326 0.103595 0.014742 0.993883
1341846317.173970 -0.303771 0.050281 0.017689 0.036722 0.103868 0.019295 0.993726
1341846317.205887 -0.266240 0.054320 0.011846 0.037058 0.092094 0.018330 0.994892
1341846317.248131 -0.306983 0.042511 0.016970 0.036349 0.096667 0.019605 0.994460
1341846317.306289 -0.308231 0.048908 0.016484 0.038795 0.086547 0.023294 0.995220
1341846317.348137 -0.329511 0.042167 0.023661 0.038992 0.090586 0.023094 0.994857
1341846317.410120 -0.345412 0.045268 0.018734 0.041079 0.089557 0.028572 0.994724
1341846317.442569 -0.356451 0.033754 0.023137 0.041857 0.090628 0.029144 0.994578
