# timestamp tx ty tz qx qy qz qw
1341846313.654184 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686156 0.009465 0.001339 0.004182 0.001273 -0.002751 0.000032 0.999995
1341846313.721918 0.014502 0.002750 0.003449 0.001123 -0.003725 0.000887 0.999992
1341846313.753994 0.024988 0.001179 0.002304 0.000446 -0.004912 0.002650 0.999984
1341846313.789969 0.031724 0.000488 0.002150 0.001502 -0.005585 0.001097 0.999983
1341846313.822075 0.029690 0.001964 0.000144 0.001603 -0.003303 0.000439 0.999993
1341846313.853928 0.027001 0.002387 0.004518 0.001086 0.000238 -0.000466 0.999999
1341846313.890011 0.015563 0.003116 0.002255 0.001006 0.004802 -0.000670 0.999988
1341846313.922055 0.003935 0.007413 0.001914 -0.000624 0.007374 0.000631 0.999972
1341846313.957927 0.014933 0.011053 0.012001 -0.001567 0.009224 0.001742 0.999955
1341846313.990058 -0.002860 0.012443 0.018417 -0.002400 0.019557 0.001606 0.999805
1341846314.022042 -0.013644 0.018771 0.028446 -0.003680 0.023449 0.001815 0.999717
1341846314.057816 -0.020838 0.026468 0.040028 -0.005263 0.027902 0.002876 0.999593
1341846314.089801 -0.029651 0.017721 0.047762 -0.006131 0.035164 0.004348 0.999353
1341846314.122037 -0.035512 -0.003561 0.045447 -0.012243 0.039926 0.008076 0.999095
1341846314.157989 -0.033398 -0.006663 0.055562 -0.014870 0.042878 0.009753 0.998922
1341846314.190094 -0.036780 -0.005833 0.057357 -0.014418 0.047861 0.010164 0.998698
1341846314.225969 -0.043964 -0.003882 0.054446 -0.016651 0.050914 0.012576 0.998485
1341846314.257923 -0.040212 -0.002959 0.064339 -0.017992 0.052888 0.013254 0.998350
1341846314.290052 -0.042241 0.004367 0.065847 -0.015308 0.055257 0.011075 0.998293
1341846314.325981 -0.073660 -0.013663 0.048249 -0.019620 0.057522 0.011326 0.998087
1341846314.357905 -0.067485 -0.015389 0.059856 -0.020695 0.060274 0.011354 0.997903
1341846314.389899 -0.070409 -0.012430 0.062325 -0.018393 0.064245 0.009790 0.997717
1341846314.427905 -0.105481 -0.032262 0.019087 -0.021424 0.066806 0.007598 0.997507
1341846314.493987 -0.099900 -0.029992 0.027745 -0.019293 0.076769 -0.000058 0.996862
1341846314.526085 -0.106619 -0.031549 0.017810 -0.019614 0.079380 -0.002083 0.996649
1341846314.558292 -0.093281 -0.024416 0.029267 -0.019350 0.081255 -0.002211 0.996503
1341846314.594085 -0.099335 -0.025774 0.039390 -0.018023 0.087548 -0.003634 0.995991
1341846314.626096 -0.101680 -0.021347 0.022974 -0.016990 0.090650 -0.004296 0.995729
1341846314.658455 -0.078799 -0.020136 0.018731 -0.018808 0.088999 -0.004508 0.995844
1341846314.694004 -0.060993 -0.031500 0.031088 -0.020156 0.091831 -0.005466 0.995556
1341846314.725910 -0.077889 -0.050335 0.029610 -0.018887 0.098330 -0.000654 0.994974
1341846314.761942 -0.062216 -0.047884 0.035526 -0.014886 0.096670 0.003567 0.995199
1341846314.794030 -0.050259 -0.054822 0.023479 -0.013156 0.096982 0.005957 0.995181
1341846314.826092 -0.039600 -0.037824 0.021547 -0.007887 0.100159 0.004885 0.994928
1341846314.862145 -0.194267 -0.046796 -0.005609 -0.009264 0.135185 0.009892 0.990728
1341846314.894072 0.001618 -0.043853 0.002516 -0.009017 0.099201 0.007460 0.994999
1341846314.925969 -0.004042 -0.040566 0.013214 -0.008369 0.104251 0.008395 0.994480
1341846314.961937 -0.002780 -0.035926 0.021150 -0.011225 0.105588 0.014116 0.994246
1341846314.994564 0.006999 -0.041405 0.021529 -0.015636 0.105434 0.015169 0.994188
1341846315.029900 0.017918 -0.046564 0.021600 -0.016823 0.108489 0.014020 0.993856
1341846315.061965 0.016417 -0.039198 0.018476 -0.015467 0.111402 0.014775 0.993545
1341846315.094388 0.022840 -0.048052 0.019604 -0.016877 0.109852 0.017299 0.993654
1341846315.129851 0.023897 -0.038873 0.017537 -0.013286 0.110886 0.014235 0.993642
1341846315.161941 0.017009 -0.040346 0.014094 -0.017310 0.112541 0.018080 0.993332
1341846315.197984 0.024083 -0.013894 0.014150 -0.018874 0.109513 0.013583 0.993713
1341846315.230076 0.027336 -0.023189 0.005402 -0.023755 0.108266 0.009515 0.993793
1341846315.262069 0.027014 -0.013629 0.008878 -0.024684 0.106924 0.009766 0.993913
1341846315.298000 0.044304 -0.043295 0.011701 -0.031861 0.100960 0.016952 0.994236
1341846315.329931 0.044519 -0.070064 0.001050 -0.033666 0.100121 0.021614 0.994171
1341846315.361981 0.016228 -0.057317 -0.016502 -0.026251 0.104354 0.021179 0.993968
1341846315.397962 0.046137 -0.048758 -0.002659 -0.022252 0.100514 0.025156 0.994369
1341846315.429923 0.059429 -0.070248 -0.003138 -0.024100 0.101464 0.029526 0.994109
1341846315.466047 0.097314 -0.055360 -0.004634 -0.020750 0.099306 0.030169 0.994383
1341846315.497883 0.080733 -0.049942 -0.012147 -0.020195 0.105320 0.034933 0.993619
1341846315.530008 0.086371 -0.050092 -0.004537 -0.020237 0.106345 0.035829 0.993478
1341846315.566108 0.088743 -0.049286 -0.005906 -0.021023 0.107850 0.036914 0.993259
1341846315.597986 0.099406 -0.046696 -0.002009 -0.020640 0.107807 0.036469 0.993288
1341846315.630109 0.104183 -0.044215 -0.014744 -0.019918 0.107551 0.035654 0.993360
1341846315.666042 0.115611 -0.034810 -0.042447 -0.019084 0.105568 0.035344 0.993601
1341846315.698114 0.099911 -0.007237 -0.019963 -0.019092 0.112694 0.030697 0.992972
1341846315.733985 0.073964 -0.050254 0.031890 -0.029708 0.123859 0.032394 0.991326
1341846315.766041 0.040867 -0.055700 0.037296 -0.030361 0.127313 0.032539 0.990864
1341846315.798188 0.033413 -0.049737 0.027205 -0.030157 0.128156 0.034128 0.990708
1341846315.834140 0.060866 -0.016214 -0.048169 -0.023313 0.117672 0.026701 0.992420
1341846315.866751 0.045042 -0.011842 -0.047319 -0.020034 0.121342 0.025168 0.992089
1341846315.898492 -0.020832 -0.012680 -0.081918 -0.018459 0.131722 0.023962 0.990825
1341846315.936901 -0.016761 -0.015014 -0.104966 -0.015572 0.131531 0.022242 0.990940
1341846315.966572 0.014006 -0.027596 -0.041924 -0.015051 0.129232 0.023640 0.991218
1341846316.034204 0.030545 -0.018593 -0.049621 -0.009456 0.124251 0.023611 0.991925
1341846316.066113 0.020852 -0.020508 -0.046371 -0.007311 0.124892 0.023789 0.991858
1341846316.101867 0.014079 -0.019321 -0.047985 -0.005772 0.123450 0.024880 0.992022
1341846316.134066 -0.006491 -0.012248 -0.049446 -0.005665 0.122546 0.021909 0.992205
1341846316.202049 -0.026264 -0.021422 -0.041164 -0.006531 0.119307 0.017513 0.992681
1341846316.233979 -0.029838 -0.018876 -0.043906 -0.005795 0.118304 0.016430 0.992825
1341846316.270052 -0.032208 -0.022407 -0.039333 -0.007980 0.118677 0.013117 0.992814
1341846316.301915 -0.038523 -0.029815 -0.031996 -0.008380 0.119589 0.010788 0.992730
1341846316.334208 -0.031001 -0.028914 -0.031267 -0.006465 0.116404 0.012801 0.993098
1341846316.370006 -0.055626 -0.033159 -0.030740 -0.005016 0.118484 0.012781 0.992861
1341846316.401994 -0.061606 -0.033044 -0.029392 -0.003423 0.117746 0.014144 0.992937
1341846316.438069 -0.051495 -0.033336 -0.006238 -0.001402 0.116792 0.016083 0.993025
1341846316.470076 -0.053393 -0.048083 0.005923 -0.000588 0.116950 0.020595 0.992924
1341846316.502034 -0.047780 -0.034207 0.002474 0.002928 0.113254 0.025149 0.993243
1341846316.537975 -0.042498 -0.031321 0.009160 0.001033 0.109889 0.024762 0.993635
1341846316.570121 -0.030865 -0.033339 0.013306 0.000712 0.107730 0.023812 0.993895
1341846316.601885 -0.040693 -0.036331 0.014485 0.002375 0.108487 0.022124 0.993849
1341846316.638009 -0.052995 -0.043498 0.021722 0.003763 0.108304 0.023347 0.993837
1341846316.669925 -0.038594 -0.045121 0.024197 0.005694 0.105086 0.023212 0.994176
1341846316.705941 -0.000533 -0.008753 0.002375 0.017441 0.097197 0.024760 0.994804
1341846316.738062 -0.020529 -0.021163 -0.008561 0.016704 0.098351 0.027439 0.994633
1341846316.770433 -0.053272 -0.037357 0.033690 0.012393 0.103954 0.028787 0.994088
1341846316.805932 -0.070206 -0.045428 0.029545 0.012614 0.104999 0.026949 0.994027
1341846316.838029 0.010219 -0.015281 -0.008973 0.018264 0.089558 0.025164 0.995496
1341846316.870034 0.010206 -0.016490 -0.000332 0.018773 0.085420 0.026452 0.995817
1341846316.906344 -0.001145 -0.017218 -0.000491 0.019717 0.083188 0.026730 0.995980
