# timestamp tx ty tz qx qy qz qw
1311870427.199132 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1311870427.231132 0.000061 0.000657 -0.001983 0.002281 -0.000196 0.000453 0.999997
1311870427.263210 -0.000216 0.001309 -0.003203 0.002788 -0.000343 0.000721 0.999996
1311870427.299143 -0.000374 0.000560 -0.003792 0.003045 -0.000923 0.001606 0.999994
1311870427.331187 -0.000075 0.001634 -0.005006 0.002942 -0.001642 0.002312 0.999992
1311870427.363116 0.000353 -0.000070 -0.004404 0.002043 -0.001935 0.002841 0.999992
1311870427.399237 0.000555 -0.000439 -0.004755 0.002359 -0.001592 0.002698 0.999992
1311870427.431127 0.000278 -0.000347 -0.005346 0.002709 -0.001212 0.002710 0.999992
1311870427.463385 -0.000632 0.000264 -0.006322 0.002730 -0.001313 0.003141 0.999990
1311870427.499447 -0.000757 0.000046 -0.006493 0.001944 -0.002187 0.003367 0.999990
1311870427.531159 -0.000755 -0.000750 -0.006608 0.001496 -0.002905 0.003045 0.999990
1311870427.563190 -0.000142 -0.000211 -0.007815 0.001324 -0.003457 0.002501 0.999990
1311870427.599086 -0.000502 -0.000927 -0.007595 0.001098 -0.003617 0.002720 0.999989
1311870427.631114 -0.000513 -0.001631 -0.007696 0.001179 -0.003956 0.002630 0.999988
1311870427.663429 -0.000192 -0.001639 -0.008455 0.001638 -0.003824 0.001975 0.999989
1311870427.699151 -0.000370 -0.001566 -0.008984 0.002023 -0.003694 0.001867 0.999989
1311870427.731118 -0.000560 -0.002725 -0.009166 0.002183 -0.004169 0.002386 0.999986
1311870427.763327 0.000008 -0.001280 -0.010568 0.002894 -0.004981 0.002475 0.999980
1311870427.799196 0.000516 -0.002919 -0.009903 0.002470 -0.005085 0.002415 0.999981
1311870427.831457 0.000498 -0.002964 -0.011030 0.003568 -0.004870 0.002428 0.999979
1311870427.863134 0.000097 -0.001270 -0.012191 0.003632 -0.005230 0.001958 0.999978
1311870427.899231 -0.000425 -0.001678 -0.012250 0.002564 -0.006001 0.001714 0.999977
1311870427.931111 -0.000552 -0.001347 -0.012500 0.001715 -0.007518 0.000357 0.999970
1311870427.963137 0.000133 -0.002587 -0.012063 0.000822 -0.008509 -0.001703 0.999962
1311870427.999083 0.001278 -0.002833 -0.012614 0.001377 -0.008084 -0.002100 0.999964
1311870428.031250 0.000747 -0.002572 -0.012707 0.002008 -0.007005 -0.001789 0.999972
1311870428.063193 0.000646 -0.002567 -0.012937 0.002207 -0.006710 -0.001649 0.999974
1311870428.099167 0.001030 -0.002704 -0.012827 0.002403 -0.006669 -0.001525 0.999974
1311870428.131267 0.001020 -0.002910 -0.012936 0.002869 -0.006598 -0.001312 0.999973
1311870428.163279 0.001169 -0.002808 -0.013271 0.003130 -0.006816 -0.001435 0.999971
1311870428.199270 0.000930 -0.002716 -0.013522 0.003294 -0.006952 -0.001708 0.999969
1311870428.231191 0.000711 -0.002917 -0.013445 0.003240 -0.007113 -0.001581 0.999968
1311870428.263420 0.000844 -0.002743 -0.013675 0.003392 -0.007512 -0.001675 0.999965
1311870428.299170 0.001302 -0.002576 -0.014106 0.003320 -0.007711 -0.001683 0.999963
1311870428.331174 0.001117 -0.003528 -0.013316 0.003257 -0.007375 -0.001298 0.999967
1311870428.363160 0.000967 -0.003346 -0.013665 0.003903 -0.007390 -0.001713 0.999964
1311870428.399340 0.001059 -0.002456 -0.014094 0.004010 -0.007293 -0.002997 0.999961
1311870428.431153 0.000551 -0.002642 -0.013456 0.003889 -0.006959 -0.003239 0.999963
1311870428.463176 0.000354 -0.001731 -0.014361 0.004203 -0.007403 -0.002881 0.999960
1311870428.499303 0.000620 -0.001666 -0.013686 0.003417 -0.007892 -0.003020 0.999958
1311870428.531230 0.000901 -0.003425 -0.013005 0.003426 -0.007921 -0.003227 0.999958
1311870428.563181 0.001218 -0.002107 -0.013998 0.004131 -0.007875 -0.003274 0.999955
1311870428.599270 0.000470 -0.002723 -0.013463 0.003964 -0.008004 -0.002640 0.999957
1311870428.631378 0.000265 -0.002779 -0.013463 0.004169 -0.008874 -0.002512 0.999949
