# timestamp tx ty tz qx qy qz qw
1341846434.846345 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846434.878202 0.004495 -0.008931 -0.008974 -0.002031 -0.002668 -0.007589 0.999966
1341846434.914148 0.014109 -0.014013 -0.032153 -0.003092 -0.011037 -0.017233 0.999786
1341846434.946443 0.021745 -0.019397 -0.042103 -0.005076 -0.023555 -0.024938 0.999399
1341846434.978088 0.038823 -0.026525 -0.047251 -0.005015 -0.033530 -0.025919 0.999089
1341846435.014019 0.048295 -0.030733 -0.051843 -0.003827 -0.039469 -0.025107 0.998898
1341846435.045942 0.065321 -0.034518 -0.052912 -0.002534 -0.043192 -0.024186 0.998771
1341846435.077985 0.077419 -0.042964 -0.048994 -0.001224 -0.042222 -0.024302 0.998812
1341846435.113961 0.077054 -0.048834 -0.055161 0.002090 -0.040464 -0.024675 0.998874
1341846435.146181 0.081744 -0.052475 -0.057357 0.004933 -0.041247 -0.023956 0.998850
1341846435.182052 0.060379 -0.052559 -0.067142 0.006935 -0.042935 -0.021723 0.998818
1341846435.213955 0.052489 -0.073809 -0.108785 0.007254 -0.048859 -0.015648 0.998657
1341846435.246495 0.047310 -0.075472 -0.119352 0.010371 -0.053119 -0.010947 0.998474
1341846435.281968 0.043613 -0.077556 -0.147809 0.011083 -0.060503 -0.007618 0.998077
1341846435.319946 0.055997 -0.075200 -0.151885 0.010157 -0.069219 -0.007894 0.997519
1341846435.382078 0.095495 -0.088718 -0.129527 0.005666 -0.083455 -0.003352 0.996490
1341846435.414309 0.100700 -0.094319 -0.128757 0.008234 -0.086130 -0.001335 0.996249
1341846435.450323 0.111204 -0.088869 -0.138964 0.011416 -0.091758 0.000117 0.995716
1341846435.482273 0.147757 -0.077712 -0.104282 0.012857 -0.095277 0.000234 0.995368
1341846435.513983 0.160190 -0.071883 -0.106807 0.013706 -0.093356 -0.001677 0.995537
1341846435.550153 0.163186 -0.066062 -0.109051 0.012499 -0.092054 -0.003484 0.995669
1341846435.582003 0.187368 -0.083741 -0.117247 0.009605 -0.094940 -0.006381 0.995416
1341846435.618180 0.203290 -0.093723 -0.125846 0.012194 -0.101842 -0.007707 0.994696
1341846435.650183 0.227294 -0.094393 -0.128545 0.015187 -0.109847 -0.008580 0.993795
1341846435.681920 0.246424 -0.095866 -0.127086 0.017397 -0.111157 -0.008487 0.993614
1341846435.717877 0.254887 -0.088605 -0.131553 0.019245 -0.112261 -0.009490 0.993447
1341846435.750187 0.283121 -0.100393 -0.147144 0.018088 -0.115630 -0.010738 0.993070
1341846435.782022 0.301544 -0.099344 -0.153425 0.019559 -0.120360 -0.011437 0.992472
1341846435.818082 0.308625 -0.101155 -0.148263 0.019712 -0.123286 -0.012465 0.992097
1341846435.849992 0.334749 -0.114620 -0.171696 0.019492 -0.126905 -0.012267 0.991647
1341846435.886101 0.359731 -0.114386 -0.179929 0.020158 -0.132175 -0.012313 0.990945
1341846435.918077 0.413105 -0.115468 -0.182243 0.019924 -0.142432 -0.010165 0.989552
1341846435.950077 0.435556 -0.119752 -0.176167 0.019206 -0.147136 -0.007685 0.988900
1341846435.986080 0.499288 -0.130771 -0.182763 0.020206 -0.158905 -0.006035 0.987069
1341846436.018119 0.532784 -0.132363 -0.194828 0.020648 -0.165693 -0.003989 0.985953
1341846436.050565 0.561190 -0.130159 -0.197083 0.019690 -0.171363 -0.000975 0.985011
