# timestamp tx ty tz qx qy qz qw
1341846434.846345 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846434.878202 0.006259 -0.004143 -0.001059 -0.001437 -0.002695 -0.007230 0.999969
1341846434.914148 -0.009198 -0.004840 -0.010821 -0.002122 -0.006494 -0.016026 0.999848
1341846434.946443 -0.009360 -0.006533 -0.008131 -0.004126 -0.018576 -0.025430 0.999495
1341846434.978088 0.020680 -0.011141 -0.001747 -0.003933 -0.030208 -0.028267 0.999136
1341846435.014019 0.032210 -0.014743 -0.005105 -0.002711 -0.036517 -0.027491 0.998951
1341846435.045942 0.051359 -0.017546 -0.000583 -0.001341 -0.040851 -0.027155 0.998795
1341846435.077985 0.063862 -0.023100 0.007459 0.000252 -0.040225 -0.026930 0.998828
1341846435.113961 0.068112 -0.029155 0.006115 0.003524 -0.038889 -0.027286 0.998865
1341846435.146181 0.072419 -0.029421 0.000768 0.006914 -0.039501 -0.027269 0.998823
1341846435.182052 0.071078 -0.028108 -0.000210 0.009042 -0.042878 -0.024730 0.998733
1341846435.213955 0.083549 -0.034176 0.004162 0.010589 -0.049672 -0.020161 0.998506
1341846435.246495 0.084025 -0.034007 -0.003209 0.014044 -0.054340 -0.014507 0.998318
1341846435.281968 0.080495 -0.034999 -0.026389 0.014585 -0.061274 -0.012368 0.997938
1341846435.319946 0.101770 -0.034636 -0.033402 0.013441 -0.070969 -0.012765 0.997306
1341846435.382078 0.130654 -0.047700 -0.005958 0.008946 -0.084002 -0.008984 0.996385
1341846435.414309 0.133216 -0.059814 -0.010996 0.010786 -0.086484 -0.006700 0.996172
1341846435.450323 0.148528 -0.047204 -0.013124 0.014767 -0.092613 -0.005206 0.995579
1341846435.482273 0.169005 -0.045594 0.006829 0.015327 -0.095106 -0.005000 0.995337
1341846435.513983 0.179086 -0.037554 0.008217 0.016430 -0.093175 -0.006857 0.995491
1341846435.550153 0.185461 -0.037632 -0.005242 0.014671 -0.091812 -0.008431 0.995633
1341846435.582003 0.187188 -0.062523 -0.022989 0.011048 -0.093372 -0.010993 0.995509
1341846435.618180 0.185290 -0.068899 -0.016116 0.013909 -0.099056 -0.012403 0.994907
1341846435.650183 0.214994 -0.067993 -0.020575 0.017094 -0.107917 -0.013285 0.993924
1341846435.681920 0.232306 -0.060773 -0.001803 0.020250 -0.109885 -0.013789 0.993642
1341846435.717877 0.243239 -0.055402 -0.012009 0.022087 -0.110934 -0.014312 0.993479
1341846435.750187 0.251866 -0.060451 -0.013250 0.021588 -0.113468 -0.015791 0.993182
1341846435.782022 0.260674 -0.059423 -0.015463 0.023013 -0.117495 -0.016440 0.992671
1341846435.818082 0.280005 -0.061250 -0.013031 0.023188 -0.121440 -0.017347 0.992176
1341846435.849992 0.286768 -0.062326 -0.011747 0.024353 -0.124026 -0.017627 0.991823
1341846435.886101 0.300335 -0.063656 -0.020532 0.024833 -0.128335 -0.017936 0.991258
1341846435.918077 0.312219 -0.063310 -0.019460 0.024497 -0.132065 -0.016493 0.990801
1341846435.950077 0.321381 -0.071237 -0.018090 0.023432 -0.135750 -0.014162 0.990365
1341846435.986080 0.330432 -0.077502 -0.018444 0.024721 -0.140262 -0.012994 0.989720
1341846436.018119 0.342226 -0.072590 -0.025101 0.026026 -0.145936 -0.011260 0.988888
1341846436.050565 0.359591 -0.067739 -0.019972 0.025331 -0.151106 -0.008188 0.988159
1341846436.085970 0.367690 -0.070332 -0.020900 0.023230 -0.154260 -0.006244 0.987737
1341846436.118116 0.379487 -0.077734 -0.016498 0.021348 -0.160049 -0.004327 0.986869
1341846436.153952 0.396521 -0.079219 -0.005693 0.021606 -0.163372 -0.001929 0.986326
1341846436.185994 0.401224 -0.084071 -0.007838 0.022216 -0.164441 -0.000425 0.986137
1341846436.218096 0.407018 -0.083241 -0.008275 0.023637 -0.168001 0.001554 0.985502
1341846436.253965 0.426744 -0.063399 -0.001617 0.024766 -0.169895 0.004601 0.985140
1341846436.286007 0.429322 -0.079711 -0.006899 0.020395 -0.168908 0.003835 0.985413
1341846436.318164 0.429541 -0.090114 -0.012433 0.020154 -0.171185 0.003622 0.985026
1341846436.354084 0.445530 -0.073127 0.001606 0.021651 -0.174311 0.003936 0.984445
1341846436.385958 0.449534 -0.080356 0.003434 0.019563 -0.174267 0.001489 0.984503
1341846436.422052 0.441467 -0.091009 -0.004912 0.019043 -0.175600 0.000946 0.984277
1341846436.453972 0.447983 -0.092358 0.000906 0.020360 -0.180555 0.001024 0.983354
