# timestamp tx ty tz qx qy qz qw
1341846434.846345 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846434.878202 0.006255 -0.004662 -0.000996 -0.001489 -0.002706 -0.007317 0.999968
1341846434.914148 -0.012866 -0.004033 -0.007103 -0.002087 -0.006233 -0.016262 0.999846
1341846434.946443 -0.006839 -0.006366 -0.004130 -0.004159 -0.019202 -0.026140 0.999465
1341846434.978088 0.020728 -0.010883 -0.002174 -0.003891 -0.030248 -0.028189 0.999137
1341846435.014019 0.032844 -0.014819 -0.005846 -0.002703 -0.036584 -0.027432 0.998950
1341846435.045942 0.054285 -0.017878 -0.002938 -0.001336 -0.041186 -0.027035 0.998785
1341846435.077985 0.067308 -0.023904 0.002886 0.000178 -0.040488 -0.026860 0.998819
1341846435.113961 0.071536 -0.030110 0.000935 0.003424 -0.039147 -0.027212 0.998857
1341846435.146181 0.075934 -0.030417 -0.004501 0.006811 -0.039772 -0.027160 0.998816
1341846435.182052 0.073815 -0.028944 -0.005255 0.008958 -0.043073 -0.024632 0.998728
1341846435.213955 0.086828 -0.034541 -0.001318 0.010537 -0.049899 -0.020050 0.998497
1341846435.246495 0.085369 -0.034845 -0.007722 0.013961 -0.054448 -0.014397 0.998315
1341846435.281968 0.082649 -0.036263 -0.032640 0.014460 -0.061534 -0.012248 0.997925
1341846435.319946 0.104879 -0.035834 -0.039515 0.013325 -0.071316 -0.012659 0.997284
1341846435.382078 0.133695 -0.049021 -0.013199 0.008806 -0.084326 -0.008860 0.996360
1341846435.414309 0.136642 -0.060832 -0.017978 0.010669 -0.086829 -0.006585 0.996144
1341846435.450323 0.151441 -0.048792 -0.021642 0.014585 -0.092925 -0.005083 0.995553
1341846435.482273 0.172345 -0.047171 -0.001750 0.015151 -0.095449 -0.004836 0.995307
1341846435.513983 0.182633 -0.040273 -0.002008 0.016121 -0.093485 -0.006651 0.995468
1341846435.550153 0.188945 -0.040155 -0.015300 0.014353 -0.092126 -0.008219 0.995610
1341846435.582003 0.190951 -0.057287 -0.020418 0.011522 -0.093863 -0.011045 0.995457
1341846435.618180 0.185055 -0.053798 -0.001282 0.015631 -0.099435 -0.012588 0.994842
1341846435.650183 0.219419 -0.067469 -0.030575 0.017312 -0.108584 -0.013253 0.993848
1341846435.681920 0.233222 -0.065695 -0.022001 0.019798 -0.109787 -0.013404 0.993668
1341846435.717877 0.245473 -0.061327 -0.033204 0.021404 -0.110981 -0.014009 0.993493
1341846435.750187 0.254911 -0.066710 -0.034921 0.021004 -0.113731 -0.015413 0.993170
1341846435.782022 0.266152 -0.064378 -0.034982 0.022590 -0.117918 -0.016342 0.992632
1341846435.818082 0.283204 -0.065611 -0.029472 0.022835 -0.121769 -0.017343 0.992144
1341846435.849992 0.292149 -0.067741 -0.030838 0.023778 -0.124457 -0.017378 0.991788
1341846435.886101 0.305484 -0.065601 -0.033712 0.024637 -0.128887 -0.017774 0.991194
1341846435.918077 0.314679 -0.065320 -0.035994 0.024392 -0.132374 -0.016662 0.990760
1341846435.950077 0.324448 -0.072938 -0.032144 0.023306 -0.136147 -0.014153 0.990313
1341846435.986080 0.334804 -0.078055 -0.032014 0.024756 -0.140749 -0.013074 0.989649
1341846436.018119 0.343095 -0.072040 -0.035282 0.026235 -0.146503 -0.011276 0.988798
1341846436.050565 0.364664 -0.068142 -0.035660 0.025492 -0.151750 -0.008266 0.988056
1341846436.085970 0.372168 -0.070541 -0.036765 0.023422 -0.154869 -0.006341 0.987637
1341846436.118116 0.384775 -0.078434 -0.032479 0.021466 -0.160704 -0.004375 0.986760
1341846436.153952 0.400921 -0.080136 -0.021774 0.021703 -0.163965 -0.001972 0.986225
1341846436.185994 0.406104 -0.085023 -0.023955 0.022304 -0.165055 -0.000472 0.986032
1341846436.218096 0.412475 -0.083847 -0.023872 0.023765 -0.168668 0.001495 0.985385
1341846436.253965 0.431336 -0.064030 -0.017768 0.024919 -0.170486 0.004486 0.985035
