# timestamp tx ty tz qx qy qz qw
1311870486.814059 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1311870486.843922 -0.009068 -0.003732 -0.002313 0.002506 0.004547 0.003463 0.999981
1311870486.876884 -0.015740 -0.007044 -0.004655 0.004503 0.008535 0.006362 0.999933
1311870486.910964 -0.024670 -0.013850 -0.004888 0.007084 0.012920 0.009451 0.999847
1311870486.944171 -0.034271 -0.018249 -0.007917 0.011338 0.016312 0.010807 0.999744
1311870486.974944 -0.042269 -0.017903 -0.013074 0.015449 0.019150 0.011000 0.999637
1311870487.013483 -0.049753 -0.019530 -0.015241 0.018122 0.022330 0.013002 0.999502
1311870487.045716 -0.059294 -0.023244 -0.017638 0.021470 0.025200 0.016098 0.999322
1311870487.074835 -0.067771 -0.023043 -0.022066 0.024756 0.026590 0.018468 0.999169
1311870487.113212 -0.072688 -0.024842 -0.025287 0.027178 0.028440 0.020210 0.999022
1311870487.144542 -0.078036 -0.026152 -0.027739 0.029735 0.031473 0.021982 0.998820
1311870487.174917 -0.082847 -0.027454 -0.030279 0.032467 0.034954 0.024564 0.998559
1311870487.212424 -0.090570 -0.027505 -0.034003 0.035266 0.038966 0.027363 0.998243
1311870487.250248 -0.099962 -0.029495 -0.038921 0.036602 0.042154 0.029819 0.997995
1311870487.274881 -0.104820 -0.030390 -0.041022 0.038002 0.044204 0.031837 0.997792
1311870487.314494 -0.111209 -0.033011 -0.044286 0.039446 0.046739 0.034027 0.997548
1311870487.343317 -0.116674 -0.033269 -0.046853 0.041528 0.049546 0.034157 0.997323
1311870487.375022 -0.122836 -0.031509 -0.051059 0.043523 0.053312 0.033004 0.997083
1311870487.412400 -0.131054 -0.028649 -0.053637 0.044449 0.057174 0.032700 0.996838
1311870487.443194 -0.140434 -0.025678 -0.054321 0.044390 0.059869 0.032899 0.996676
1311870487.475038 -0.148365 -0.022810 -0.054844 0.043114 0.060778 0.032454 0.996691
1311870487.514023 -0.153091 -0.019853 -0.056434 0.041181 0.061092 0.031998 0.996769
1311870487.544312 -0.158406 -0.017417 -0.056490 0.039459 0.062039 0.032847 0.996752
