# timestamp tx ty tz qx qy qz qw
1311870486.814059 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1311870486.843922 -0.008878 -0.004003 -0.002057 0.002533 0.004537 0.003681 0.999980
1311870486.876884 -0.015467 -0.007438 -0.004685 0.004488 0.008497 0.006559 0.999932
1311870486.910964 -0.023316 -0.013920 -0.003511 0.007198 0.012832 0.009717 0.999845
1311870486.944171 -0.031642 -0.018526 -0.005946 0.011598 0.016044 0.011593 0.999737
1311870486.974944 -0.040807 -0.017854 -0.011327 0.015716 0.019020 0.011629 0.999628
1311870487.013483 -0.048960 -0.019592 -0.014775 0.018263 0.022294 0.013369 0.999495
1311870487.045716 -0.058186 -0.023967 -0.016978 0.021501 0.025131 0.016483 0.999317
1311870487.074835 -0.067412 -0.024539 -0.022916 0.024709 0.026549 0.019028 0.999161
1311870487.113212 -0.072850 -0.026712 -0.027000 0.027058 0.028441 0.020770 0.999013
1311870487.144542 -0.079233 -0.028584 -0.030954 0.029476 0.031580 0.022408 0.998815
1311870487.174917 -0.085467 -0.030948 -0.035728 0.031955 0.035198 0.024879 0.998559
1311870487.212424 -0.093399 -0.031723 -0.040106 0.034634 0.039180 0.027825 0.998244
1311870487.250248 -0.100640 -0.032499 -0.041786 0.036266 0.042182 0.030567 0.997984
1311870487.274881 -0.106701 -0.033972 -0.045273 0.037562 0.044339 0.032487 0.997781
1311870487.314494 -0.112237 -0.036633 -0.048403 0.039052 0.046767 0.034852 0.997533
1311870487.343317 -0.117395 -0.038058 -0.051861 0.040984 0.049425 0.035336 0.997311
1311870487.375022 -0.123863 -0.036447 -0.056315 0.042918 0.053217 0.034115 0.997077
1311870487.412400 -0.131720 -0.033141 -0.058271 0.043972 0.057059 0.033908 0.996825
1311870487.443194 -0.141171 -0.030228 -0.058893 0.043949 0.059777 0.034196 0.996657
1311870487.475038 -0.149022 -0.027953 -0.059810 0.042639 0.060642 0.033908 0.996672
1311870487.514023 -0.153466 -0.024615 -0.060925 0.040780 0.060932 0.033467 0.996747
1311870487.544312 -0.159312 -0.023016 -0.061710 0.038912 0.061929 0.034394 0.996728
1311870487.575002 -0.164517 -0.019777 -0.061814 0.036960 0.062483 0.035390 0.996733
1311870487.611318 -0.168097 -0.018049 -0.061821 0.034653 0.062739 0.035815 0.996785
1311870487.643614 -0.171680 -0.015480 -0.062941 0.032627 0.063512 0.035770 0.996806
1311870487.674996 -0.175024 -0.013526 -0.062360 0.030310 0.064518 0.036661 0.996782
1311870487.710972 -0.178718 -0.011531 -0.060648 0.028508 0.064704 0.036904 0.996814
1311870487.743421 -0.178644 -0.011361 -0.060721 0.026457 0.064457 0.036918 0.996886
1311870487.775194 -0.179587 -0.010846 -0.060816 0.025760 0.065485 0.036168 0.996865
1311870487.811083 -0.182937 -0.007736 -0.060931 0.024967 0.067018 0.034489 0.996843
1311870487.844713 -0.185023 -0.006081 -0.059490 0.023435 0.067608 0.033954 0.996859
1311870487.875006 -0.187115 -0.006083 -0.056730 0.021840 0.067361 0.034056 0.996908
1311870487.912913 -0.188153 -0.003866 -0.055834 0.020962 0.066364 0.034152 0.996990
1311870487.944520 -0.186699 -0.005155 -0.054474 0.019630 0.066043 0.034615 0.997023
1311870487.975028 -0.188004 -0.004051 -0.050410 0.019992 0.066940 0.033544 0.996993
1311870488.013400 -0.189499 -0.000432 -0.047703 0.020124 0.067369 0.031133 0.997039
1311870488.045647 -0.192330 0.002967 -0.043881 0.019504 0.067436 0.030035 0.997081
1311870488.075044 -0.196596 0.009669 -0.035687 0.018179 0.065674 0.029422 0.997242
1311870488.114438 -0.199356 0.014613 -0.030175 0.014315 0.061757 0.027982 0.997596
1311870488.143525 -0.197948 0.015017 -0.027903 0.009133 0.057520 0.027121 0.997934
1311870488.175287 -0.194903 0.011042 -0.024590 0.005458 0.055161 0.028675 0.998051
1311870488.215548 -0.197007 0.013688 -0.019220 0.004574 0.054725 0.028835 0.998075
1311870488.243035 -0.197141 0.017188 -0.014372 0.002211 0.053292 0.027909 0.998186
1311870488.275181 -0.197617 0.019794 -0.009977 0.000249 0.051987 0.029514 0.998211
1311870488.314277 -0.199753 0.020763 -0.003160 -0.002707 0.049830 0.031042 0.998272
1311870488.343231 -0.198680 0.019111 0.001366 -0.005464 0.047105 0.030332 0.998414
1311870488.375053 -0.197058 0.019276 0.001962 -0.007376 0.045781 0.028094 0.998529
1311870488.413716 -0.194292 0.019868 0.003354 -0.008966 0.046137 0.028067 0.998500
1311870488.443189 -0.194413 0.020918 0.007771 -0.010358 0.047810 0.028427 0.998398
1311870488.475126 -0.193954 0.022662 0.011517 -0.012094 0.048850 0.027830 0.998345
1311870488.513911 -0.193009 0.023512 0.014505 -0.013957 0.049877 0.027669 0.998274
1311870488.543135 -0.193507 0.025911 0.017063 -0.015748 0.050436 0.029224 0.998175
