# timestamp tx ty tz qx qy qz qw
1311870486.814059 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1311870486.843922 -0.008894 -0.003963 -0.002084 0.002535 0.004533 0.003665 0.999980
1311870486.876884 -0.015488 -0.007378 -0.004624 0.004491 0.008505 0.006540 0.999932
1311870486.910964 -0.023357 -0.013898 -0.003568 0.007195 0.012832 0.009702 0.999845
1311870486.944171 -0.031541 -0.018064 -0.005494 0.011696 0.016042 0.011577 0.999736
1311870486.974944 -0.040633 -0.017270 -0.010693 0.015832 0.019017 0.011606 0.999626
1311870487.013483 -0.048785 -0.019047 -0.014096 0.018374 0.022291 0.013351 0.999493
1311870487.045716 -0.058161 -0.023432 -0.016418 0.021604 0.025151 0.016446 0.999315
1311870487.074835 -0.067259 -0.023858 -0.022144 0.024831 0.026556 0.018972 0.999159
1311870487.113212 -0.072625 -0.025967 -0.026085 0.027191 0.028446 0.020714 0.999011
1311870487.144542 -0.079140 -0.027788 -0.030016 0.029613 0.031611 0.022332 0.998812
1311870487.174917 -0.085288 -0.030156 -0.034777 0.032097 0.035212 0.024818 0.998556
1311870487.212424 -0.093202 -0.030907 -0.039166 0.034782 0.039188 0.027763 0.998240
1311870487.250248 -0.100614 -0.031909 -0.041322 0.036382 0.042191 0.030524 0.997980
1311870487.274881 -0.106584 -0.033252 -0.044575 0.037688 0.044347 0.032424 0.997778
1311870487.314494 -0.112092 -0.035822 -0.047533 0.039196 0.046778 0.034786 0.997530
1311870487.343317 -0.117182 -0.037025 -0.050677 0.041158 0.049442 0.035239 0.997306
1311870487.375022 -0.123441 -0.035392 -0.054906 0.043097 0.053214 0.034032 0.997072
1311870487.412400 -0.131322 -0.032147 -0.056931 0.044143 0.057057 0.033835 0.996821
1311870487.443194 -0.140774 -0.029186 -0.057561 0.044127 0.059778 0.034114 0.996652
1311870487.475038 -0.148669 -0.026873 -0.058495 0.042821 0.060649 0.033821 0.996667
1311870487.514023 -0.153095 -0.023621 -0.059651 0.040951 0.060932 0.033392 0.996742
1311870487.544312 -0.158852 -0.022100 -0.060503 0.039070 0.061914 0.034337 0.996725
1311870487.575002 -0.164125 -0.018792 -0.060534 0.037128 0.062483 0.035315 0.996730
1311870487.611318 -0.167695 -0.017112 -0.060576 0.034815 0.062737 0.035747 0.996782
1311870487.643614 -0.171343 -0.014558 -0.061764 0.032790 0.063507 0.035716 0.996803
1311870487.674996 -0.174600 -0.012755 -0.061308 0.030462 0.064497 0.036648 0.996779
1311870487.710972 -0.178270 -0.010725 -0.059568 0.028670 0.064678 0.036894 0.996812
1311870487.743421 -0.178270 -0.010587 -0.059684 0.026610 0.064442 0.036900 0.996884
1311870487.775194 -0.179065 -0.010060 -0.059740 0.025923 0.065453 0.036161 0.996863
1311870487.811083 -0.182574 -0.007094 -0.060069 0.025115 0.066981 0.034529 0.996840
1311870487.844713 -0.184722 -0.005485 -0.058649 0.023564 0.067581 0.033973 0.996857
1311870487.875006 -0.186843 -0.005509 -0.055946 0.021969 0.067332 0.034085 0.996906
1311870487.912913 -0.187792 -0.003222 -0.054859 0.021088 0.066339 0.034143 0.996990
1311870487.944520 -0.186337 -0.004607 -0.053627 0.019747 0.066008 0.034627 0.997023
1311870487.975028 -0.187649 -0.003426 -0.049534 0.020132 0.066905 0.033574 0.996991
1311870488.013400 -0.189141 0.000238 -0.046822 0.020275 0.067333 0.031159 0.997038
1311870488.045647 -0.191948 0.003573 -0.043014 0.019640 0.067398 0.030064 0.997080
1311870488.075044 -0.196211 0.010164 -0.035019 0.018313 0.065618 0.029498 0.997241
1311870488.114438 -0.198960 0.015105 -0.029555 0.014457 0.061695 0.028076 0.997595
1311870488.143525 -0.197563 0.015508 -0.027202 0.009264 0.057467 0.027188 0.997934
1311870488.175287 -0.194467 0.011565 -0.023856 0.005598 0.055101 0.028744 0.998051
1311870488.215548 -0.196529 0.014260 -0.018496 0.004733 0.054655 0.028918 0.998075
1311870488.243035 -0.196826 0.017005 -0.014190 0.002199 0.053216 0.028007 0.998188
